sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,150,24.18,918.78,36.21,2474925,avocado
2,0,0,200,150,24.29,993.60,47.72,88033,avocado
4,0,0,100,200,22.32,990.71,45.98,657464,avocado
1,0,1,200,150,24.18,918.77,36.21,256385,avocado
2,0,1,222,150,24.07,993.60,47.61,36395,avocado
3,0,1,100,150,23.05,922.82,48.80,658733,avocado
4,0,1,150,180,22.29,990.70,45.89,141476,avocado
1,1,0,100,150,24.19,918.77,36.27,1399863,avocado
3,0,2,100,150,22.95,922.83,48.71,626108,avocado
4,0,2,200,160,22.25,990.70,45.91,48697,avocado
1,1,1,200,150,24.22,918.77,36.32,160804,avocado
3,0,3,100,150,22.87,922.83,48.74,625535,avocado
1,1,2,320,150,24.28,918.77,36.30,44802,avocado
1,2,0,100,150,24.37,918.78,36.41,1947231,avocado
3,0,4,200,150,22.80,922.83,48.76,82501,avocado
1,2,1,200,150,24.40,918.78,36.34,197493,avocado
3,0,5,200,150,22.75,922.83,48.78,77906,avocado
1,2,2,320,150,24.44,918.78,36.40,50874,avocado
1,3,0,100,150,24.51,918.78,36.41,2280624,avocado
3,0,6,200,150,22.72,922.83,48.87,75161,avocado
1,3,1,200,150,24.51,918.79,36.40,222609,avocado
1,3,2,320,150,24.53,918.77,36.41,54341,avocado
1,4,0,100,150,24.58,918.77,36.41,2506732,avocado
1,4,1,200,150,24.57,918.77,36.40,238639,avocado
1,4,2,320,150,24.58,918.77,36.40,55471,avocado
1,5,0,100,150,24.62,918.76,36.38,2607257,avocado
2,1,0,200,150,23.20,993.56,47.79,24033,avocado
3,1,0,320,150,22.66,922.82,49.07,21348,avocado
4,1,0,100,200,22.02,990.67,46.32,100137,avocado
1,5,1,200,150,24.60,918.76,36.32,245681,avocado
2,1,1,222,150,23.22,993.55,47.78,18941,avocado
1,5,2,320,150,24.61,918.75,36.39,56537,avocado
3,1,1,100,150,22.71,922.81,49.06,472979,avocado
4,1,1,150,180,22.05,990.67,46.30,38186,avocado
1,6,0,100,150,24.65,918.76,36.44,2673629,avocado
2,1,2,244,150,23.25,993.56,47.78,16927,avocado
3,1,2,100,150,22.72,922.81,49.11,436116,avocado
4,1,2,200,160,22.09,990.67,46.35,17714,avocado
1,6,1,200,150,24.63,918.76,36.34,246925,avocado
1,6,2,320,150,24.64,918.77,36.37,56462,avocado
2,1,3,267,150,23.29,993.57,47.79,15534,avocado
3,1,3,100,150,22.73,922.81,49.14,411658,avocado
4,1,3,250,150,22.13,990.66,46.33,10674,avocado
1,7,0,100,150,24.67,918.77,36.36,2647705,avocado
2,1,4,289,150,23.33,993.57,47.81,15224,avocado
3,1,4,200,150,22.73,922.82,49.07,46410,avocado
4,1,4,300,150,22.18,990.67,46.28,9338,avocado
1,7,2,320,150,24.66,918.77,36.34,54724,avocado
2,1,5,311,150,23.36,993.59,47.75,16182,avocado
3,1,5,200,150,22.77,922.82,48.90,41411,avocado
4,1,5,325,140,22.22,990.67,46.21,10098,avocado
1,8,0,100,150,24.69,918.78,36.36,2506732,avocado
2,1,6,333,150,23.40,993.59,47.70,17937,avocado
1,8,1,200,150,24.67,918.77,36.31,227051,avocado
3,1,6,200,150,22.80,922.81,49.10,38953,avocado
4,1,6,350,140,22.26,990.68,46.28,11577,avocado
1,8,2,320,150,24.68,918.77,36.26,52697,avocado
2,1,7,356,150,23.44,993.59,47.66,19969,avocado
4,1,7,380,140,22.30,990.67,46.21,12903,avocado
3,1,7,320,150,22.83,922.80,49.08,18028,avocado
1,9,0,100,150,24.71,918.76,36.27,2323313,avocado
2,1,8,378,150,23.47,993.59,47.54,20806,avocado
1,9,1,200,150,24.69,918.76,36.34,213023,avocado
4,1,8,415,140,22.34,990.66,46.18,12849,avocado
3,1,8,320,150,22.88,922.79,49.06,21199,avocado
1,9,2,320,150,24.70,918.75,36.30,49922,avocado
2,1,9,400,150,23.50,993.57,47.42,20605,avocado
4,1,9,450,140,22.38,990.66,46.23,13331,avocado
3,1,9,320,150,22.92,922.77,49.02,22833,avocado
1,10,0,100,150,24.74,918.75,36.25,2159768,avocado
2,2,0,200,150,23.54,993.57,47.41,35252,avocado
1,10,1,200,150,24.72,918.74,36.24,199222,avocado
4,2,0,100,200,22.41,990.66,46.11,282016,avocado
3,2,0,320,150,22.96,922.76,48.98,25760,avocado
1,10,2,320,150,24.73,918.74,36.25,49402,avocado
2,2,1,222,150,23.55,993.56,47.41,19494,avocado
3,2,1,100,150,23.00,922.76,48.93,571588,avocado
4,2,1,150,180,22.42,990.66,46.02,60981,avocado
1,11,0,100,150,24.76,918.74,36.23,2114610,avocado
2,2,2,244,150,23.55,993.56,47.38,15706,avocado
3,2,2,100,150,23.00,922.76,48.81,500366,avocado
4,2,2,200,160,22.43,990.66,45.98,22307,avocado
1,11,2,320,150,24.75,918.75,36.19,50874,avocado
2,2,3,267,150,23.56,993.56,47.25,14599,avocado
1,12,0,100,150,24.79,918.76,36.20,2243155,avocado
3,2,3,100,150,22.98,922.76,48.84,470372,avocado
4,2,3,250,150,22.45,990.65,46.02,13585,avocado
2,2,4,289,150,23.58,993.57,47.21,15787,avocado
1,12,1,200,150,24.77,918.75,36.21,211570,avocado
4,2,4,300,150,22.46,990.65,45.90,12787,avocado
1,12,2,320,150,24.78,918.74,36.20,52893,avocado
2,2,5,311,150,23.59,993.57,47.18,18659,avocado
1,13,0,100,150,24.81,918.74,36.14,2353347,avocado
4,2,5,325,140,22.49,990.65,45.89,14925,avocado
3,2,5,200,150,22.98,922.76,48.88,43791,avocado
1,13,1,200,150,24.79,918.74,36.11,216399,avocado
2,2,6,333,150,23.61,993.57,47.19,21455,avocado
4,2,6,350,140,22.51,990.66,45.85,18166,avocado
3,2,6,200,150,23.00,922.77,48.80,40777,avocado
1,13,2,320,150,24.80,918.75,36.06,52213,avocado
2,2,7,356,150,23.64,993.59,47.24,22735,avocado
1,14,0,100,150,24.84,918.76,36.27,2284440,avocado
