sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,320,150,23.12,999.37,44.05,19231,eucalyptus
1,1,0,320,150,23.25,999.35,44.08,6440,eucalyptus
1,2,0,320,150,23.59,999.33,44.13,7304,eucalyptus
1,3,0,320,150,24.02,999.32,44.17,8024,eucalyptus
1,4,0,320,150,24.46,999.33,44.18,8635,eucalyptus
1,5,0,320,150,24.87,999.34,44.15,9091,eucalyptus
1,6,0,320,150,25.24,999.34,44.12,9547,eucalyptus
1,7,0,320,150,25.55,999.34,44.02,9919,eucalyptus
1,8,0,320,150,25.82,999.35,43.93,10273,eucalyptus
1,9,0,320,150,26.05,999.35,43.80,10589,eucalyptus
1,10,0,320,150,26.24,999.35,43.68,10870,eucalyptus
1,11,0,320,150,26.41,999.36,43.52,11201,eucalyptus
1,12,0,320,150,26.55,999.36,43.36,11478,eucalyptus
1,13,0,320,150,26.66,999.37,43.20,11976,eucalyptus
1,14,0,320,150,26.76,999.38,43.05,12216,eucalyptus
1,15,0,320,150,26.84,999.38,42.89,12393,eucalyptus
1,16,0,320,150,26.92,999.37,42.70,12703,eucalyptus
1,17,0,320,150,26.98,999.37,42.54,12919,eucalyptus
1,18,0,320,150,27.03,999.37,42.39,13134,eucalyptus
1,19,0,320,150,27.08,999.36,42.20,13322,eucalyptus
1,20,0,320,150,27.12,999.36,42.04,13508,eucalyptus
1,21,0,320,150,27.15,999.36,41.87,13769,eucalyptus
1,22,0,320,150,27.18,999.37,41.72,13986,eucalyptus
1,23,0,320,150,27.21,999.37,41.56,14191,eucalyptus
1,24,0,320,150,27.24,999.38,41.40,14392,eucalyptus
1,25,0,320,150,27.26,999.37,41.24,14529,eucalyptus
1,26,0,320,150,27.29,999.38,41.09,14679,eucalyptus
1,27,0,320,150,27.31,999.38,40.95,14853,eucalyptus
1,28,0,320,150,27.33,999.39,40.80,15094,eucalyptus
1,29,0,320,150,27.35,999.39,40.66,15245,eucalyptus
1,30,0,320,150,27.36,999.39,40.52,15411,eucalyptus
1,31,0,320,150,27.38,999.39,40.39,15579,eucalyptus
1,32,0,320,150,27.39,999.40,40.27,15717,eucalyptus
1,33,0,320,150,27.41,999.40,40.12,15940,eucalyptus
1,34,0,320,150,27.42,999.40,40.00,16036,eucalyptus
1,35,0,320,150,27.44,999.41,39.88,16194,eucalyptus
1,36,0,320,150,27.45,999.40,39.76,16343,eucalyptus
1,37,0,320,150,27.46,999.41,39.64,16559,eucalyptus
1,38,0,320,150,27.47,999.41,39.51,16675,eucalyptus
1,39,0,320,150,27.48,999.42,39.40,16780,eucalyptus
1,40,0,320,150,27.49,999.42,39.28,16967,eucalyptus
1,41,0,320,150,27.51,999.43,39.19,17062,eucalyptus
1,42,0,320,150,27.52,999.41,39.08,17214,eucalyptus
1,43,0,320,150,27.52,999.42,38.97,17368,eucalyptus
