sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,320,150,23.46,998.40,48.57,12927,lavender
1,1,0,320,150,23.59,998.39,48.59,5685,lavender
1,2,0,320,150,23.93,998.39,48.63,6591,lavender
1,3,0,320,150,24.36,998.38,48.65,8091,lavender
1,4,0,320,150,24.80,998.38,48.64,9721,lavender
1,5,0,320,150,25.21,998.38,48.61,11307,lavender
1,6,0,320,150,25.57,998.39,48.54,13077,lavender
1,7,0,320,150,25.89,998.40,48.43,14639,lavender
1,8,0,320,150,26.16,998.40,48.29,16219,lavender
1,9,0,320,150,26.39,998.40,48.16,17582,lavender
1,10,0,320,150,26.58,998.40,47.99,18974,lavender
1,11,0,320,150,26.74,998.40,47.81,20253,lavender
1,12,0,320,150,26.88,998.41,47.63,21520,lavender
1,13,0,320,150,26.99,998.41,47.43,22687,lavender
1,14,0,320,150,27.09,998.42,47.24,24265,lavender
1,15,0,320,150,27.18,998.42,47.04,25529,lavender
1,16,0,320,150,27.25,998.43,46.86,26545,lavender
1,17,0,320,150,27.31,998.43,46.66,27557,lavender
1,18,0,320,150,27.36,998.42,46.44,28648,lavender
1,19,0,320,150,27.41,998.43,46.26,29643,lavender
1,20,0,320,150,27.45,998.42,46.06,30622,lavender
1,21,0,320,150,27.49,998.43,45.87,31527,lavender
1,22,0,320,150,27.52,998.44,45.69,32587,lavender
1,23,0,320,150,27.55,998.45,45.48,33273,lavender
1,24,0,320,150,27.57,998.45,45.32,34344,lavender
1,25,0,320,150,27.60,998.45,45.13,35165,lavender
1,26,0,320,150,27.62,998.45,44.97,35814,lavender
1,27,0,320,150,27.64,998.46,44.78,36866,lavender
1,28,0,320,150,27.66,998.45,44.61,37714,lavender
1,29,0,320,150,27.68,998.45,44.45,38496,lavender
1,30,0,320,150,27.69,998.45,44.28,39168,lavender
1,31,0,320,150,27.71,998.45,44.13,39938,lavender
1,32,0,320,150,27.72,998.45,43.95,40583,lavender
1,33,0,320,150,27.74,998.45,43.82,41370,lavender
1,34,0,320,150,27.75,998.45,43.66,42022,lavender
1,35,0,320,150,27.77,998.45,43.52,42610,lavender
1,36,0,320,150,27.78,998.45,43.38,43302,lavender
1,37,0,320,150,27.79,998.45,43.24,44017,lavender
1,38,0,320,150,27.80,998.44,43.09,44568,lavender
1,39,0,320,150,27.81,998.44,42.98,45230,lavender
1,40,0,320,150,27.82,998.44,42.85,45665,lavender
1,41,0,320,150,27.84,998.45,42.70,46159,lavender
1,42,0,320,150,27.85,998.45,42.59,46613,lavender
1,43,0,320,150,27.86,998.44,42.48,48039,lavender
1,44,0,320,150,27.87,998.45,42.35,48614,lavender
1,45,0,320,150,27.88,998.44,42.23,48864,lavender
1,46,0,320,150,27.89,998.44,42.13,49516,lavender
1,47,0,320,150,27.90,998.45,42.02,49951,lavender
1,48,0,320,150,27.90,998.45,41.92,50483,lavender
1,49,0,320,150,27.91,998.45,41.82,50966,lavender
1,50,0,320,150,27.92,998.45,41.72,51426,lavender
1,51,0,320,150,27.93,998.45,41.62,51895,lavender
1,52,0,320,150,27.94,998.46,41.51,52470,lavender
1,53,0,320,150,27.95,998.46,41.43,52925,lavender
1,54,0,320,150,27.96,998.45,41.34,53289,lavender
1,55,0,320,150,27.96,998.45,41.24,53861,lavender
1,56,0,320,150,27.97,998.45,41.16,54100,lavender
1,57,0,320,150,27.98,998.45,41.06,54724,lavender
1,58,0,320,150,27.99,998.45,40.99,54900,lavender
1,59,0,320,150,28.00,998.45,40.88,55580,lavender
1,60,0,320,150,28.00,998.46,40.81,55871,lavender
1,61,0,320,150,28.01,998.46,40.75,55907,lavender
1,62,0,320,150,28.02,998.45,40.67,56165,lavender
1,63,0,320,150,28.03,998.46,40.58,56725,lavender
1,64,0,320,150,28.04,998.46,40.51,56650,lavender
1,65,0,320,150,28.04,998.47,40.44,56876,lavender
1,66,0,320,150,28.05,998.47,40.36,56990,lavender
1,67,0,320,150,28.06,998.47,40.31,57219,lavender
1,68,0,320,150,28.07,998.46,40.24,57143,lavender
1,69,0,320,150,28.07,998.47,40.18,57335,lavender
1,70,0,320,150,28.08,998.47,40.13,57181,lavender
1,71,0,320,150,28.09,998.47,40.06,57373,lavender
1,72,0,320,150,28.10,998.46,40.00,57412,lavender
1,73,0,320,150,28.10,998.44,39.95,57412,lavender
1,74,0,320,150,28.11,998.45,39.91,57489,lavender
1,75,0,320,150,28.11,998.44,39.85,57684,lavender
1,76,0,320,150,28.12,998.46,39.81,57528,lavender
1,77,0,320,150,28.13,998.45,39.74,57528,lavender
1,78,0,320,150,28.13,998.44,39.70,57219,lavender
1,79,0,320,150,28.14,998.43,39.64,57335,lavender
1,80,0,320,150,28.15,998.43,39.60,57373,lavender
1,81,0,320,150,28.15,998.42,39.56,57066,lavender
1,82,0,320,150,28.16,998.42,39.53,57219,lavender
1,83,0,320,150,28.17,998.43,39.48,57219,lavender
1,84,0,320,150,28.17,998.44,39.43,57335,lavender
1,85,0,320,150,28.18,998.43,39.41,57028,lavender
1,86,0,320,150,28.18,998.42,39.35,57373,lavender
1,87,0,320,150,28.19,998.41,39.30,57373,lavender
1,88,0,320,150,28.20,998.42,39.28,57105,lavender
1,89,0,320,150,28.20,998.42,39.24,57412,lavender
1,90,0,320,150,28.21,998.43,39.22,57451,lavender
1,91,0,320,150,28.22,998.43,39.17,57296,lavender
1,92,0,320,150,28.22,998.44,39.12,57489,lavender
