sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,150,27.74,919.62,26.67,2230330,air
2,0,0,200,150,27.46,994.39,36.57,226900,air
4,0,0,100,200,25.67,991.49,35.27,4278924,air
1,0,1,200,150,27.72,919.61,26.64,241509,air
2,0,1,222,150,27.30,994.39,36.53,132987,air
3,0,1,100,150,26.28,923.49,37.89,711605,air
4,0,1,150,180,25.64,991.48,35.26,957905,air
1,1,0,100,150,27.71,919.61,26.68,1625074,air
3,0,2,100,150,26.23,923.48,37.94,667754,air
4,0,2,200,160,25.61,991.47,35.29,278791,air
1,1,1,200,150,27.72,919.60,26.73,173736,air
3,0,3,100,150,26.18,923.48,37.88,648717,air
1,1,2,320,150,27.78,919.60,26.75,36803,air
1,2,0,100,150,27.86,919.59,26.76,1806793,air
3,0,4,200,150,26.13,923.46,37.94,86516,air
1,2,1,200,150,27.87,919.59,26.75,191402,air
3,0,5,200,150,26.10,923.45,37.98,83715,air
1,2,2,320,150,27.91,919.59,26.79,39678,air
1,3,0,100,150,27.97,919.58,26.70,2000000,air
3,0,6,200,150,26.08,923.44,38.01,79726,air
1,3,1,200,150,27.96,919.57,26.73,203619,air
1,3,2,320,150,27.98,919.56,26.72,41131,air
1,4,0,100,150,28.03,919.57,26.72,2126136,air
1,4,1,200,150,28.01,919.57,26.72,212228,air
1,4,2,320,150,28.01,919.57,26.68,42610,air
1,5,0,100,150,28.05,919.57,26.75,2199785,air
2,1,0,200,150,26.63,994.35,36.96,81013,air
3,1,0,320,150,26.04,923.44,38.10,16873,air
4,1,0,100,200,25.41,991.44,35.48,700650,air
1,5,1,200,150,28.02,919.57,26.69,219460,air
2,1,1,222,150,26.63,994.36,37.09,56313,air
1,5,2,320,150,28.02,919.57,26.64,43390,air
3,1,1,100,150,26.08,923.44,38.15,426045,air
4,1,1,150,180,25.43,991.46,35.52,214092,air
1,6,0,100,150,28.04,919.57,26.66,2290187,air
2,1,2,244,150,26.65,994.37,37.04,42483,air
3,1,2,100,150,26.09,923.46,38.09,403626,air
4,1,2,200,160,25.46,991.45,35.49,75964,air
1,6,1,200,150,28.01,919.57,26.60,225402,air
1,6,2,320,150,28.01,919.59,26.60,44383,air
2,1,3,267,150,26.66,994.37,37.03,33015,air
3,1,3,100,150,26.09,923.46,38.06,402674,air
4,1,3,250,150,25.50,991.46,35.45,38016,air
1,7,0,100,150,28.03,919.59,26.56,2367630,air
2,1,4,289,150,26.69,994.37,36.97,27862,air
3,1,4,200,150,26.09,923.45,38.06,52054,air
4,1,4,300,150,25.54,991.46,35.43,27345,air
1,7,2,320,150,28.00,919.59,26.51,45471,air
2,1,5,311,150,26.72,994.38,36.91,26964,air
3,1,5,200,150,26.11,923.45,38.01,50010,air
4,1,5,325,140,25.58,991.46,35.47,28861,air
1,8,0,100,150,28.03,919.58,26.55,2428699,air
2,1,6,333,150,26.74,994.37,36.85,28803,air
1,8,1,200,150,28.00,919.58,26.47,233897,air
3,1,6,200,150,26.13,923.45,37.99,50127,air
4,1,6,350,140,25.61,991.46,35.33,35369,air
1,8,2,320,150,28.00,919.58,26.48,45617,air
2,1,7,356,150,26.77,994.36,36.76,32686,air
4,1,7,380,140,25.64,991.46,35.28,41899,air
3,1,7,320,150,26.16,923.44,37.92,16636,air
1,9,0,100,150,28.03,919.57,26.49,2488457,air
2,1,8,378,150,26.80,994.35,36.69,35575,air
1,9,1,200,150,28.01,919.58,26.46,237974,air
4,1,8,415,140,25.68,991.46,35.23,42910,air
3,1,8,320,150,26.20,923.45,37.95,20746,air
1,9,2,320,150,28.01,919.58,26.44,46209,air
2,1,9,400,150,26.83,994.36,36.63,33015,air
4,1,9,450,140,25.70,991.46,35.28,48892,air
3,1,9,320,150,26.23,923.46,37.91,24335,air
1,10,0,100,150,28.04,919.57,26.43,2537008,air
1,10,1,200,150,28.01,919.57,26.41,245328,air
4,2,0,100,200,25.73,991.46,35.08,7636449,air
3,2,0,320,150,26.26,923.44,37.87,27772,air
1,10,2,320,150,28.01,919.57,26.43,47425,air
2,2,1,222,150,26.86,994.35,36.50,150323,air
