sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,320,150,24.07,998.98,38.91,28533,air
1,1,0,320,150,24.20,998.97,38.96,8607,air
1,2,0,320,150,24.54,998.97,39.02,11453,air
1,3,0,320,150,24.97,998.96,39.05,14740,air
1,4,0,320,150,25.41,998.98,39.07,17832,air
1,5,0,320,150,25.82,998.98,39.04,20847,air
1,6,0,320,150,26.18,998.99,39.01,24238,air
1,7,0,320,150,26.50,998.99,38.94,27275,air
1,8,0,320,150,26.77,999.00,38.86,30317,air
1,9,0,320,150,26.99,999.00,38.76,33455,air
1,10,0,320,150,27.19,999.00,38.67,36551,air
1,11,0,320,150,27.35,999.01,38.53,39312,air
1,12,0,320,150,27.49,999.01,38.40,42440,air
1,13,0,320,150,27.60,999.02,38.29,45422,air
1,14,0,320,150,27.70,999.03,38.13,48725,air
1,15,0,320,150,27.78,999.03,37.99,51990,air
1,16,0,320,150,27.85,999.04,37.84,54900,air
1,17,0,320,150,27.92,999.03,37.69,57219,air
1,18,0,320,150,27.97,999.02,37.56,60038,air
1,19,0,320,150,28.01,999.02,37.39,62684,air
1,20,0,320,150,28.05,999.02,37.26,65273,air
1,21,0,320,150,28.09,999.02,37.12,67707,air
1,22,0,320,150,28.12,999.02,36.97,70099,air
1,23,0,320,150,28.15,999.01,36.84,72480,air
1,24,0,320,150,28.17,999.02,36.70,74898,air
1,25,0,320,150,28.19,999.03,36.55,76647,air
1,26,0,320,150,28.22,999.04,36.41,78697,air
1,27,0,320,150,28.23,999.03,36.27,80859,air
1,28,0,320,150,28.25,999.03,36.16,82821,air
1,29,0,320,150,28.27,999.03,36.04,84461,air
1,30,0,320,150,28.28,999.03,35.92,86253,air
1,31,0,320,150,28.30,999.04,35.78,88489,air
1,32,0,320,150,28.31,999.03,35.68,90268,air
1,33,0,320,150,28.32,999.03,35.54,91822,air
1,34,0,320,150,28.34,999.03,35.45,95167,air
