sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,150,23.20,918.59,38.92,50453,rose
4,0,0,100,200,21.62,990.46,49.28,24990,rose
1,0,1,200,150,23.20,918.59,38.96,14689,rose
3,0,1,100,150,22.20,922.54,52.03,27486,rose
4,0,1,150,180,21.52,990.46,49.14,13482,rose
1,1,0,100,150,23.23,918.58,38.95,46360,rose
3,0,2,100,150,22.06,922.56,52.05,31880,rose
4,0,2,200,160,21.42,990.46,49.13,7929,rose
1,1,1,200,150,23.26,918.58,38.98,12160,rose
3,0,3,100,150,21.95,922.58,52.01,35814,rose
1,1,2,320,150,23.33,918.57,38.98,5685,rose
1,2,0,100,150,23.42,918.58,38.97,34651,rose
1,2,2,320,150,23.49,918.59,38.95,5685,rose
1,3,0,100,150,23.56,918.59,38.94,33534,rose
1,3,1,200,150,23.56,918.58,38.86,9487,rose
1,3,2,320,150,23.59,918.59,38.86,5685,rose
1,4,0,100,150,23.64,918.60,38.78,33693,rose
1,4,1,200,150,23.63,918.61,38.77,9462,rose
1,4,2,320,150,23.64,918.61,38.71,5685,rose
1,5,0,100,150,23.68,918.61,38.75,33299,rose
2,0,0,200,150,22.24,993.42,50.17,5685,rose
3,1,0,320,150,21.65,922.65,51.95,5685,rose
4,1,0,100,200,21.02,990.48,49.08,21433,rose
2,0,1,222,150,22.27,993.42,50.15,5685,rose
1,5,2,320,150,23.67,918.62,38.59,5685,rose
3,1,1,100,150,21.70,922.65,51.92,14257,rose
4,1,1,150,180,21.04,990.48,49.07,9496,rose
2,0,2,244,150,22.30,993.41,50.14,5685,rose
3,1,2,100,150,21.71,922.65,51.92,17670,rose
4,1,2,200,160,21.08,990.48,49.01,5685,rose
1,6,1,200,150,23.69,918.61,38.55,9462,rose
1,6,2,320,150,23.70,918.61,38.47,5685,rose
2,0,3,267,150,22.34,993.41,50.08,5685,rose
3,1,3,100,150,21.72,922.64,51.83,20428,rose
4,1,3,250,150,21.13,990.48,48.90,5685,rose
1,7,0,100,150,23.74,918.60,38.41,33988,rose
2,0,4,289,150,22.38,993.41,49.98,5685,rose
3,1,4,200,150,21.73,922.65,51.80,5685,rose
1,7,1,200,150,23.72,918.60,38.38,9521,rose
4,1,4,300,150,21.17,990.49,48.88,5685,rose
1,7,2,320,150,23.72,918.60,38.38,5685,rose
2,0,5,311,150,22.43,993.40,49.95,5685,rose
3,1,5,200,150,21.76,922.65,51.76,5685,rose
4,1,5,325,140,21.22,990.49,48.80,5685,rose
1,8,0,100,150,23.76,918.61,38.31,34015,rose
2,0,6,333,150,22.47,993.40,49.86,5685,rose
1,8,1,200,150,23.74,918.61,38.29,9496,rose
3,1,6,200,150,21.80,922.66,51.70,5685,rose
4,1,6,350,140,21.26,990.50,48.73,5685,rose
1,8,2,320,150,23.75,918.61,38.21,5685,rose
2,0,7,356,150,22.51,993.40,49.82,5685,rose
4,1,7,380,140,21.30,990.50,48.65,5685,rose
3,1,7,320,150,21.83,922.67,51.60,5685,rose
1,9,0,100,150,23.79,918.62,38.30,33961,rose
2,0,8,378,150,22.54,993.41,49.71,5685,rose
1,9,1,200,150,23.77,918.62,38.18,9496,rose
4,1,8,415,140,21.34,990.51,48.58,5685,rose
3,1,8,320,150,21.88,922.68,51.55,5685,rose
1,9,2,320,150,23.78,918.62,38.17,5685,rose
2,0,9,400,150,22.58,993.40,49.55,5685,rose
4,1,9,450,140,21.37,990.52,48.46,5685,rose
3,1,9,320,150,21.93,922.67,51.58,5685,rose
1,10,0,100,150,23.81,918.63,38.14,33587,rose
2,1,0,200,150,22.61,993.41,49.55,5685,rose
1,10,1,200,150,23.80,918.63,38.05,9437,rose
4,2,0,100,200,21.41,990.52,48.47,16331,rose
3,2,0,320,150,21.97,922.68,51.37,5685,rose
1,10,2,320,150,23.80,918.63,38.08,5685,rose
2,1,1,222,150,22.62,993.41,49.47,5685,rose
3,2,1,100,150,22.01,922.68,51.31,13474,rose
4,2,1,150,180,21.42,990.52,48.37,6943,rose
1,11,0,100,150,23.84,918.64,38.08,33961,rose
2,1,2,244,150,22.63,993.42,49.43,5685,rose
1,11,1,200,150,23.82,918.63,38.03,9428,rose
3,2,2,100,150,22.01,922.69,51.24,16585,rose
4,2,2,200,160,21.43,990.52,48.31,5685,rose
1,11,2,320,150,23.83,918.62,38.08,5685,rose
2,1,3,267,150,22.64,993.42,49.28,5685,rose
1,12,0,100,150,23.87,918.62,38.03,33143,rose
4,2,3,250,150,21.44,990.52,48.24,5685,rose
2,1,4,289,150,22.66,993.41,49.31,5685,rose
4,2,4,300,150,21.46,990.52,48.15,5685,rose
1,12,2,320,150,23.86,918.62,37.93,5685,rose
2,1,5,311,150,22.68,993.42,49.26,5685,rose
1,13,0,100,150,23.90,918.64,37.91,32939,rose
4,2,5,325,140,21.48,990.52,48.13,5685,rose
3,2,5,200,150,21.99,922.69,51.10,5685,rose
1,13,1,200,150,23.88,918.64,37.92,9305,rose
2,1,6,333,150,22.70,993.42,49.20,5685,rose
4,2,6,350,140,21.51,990.52,48.07,5685,rose
3,2,6,200,150,22.02,922.69,51.06,5685,rose
1,13,2,320,150,23.88,918.64,37.81,5685,rose
2,1,7,356,150,22.72,993.42,49.14,5685,rose
1,14,0,100,150,23.92,918.65,37.84,32939,rose
4,2,7,380,140,21.53,990.52,48.02,5685,rose
3,2,7,320,150,22.04,922.69,51.00,5685,rose
1,14,1,200,150,23.90,918.65,37.80,9370,rose
2,1,8,378,150,22.75,993.42,49.07,5685,rose
4,2,8,415,140,21.56,990.53,47.97,5685,rose
3,2,8,320,150,22.08,922.69,50.94,5685,rose
1,14,2,320,150,23.91,918.64,37.78,5685,rose
2,1,9,400,150,22.77,993.43,49.08,5685,rose
1,15,0,100,150,23.95,918.64,37.81,40545,rose
4,2,9,450,140,21.58,990.52,47.95,5685,rose
3,2,9,320,150,22.11,922.69,50.91,5685,rose
1,15,1,200,150,23.93,918.64,37.85,12415,rose
2,2,0,200,150,22.80,993.42,49.15,5685,rose
4,3,0,100,200,21.61,990.53,48.04,23752,rose
3,3,0,320,150,22.15,922.68,50.97,5685,rose
1,15,2,320,150,23.94,918.65,37.92,7447,rose
2,2,1,222,150,22.80,993.41,49.30,5685,rose
1,16,0,100,150,23.98,918.65,38.07,87852,rose
4,3,1,150,180,21.61,990.52,48.13,10948,rose
3,3,1,100,150,22.19,922.68,51.03,40013,rose
1,16,1,200,150,23.97,918.64,38.07,21651,rose
2,2,2,244,150,22.81,993.43,49.41,5685,rose
1,16,2,320,150,23.98,918.65,38.14,11666,rose
4,3,2,200,160,21.62,990.55,48.26,7225,rose
1,0,0,100,150,23.87,918.62,38.54,216125,rose
2,0,0,200,150,23.37,993.47,49.86,15636,rose
4,0,0,100,200,21.98,990.48,48.58,50935,rose
1,0,1,200,150,23.83,918.62,38.73,43971,rose
3,0,1,100,150,22.09,922.69,51.66,80025,rose
4,0,1,150,180,21.91,990.49,48.69,27521,rose
1,1,0,100,150,23.78,918.61,39.04,208724,rose
3,0,2,100,150,22.08,922.68,51.85,96349,rose
4,0,2,200,160,21.83,990.49,48.86,16807,rose
1,1,1,200,150,23.78,918.61,39.22,40583,rose
3,0,3,100,150,22.06,922.68,52.01,103413,rose
1,1,2,320,150,23.83,918.60,39.29,15234,rose
1,2,0,100,150,23.90,918.61,39.33,262094,rose
1,2,1,200,150,23.92,918.63,39.38,41451,rose
3,0,5,200,150,22.04,922.70,52.14,20990,rose
1,2,2,320,150,23.95,918.63,39.30,14060,rose
3,0,6,200,150,22.04,922.70,52.15,20585,rose
1,3,1,200,150,24.01,918.63,39.33,33613,rose
1,3,2,320,150,24.03,918.63,39.25,8813,rose
1,4,0,100,150,24.08,918.65,39.25,102114,rose
1,4,1,200,150,24.06,918.64,39.18,19584,rose
1,4,2,320,150,24.08,918.64,39.12,5796,rose
1,5,0,100,150,24.11,918.64,39.11,58878,rose
2,1,0,200,150,22.70,993.41,50.81,5685,rose
3,1,0,320,150,22.05,922.70,52.19,5685,rose
4,1,0,100,200,21.48,990.50,49.21,28250,rose
