sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,150,26.95,919.54,31.39,1000000,rose
2,0,0,200,150,26.25,994.35,40.46,44291,rose
4,0,0,100,200,25.38,991.47,37.82,749086,rose
1,0,1,200,150,27.05,919.55,31.34,94222,rose
2,0,1,222,150,26.31,994.35,40.38,24404,rose
3,0,1,100,150,26.04,923.43,40.29,114979,rose
1,0,0,100,150,26.46,919.52,28.86,525398,rose
2,0,0,200,150,25.70,994.36,38.34,37581,rose
4,0,0,100,200,24.55,991.45,37.02,505180,rose
1,0,1,200,150,26.56,919.53,28.88,67600,rose
2,0,1,222,150,25.76,994.36,38.49,23818,rose
3,0,1,100,150,25.30,923.47,39.56,97841,rose
4,0,1,150,180,24.63,991.47,37.12,143377,rose
1,1,0,100,150,26.79,919.56,28.88,253340,rose
3,0,2,100,150,25.35,923.47,39.52,103476,rose
4,0,2,200,160,24.71,991.48,37.06,44522,rose
1,1,1,200,150,26.90,919.56,28.79,38706,rose
3,0,3,100,150,25.40,923.47,39.48,110226,rose
1,1,2,320,150,27.04,919.57,28.76,8635,rose
1,2,0,100,150,27.19,919.57,28.63,193353,rose
3,0,4,200,150,25.44,923.46,39.43,22077,rose
1,2,1,200,150,27.27,919.58,28.58,35724,rose
3,0,5,200,150,25.49,923.47,39.34,22496,rose
1,2,2,320,150,27.36,919.59,28.48,11307,rose
1,3,0,100,150,27.46,919.59,28.41,288939,rose
3,0,6,200,150,25.53,923.47,39.26,23491,rose
1,3,1,200,150,27.49,919.59,28.33,49603,rose
1,3,2,320,150,27.53,919.60,28.17,14499,rose
1,4,0,100,150,27.60,919.60,28.10,415922,rose
1,4,1,200,150,27.60,919.60,27.99,64289,rose
1,4,2,320,150,27.63,919.60,27.90,17311,rose
1,5,0,100,150,27.68,919.61,27.84,547740,rose
2,1,0,200,150,26.14,994.37,37.84,14915,rose
3,1,0,320,150,25.64,923.48,39.10,5685,rose
1,5,1,200,150,27.67,919.61,27.74,78264,rose
2,1,1,222,150,26.19,994.37,37.76,11956,rose
1,5,2,320,150,27.69,919.61,27.66,20101,rose
3,1,1,100,150,25.71,923.49,38.98,54654,rose
