sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,20.98,1016.06,53.27,140197,background
2,0,1,100,150,20.23,1092.74,64.80,95274,background
4,0,1,100,150,19.03,1089.71,63.36,74766,background
6,0,1,100,150,19.76,1095.27,64.09,71568,background
5,0,1,100,150,19.41,1097.80,62.59,129850,background
8,0,1,100,150,20.15,997.30,50.63,96458,background
2,0,2,100,150,20.28,1092.74,64.76,94222,background
1,0,2,100,150,21.03,1016.07,53.25,148880,background
3,0,2,100,150,19.78,1020.39,66.25,105133,background
6,0,2,100,150,19.82,1095.28,64.10,75494,background
7,0,2,100,150,20.61,1050.29,58.41,85135,background
5,0,2,100,150,19.47,1097.81,62.50,138491,background
8,0,2,100,150,20.20,997.31,50.57,103476,background
2,0,3,100,150,20.33,1092.75,64.69,93910,background
3,0,3,100,150,19.84,1020.39,66.13,107586,background
6,0,3,100,150,19.88,1095.28,64.11,77764,background
7,0,3,100,150,20.66,1050.31,58.51,86516,background
5,0,3,100,150,19.51,1097.82,62.44,144225,background
2,0,4,200,150,20.38,1092.76,64.65,21651,background
7,0,4,200,150,20.71,1050.31,58.45,19692,background
1,0,4,200,150,21.12,1016.08,53.10,30447,background
4,0,4,200,150,19.19,1089.74,63.37,20234,background
6,0,4,200,150,19.92,1095.28,63.92,17877,background
5,0,4,200,150,19.56,1097.82,62.46,30777,background
8,0,4,200,150,20.30,997.32,50.41,23779,background
2,0,5,200,150,20.42,1092.77,64.63,21073,background
4,0,5,200,150,19.24,1089.74,63.16,19566,background
6,0,5,200,150,19.97,1095.29,63.95,18074,background
7,0,5,200,150,20.77,1050.31,58.41,19784,background
1,0,5,200,150,21.16,1016.09,53.00,30799,background
5,0,5,200,150,19.60,1097.83,62.32,30933,background
8,0,5,200,150,20.34,997.33,50.43,23832,background
2,0,6,200,150,20.46,1092.78,64.47,20786,background
7,0,6,200,150,20.81,1050.33,58.30,19988,background
4,0,6,200,150,19.29,1089.74,62.97,19530,background
6,0,6,200,150,20.02,1095.29,63.85,18291,background
5,0,6,200,150,19.64,1097.83,62.20,30843,background
8,0,6,200,150,20.38,997.33,50.35,24197,background
7,1,0,320,150,20.96,1050.34,58.04,5685,background
6,1,0,320,150,20.15,1095.28,63.53,5685,background
2,1,0,320,150,20.58,1092.80,64.16,5685,background
4,1,0,320,150,19.41,1089.75,62.78,5685,background
3,1,0,320,150,20.09,1020.40,65.63,5685,background
1,1,0,320,150,21.30,1016.08,52.66,5685,background
5,1,0,320,150,19.77,1097.84,61.94,5685,background
8,1,0,320,150,20.52,997.34,50.06,5685,background
7,1,1,100,150,21.04,1050.34,57.96,27362,background
6,1,1,100,150,20.23,1095.29,63.46,20888,background
2,1,1,100,150,20.65,1092.79,64.10,13117,background
4,1,1,100,150,19.49,1089.75,62.26,14305,background
3,1,1,100,150,20.16,1020.40,65.62,22122,background
1,1,1,100,150,21.36,1016.09,52.63,40545,background
7,1,2,100,150,21.09,1050.35,57.88,31504,background
5,1,1,100,150,19.84,1097.84,61.86,31952,background
8,1,1,100,150,20.59,997.33,50.04,26463,background
2,1,2,100,150,20.69,1092.79,63.97,13585,background
6,1,2,100,150,20.27,1095.29,63.36,24787,background
4,1,2,100,150,19.53,1089.75,62.58,14689,background
3,1,2,100,150,20.20,1020.40,65.36,24816,background
1,1,2,100,150,21.39,1016.10,52.59,45471,background
7,1,3,100,150,21.12,1050.34,57.76,35874,background
6,1,3,100,150,20.30,1095.29,63.17,27881,background
5,1,2,100,150,19.88,1097.85,61.62,38496,background
8,1,2,100,150,20.64,997.33,49.97,32463,background
4,1,3,100,150,19.55,1089.74,62.55,15579,background
3,1,3,100,150,20.22,1020.40,65.40,27222,background
1,1,3,100,150,21.41,1016.11,52.42,51272,background
7,1,4,200,150,21.15,1050.35,57.65,9321,background
2,1,4,200,150,20.74,1092.80,63.87,5685,background
5,1,3,100,150,19.91,1097.85,61.63,43701,background
4,1,4,200,150,19.58,1089.74,62.75,6409,background
3,1,4,200,150,20.24,1020.40,65.32,8140,background
1,1,4,200,150,21.43,1016.11,52.44,12872,background
7,1,5,200,150,21.19,1050.35,57.57,9919,background
6,1,5,200,150,20.37,1095.30,63.03,7689,background
2,1,5,200,150,20.78,1092.79,63.69,5869,background
4,1,5,200,150,19.62,1089.74,62.26,6535,background
5,1,4,200,150,19.93,1097.87,61.49,10771,background
8,1,4,200,150,20.70,997.33,49.77,9022,background
3,1,5,200,150,20.29,1020.42,65.19,8579,background
1,1,5,200,150,21.47,1016.09,52.33,13841,background
7,1,6,200,150,21.24,1050.33,57.44,10464,background
6,1,6,200,150,20.41,1095.31,62.92,8190,background
2,1,6,200,150,20.82,1092.78,63.58,6015,background
4,1,6,200,150,19.66,1089.74,62.21,6690,background
5,1,5,200,150,19.98,1097.86,61.44,12017,background
8,1,5,200,150,20.74,997.33,49.63,9819,background
3,1,6,200,150,20.33,1020.42,64.97,9022,background
1,1,6,200,150,21.51,1016.10,52.18,14740,background
7,1,7,320,150,21.29,1050.32,57.35,5685,background
6,1,7,320,150,20.46,1095.31,62.86,5685,background
2,1,7,320,150,20.86,1092.78,63.40,5685,background
4,1,7,320,150,19.70,1089.74,62.06,5685,background
8,1,6,200,150,20.79,997.33,49.54,10579,background
5,1,6,200,150,20.02,1097.87,61.32,12872,background
3,1,7,320,150,20.37,1020.43,65.01,5685,background
1,1,7,320,150,21.54,1016.09,52.07,5685,background
7,1,8,320,150,21.35,1050.32,57.19,5685,background
6,1,8,320,150,20.51,1095.32,62.72,5685,background
2,1,8,320,150,20.91,1092.78,63.10,5685,background
4,1,8,320,150,19.75,1089.75,62.04,5685,background
3,1,8,320,150,20.42,1020.43,64.91,5685,background
5,1,7,320,150,20.07,1097.87,61.20,5685,background
8,1,7,320,150,20.83,997.34,49.44,5685,background
1,1,8,320,150,21.59,1016.09,52.01,5685,background
7,1,9,320,150,21.41,1050.32,57.15,5685,background
6,1,9,320,150,20.57,1095.33,62.64,5685,background
2,1,9,320,150,20.96,1092.78,63.26,5685,background
4,1,9,320,150,19.81,1089.75,61.91,5685,background
3,1,9,320,150,20.47,1020.43,64.70,5685,background
8,1,8,320,150,20.89,997.34,49.32,5685,background
5,1,8,320,150,20.12,1097.89,61.11,5685,background
1,1,9,320,150,21.63,1016.09,51.95,6657,background
7,2,0,320,150,21.46,1050.33,56.87,6448,background
6,2,0,320,150,20.62,1095.33,62.49,5685,background
2,2,0,320,150,21.00,1092.79,63.16,5685,background
4,2,0,320,150,19.86,1089.76,61.80,5685,background
3,2,0,320,150,20.52,1020.43,64.51,6925,background
8,1,9,320,150,20.94,997.33,49.15,5685,background
5,1,9,320,150,20.18,1097.90,60.96,5685,background
1,2,0,320,150,21.67,1016.10,51.92,7722,background
7,2,1,100,150,21.51,1050.33,56.89,86428,background
6,2,1,100,150,20.67,1095.33,62.36,76032,background
