sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,24.77,1015.91,51.02,588337,basil
2,0,1,100,150,24.04,1092.57,62.25,338512,basil
3,0,1,100,150,23.51,1020.04,63.83,408212,basil
4,0,1,100,150,22.84,1089.54,60.59,305763,basil
6,0,1,100,150,23.33,1095.17,62.44,267642,basil
8,0,1,100,150,23.55,996.99,49.67,338177,basil
1,0,2,100,150,24.82,1015.91,50.88,603952,basil
3,0,2,100,150,23.56,1020.04,63.73,417703,basil
4,0,2,100,150,22.90,1089.54,60.43,301442,basil
7,0,2,100,150,23.98,1050.00,57.39,343279,basil
5,0,2,100,150,23.03,1097.73,60.61,541656,basil
2,0,3,100,150,24.14,1092.58,61.93,329684,basil
1,0,3,100,150,24.86,1015.90,50.80,614277,basil
4,0,3,100,150,22.95,1089.54,60.34,304400,basil
3,0,3,100,150,23.61,1020.04,63.59,416684,basil
6,0,3,100,150,23.44,1095.18,62.24,279019,basil
7,0,3,100,150,24.03,1050.00,57.33,349250,basil
5,0,3,100,150,23.08,1097.75,60.47,553514,basil
8,0,3,100,150,23.64,996.99,49.53,356919,basil
2,0,4,200,150,24.18,1092.58,61.74,56687,basil
7,0,4,200,150,24.08,1050.00,57.18,56537,basil
1,0,4,200,150,24.90,1015.90,50.66,86604,basil
3,0,4,200,150,23.65,1020.04,63.47,64679,basil
4,0,4,200,150,22.99,1089.53,60.24,57412,basil
6,0,4,200,150,23.49,1095.19,62.08,46818,basil
5,0,4,200,150,23.12,1097.75,60.35,85562,basil
8,0,4,200,150,23.68,996.99,49.41,59493,basil
2,0,5,200,150,24.22,1092.58,61.59,55006,basil
4,0,5,200,150,23.04,1089.53,60.09,55399,basil
6,0,5,200,150,23.54,1095.20,62.01,46767,basil
7,0,5,200,150,24.13,1050.01,57.14,57412,basil
1,0,5,200,150,24.94,1015.90,50.50,86868,basil
5,0,5,200,150,23.16,1097.75,60.22,85050,basil
8,0,5,200,150,23.73,996.99,49.35,59911,basil
2,0,6,200,150,24.26,1092.58,61.52,54100,basil
7,0,6,200,150,24.18,1050.02,56.97,57684,basil
4,0,6,200,150,23.08,1089.52,59.96,53997,basil
3,0,6,200,150,23.73,1020.05,63.34,63335,basil
1,0,6,200,150,24.97,1015.90,50.46,87671,basil
5,0,6,200,150,23.20,1097.75,60.08,84965,basil
8,0,6,200,150,23.77,996.99,49.30,60635,basil
7,1,0,320,150,24.31,1050.02,56.50,10782,basil
6,1,0,320,150,23.70,1095.21,61.52,7813,basil
2,1,0,320,150,24.38,1092.59,60.95,9564,basil
4,1,0,320,150,23.20,1089.51,59.49,11577,basil
3,1,0,320,150,23.84,1020.06,62.88,10870,basil
1,1,0,320,150,25.07,1015.89,49.90,14946,basil
5,1,0,320,150,23.32,1097.75,59.58,11441,basil
8,1,0,320,150,23.90,997.00,49.00,9512,basil
6,1,1,100,150,23.77,1095.21,61.43,135845,basil
2,1,1,100,150,24.45,1092.59,60.82,120755,basil
4,1,1,100,150,23.27,1089.52,59.33,136279,basil
3,1,1,100,150,23.91,1020.05,62.63,186657,basil
1,1,1,100,150,25.14,1015.91,49.83,341561,basil
5,1,1,100,150,23.39,1097.76,59.54,268696,basil
7,1,2,100,150,24.43,1050.02,56.34,216811,basil
8,1,1,100,150,23.97,997.00,48.77,203376,basil
6,1,2,100,150,23.81,1095.21,61.27,141125,basil
2,1,2,100,150,24.48,1092.58,60.91,115056,basil
4,1,2,100,150,23.31,1089.52,59.15,124181,basil
3,1,2,100,150,23.95,1020.04,62.56,183250,basil
1,1,2,100,150,25.16,1015.91,49.76,344665,basil
7,1,3,100,150,24.46,1050.02,56.19,225700,basil
5,1,2,100,150,23.43,1097.76,59.38,285316,basil
6,1,3,100,150,23.84,1095.22,61.13,147465,basil
2,1,3,100,150,24.50,1092.58,60.53,113375,basil
8,1,2,100,150,24.01,997.00,48.73,214900,basil
4,1,3,100,150,23.33,1089.52,59.01,121097,basil
3,1,3,100,150,23.97,1020.04,62.40,190123,basil
1,1,3,100,150,25.18,1015.91,49.59,352132,basil
7,1,4,200,150,24.48,1050.03,56.11,38776,basil
6,1,4,200,150,23.86,1095.22,61.02,26829,basil
2,1,4,200,150,24.51,1092.57,60.40,25271,basil
5,1,3,100,150,23.45,1097.76,59.25,299328,basil
4,1,4,200,150,23.35,1089.53,58.92,28861,basil
8,1,3,100,150,24.03,997.00,48.65,228418,basil
3,1,4,200,150,23.99,1020.04,62.26,34595,basil
1,1,4,200,150,25.19,1015.90,49.72,57684,basil
6,1,5,200,150,23.90,1095.22,60.85,27808,basil
2,1,5,200,150,24.55,1092.57,60.25,25064,basil
4,1,5,200,150,23.39,1089.53,58.92,27736,basil
5,1,4,200,150,23.47,1097.76,59.14,48586,basil
8,1,4,200,150,24.06,997.00,48.55,38496,basil
3,1,5,200,150,24.03,1020.03,62.11,34567,basil
1,1,5,200,150,25.23,1015.89,49.42,59701,basil
7,1,6,200,150,24.57,1050.02,56.00,41012,basil
6,1,6,200,150,23.95,1095.23,60.79,28250,basil
2,1,6,200,150,24.60,1092.57,60.17,25108,basil
4,1,6,200,150,23.43,1089.53,58.66,27432,basil
5,1,5,200,150,23.51,1097.77,58.97,50423,basil
8,1,5,200,150,24.10,996.99,48.36,40506,basil
1,1,6,200,150,25.26,1015.90,49.23,61376,basil
7,1,7,320,150,24.62,1050.02,55.77,13474,basil
6,1,7,320,150,23.99,1095.22,60.67,9521,basil
2,1,7,320,150,24.63,1092.58,59.99,10273,basil
4,1,7,320,150,23.47,1089.53,58.53,12488,basil
5,1,6,200,150,23.55,1097.76,58.92,51927,basil
8,1,6,200,150,24.14,996.99,48.37,42314,basil
3,1,7,320,150,24.11,1020.03,61.87,13231,basil
1,1,7,320,150,25.30,1015.90,49.15,17611,basil
7,1,8,320,150,24.67,1050.02,55.66,17396,basil
6,1,8,320,150,24.04,1095.22,60.51,12621,basil
2,1,8,320,150,24.68,1092.58,59.99,12749,basil
4,1,8,320,150,23.52,1089.53,58.47,14999,basil
5,1,7,320,150,23.59,1097.75,58.79,13922,basil
8,1,7,320,150,24.18,997.00,48.21,12091,basil
3,1,8,320,150,24.16,1020.03,61.72,17021,basil
1,1,8,320,150,25.34,1015.90,49.03,21348,basil
7,1,9,320,150,24.73,1050.03,55.49,20827,basil
6,1,9,320,150,24.09,1095.22,60.38,15422,basil
2,1,9,320,150,24.73,1092.59,59.62,14863,basil
4,1,9,320,150,23.57,1089.54,58.29,17368,basil
3,1,9,320,150,24.20,1020.03,61.61,20585,basil
5,1,8,320,150,23.64,1097.75,58.61,17396,basil
8,1,8,320,150,24.23,997.01,48.13,15344,basil
1,1,9,320,150,25.38,1015.90,48.90,25347,basil
7,2,0,320,150,24.78,1050.03,55.41,25301,basil
6,2,0,320,150,24.14,1095.22,60.25,18807,basil
2,2,0,320,150,24.77,1092.59,59.60,17699,basil
4,2,0,320,150,23.61,1089.53,58.15,20746,basil
3,2,0,320,150,24.25,1020.03,61.19,25713,basil
5,1,9,320,150,23.70,1097.75,58.51,20827,basil
8,1,9,320,150,24.29,997.01,48.04,18497,basil
1,2,0,320,150,25.42,1015.90,48.71,29602,basil
7,2,1,100,150,24.82,1050.03,55.28,645649,basil
6,2,1,100,150,24.18,1095.23,59.93,446090,basil
2,2,1,100,150,24.81,1092.59,59.48,284603,basil
