sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,22.67,1024.82,54.63,312195,background
2,0,1,100,150,21.92,1101.79,66.09,150191,background
4,0,1,100,150,20.75,1098.77,64.55,121876,background
7,0,1,100,150,22.01,1059.16,59.67,105458,background
5,0,1,100,150,21.02,1106.83,63.47,187271,background
8,0,1,100,150,21.61,1006.05,51.74,140775,background
2,0,2,100,150,21.98,1101.80,65.90,149533,background
4,0,2,100,150,20.81,1098.76,64.37,124091,background
7,0,2,100,150,22.07,1059.17,59.61,110583,background
5,0,2,100,150,21.07,1106.85,63.40,205953,background
8,0,2,100,150,21.66,1006.05,51.67,148621,background
1,0,3,100,150,22.77,1024.83,54.37,339523,background
4,0,3,100,150,20.86,1098.76,64.25,127142,background
3,0,3,100,150,21.55,1029.35,67.65,151256,background
6,0,3,100,150,21.51,1104.32,64.87,101326,background
7,0,3,100,150,22.13,1059.15,59.36,115056,background
5,0,3,100,150,21.12,1106.86,63.16,209621,background
8,0,3,100,150,21.71,1006.05,51.38,151524,background
2,0,4,200,150,22.08,1101.80,65.57,31597,background
7,0,4,200,150,22.18,1059.16,59.30,24101,background
1,0,4,200,150,22.81,1024.83,54.19,56725,background
3,0,4,200,150,21.59,1029.34,67.44,30666,background
5,0,4,200,150,21.17,1106.86,62.97,39096,background
8,0,4,200,150,21.76,1006.06,51.35,30534,background
2,0,5,200,150,22.12,1101.81,65.44,30189,background
7,0,5,200,150,22.23,1059.16,59.17,24418,background
4,0,5,200,150,20.96,1098.76,63.92,28476,background
1,0,5,200,150,22.85,1024.84,53.95,57919,background
3,0,5,200,150,21.64,1029.33,67.30,30425,background
5,0,5,200,150,21.22,1106.87,62.85,40013,background
8,0,5,200,150,21.81,1006.06,51.24,30666,background
2,0,6,200,150,22.16,1101.81,65.24,29378,background
7,0,6,200,150,22.28,1059.16,59.02,24744,background
4,0,6,200,150,21.00,1098.76,63.76,27736,background
6,0,6,200,150,21.65,1104.33,64.37,21717,background
1,0,6,200,150,22.89,1024.84,53.84,59041,background
5,0,6,200,150,21.26,1106.88,62.77,39938,background
8,0,6,200,150,21.86,1006.06,51.09,31159,background
7,1,0,320,150,22.44,1059.17,58.52,5685,background
6,1,0,320,150,21.78,1104.33,63.86,5685,background
2,1,0,320,150,22.28,1101.81,64.66,5685,background
4,1,0,320,150,21.13,1098.77,63.07,5685,background
3,1,0,320,150,21.80,1029.33,66.40,5685,background
1,1,0,320,150,23.00,1024.86,53.28,9462,background
5,1,0,320,150,21.39,1106.88,62.18,5685,background
8,1,0,320,150,22.01,1006.07,50.58,5685,background
7,1,1,100,150,22.52,1059.17,58.41,37581,background
6,1,1,100,150,21.87,1104.34,63.73,27700,background
2,1,1,100,150,22.36,1101.82,64.41,16207,background
3,1,1,100,150,21.88,1029.34,66.29,28940,background
1,1,1,100,150,23.06,1024.87,53.10,170269,background
5,1,1,100,150,21.47,1106.88,62.03,46461,background
7,1,2,100,150,22.57,1059.17,58.36,43170,background
6,1,2,100,150,21.91,1104.35,63.60,31952,background
8,1,1,100,150,22.09,1006.07,50.47,37383,background
2,1,2,100,150,22.39,1101.83,64.34,16940,background
4,1,2,100,150,21.25,1098.79,62.84,18197,background
3,1,2,100,150,21.92,1029.34,66.22,31365,background
1,1,2,100,150,23.09,1024.88,53.02,180536,background
6,1,3,100,150,21.94,1104.35,63.30,35754,background
5,1,2,100,150,21.51,1106.88,61.87,56313,background
8,1,2,100,150,22.13,1006.07,50.38,45182,background
2,1,3,100,150,22.42,1101.83,64.19,17862,background
4,1,3,100,150,21.28,1098.80,62.74,19459,background
3,1,3,100,150,21.94,1029.34,66.08,34511,background
1,1,3,100,150,23.12,1024.88,52.80,192590,background
7,1,4,200,150,22.63,1059.17,57.99,11679,background
6,1,4,200,150,21.97,1104.35,63.24,8663,background
2,1,4,200,150,22.44,1101.83,63.87,6665,background
5,1,3,100,150,21.54,1106.89,61.75,64289,background
8,1,3,100,150,22.16,1006.06,50.17,52022,background
4,1,4,200,150,21.30,1098.80,62.72,7722,background
3,1,4,200,150,21.96,1029.34,65.73,9721,background
1,1,4,200,150,23.13,1024.89,52.69,36930,background
7,1,5,200,150,22.68,1059.18,57.89,12613,background
6,1,5,200,150,22.01,1104.36,63.11,9233,background
2,1,5,200,150,22.48,1101.83,63.93,6871,background
4,1,5,200,150,21.35,1098.80,62.44,7784,background
5,1,4,200,150,21.56,1106.88,61.59,14450,background
8,1,4,200,150,22.19,1006.07,50.07,11615,background
3,1,5,200,150,22.01,1029.35,65.73,10175,background
1,1,5,200,150,23.17,1024.89,52.64,39060,background
7,1,6,200,150,22.73,1059.18,57.61,13423,background
6,1,6,200,150,22.06,1104.37,62.96,9756,background
2,1,6,200,150,22.52,1101.83,63.79,7091,background
4,1,6,200,150,21.39,1098.80,62.22,7940,background
5,1,5,200,150,21.61,1106.88,61.47,15614,background
8,1,5,200,150,22.24,1006.07,50.00,12666,background
3,1,6,200,150,22.05,1029.34,65.43,10621,background
1,1,6,200,150,23.21,1024.88,52.44,40777,background
7,1,7,320,150,22.78,1059.18,57.71,5685,background
6,1,7,320,150,22.11,1104.37,62.93,5685,background
2,1,7,320,150,22.56,1101.83,63.62,5685,background
4,1,7,320,150,21.43,1098.80,62.11,5685,background
5,1,6,200,150,21.66,1106.88,61.34,16967,background
8,1,6,200,150,22.29,1006.08,49.82,13594,background
3,1,7,320,150,22.09,1029.34,65.37,5685,background
1,1,7,320,150,23.25,1024.89,52.35,11704,background
7,1,8,320,150,22.84,1059.18,57.47,5685,background
6,1,8,320,150,22.16,1104.37,62.86,5685,background
2,1,8,320,150,22.62,1101.84,63.59,5685,background
4,1,8,320,150,21.49,1098.82,61.99,5685,background
8,1,7,320,150,22.33,1006.07,49.68,5685,background
3,1,8,320,150,22.15,1029.34,65.17,5685,background
5,1,7,320,150,21.70,1106.88,61.20,5685,background
1,1,8,320,150,23.29,1024.90,52.23,14750,background
7,1,9,320,150,22.89,1059.18,57.33,6543,background
6,1,9,320,150,22.22,1104.37,62.56,5685,background
2,1,9,320,150,22.67,1101.85,63.32,5685,background
4,1,9,320,150,21.54,1098.80,61.80,5685,background
3,1,9,320,150,22.20,1029.34,65.02,6515,background
5,1,8,320,150,21.76,1106.90,61.00,5685,background
8,1,8,320,150,22.39,1006.07,49.52,5685,background
1,1,9,320,150,23.34,1024.90,52.09,17626,background
7,2,0,320,150,22.95,1059.19,57.19,7756,background
6,2,0,320,150,22.27,1104.39,62.39,6543,background
2,2,0,320,150,22.72,1101.86,63.12,5685,background
4,2,0,320,150,21.59,1098.80,61.71,6583,background
3,2,0,320,150,22.25,1029.34,65.14,8085,background
5,1,9,320,150,21.81,1106.90,61.11,6771,background
8,1,9,320,150,22.45,1006.09,49.43,5746,background
1,2,0,320,150,23.38,1024.90,51.96,21011,background
7,2,1,100,150,23.00,1059.18,57.06,119236,background
6,2,1,100,150,22.31,1104.39,62.26,95862,background
2,2,1,100,150,22.76,1101.87,63.13,42738,background
4,2,1,100,150,21.63,1098.79,61.28,44153,background
3,2,1,100,150,22.29,1029.33,64.76,104298,background
8,2,0,320,150,22.50,1006.10,49.29,7044,background
5,2,0,320,150,21.86,1106.91,60.87,8036,background
1,2,1,100,150,23.42,1024.91,51.84,504434,background
7,2,2,100,150,23.00,1059.18,56.93,125000,background
6,2,2,100,150,22.31,1104.38,62.14,99379,background
2,2,2,100,150,22.76,1101.87,62.98,40855,background
4,2,2,100,150,21.63,1098.79,61.34,42953,background
3,2,2,100,150,22.29,1029.33,64.56,102482,background
8,2,1,100,150,22.55,1006.09,49.15,121270,background
7,2,3,100,150,23.00,1059.18,56.81,132471,background
6,2,3,100,150,22.31,1104.38,62.03,106644,background
2,2,3,100,150,22.74,1101.87,62.87,42147,background
4,2,3,100,150,21.62,1098.80,61.30,43746,background
3,2,3,100,150,22.27,1029.32,64.48,106644,background
7,2,4,200,150,22.99,1059.17,56.75,28591,background
8,2,2,100,150,22.56,1006.10,49.01,132163,background
1,2,3,100,150,23.41,1024.90,51.63,472325,background
5,2,2,100,150,21.91,1106.90,60.50,162488,background
6,2,4,200,150,22.30,1104.38,61.94,22448,background
2,2,4,200,150,22.73,1101.87,62.76,13629,background
4,2,4,200,150,21.61,1098.79,61.24,15126,background
3,2,4,200,150,22.26,1029.32,64.37,25108,background
7,2,5,200,150,23.01,1059.17,56.68,29664,background
1,2,4,200,150,23.40,1024.90,51.57,78697,background
8,2,3,100,150,22.56,1006.10,48.97,142064,background
6,2,5,200,150,22.31,1104.38,61.86,23555,background
4,2,5,200,150,21.62,1098.78,61.14,14978,background
3,2,5,200,150,22.28,1029.31,64.33,25529,background
7,2,6,200,150,23.04,1059.17,56.56,30732,background
1,2,5,200,150,23.42,1024.90,51.52,80025,background
6,2,6,200,150,22.34,1104.38,61.80,24238,background
8,2,4,200,150,22.56,1006.10,48.85,28157,background
2,2,6,200,150,22.77,1101.87,62.47,13877,background
4,2,6,200,150,21.64,1098.79,61.08,15094,background
3,2,6,200,150,22.30,1029.31,64.26,25916,background
7,2,7,320,150,23.07,1059.18,56.51,8579,background
6,2,7,320,150,22.36,1104.38,61.71,6885,background
1,2,6,200,150,23.44,1024.90,51.48,81321,background
8,2,5,200,150,22.58,1006.10,48.90,29914,background
5,2,5,200,150,21.92,1106.92,60.25,36898,background
2,2,7,320,150,22.79,1101.87,62.53,5694,background
4,2,7,320,150,21.66,1098.77,60.94,6889,background
3,2,7,320,150,22.32,1029.32,64.12,8755,background
7,2,8,320,150,23.11,1059.18,56.43,10263,background
6,2,8,320,150,22.40,1104.39,61.64,8437,background
1,2,7,320,150,23.46,1024.91,51.46,21918,background
8,2,6,200,150,22.61,1006.10,48.74,31691,background
5,2,6,200,150,21.95,1106.92,60.22,38776,background
2,2,8,320,150,22.82,1101.88,62.39,7086,background
4,2,8,320,150,21.70,1098.78,60.91,8203,background
3,2,8,320,150,22.36,1029.32,64.07,10738,background
7,2,9,320,150,23.16,1059.18,56.28,12078,background
6,2,9,320,150,22.44,1104.39,61.53,9892,background
1,2,8,320,150,23.49,1024.91,51.33,25979,background
8,2,7,320,150,22.64,1006.10,48.68,7705,background
2,2,9,320,150,22.86,1101.87,62.42,7958,background
5,2,7,320,150,21.97,1106.92,60.15,8886,background
4,2,9,320,150,21.73,1098.78,60.89,9437,background
7,3,0,320,150,23.20,1059.18,56.22,13796,background
3,2,9,320,150,22.40,1029.32,63.98,12990,background
6,3,0,320,150,22.48,1104.39,61.33,11319,background
1,2,9,320,150,23.53,1024.91,51.26,29297,background
2,3,0,320,150,22.89,1101.88,62.30,9083,background
8,2,8,320,150,22.68,1006.10,48.52,9130,background
4,3,0,320,150,21.77,1098.78,60.75,10642,background
5,2,8,320,150,22.01,1106.93,60.13,10642,background
7,3,1,100,150,23.24,1059.19,56.10,264122,background
3,3,0,320,150,22.43,1029.32,63.85,14978,background
6,3,1,100,150,22.52,1104.41,61.32,219319,background
1,3,0,320,150,23.56,1024.91,51.15,32340,background
2,3,1,100,150,22.92,1101.88,62.20,94535,background
4,3,1,100,150,21.80,1098.78,60.75,98689,background
8,2,9,320,150,22.73,1006.10,48.47,10600,background
5,2,9,320,150,22.05,1106.93,59.96,12673,background
7,3,2,100,150,23.24,1059.18,56.05,256000,background
3,3,1,100,150,22.47,1029.32,63.76,256385,background
6,3,2,100,150,22.51,1104.40,61.30,211833,background
1,3,1,100,150,23.59,1024.90,51.07,987702,background
2,3,2,100,150,22.91,1101.88,62.07,86079,background
4,3,2,100,150,21.79,1098.78,60.51,89793,background
8,3,0,320,150,22.77,1006.10,48.17,12230,background
5,3,0,320,150,22.09,1106.92,59.95,14569,background
3,3,2,100,150,22.46,1029.31,63.66,237312,background
6,3,3,100,150,22.50,1104.39,61.20,216125,background
1,3,2,100,150,23.58,1024.91,50.99,886964,background
2,3,3,100,150,22.90,1101.88,62.03,86341,background
4,3,3,100,150,21.78,1098.78,60.50,89136,background
8,3,1,100,150,22.81,1006.10,48.30,266389,background
5,3,1,100,150,22.13,1106.92,59.79,343279,background
7,3,4,200,150,23.22,1059.18,55.94,49089,background
3,3,3,100,150,22.44,1029.32,63.58,234379,background
6,3,4,200,150,22.48,1104.40,61.26,39096,background
1,3,3,100,150,23.57,1024.91,50.95,852623,background
2,3,4,200,150,22.88,1101.88,62.01,22882,background
4,3,4,200,150,21.76,1098.78,60.44,25729,background
8,3,2,100,150,22.81,1006.10,48.28,267852,background
7,3,5,200,150,23.23,1059.19,55.90,50127,background
5,3,2,100,150,22.13,1106.91,59.71,344317,background
3,3,4,200,150,22.42,1029.32,63.46,45182,background
6,3,5,200,150,22.50,1104.40,61.10,39826,background
1,3,4,200,150,23.55,1024.91,50.92,123642,background
2,3,5,200,150,22.89,1101.88,61.96,22639,background
4,3,5,200,150,21.77,1098.78,60.40,25093,background
7,3,6,200,150,23.26,1059.19,55.82,51241,background
8,3,3,100,150,22.81,1006.10,48.16,286996,background
5,3,3,100,150,22.12,1106.91,59.58,355803,background
3,3,5,200,150,22.43,1029.32,63.41,44615,background
6,3,6,200,150,22.52,1104.41,61.04,40201,background
2,3,6,200,150,22.90,1101.88,61.88,22808,background
1,3,5,200,150,23.56,1024.90,50.89,124181,background
4,3,6,200,150,21.78,1098.78,60.27,24961,background
7,3,7,320,150,23.28,1059.19,55.75,13769,background
8,3,4,200,150,22.80,1006.09,48.11,48892,background
5,3,4,200,150,22.11,1106.91,59.59,61866,background
3,3,6,200,150,22.45,1029.32,63.41,44615,background
6,3,7,320,150,22.54,1104.41,61.04,11096,background
2,3,7,320,150,22.92,1101.89,61.86,9014,background
1,3,6,200,150,23.58,1024.90,50.85,124001,background
4,3,7,320,150,21.80,1098.77,60.37,10413,background
7,3,8,320,150,23.32,1059.19,55.71,15810,background
8,3,5,200,150,22.82,1006.10,48.13,51333,background
6,3,8,320,150,22.58,1104.41,60.86,13248,background
3,3,7,320,150,22.46,1029.31,63.40,14529,background
5,3,5,200,150,22.12,1106.92,59.54,63952,background
2,3,8,320,150,22.95,1101.89,61.83,10403,background
1,3,7,320,150,23.60,1024.91,50.81,31113,background
4,3,8,320,150,21.83,1098.78,60.29,12216,background
7,3,9,320,150,23.36,1059.19,55.59,17758,background
6,3,9,320,150,22.62,1104.42,60.94,15052,background
8,3,6,200,150,22.84,1006.10,48.01,52827,background
3,3,8,320,150,22.50,1029.32,63.35,17103,background
2,3,9,320,150,22.99,1101.88,61.80,11679,background
4,3,9,320,150,21.86,1098.78,60.26,13646,background
1,3,8,320,150,23.63,1024.91,50.73,34934,background
7,4,0,320,150,23.41,1059.19,55.59,19248,background
6,4,0,320,150,22.66,1104.42,60.90,16662,background
3,3,9,320,150,22.53,1029.32,63.37,19179,background
8,3,7,320,150,22.87,1006.10,47.88,12451,background
5,3,7,320,150,22.16,1106.92,59.41,14559,background
2,4,0,320,150,23.02,1101.89,61.68,13117,background
4,4,0,320,150,21.90,1098.79,60.07,15009,background
1,3,9,320,150,23.66,1024.92,50.70,38462,background
7,4,1,100,150,23.45,1059.20,55.47,455922,background
6,4,1,100,150,22.69,1104.41,60.68,385397,background
3,4,0,320,150,22.57,1029.32,63.13,21178,background
8,3,8,320,150,22.91,1006.10,47.89,14295,background
5,3,8,320,150,22.20,1106.92,59.40,16715,background
2,4,1,100,150,23.05,1101.89,61.62,163265,background
4,4,1,100,150,21.93,1098.77,60.00,168255,background
1,4,0,320,150,23.69,1024.92,50.61,41694,background
7,4,2,100,150,23.44,1059.19,55.42,424192,background
6,4,2,100,150,22.68,1104.41,60.64,345363,background
3,4,1,100,150,22.60,1029.33,63.12,464926,background
8,3,9,320,150,22.95,1006.10,47.89,16048,background
5,3,9,320,150,22.24,1106.93,59.32,18790,background
2,4,2,100,150,23.04,1101.88,61.55,146958,background
4,4,2,100,150,21.92,1098.78,60.01,153708,background
7,4,3,100,150,23.43,1059.19,55.14,416938,background
1,4,1,100,150,23.72,1024.92,50.56,1453513,background
6,4,3,100,150,22.66,1104.41,60.59,341220,background
3,4,2,100,150,22.59,1029.32,62.99,414659,background
8,4,0,320,150,22.99,1006.10,47.74,17553,background
5,4,0,320,150,22.28,1106.94,59.24,20665,background
4,4,3,100,150,21.90,1098.78,59.96,147849,background
