sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,23.97,1024.79,48.62,611526,cinnamon
2,0,1,100,150,23.22,1101.67,59.97,306587,cinnamon
3,0,1,100,150,22.73,1029.14,61.25,417703,cinnamon
4,0,1,100,150,22.06,1098.61,58.56,291157,cinnamon
5,0,1,100,150,22.23,1106.77,58.62,548180,cinnamon
8,0,1,100,150,22.79,1005.94,47.70,386488,cinnamon
2,0,2,100,150,23.27,1101.68,59.97,287237,cinnamon
1,0,2,100,150,24.02,1024.78,48.63,620982,cinnamon
3,0,2,100,150,22.79,1029.15,61.15,415163,cinnamon
4,0,2,100,150,22.11,1098.62,58.46,279705,cinnamon
6,0,2,100,150,22.65,1104.25,59.98,277206,cinnamon
7,0,2,100,150,23.20,1059.03,55.62,345363,cinnamon
5,0,2,100,150,22.28,1106.77,58.66,553065,cinnamon
8,0,2,100,150,22.85,1005.94,47.63,407724,cinnamon
2,0,3,100,150,23.32,1101.68,59.89,292154,cinnamon
4,0,3,100,150,22.16,1098.63,58.33,275195,cinnamon
3,0,3,100,150,22.83,1029.16,61.07,423666,cinnamon
6,0,3,100,150,22.70,1104.25,59.87,279247,cinnamon
7,0,3,100,150,23.26,1059.04,55.55,364932,cinnamon
5,0,3,100,150,22.33,1106.77,58.49,560328,cinnamon
8,0,3,100,150,22.89,1005.95,47.55,410421,cinnamon
2,0,4,200,150,23.36,1101.68,59.82,52213,cinnamon
7,0,4,200,150,23.31,1059.04,55.45,57645,cinnamon
1,0,4,200,150,24.10,1024.78,48.45,91233,cinnamon
3,0,4,200,150,22.87,1029.16,60.96,64679,cinnamon
4,0,4,200,150,22.21,1098.64,58.26,54445,cinnamon
6,0,4,200,150,22.75,1104.26,59.79,47267,cinnamon
5,0,4,200,150,22.37,1106.77,58.55,85906,cinnamon
8,0,4,200,150,22.93,1005.95,47.45,65223,cinnamon
2,0,5,200,150,23.41,1101.69,59.55,50966,cinnamon
6,0,5,200,150,22.79,1104.26,59.72,47531,cinnamon
7,0,5,200,150,23.36,1059.04,55.36,58554,cinnamon
3,0,5,200,150,22.92,1029.16,60.86,64581,cinnamon
4,0,5,200,150,22.25,1098.65,58.17,52925,cinnamon
1,0,5,200,150,24.13,1024.78,48.36,90652,cinnamon
8,0,5,200,150,22.98,1005.95,47.40,65878,cinnamon
2,0,6,200,150,23.44,1101.70,59.67,50010,cinnamon
7,0,6,200,150,23.40,1059.04,55.28,58878,cinnamon
4,0,6,200,150,22.29,1098.66,58.07,52022,cinnamon
6,0,6,200,150,22.83,1104.26,59.60,47877,cinnamon
1,0,6,200,150,24.17,1024.78,48.24,95008,cinnamon
5,0,6,200,150,22.45,1106.77,58.32,85733,cinnamon
8,0,6,200,150,23.02,1005.96,47.31,66494,cinnamon
7,1,0,320,150,23.54,1059.04,54.85,11154,cinnamon
6,1,0,320,150,22.95,1104.27,59.21,8097,cinnamon
2,1,0,320,150,23.55,1101.71,59.23,8842,cinnamon
4,1,0,320,150,22.40,1098.66,57.67,10948,cinnamon
3,1,0,320,150,23.06,1029.16,60.36,10914,cinnamon
1,1,0,320,150,24.26,1024.79,47.95,15893,cinnamon
5,1,0,320,150,22.56,1106.81,57.88,12258,cinnamon
8,1,0,320,150,23.15,1005.95,46.92,10127,cinnamon
7,1,1,100,150,23.62,1059.05,54.75,231832,cinnamon
2,1,1,100,150,23.62,1101.72,59.13,101749,cinnamon
4,1,1,100,150,22.48,1098.67,57.60,117755,cinnamon
3,1,1,100,150,23.13,1029.17,60.33,194566,cinnamon
1,1,1,100,150,24.33,1024.80,47.87,398444,cinnamon
5,1,1,100,150,22.63,1106.82,57.71,290661,cinnamon
7,1,2,100,150,23.66,1059.05,54.63,238639,cinnamon
8,1,1,100,150,23.22,1005.96,46.89,226900,cinnamon
6,1,2,100,150,23.06,1104.29,58.90,155529,cinnamon
2,1,2,100,150,23.65,1101.71,59.01,98235,cinnamon
4,1,2,100,150,22.51,1098.69,57.48,109942,cinnamon
3,1,2,100,150,23.16,1029.16,60.22,190441,cinnamon
1,1,2,100,150,24.35,1024.80,47.76,397284,cinnamon
7,1,3,100,150,23.69,1059.06,54.53,251288,cinnamon
5,1,2,100,150,22.67,1106.82,57.66,308248,cinnamon
8,1,2,100,150,23.26,1005.97,46.75,244800,cinnamon
2,1,3,100,150,23.67,1101.72,58.79,96622,cinnamon
4,1,3,100,150,22.54,1098.69,57.27,109519,cinnamon
3,1,3,100,150,23.18,1029.15,60.02,193903,cinnamon
1,1,3,100,150,24.37,1024.81,47.69,409436,cinnamon
7,1,4,200,150,23.72,1059.07,54.47,43881,cinnamon
6,1,4,200,150,23.11,1104.29,58.79,30189,cinnamon
2,1,4,200,150,23.69,1101.72,58.82,24060,cinnamon
5,1,3,100,150,22.69,1106.81,57.57,323743,cinnamon
4,1,4,200,150,22.56,1098.69,57.25,28438,cinnamon
8,1,3,100,150,23.29,1005.97,46.68,257740,cinnamon
3,1,4,200,150,23.20,1029.15,60.05,36771,cinnamon
7,1,5,200,150,23.76,1059.07,54.40,45471,cinnamon
6,1,5,200,150,23.16,1104.30,58.66,31365,cinnamon
2,1,5,200,150,23.72,1101.72,58.72,24033,cinnamon
4,1,5,200,150,22.60,1098.69,57.23,27664,cinnamon
5,1,4,200,150,22.71,1106.81,57.41,54237,cinnamon
8,1,4,200,150,23.31,1005.97,46.53,43434,cinnamon
3,1,5,200,150,23.24,1029.15,59.89,37285,cinnamon
1,1,5,200,150,24.42,1024.82,47.71,67707,cinnamon
7,1,6,200,150,23.81,1059.07,54.21,47770,cinnamon
6,1,6,200,150,23.20,1104.29,58.54,32242,cinnamon
2,1,6,200,150,23.76,1101.73,58.59,24252,cinnamon
4,1,6,200,150,22.64,1098.69,57.06,27664,cinnamon
5,1,5,200,150,22.75,1106.82,57.34,57028,cinnamon
8,1,5,200,150,23.36,1005.97,46.51,45911,cinnamon
1,1,6,200,150,24.45,1024.82,47.38,70041,cinnamon
7,1,7,320,150,23.85,1059.07,54.12,14629,cinnamon
6,1,7,320,150,23.24,1104.29,58.43,10403,cinnamon
2,1,7,320,150,23.80,1101.74,58.48,9765,cinnamon
4,1,7,320,150,22.67,1098.69,56.93,12160,cinnamon
8,1,6,200,150,23.40,1005.97,46.42,48421,cinnamon
3,1,7,320,150,23.32,1029.17,59.71,13629,cinnamon
1,1,7,320,150,24.48,1024.82,47.33,19248,cinnamon
7,1,8,320,150,23.91,1059.08,53.98,18924,cinnamon
6,1,8,320,150,23.30,1104.29,58.32,13940,cinnamon
2,1,8,320,150,23.85,1101.74,58.39,12258,cinnamon
4,1,8,320,150,22.72,1098.70,56.84,14853,cinnamon
5,1,7,320,150,22.83,1106.83,57.03,15062,cinnamon
8,1,7,320,150,23.44,1005.98,46.29,13199,cinnamon
3,1,8,320,150,23.37,1029.17,59.60,17907,cinnamon
1,1,8,320,150,24.53,1024.83,47.23,24101,cinnamon
7,1,9,320,150,23.96,1059.08,53.90,22980,cinnamon
6,1,9,320,150,23.35,1104.30,58.22,17339,cinnamon
2,1,9,320,150,23.90,1101.73,58.27,14480,cinnamon
4,1,9,320,150,22.77,1098.70,56.74,17482,cinnamon
3,1,9,320,150,23.42,1029.18,59.46,21963,cinnamon
5,1,8,320,150,22.88,1106.84,57.01,19248,cinnamon
8,1,8,320,150,23.49,1005.99,46.19,16981,cinnamon
1,1,9,320,150,24.57,1024.83,47.15,28194,cinnamon
7,2,0,320,150,24.01,1059.08,53.78,28138,cinnamon
6,2,0,320,150,23.39,1104.30,58.04,21326,cinnamon
2,2,0,320,150,23.94,1101.73,58.17,17655,cinnamon
4,2,0,320,150,22.82,1098.70,56.55,20908,cinnamon
3,2,0,320,150,23.46,1029.18,59.31,27664,cinnamon
8,1,9,320,150,23.54,1005.99,46.06,20786,cinnamon
5,1,9,320,150,22.93,1106.84,56.90,23647,cinnamon
1,2,0,320,150,24.61,1024.83,47.04,33041,cinnamon
7,2,1,100,150,24.06,1059.09,53.60,807253,cinnamon
6,2,1,100,150,23.44,1104.30,57.96,573509,cinnamon
2,2,1,100,150,23.98,1101.73,57.87,272558,cinnamon
4,2,1,100,150,22.86,1098.70,56.43,303587,cinnamon
3,2,1,100,150,23.50,1029.18,59.19,726757,cinnamon
5,2,0,320,150,22.98,1106.84,56.66,28533,cinnamon
8,2,0,320,150,23.59,1005.99,45.98,25227,cinnamon
1,2,1,100,150,24.64,1024.83,46.94,1141265,cinnamon
7,2,2,100,150,24.06,1059.10,53.56,738550,cinnamon
6,2,2,100,150,23.43,1104.30,57.87,524590,cinnamon
2,2,2,100,150,23.97,1101.73,57.92,240658,cinnamon
4,2,2,100,150,22.85,1098.70,56.34,267852,cinnamon
3,2,2,100,150,23.50,1029.19,59.12,645649,cinnamon
8,2,1,100,150,23.64,1006.00,45.85,776935,cinnamon
5,2,1,100,150,23.02,1106.85,56.64,961954,cinnamon
7,2,3,100,150,24.05,1059.10,53.52,718344,cinnamon
1,2,2,100,150,24.63,1024.83,46.85,1014866,cinnamon
6,2,3,100,150,23.42,1104.30,57.76,506304,cinnamon
2,2,3,100,150,23.95,1101.73,57.85,231989,cinnamon
4,2,3,100,150,22.84,1098.71,56.29,255425,cinnamon
3,2,3,100,150,23.48,1029.19,59.03,615940,cinnamon
7,2,4,200,150,24.04,1059.09,53.45,101688,cinnamon
1,2,3,100,150,24.62,1024.83,46.80,953889,cinnamon
6,2,4,200,150,23.41,1104.31,57.75,72789,cinnamon
2,2,4,200,150,23.94,1101.72,57.81,46010,cinnamon
4,2,4,200,150,22.82,1098.70,56.34,53759,cinnamon
3,2,4,200,150,23.47,1029.19,58.98,88124,cinnamon
7,2,5,200,150,24.05,1059.08,53.35,100078,cinnamon
1,2,4,200,150,24.61,1024.82,46.74,128096,cinnamon
8,2,3,100,150,23.64,1005.99,45.60,715334,cinnamon
5,2,3,100,150,23.01,1106.84,56.49,891598,cinnamon
2,2,5,200,150,23.95,1101.72,57.73,44383,cinnamon
4,2,5,200,150,22.83,1098.71,56.19,51149,cinnamon
7,2,6,200,150,24.08,1059.08,53.29,100078,cinnamon
1,2,5,200,150,24.62,1024.83,46.66,128385,cinnamon
6,2,6,200,150,23.44,1104.31,57.57,71329,cinnamon
5,2,4,200,150,23.00,1106.83,56.45,120329,cinnamon
8,2,4,200,150,23.63,1005.99,45.55,99669,cinnamon
2,2,6,200,150,23.97,1101.71,57.70,43971,cinnamon
3,2,6,200,150,23.50,1029.19,58.87,83063,cinnamon
7,2,7,320,150,24.10,1059.09,53.20,28514,cinnamon
1,2,6,200,150,24.64,1024.83,46.66,129752,cinnamon
6,2,7,320,150,23.46,1104.31,57.50,21563,cinnamon
8,2,5,200,150,23.65,1005.99,45.55,99786,cinnamon
5,2,5,200,150,23.02,1106.83,56.31,120244,cinnamon
2,2,7,320,150,23.98,1101.72,57.76,17597,cinnamon
4,2,7,320,150,22.86,1098.70,56.07,20665,cinnamon
3,2,7,320,150,23.51,1029.19,58.94,27450,cinnamon
7,2,8,320,150,24.14,1059.10,53.23,34043,cinnamon
6,2,8,320,150,23.50,1104.33,57.50,26694,cinnamon
1,2,7,320,150,24.65,1024.83,46.65,33403,cinnamon
8,2,6,200,150,23.67,1005.99,45.62,100907,cinnamon
5,2,6,200,150,23.04,1106.84,56.28,120840,cinnamon
2,2,8,320,150,24.02,1101.72,57.53,21053,cinnamon
4,2,8,320,150,22.90,1098.71,56.01,25123,cinnamon
3,2,8,320,150,23.55,1029.19,58.75,33482,cinnamon
7,2,9,320,150,24.18,1059.10,53.02,38776,cinnamon
6,2,9,320,150,23.54,1104.33,57.36,30688,cinnamon
1,2,8,320,150,24.69,1024.82,46.63,38989,cinnamon
8,2,7,320,150,23.70,1006.00,45.41,25791,cinnamon
2,2,9,320,150,24.05,1101.72,57.49,24587,cinnamon
5,2,7,320,150,23.06,1106.83,56.22,28783,cinnamon
4,2,9,320,150,22.93,1098.70,55.92,28629,cinnamon
7,3,0,320,150,24.22,1059.11,53.05,43083,cinnamon
3,2,9,320,150,23.58,1029.19,58.74,38496,cinnamon
6,3,0,320,150,23.57,1104.33,57.22,34124,cinnamon
1,2,9,320,150,24.72,1024.82,46.62,43791,cinnamon
2,3,0,320,150,24.08,1101.72,57.42,27539,cinnamon
8,2,8,320,150,23.74,1005.99,45.36,30732,cinnamon
5,2,8,320,150,23.09,1106.84,56.26,34372,cinnamon
4,3,0,320,150,22.96,1098.70,55.98,31785,cinnamon
7,3,1,100,150,24.26,1059.11,52.87,1600313,cinnamon
3,3,0,320,150,23.62,1029.20,58.63,42996,cinnamon
6,3,1,100,150,23.61,1104.32,57.14,1156735,cinnamon
1,3,0,320,150,24.75,1024.82,46.41,48780,cinnamon
4,3,1,100,150,22.99,1098.70,55.82,630736,cinnamon
8,2,9,320,150,23.78,1005.99,45.23,34792,cinnamon
5,2,9,320,150,23.13,1106.84,56.27,39531,cinnamon
7,3,2,100,150,24.25,1059.11,52.70,1373114,cinnamon
3,3,1,100,150,23.65,1029.21,58.53,1546828,cinnamon
6,3,2,100,150,23.59,1104.33,57.24,1024000,cinnamon
1,3,1,100,150,24.77,1024.81,46.38,1952801,cinnamon
2,3,2,100,150,24.09,1101.72,57.26,511616,cinnamon
4,3,2,100,150,22.98,1098.70,55.71,545116,cinnamon
8,3,0,320,150,23.82,1005.98,44.96,38811,cinnamon
5,3,0,320,150,23.17,1106.85,55.99,44062,cinnamon
7,3,3,100,150,24.24,1059.11,52.74,1297434,cinnamon
3,3,2,100,150,23.63,1029.21,58.49,1314928,cinnamon
6,3,3,100,150,23.58,1104.32,56.87,950569,cinnamon
1,3,2,100,150,24.76,1024.82,46.24,1714884,cinnamon
2,3,3,100,150,24.07,1101.73,57.24,478952,cinnamon
4,3,3,100,150,22.96,1098.70,55.68,503318,cinnamon
8,3,1,100,150,23.86,1005.98,45.05,1486751,cinnamon
5,3,1,100,150,23.20,1106.86,55.79,1848376,cinnamon
7,3,4,200,150,24.22,1059.10,52.69,155670,cinnamon
3,3,3,100,150,23.61,1029.20,58.43,1219774,cinnamon
6,3,4,200,150,23.56,1104.31,56.99,115916,cinnamon
2,3,4,200,150,24.05,1101.73,57.20,76992,cinnamon
4,3,4,200,150,22.93,1098.70,55.55,85647,cinnamon
8,3,2,100,150,23.86,1005.98,45.14,1316195,cinnamon
7,3,5,200,150,24.23,1059.10,52.71,150323,cinnamon
5,3,2,100,150,23.20,1106.86,55.82,1659643,cinnamon
3,3,4,200,150,23.59,1029.19,58.34,144347,cinnamon
1,3,4,200,150,24.72,1024.83,46.28,185642,cinnamon
2,3,5,200,150,24.06,1101.73,57.24,72851,cinnamon
4,3,5,200,150,22.94,1098.70,55.63,80706,cinnamon
7,3,6,200,150,24.25,1059.10,52.61,147084,cinnamon
8,3,3,100,150,23.84,1005.98,45.00,1241965,cinnamon
5,3,3,100,150,23.18,1106.85,55.78,1576294,cinnamon
3,3,5,200,150,23.59,1029.19,58.35,134560,cinnamon
6,3,6,200,150,23.58,1104.31,56.86,107248,cinnamon
1,3,5,200,150,24.73,1024.83,46.28,181496,cinnamon
4,3,6,200,150,22.95,1098.71,55.56,76854,cinnamon
7,3,7,320,150,24.27,1059.09,52.76,39024,cinnamon
8,3,4,200,150,23.83,1005.99,44.94,150721,cinnamon
5,3,4,200,150,23.16,1106.84,55.75,183644,cinnamon
3,3,6,200,150,23.61,1029.18,58.32,128967,cinnamon
6,3,7,320,150,23.60,1104.32,57.04,30103,cinnamon
2,3,7,320,150,24.08,1101.74,57.04,25064,cinnamon
1,3,6,200,150,24.74,1024.83,46.26,180536,cinnamon
4,3,7,320,150,22.96,1098.71,55.57,28438,cinnamon
7,3,8,320,150,24.31,1059.10,52.53,44802,cinnamon
8,3,5,200,150,23.85,1006.00,44.94,147211,cinnamon
6,3,8,320,150,23.63,1104.32,56.90,35281,cinnamon
3,3,7,320,150,23.62,1029.18,58.42,37680,cinnamon
2,3,8,320,150,24.11,1101.74,57.09,28881,cinnamon
1,3,7,320,150,24.76,1024.84,46.27,44153,cinnamon
4,3,8,320,150,22.99,1098.70,55.51,32762,cinnamon
7,3,9,320,150,24.35,1059.10,52.41,50245,cinnamon
6,3,9,320,150,23.67,1104.32,56.89,39240,cinnamon
8,3,6,200,150,23.87,1006.00,44.97,144960,cinnamon
3,3,8,320,150,23.65,1029.18,58.26,43791,cinnamon
5,3,6,200,150,23.19,1106.85,55.65,173736,cinnamon
2,3,9,320,150,24.14,1101.74,57.03,31928,cinnamon
1,3,8,320,150,24.79,1024.82,46.14,50573,cinnamon
4,3,9,320,150,23.02,1098.70,55.47,36333,cinnamon
7,4,0,320,150,24.39,1059.10,52.33,54376,cinnamon
6,4,0,320,150,23.70,1104.32,56.77,42525,cinnamon
8,3,7,320,150,23.89,1006.00,44.85,35136,cinnamon
3,3,9,320,150,23.68,1029.18,58.14,50483,cinnamon
5,3,7,320,150,23.21,1106.84,55.62,39060,cinnamon
2,4,0,320,150,24.17,1101.75,56.96,34877,cinnamon
4,4,0,320,150,23.05,1098.70,55.56,39348,cinnamon
1,3,9,320,150,24.81,1024.82,46.07,55435,cinnamon
6,4,1,100,150,23.74,1104.32,56.71,1674913,cinnamon
3,4,0,320,150,23.72,1029.19,58.07,54480,cinnamon
8,3,8,320,150,23.93,1006.00,44.79,40468,cinnamon
5,3,8,320,150,23.24,1106.85,55.59,45812,cinnamon
2,4,1,100,150,24.19,1101.75,56.93,906997,cinnamon
4,4,1,100,150,23.08,1098.69,55.37,946614,cinnamon
1,4,0,320,150,24.84,1024.82,46.08,59785,cinnamon
7,4,2,100,150,24.41,1059.10,52.26,1982575,cinnamon
6,4,2,100,150,23.72,1104.31,56.64,1417301,cinnamon
3,4,1,100,150,23.74,1029.18,58.11,2226692,cinnamon
8,3,9,320,150,23.97,1006.01,44.70,44708,cinnamon
5,3,9,320,150,23.28,1106.84,55.49,51364,cinnamon
2,4,2,100,150,24.18,1101.73,56.77,783174,cinnamon
4,4,2,100,150,23.06,1098.69,55.30,814476,cinnamon
7,4,3,100,150,24.39,1059.10,52.29,1799649,cinnamon
1,4,1,100,150,24.86,1024.82,46.00,2650275,cinnamon
3,4,2,100,150,23.73,1029.19,58.04,1894542,cinnamon
8,4,0,320,150,24.00,1006.00,44.68,48697,cinnamon
5,4,0,320,150,23.31,1106.86,55.47,55871,cinnamon
2,4,3,100,150,24.15,1101.73,56.92,724443,cinnamon
4,4,3,100,150,23.04,1098.71,55.29,733787,cinnamon
7,4,4,200,150,24.38,1059.10,52.18,199338,cinnamon
1,4,2,100,150,24.85,1024.81,45.98,2288268,cinnamon
6,4,4,200,150,23.68,1104.31,56.49,146831,cinnamon
3,4,3,100,150,23.70,1029.19,57.91,1743350,cinnamon
8,4,1,100,150,24.04,1006.01,44.56,2077606,cinnamon
