sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,22.15,1022.60,51.43,213556,background_rosemary
2,0,1,100,150,21.44,1099.48,62.54,145952,background_rosemary
3,0,1,100,150,20.92,1026.97,64.05,137597,background_rosemary
6,0,1,100,150,21.00,1101.96,61.22,91921,background_rosemary
7,0,1,100,150,21.75,1056.83,55.67,112775,background_rosemary
5,0,1,100,150,20.69,1104.49,59.67,198758,background_rosemary
8,0,1,100,150,21.34,1003.78,47.89,134986,background_rosemary
2,0,2,100,150,21.49,1099.49,62.41,141125,background_rosemary
1,0,2,100,150,22.20,1022.60,51.40,220026,background_rosemary
3,0,2,100,150,20.98,1026.98,64.03,142658,background_rosemary
6,0,2,100,150,21.06,1101.95,61.25,98066,background_rosemary
5,0,2,100,150,20.74,1104.50,59.46,211701,background_rosemary
2,0,3,100,150,21.54,1099.50,62.42,143257,background_rosemary
3,0,3,100,150,21.02,1026.98,63.94,142420,background_rosemary
4,0,3,100,150,20.38,1096.43,60.72,121876,background_rosemary
6,0,3,100,150,21.11,1101.95,61.06,100020,background_rosemary
7,0,3,100,150,21.87,1056.86,55.51,124726,background_rosemary
8,0,3,100,150,21.43,1003.79,47.62,149141,background_rosemary
2,0,4,200,150,21.58,1099.50,62.25,30210,background_rosemary
4,0,4,200,150,20.43,1096.41,60.53,28783,background_rosemary
7,0,4,200,150,21.91,1056.86,55.57,25498,background_rosemary
1,0,4,200,150,22.28,1022.59,51.06,40430,background_rosemary
3,0,4,200,150,21.07,1026.99,63.87,29378,background_rosemary
5,0,4,200,150,20.82,1104.50,59.35,40163,background_rosemary
8,0,4,200,150,21.47,1003.80,47.67,29541,background_rosemary
2,0,5,200,150,21.62,1099.50,62.17,28959,background_rosemary
6,0,5,200,150,21.20,1101.95,60.97,21157,background_rosemary
7,0,5,200,150,21.96,1056.87,55.47,25838,background_rosemary
3,0,5,200,150,21.11,1026.99,63.71,29520,background_rosemary
4,0,5,200,150,20.47,1096.42,60.55,27574,background_rosemary
1,0,5,200,150,22.32,1022.59,51.05,41290,background_rosemary
5,0,5,200,150,20.86,1104.51,59.37,39975,background_rosemary
8,0,5,200,150,21.51,1003.80,47.69,29956,background_rosemary
2,0,6,200,150,21.66,1099.51,62.05,28687,background_rosemary
7,0,6,200,150,22.00,1056.88,55.41,26138,background_rosemary
4,0,6,200,150,20.51,1096.41,60.44,27415,background_rosemary
6,0,6,200,150,21.24,1101.95,60.89,21520,background_rosemary
