sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,23.13,1022.23,49.15,825307,rosemary
2,0,1,100,150,22.39,1099.04,60.29,444927,rosemary
3,0,1,100,150,21.90,1026.55,61.75,561711,rosemary
6,0,1,100,150,21.61,1101.59,60.50,388910,rosemary
7,0,1,100,150,22.15,1056.47,55.81,486461,rosemary
8,0,1,100,150,21.76,1003.43,47.95,456226,rosemary
2,0,2,100,150,22.45,1099.06,60.23,410421,rosemary
1,0,2,100,150,23.18,1022.24,49.11,822325,rosemary
3,0,2,100,150,21.96,1026.55,61.65,571588,rosemary
4,0,2,100,150,21.28,1096.03,58.82,396822,rosemary
6,0,2,100,150,21.67,1101.58,60.53,378979,rosemary
7,0,2,100,150,22.22,1056.47,55.76,487503,rosemary
5,0,2,100,150,21.29,1104.12,58.94,744186,rosemary
8,0,2,100,150,21.82,1003.44,47.92,475615,rosemary
2,0,3,100,150,22.49,1099.06,60.22,409436,rosemary
1,0,3,100,150,23.23,1022.23,49.03,841068,rosemary
4,0,3,100,150,21.33,1096.03,58.72,391138,rosemary
3,0,3,100,150,22.01,1026.56,61.56,561250,rosemary
7,0,3,100,150,22.27,1056.47,55.70,504807,rosemary
5,0,3,100,150,21.33,1104.13,58.96,750871,rosemary
8,0,3,100,150,21.87,1003.44,47.87,471998,rosemary
2,0,4,200,150,22.53,1099.06,60.13,66235,rosemary
4,0,4,200,150,21.37,1096.01,58.66,68358,rosemary
6,0,4,200,150,21.77,1101.59,60.36,59163,rosemary
7,0,4,200,150,22.32,1056.46,55.72,73924,rosemary
1,0,4,200,150,23.27,1022.22,48.98,114979,rosemary
3,0,4,200,150,22.05,1026.56,61.52,81555,rosemary
5,0,4,200,150,21.38,1104.12,58.85,111087,rosemary
8,0,4,200,150,21.92,1003.44,47.81,72727,rosemary
2,0,5,200,150,22.57,1099.07,60.05,64630,rosemary
4,0,5,200,150,21.42,1096.02,58.57,66235,rosemary
6,0,5,200,150,21.81,1101.60,60.34,58675,rosemary
7,0,5,200,150,22.38,1056.46,55.65,74440,rosemary
1,0,5,200,150,23.30,1022.22,48.93,116708,rosemary
3,0,5,200,150,22.09,1026.56,61.43,81477,rosemary
8,0,5,200,150,21.96,1003.44,47.77,74311,rosemary
2,0,6,200,150,22.61,1099.08,59.97,64144,rosemary
7,0,6,200,150,22.43,1056.47,55.44,74440,rosemary
4,0,6,200,150,21.46,1096.02,58.50,65776,rosemary
6,0,6,200,150,21.86,1101.59,60.30,58675,rosemary
1,0,6,200,150,23.34,1022.22,48.85,116708,rosemary
5,0,6,200,150,21.46,1104.13,58.69,112256,rosemary
7,1,0,320,150,22.59,1056.48,55.26,13339,rosemary
