sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,24.39,1022.75,46.61,414156,air
2,0,1,100,150,23.64,1099.59,58.00,135953,air
4,0,1,100,150,22.51,1096.55,56.40,107383,air
6,0,1,100,150,23.18,1102.17,57.21,159750,air
7,0,1,100,150,23.72,1056.94,53.37,237642,air
5,0,1,100,150,22.79,1104.71,56.79,348181,air
8,0,1,100,150,23.39,1003.88,44.71,272558,air
2,0,2,100,150,23.70,1099.59,57.69,133612,air
1,0,2,100,150,24.44,1022.75,46.50,430886,air
6,0,2,100,150,23.24,1102.17,57.02,167759,air
8,0,2,100,150,23.45,1003.89,44.43,290167,air
2,0,3,100,150,23.75,1099.59,57.50,132780,air
4,0,3,100,150,22.63,1096.57,56.06,112701,air
3,0,3,100,150,23.28,1027.03,58.76,240998,air
6,0,3,100,150,23.30,1102.18,56.85,177901,air
7,0,3,100,150,23.85,1056.94,52.80,269332,air
5,0,3,100,150,22.90,1104.73,56.28,388910,air
8,0,3,100,150,23.50,1003.89,44.19,301442,air
2,0,4,200,150,23.80,1099.59,57.32,29297,air
4,0,4,200,150,22.67,1096.58,55.82,27240,air
6,0,4,200,150,23.35,1102.18,56.65,31762,air
7,0,4,200,150,23.90,1056.95,52.69,42910,air
1,0,4,200,150,24.53,1022.75,46.22,67068,air
3,0,4,200,150,23.32,1027.04,58.56,40506,air
5,0,4,200,150,22.94,1104.73,56.08,62638,air
8,0,4,200,150,23.54,1003.89,44.03,49231,air
2,0,5,200,150,23.85,1099.60,57.12,28419,air
7,0,5,200,150,23.95,1056.95,52.45,43971,air
4,0,5,200,150,22.72,1096.58,55.60,26479,air
6,0,5,200,150,23.40,1102.19,56.45,32413,air
1,0,5,200,150,24.57,1022.76,45.90,68468,air
3,0,5,200,150,23.37,1027.05,58.46,41411,air
5,0,5,200,150,22.99,1104.73,55.80,62730,air
8,0,5,200,150,23.59,1003.89,44.02,49864,air
2,0,6,200,150,23.89,1099.60,57.06,28027,air
7,0,6,200,150,24.00,1056.95,52.24,44017,air
4,0,6,200,150,22.77,1096.56,55.37,26235,air
6,0,6,200,150,23.44,1102.19,56.29,32463,air
3,0,6,200,150,23.41,1027.05,58.40,41491,air
1,0,6,200,150,24.61,1022.76,45.95,68688,air
5,0,6,200,150,23.03,1104.73,55.54,63761,air
7,1,0,320,150,24.16,1056.97,51.51,7350,air
6,1,0,320,150,23.57,1102.19,55.56,5685,air
2,1,0,320,150,24.02,1099.62,56.35,5685,air
4,1,0,320,150,22.90,1096.55,54.88,5685,air
3,1,0,320,150,23.54,1027.06,57.59,6758,air
1,1,0,320,150,24.72,1022.76,45.30,10695,air
5,1,0,320,150,23.17,1104.73,54.76,8241,air
8,1,0,320,150,23.78,1003.90,43.35,7129,air
7,1,1,100,150,24.25,1056.98,51.33,149795,air
6,1,1,100,150,23.65,1102.19,55.54,97729,air
2,1,1,100,150,24.09,1099.62,56.16,33429,air
4,1,1,100,150,22.98,1096.56,54.79,36087,air
3,1,1,100,150,23.61,1027.05,57.50,104298,air
1,1,1,100,150,24.79,1022.76,45.18,247283,air
5,1,1,100,150,23.25,1104.74,54.59,181496,air
7,1,2,100,150,24.29,1056.98,51.17,163265,air
8,1,1,100,150,23.85,1003.91,43.24,155529,air
6,1,2,100,150,23.70,1102.20,55.40,106912,air
2,1,2,100,150,24.13,1099.63,56.10,33325,air
4,1,2,100,150,23.01,1096.56,54.54,35310,air
3,1,2,100,150,23.65,1027.04,57.38,107383,air
1,1,2,100,150,24.82,1022.75,45.07,262295,air
7,1,3,100,150,24.33,1056.99,51.01,175342,air
5,1,2,100,150,23.29,1104.74,54.39,207078,air
6,1,3,100,150,23.73,1102.20,55.19,117029,air
2,1,3,100,150,24.15,1099.62,55.92,35049,air
8,1,2,100,150,23.90,1003.92,43.04,178087,air
4,1,3,100,150,23.04,1096.57,54.43,37416,air
3,1,3,100,150,23.67,1027.04,57.26,112182,air
1,1,3,100,150,24.84,1022.75,45.04,277883,air
7,1,4,200,150,24.35,1056.98,50.87,30361,air
6,1,4,200,150,23.75,1102.19,55.14,20526,air
2,1,4,200,150,24.17,1099.63,55.78,10970,air
