sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,19.37,1022.15,60.34,607175,air
2,0,1,100,150,18.58,1098.99,73.03,150854,air
3,0,1,100,150,18.06,1026.66,74.77,321911,air
4,0,1,100,150,17.32,1095.94,71.19,130048,air
6,0,1,100,150,18.52,1101.40,70.70,241339,air
7,0,1,100,150,19.45,1056.42,62.63,297501,air
5,0,1,100,150,18.17,1103.92,68.39,562637,air
8,0,1,100,150,19.12,1003.37,54.19,203862,air
2,0,2,100,150,18.64,1099.00,72.25,146328,air
1,0,2,100,150,19.43,1022.16,59.65,644430,air
3,0,2,100,150,18.12,1026.65,74.00,330323,air
4,0,2,100,150,17.38,1095.95,70.51,128000,air
7,0,2,100,150,19.52,1056.42,62.18,309927,air
5,0,2,100,150,18.23,1103.94,67.69,589353,air
8,0,2,100,150,19.17,1003.38,53.78,214360,air
2,0,3,100,150,18.69,1099.01,71.64,146958,air
6,0,3,100,150,18.66,1101.40,69.50,258521,air
7,0,3,100,150,19.58,1056.42,61.66,320401,air
3,0,3,100,150,18.18,1026.64,73.37,326531,air
5,0,3,100,150,18.29,1103.94,67.09,592421,air
8,0,3,100,150,19.23,1003.39,53.21,223923,air
2,0,4,200,150,18.75,1099.01,70.98,32737,air
4,0,4,200,150,17.51,1095.95,69.20,31136,air
6,0,4,200,150,18.71,1101.40,68.90,43390,air
7,0,4,200,150,19.63,1056.42,61.19,51057,air
1,0,4,200,150,19.53,1022.16,58.22,91822,air
3,0,4,200,150,18.24,1026.64,72.66,55220,air
5,0,4,200,150,18.34,1103.95,66.41,90173,air
8,0,4,200,150,19.27,1003.40,52.72,39204,air
2,0,5,200,150,18.80,1099.01,70.31,30888,air
6,0,5,200,150,18.77,1101.41,68.20,43656,air
7,0,5,200,150,19.68,1056.43,60.79,52729,air
1,0,5,200,150,19.58,1022.16,57.62,95380,air
3,0,5,200,150,18.29,1026.64,71.89,54759,air
4,0,5,200,150,17.57,1095.95,68.50,29541,air
5,0,5,200,150,18.39,1103.95,65.78,89136,air
8,0,5,200,150,19.32,1003.41,52.27,38741,air
7,0,6,200,150,19.73,1056.43,60.21,52729,air
2,0,6,200,150,18.85,1099.01,69.67,29788,air
6,0,6,200,150,18.83,1101.42,67.43,43434,air
4,0,6,200,150,17.62,1095.94,67.87,28629,air
3,0,6,200,150,18.34,1026.63,71.24,53895,air
5,0,6,200,150,18.44,1103.95,65.20,90652,air
8,0,6,200,150,19.37,1003.42,51.71,38496,air
7,1,0,320,150,19.89,1056.45,58.39,6471,air
6,1,0,320,150,18.99,1101.42,65.42,5685,air
2,1,0,320,150,18.99,1098.99,67.39,5685,air
4,1,0,320,150,17.80,1095.95,65.62,5685,air
3,1,0,320,150,18.50,1026.65,68.89,5685,air
1,1,0,320,150,19.75,1022.17,54.78,8579,air
5,1,0,320,150,18.60,1103.95,63.00,7201,air
7,1,1,100,150,19.98,1056.46,57.98,121356,air
8,1,0,320,150,19.52,1003.41,49.98,5685,air
6,1,1,100,150,19.08,1101.44,64.94,86692,air
2,1,1,100,150,19.07,1098.99,66.94,20215,air
4,1,1,100,150,17.89,1095.95,65.08,20044,air
3,1,1,100,150,18.59,1026.64,68.41,73164,air
1,1,1,100,150,19.82,1022.16,54.42,164524,air
7,1,2,100,150,20.03,1056.46,57.59,135414,air
5,1,1,100,150,18.68,1103.96,62.53,145084,air
8,1,1,100,150,19.60,1003.42,49.56,58595,air
6,1,2,100,150,19.13,1101.45,64.46,98405,air
2,1,2,100,150,19.11,1099.01,66.43,20867,air
4,1,2,100,150,17.94,1095.95,64.60,20506,air
3,1,2,100,150,18.64,1026.64,67.89,74963,air
1,1,2,100,150,19.86,1022.16,53.97,178273,air
7,1,3,100,150,20.07,1056.46,57.18,148751,air
6,1,3,100,150,19.18,1101.45,63.97,108131,air
5,1,2,100,150,18.73,1103.96,62.08,167430,air
8,1,2,100,150,19.65,1003.42,49.18,69527,air
2,1,3,100,150,19.15,1099.01,66.00,22472,air
4,1,3,100,150,17.98,1095.94,64.15,21895,air
3,1,3,100,150,18.68,1026.63,67.70,79801,air
1,1,3,100,150,19.89,1022.16,53.64,194788,air
7,1,4,200,150,20.10,1056.46,56.83,27557,air
6,1,4,200,150,19.21,1101.45,63.60,20119,air
2,1,4,200,150,19.17,1099.01,65.60,7761,air
5,1,3,100,150,18.77,1103.97,61.62,185642,air
4,1,4,200,150,18.02,1095.96,64.09,8222,air
3,1,4,200,150,18.71,1026.63,66.99,18417,air
1,1,4,200,150,19.91,1022.16,53.22,35457,air
7,1,5,200,150,20.16,1056.47,56.47,29480,air
6,1,5,200,150,19.27,1101.45,63.15,21498,air
2,1,5,200,150,19.23,1099.01,65.20,8000,air
4,1,5,200,150,18.07,1095.95,63.45,8203,air
5,1,4,200,150,18.81,1103.97,61.08,33403,air
8,1,4,200,150,19.72,1003.42,48.43,16508,air
3,1,5,200,150,18.77,1026.63,66.57,19494,air
1,1,5,200,150,19.96,1022.16,52.85,38392,air
7,1,6,200,150,20.21,1056.47,56.13,31296,air
6,1,6,200,150,19.33,1101.44,62.73,22931,air
2,1,6,200,150,19.28,1099.02,64.85,8318,air
4,1,6,200,150,18.13,1095.95,63.07,8450,air
8,1,5,200,150,19.77,1003.41,48.05,17892,air
5,1,5,200,150,18.86,1103.98,60.87,36087,air
3,1,6,200,150,18.82,1026.64,66.21,20292,air
1,1,6,200,150,20.01,1022.16,52.48,40816,air
7,1,7,320,150,20.27,1056.47,55.82,9145,air
6,1,7,320,150,19.38,1101.44,62.29,7240,air
2,1,7,320,150,19.33,1099.03,64.51,5685,air
4,1,7,320,150,18.18,1095.95,62.64,5685,air
5,1,6,200,150,18.92,1103.99,60.43,38706,air
8,1,6,200,150,19.83,1003.42,47.86,19213,air
3,1,7,320,150,18.88,1026.65,65.72,7818,air
1,1,7,320,150,20.05,1022.17,52.31,11356,air
7,1,8,320,150,20.33,1056.48,55.50,12459,air
6,1,8,320,150,19.45,1101.45,61.87,9975,air
2,1,8,320,150,19.39,1099.04,64.27,5685,air
4,1,8,320,150,18.25,1095.96,62.32,5685,air
3,1,8,320,150,18.94,1026.64,65.48,10760,air
5,1,7,320,150,18.97,1104.00,60.13,9756,air
8,1,7,320,150,19.88,1003.43,47.46,5685,air
1,1,8,320,150,20.11,1022.17,52.00,14925,air
7,1,9,320,150,20.40,1056.47,55.10,15694,air
6,1,9,320,150,19.51,1101.45,61.63,13158,air
2,1,9,320,150,19.45,1099.04,63.91,6262,air
4,1,9,320,150,18.31,1095.96,61.99,6894,air
3,1,9,320,150,19.00,1026.65,65.13,14172,air
8,1,8,320,150,19.94,1003.43,47.16,6810,air
5,1,8,320,150,19.03,1104.00,59.81,13182,air
1,1,9,320,150,20.16,1022.17,51.72,18105,air
7,2,0,320,150,20.46,1056.46,54.91,19620,air
6,2,0,320,150,19.57,1101.46,61.29,16873,air
2,2,0,320,150,19.51,1099.04,63.51,7773,air
4,2,0,320,150,18.37,1095.95,61.69,8504,air
3,2,0,320,150,19.06,1026.65,64.81,18433,air
8,1,9,320,150,20.00,1003.43,46.96,8178,air
5,1,9,320,150,19.10,1104.00,59.37,16662,air
1,2,0,320,150,20.21,1022.17,51.52,21828,air
7,2,1,100,150,20.51,1056.45,54.71,558495,air
6,2,1,100,150,19.62,1101.47,60.95,462407,air
2,2,1,100,150,19.56,1099.04,63.24,70679,air
3,2,1,100,150,19.11,1026.65,64.52,385833,air
8,2,0,320,150,20.06,1003.42,46.61,10003,air
5,2,0,320,150,19.16,1104.01,59.19,20806,air
1,2,1,100,150,20.26,1022.18,51.15,617053,air
7,2,2,100,150,20.52,1056.44,54.36,535705,air
6,2,2,100,150,19.63,1101.47,60.64,435559,air
2,2,2,100,150,19.57,1099.03,62.88,67761,air
4,2,2,100,150,18.44,1095.96,61.09,62363,air
3,2,2,100,150,19.13,1026.65,64.20,340199,air
8,2,1,100,150,20.12,1003.42,46.38,236982,air
5,2,1,100,150,19.21,1104.01,58.91,663857,air
7,2,3,100,150,20.52,1056.45,54.14,524590,air
1,2,2,100,150,20.27,1022.18,50.94,591908,air
6,2,3,100,150,19.64,1101.47,60.37,433073,air
2,2,3,100,150,19.57,1099.03,62.64,69021,air
4,2,3,100,150,18.44,1095.97,60.81,63194,air
3,2,3,100,150,19.13,1026.65,63.98,332900,air
7,2,4,200,150,20.52,1056.45,53.92,76509,air
8,2,2,100,150,20.13,1003.42,46.10,251103,air
1,2,3,100,150,20.27,1022.18,50.66,582812,air
5,2,2,100,150,19.22,1104.01,58.61,651192,air
6,2,4,200,150,19.64,1101.47,60.06,61776,air
2,2,4,200,150,19.57,1099.04,62.50,19231,air
4,2,4,200,150,18.45,1095.96,60.71,19144,air
3,2,4,200,150,19.13,1026.65,63.61,57066,air
7,2,5,200,150,20.55,1056.45,53.70,77977,air
8,2,3,100,150,20.14,1003.44,45.86,265148,air
6,2,5,200,150,19.66,1101.47,60.04,62409,air
5,2,3,100,150,19.23,1104.01,58.35,661285,air
2,2,5,200,150,19.59,1099.03,62.18,19127,air
4,2,5,200,150,18.47,1095.97,60.38,18708,air
3,2,5,200,150,19.15,1026.65,63.37,56876,air
7,2,6,200,150,20.58,1056.45,53.49,80175,air
1,2,5,200,150,20.30,1022.18,50.42,91038,air
6,2,6,200,150,19.70,1101.48,59.56,62868,air
8,2,4,200,150,20.15,1003.43,45.58,44615,air
5,2,4,200,150,19.23,1104.01,58.10,94903,air
2,2,6,200,150,19.62,1099.04,62.02,19162,air
4,2,6,200,150,18.50,1095.99,60.17,18824,air
3,2,6,200,150,19.19,1026.64,63.26,57066,air
7,2,7,320,150,20.62,1056.44,53.34,21498,air
6,2,7,320,150,19.73,1101.47,59.18,18291,air
1,2,6,200,150,20.33,1022.18,50.24,95916,air
8,2,5,200,150,20.18,1003.43,45.45,47717,air
5,2,5,200,150,19.26,1104.02,57.88,98405,air
2,2,7,320,150,19.65,1099.03,61.81,8600,air
4,2,7,320,150,18.53,1095.98,59.95,9257,air
3,2,7,320,150,19.22,1026.64,62.89,19765,air
7,2,8,320,150,20.67,1056.44,53.06,26332,air
6,2,8,320,150,19.78,1101.48,59.19,22543,air
1,2,7,320,150,20.36,1022.19,50.19,24197,air
8,2,6,200,150,20.21,1003.42,45.29,50098,air
2,2,8,320,150,19.70,1099.03,61.45,10652,air
4,2,8,320,150,18.58,1095.99,59.85,11368,air
7,2,9,320,150,20.72,1056.45,52.82,30513,air
3,2,8,320,150,19.27,1026.64,62.79,24888,air
6,2,9,320,150,19.83,1101.48,58.96,26999,air
1,2,8,320,150,20.40,1022.19,49.82,28381,air
8,2,7,320,150,20.24,1003.41,45.10,11343,air
2,2,9,320,150,19.74,1099.03,61.34,12919,air
5,2,7,320,150,19.33,1104.03,57.50,22543,air
4,2,9,320,150,18.63,1095.98,59.49,13832,air
7,3,0,320,150,20.77,1056.45,52.59,34316,air
3,2,9,320,150,19.32,1026.65,62.61,29358,air
6,3,0,320,150,19.87,1101.48,58.62,30710,air
1,2,9,320,150,20.45,1022.20,49.70,32463,air
2,3,0,320,150,19.79,1099.04,61.08,15159,air
8,2,8,320,150,20.29,1003.41,44.78,13620,air
4,3,0,320,150,18.68,1095.99,59.29,15988,air
5,2,8,320,150,19.38,1104.03,57.14,27808,air
7,3,1,100,150,20.81,1056.45,52.21,1335507,air
3,3,0,320,150,19.37,1026.65,62.35,33613,air
6,3,1,100,150,19.92,1101.48,58.12,1157716,air
1,3,0,320,150,20.49,1022.20,49.46,36302,air
2,3,1,100,150,19.83,1099.03,60.85,202412,air
8,2,9,320,150,20.34,1003.40,44.64,15752,air
5,2,9,320,150,19.42,1104.04,56.87,32413,air
3,3,1,100,150,19.41,1026.65,62.10,1029404,air
6,3,2,100,150,19.92,1101.48,58.14,1030181,air
1,3,1,100,150,20.53,1022.20,49.24,1373114,air
2,3,2,100,150,19.83,1099.03,60.71,181689,air
4,3,2,100,150,18.72,1095.98,58.83,158858,air
8,3,0,320,150,20.39,1003.40,44.60,17773,air
5,3,0,320,150,19.47,1104.04,56.72,36676,air
7,3,3,100,150,20.81,1056.45,51.87,1147982,air
3,3,2,100,150,19.41,1026.64,61.77,890435,air
6,3,3,100,150,19.91,1101.48,57.99,964673,air
1,3,2,100,150,20.53,1022.20,49.02,1237462,air
2,3,3,100,150,19.82,1099.02,60.52,179209,air
4,3,3,100,150,18.71,1095.97,58.59,154543,air
8,3,1,100,150,20.43,1003.41,44.05,549062,air
7,3,4,200,150,20.80,1056.45,51.73,135414,air
5,3,1,100,150,19.52,1104.05,56.47,1560976,air
6,3,4,200,150,19.90,1101.49,57.84,113224,air
2,3,4,200,150,19.81,1099.03,60.24,38152,air
4,3,4,200,150,18.71,1095.97,58.42,36803,air
7,3,5,200,150,20.83,1056.46,51.56,133403,air
8,3,2,100,150,20.44,1003.41,44.01,541656,air
5,3,2,100,150,19.53,1104.05,56.20,1409983,air
3,3,4,200,150,19.39,1026.64,61.37,111450,air
6,3,5,200,150,19.92,1101.50,57.62,108959,air
1,3,4,200,150,20.52,1022.19,48.75,149533,air
2,3,5,200,150,19.83,1099.03,60.09,36645,air
4,3,5,200,150,18.73,1095.97,58.28,35136,air
7,3,6,200,150,20.86,1056.45,51.63,132368,air
8,3,3,100,150,20.44,1003.41,43.81,540797,air
5,3,3,100,150,19.53,1104.05,56.05,1367613,air
3,3,5,200,150,19.42,1026.64,61.24,106445,air
6,3,6,200,150,19.95,1101.50,57.53,106445,air
2,3,6,200,150,19.85,1099.03,59.89,36117,air
7,3,7,320,150,20.89,1056.45,51.36,32587,air
8,3,4,200,150,20.44,1003.41,43.78,78697,air
5,3,4,200,150,19.52,1104.05,55.91,165642,air
6,3,7,320,150,19.98,1101.50,57.30,28306,air
3,3,6,200,150,19.44,1026.64,61.17,103665,air
2,3,7,320,150,19.88,1099.04,59.78,14669,air
1,3,6,200,150,20.57,1022.19,48.45,151659,air
4,3,7,320,150,18.78,1095.97,57.96,15366,air
7,3,8,320,150,20.94,1056.46,51.43,37780,air
8,3,5,200,150,20.47,1003.40,43.72,80554,air
6,3,8,320,150,20.03,1101.50,57.18,33746,air
3,3,7,320,150,19.47,1026.65,60.94,31227,air
5,3,5,200,150,19.55,1104.05,55.81,162488,air
2,3,8,320,150,19.92,1099.03,59.63,17382,air
1,3,7,320,150,20.60,1022.20,48.35,35369,air
4,3,8,320,150,18.82,1095.96,57.82,18135,air
7,3,9,320,150,20.98,1056.46,51.13,41857,air
6,3,9,320,150,20.07,1101.50,57.03,37647,air
8,3,6,200,150,20.50,1003.41,43.57,82982,air
3,3,8,320,150,19.51,1026.65,60.78,37058,air
5,3,6,200,150,19.57,1104.04,55.64,162025,air
2,3,9,320,150,19.96,1099.03,59.45,19839,air
1,3,8,320,150,20.64,1022.19,48.23,40050,air
4,3,9,320,150,18.86,1095.96,57.64,20506,air
7,4,0,320,150,21.03,1056.47,51.04,45812,air
6,4,0,320,150,20.12,1101.51,56.91,41012,air
8,3,7,320,150,20.53,1003.41,43.46,17862,air
3,3,9,320,150,19.56,1026.64,60.64,41694,air
5,3,7,320,150,19.60,1104.05,55.46,34567,air
2,4,0,320,150,20.01,1099.02,59.28,22145,air
