sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,22.81,1026.46,55.31,154683,air
2,0,1,100,150,22.05,1103.46,66.95,78697,air
3,0,1,100,150,21.60,1030.93,69.46,103101,air
4,0,1,100,150,20.90,1100.40,66.03,63288,air
7,0,1,100,150,22.59,1060.89,66.35,78264,air
5,0,1,100,150,21.47,1108.48,68.27,140659,air
2,0,2,100,150,22.11,1103.47,66.81,77341,air
1,0,2,100,150,22.86,1026.46,55.02,164208,air
3,0,2,100,150,21.66,1030.94,69.20,107518,air
4,0,2,100,150,20.96,1100.40,65.73,64925,air
5,0,2,100,150,21.52,1108.50,67.96,142539,air
8,0,2,100,150,22.30,1007.76,59.99,101026,air
2,0,3,100,150,22.16,1103.47,66.53,78407,air
1,0,3,100,150,22.91,1026.46,54.76,170781,air
4,0,3,100,150,21.01,1100.41,65.45,65574,air
7,0,3,100,150,22.71,1060.88,66.41,86604,air
3,0,3,100,150,21.71,1030.95,68.88,109238,air
5,0,3,100,150,21.57,1108.51,67.77,146958,air
8,0,3,100,150,22.35,1007.77,59.97,104044,air
2,0,4,200,150,22.20,1103.47,66.28,19283,air
6,0,4,200,150,22.02,1105.99,70.63,17144,air
7,0,4,200,150,22.76,1060.88,66.17,19300,air
1,0,4,200,150,22.94,1026.45,54.55,32487,air
3,0,4,200,150,21.76,1030.95,68.63,22760,air
4,0,4,200,150,21.06,1100.40,65.20,18135,air
5,0,4,200,150,21.62,1108.51,67.31,29935,air
8,0,4,200,150,22.39,1007.78,59.77,22906,air
2,0,5,200,150,22.25,1103.47,66.08,18774,air
6,0,5,200,150,22.07,1105.99,70.26,17354,air
7,0,5,200,150,22.81,1060.87,65.89,19512,air
1,0,5,200,150,22.98,1026.45,54.37,33666,air
3,0,5,200,150,21.80,1030.95,68.42,23898,air
4,0,5,200,150,21.11,1100.40,65.02,17354,air
8,0,5,200,150,22.44,1007.77,59.50,22980,air
7,0,6,200,150,22.85,1060.88,65.50,20157,air
4,0,6,200,150,21.16,1100.40,64.91,17255,air
6,0,6,200,150,22.12,1105.99,70.11,17568,air
3,0,6,200,150,21.84,1030.95,68.24,24060,air
1,0,6,200,150,23.02,1026.44,54.24,34015,air
5,0,6,200,150,21.71,1108.51,66.87,30666,air
8,0,6,200,150,22.47,1007.77,58.84,23594,air
7,1,0,320,150,23.00,1060.88,63.50,5685,air
6,1,0,320,150,22.23,1105.99,68.53,5685,air
2,1,0,320,150,22.41,1103.50,65.48,5685,air
4,1,0,320,150,21.29,1100.42,64.30,5685,air
3,1,0,320,150,21.95,1030.94,67.86,5685,air
1,1,0,320,150,23.12,1026.47,53.85,5685,air
5,1,0,320,150,21.84,1108.52,65.42,5685,air
8,1,0,320,150,22.59,1007.76,56.51,5685,air
6,1,1,100,150,22.31,1106.01,68.14,27862,air
4,1,1,100,150,21.37,1100.42,64.27,12085,air
3,1,1,100,150,22.03,1030.94,67.55,27450,air
1,1,1,100,150,23.18,1026.48,53.75,55399,air
7,1,2,100,150,23.11,1060.89,62.53,42022,air
5,1,1,100,150,21.91,1108.54,65.08,44337,air
8,1,1,100,150,22.66,1007.77,55.93,37383,air
6,1,2,100,150,22.35,1106.01,67.64,32438,air
2,1,2,100,150,22.52,1103.50,65.03,11503,air
4,1,2,100,150,21.40,1100.42,63.84,12726,air
3,1,2,100,150,22.06,1030.95,67.33,29935,air
1,1,2,100,150,23.21,1026.47,53.58,61598,air
7,1,3,100,150,23.14,1060.89,62.02,48039,air
6,1,3,100,150,22.37,1106.01,67.31,36457,air
5,1,2,100,150,21.95,1108.54,64.64,53389,air
8,1,2,100,150,22.69,1007.77,55.36,44615,air
2,1,3,100,150,22.54,1103.50,64.79,12688,air
4,1,3,100,150,21.43,1100.42,64.00,13611,air
3,1,3,100,150,22.08,1030.95,67.26,32812,air
1,1,3,100,150,23.22,1026.48,53.43,68139,air
7,1,4,200,150,23.16,1060.89,61.66,11073,air
6,1,4,200,150,22.39,1106.01,66.86,8470,air
2,1,4,200,150,22.56,1103.50,64.75,5685,air
5,1,3,100,150,21.98,1108.54,64.23,60335,air
8,1,3,100,150,22.71,1007.76,54.73,51707,air
4,1,4,200,150,21.45,1100.42,63.56,5703,air
3,1,4,200,150,22.10,1030.95,66.95,9022,air
1,1,4,200,150,23.23,1026.48,53.28,15614,air
7,1,5,200,150,23.21,1060.88,61.17,12064,air
6,1,5,200,150,22.43,1106.02,66.45,9045,air
2,1,5,200,150,22.60,1103.51,64.51,5685,air
4,1,5,200,150,21.49,1100.42,63.41,5912,air
5,1,4,200,150,22.00,1108.54,63.88,13431,air
8,1,4,200,150,22.73,1007.76,54.26,11107,air
3,1,5,200,150,22.14,1030.96,66.68,9529,air
1,1,5,200,150,23.27,1026.49,53.06,16728,air
7,1,6,200,150,23.25,1060.88,60.67,12688,air
6,1,6,200,150,22.48,1106.01,66.03,9564,air
2,1,6,200,150,22.65,1103.50,64.30,5685,air
4,1,6,200,150,21.54,1100.42,63.05,5978,air
5,1,5,200,150,22.04,1108.55,63.65,14509,air
8,1,5,200,150,22.77,1007.77,53.78,12105,air
3,1,6,200,150,22.18,1030.96,66.33,9975,air
1,1,6,200,150,23.30,1026.49,52.82,17817,air
7,1,7,320,150,23.30,1060.87,60.32,5685,air
6,1,7,320,150,22.51,1106.01,65.61,5685,air
2,1,7,320,150,22.68,1103.50,64.25,5685,air
