sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,24.04,1020.12,51.47,279476,basil
2,0,1,100,150,23.30,1096.99,62.56,72235,basil
3,0,1,100,150,22.76,1024.45,64.74,138603,basil
4,0,1,100,150,22.09,1093.94,61.40,59246,basil
6,0,1,100,150,22.80,1099.51,62.24,112701,basil
7,0,1,100,150,23.50,1054.37,56.78,168089,basil
5,0,1,100,150,22.43,1102.08,60.56,235673,basil
8,0,1,100,150,23.13,1001.32,48.98,182271,basil
2,0,2,100,150,23.36,1096.97,62.51,72914,basil
1,0,2,100,150,24.10,1020.12,51.42,296468,basil
3,0,2,100,150,22.82,1024.46,64.66,141008,basil
4,0,2,100,150,22.15,1093.93,61.47,59618,basil
7,0,2,100,150,23.56,1054.38,56.72,176430,basil
5,0,2,100,150,22.49,1102.08,60.47,240658,basil
1,0,3,100,150,24.14,1020.13,51.35,302779,basil
4,0,3,100,150,22.20,1093.93,61.31,62000,basil
3,0,3,100,150,22.87,1024.46,64.74,143982,basil
6,0,3,100,150,22.91,1099.52,62.08,126108,basil
7,0,3,100,150,23.62,1054.39,56.64,185642,basil
5,0,3,100,150,22.54,1102.09,60.41,254473,basil
8,0,3,100,150,23.23,1001.33,48.88,205581,basil
2,0,4,200,150,23.45,1096.96,62.39,19162,basil
7,0,4,200,150,23.67,1054.38,56.64,32537,basil
1,0,4,200,150,24.18,1020.13,51.27,50935,basil
4,0,4,200,150,22.24,1093.92,61.23,17892,basil
6,0,4,200,150,22.96,1099.53,62.07,24376,basil
3,0,4,200,150,22.91,1024.46,64.55,29480,basil
5,0,4,200,150,22.58,1102.11,60.40,43523,basil
2,0,5,200,150,23.50,1096.95,62.33,18291,basil
6,0,5,200,150,23.01,1099.54,61.97,24830,basil
7,0,5,200,150,23.72,1054.40,56.59,32762,basil
4,0,5,200,150,22.29,1093.92,61.14,17311,basil
1,0,5,200,150,24.23,1020.14,51.23,51519,basil
3,0,5,200,150,22.96,1024.45,64.53,29338,basil
5,0,5,200,150,22.63,1102.11,60.21,43881,basil
8,0,5,200,150,23.33,1001.33,48.79,36930,basil
2,0,6,200,150,23.54,1096.93,62.27,17817,basil
7,0,6,200,150,23.77,1054.38,56.50,33273,basil
6,0,6,200,150,23.05,1099.55,61.88,24859,basil
4,0,6,200,150,22.33,1093.91,61.10,17062,basil
3,0,6,200,150,23.00,1024.46,64.35,29117,basil
1,0,6,200,150,24.26,1020.15,51.13,53422,basil
5,0,6,200,150,22.67,1102.12,60.19,44337,basil
8,0,6,200,150,23.37,1001.34,48.70,37285,basil
7,1,0,320,150,23.93,1054.38,56.12,5780,basil
6,1,0,320,150,23.19,1099.55,61.56,5685,basil
2,1,0,320,150,23.66,1096.94,61.98,5685,basil
4,1,0,320,150,22.47,1093.92,60.75,5685,basil
3,1,0,320,150,23.13,1024.46,63.88,5685,basil
1,1,0,320,150,24.38,1020.16,50.89,8286,basil
5,1,0,320,150,22.80,1102.12,59.90,6583,basil
8,1,0,320,150,23.52,1001.35,48.31,5685,basil
7,1,1,100,150,24.01,1054.38,56.12,109168,basil
6,1,1,100,150,23.27,1099.56,61.40,72052,basil
2,1,1,100,150,23.74,1096.96,61.90,15893,basil
4,1,1,100,150,22.55,1093.93,60.52,16741,basil
3,1,1,100,150,23.20,1024.47,63.92,56425,basil
1,1,1,100,150,24.45,1020.16,50.76,151390,basil
5,1,1,100,150,22.88,1102.12,59.78,129456,basil
7,1,2,100,150,24.05,1054.39,56.01,117755,basil
8,1,1,100,150,23.59,1001.35,48.33,110369,basil
6,1,2,100,150,23.31,1099.56,61.35,79208,basil
2,1,2,100,150,23.77,1096.95,61.76,16688,basil
4,1,2,100,150,22.58,1093.94,60.45,17368,basil
3,1,2,100,150,23.24,1024.46,63.77,58116,basil
7,1,3,100,150,24.08,1054.39,55.90,127808,basil
5,1,2,100,150,22.91,1102.13,59.57,146077,basil
8,1,2,100,150,23.63,1001.35,48.23,122664,basil
2,1,3,100,150,23.80,1096.96,61.69,18401,basil
4,1,3,100,150,22.61,1093.95,60.42,18941,basil
3,1,3,100,150,23.27,1024.47,63.61,61866,basil
1,1,3,100,150,24.50,1020.17,50.57,172159,basil
7,1,4,200,150,24.11,1054.38,55.75,22808,basil
6,1,4,200,150,23.37,1099.56,61.05,15846,basil
2,1,4,200,150,23.82,1096.96,61.61,6711,basil
5,1,3,100,150,22.94,1102.14,59.57,159006,basil
4,1,4,200,150,22.64,1093.95,60.31,7426,basil
3,1,4,200,150,23.29,1024.47,63.54,14946,basil
1,1,4,200,150,24.52,1020.16,50.54,32291,basil
7,1,5,200,150,24.16,1054.39,55.83,24128,basil
6,1,5,200,150,23.41,1099.57,60.99,16495,basil
2,1,5,200,150,23.86,1096.96,61.78,6827,basil
4,1,5,200,150,22.68,1093.95,60.25,7355,basil
5,1,4,200,150,22.97,1102.13,59.54,28009,basil
8,1,4,200,150,23.69,1001.34,48.03,23647,basil
3,1,5,200,150,23.34,1024.47,63.39,15311,basil
1,1,5,200,150,24.56,1020.17,50.42,34152,basil
7,1,6,200,150,24.20,1054.39,55.57,24990,basil
6,1,6,200,150,23.46,1099.57,60.92,17117,basil
2,1,6,200,150,23.91,1096.97,61.43,7011,basil
4,1,6,200,150,22.73,1093.95,60.17,7452,basil
5,1,5,200,150,23.01,1102.14,59.36,29500,basil
8,1,5,200,150,23.74,1001.34,47.95,24830,basil
3,1,6,200,150,23.38,1024.47,63.30,15799,basil
1,1,6,200,150,24.60,1020.18,50.35,35754,basil
7,1,7,320,150,24.25,1054.40,55.51,7645,basil
6,1,7,320,150,23.50,1099.59,60.78,5685,basil
2,1,7,320,150,23.95,1096.98,61.31,5685,basil
4,1,7,320,150,22.77,1093.96,59.99,5685,basil
5,1,6,200,150,23.06,1102.14,59.19,31000,basil
8,1,6,200,150,23.78,1001.34,47.86,26171,basil
3,1,7,320,150,23.42,1024.47,63.21,6165,basil
1,1,7,320,150,24.63,1020.18,50.34,10323,basil
7,1,8,320,150,24.31,1054.40,55.42,10069,basil
6,1,8,320,150,23.56,1099.59,60.68,7853,basil
2,1,8,320,150,24.00,1096.98,61.41,5685,basil
4,1,8,320,150,22.82,1093.96,59.93,5685,basil
5,1,7,320,150,23.10,1102.14,59.16,8331,basil
8,1,7,320,150,23.83,1001.35,47.73,7334,basil
3,1,8,320,150,23.48,1024.48,63.09,8172,basil
1,1,8,320,150,24.68,1020.18,50.18,13215,basil
7,1,9,320,150,24.37,1054.40,55.34,12666,basil
6,1,9,320,150,23.61,1099.59,60.72,9685,basil
2,1,9,320,150,24.05,1096.99,61.03,5685,basil
4,1,9,320,150,22.88,1093.97,59.80,5685,basil
3,1,9,320,150,23.53,1024.48,63.05,10233,basil
5,1,8,320,150,23.16,1102.14,59.04,10836,basil
8,1,8,320,150,23.89,1001.35,47.66,9547,basil
1,1,9,320,150,24.73,1020.18,50.09,15857,basil
7,2,0,320,150,24.42,1054.40,55.08,15706,basil
6,2,0,320,150,23.66,1099.60,60.51,12480,basil
2,2,0,320,150,24.10,1097.00,61.01,5685,basil
4,2,0,320,150,22.93,1093.97,59.66,6440,basil
3,2,0,320,150,23.58,1024.48,62.84,13339,basil
5,1,9,320,150,23.21,1102.15,58.93,13690,basil
8,1,9,320,150,23.94,1001.36,47.56,11949,basil
1,2,0,320,150,24.77,1020.19,50.16,18873,basil
7,2,1,100,150,24.47,1054.40,55.06,394074,basil
6,2,1,100,150,23.71,1099.60,60.26,285794,basil
2,2,1,100,150,24.14,1097.00,60.90,42996,basil
4,2,1,100,150,22.97,1093.97,59.52,41411,basil
8,2,0,320,150,23.99,1001.37,47.45,14699,basil
5,2,0,320,150,23.26,1102.15,58.82,17035,basil
1,2,1,100,150,24.81,1020.19,49.91,460846,basil
7,2,2,100,150,24.47,1054.40,54.90,376471,basil
6,2,2,100,150,23.71,1099.61,60.31,272558,basil
2,2,2,100,150,24.14,1097.00,60.80,41899,basil
3,2,2,100,150,23.62,1024.48,62.60,193573,basil
5,2,1,100,150,23.31,1102.15,58.73,483361,basil
8,2,1,100,150,24.04,1001.37,47.34,397284,basil
1,2,2,100,150,24.81,1020.19,49.84,437513,basil
6,2,3,100,150,23.70,1099.60,60.10,270399,basil
2,2,3,100,150,24.13,1096.99,60.74,43746,basil
4,2,3,100,150,22.96,1093.97,59.34,42314,basil
3,2,3,100,150,23.61,1024.48,62.52,192264,basil
8,2,2,100,150,24.04,1001.37,47.24,386051,basil
1,2,3,100,150,24.80,1020.19,49.85,431703,basil
5,2,2,100,150,23.31,1102.15,58.60,473636,basil
6,2,4,200,150,23.69,1099.60,60.03,38882,basil
2,2,4,200,150,24.11,1097.00,60.73,13109,basil
3,2,4,200,150,23.60,1024.48,62.46,35516,basil
7,2,5,200,150,24.47,1054.40,54.75,52567,basil
1,2,4,200,150,24.79,1020.18,49.68,67333,basil
8,2,3,100,150,24.04,1001.37,47.17,385833,basil
6,2,5,200,150,23.71,1099.60,59.95,39348,basil
2,2,5,200,150,24.13,1097.00,60.64,12911,basil
4,2,5,200,150,22.96,1093.97,59.22,13231,basil
3,2,5,200,150,23.62,1024.48,62.40,34679,basil
7,2,6,200,150,24.50,1054.40,54.70,52991,basil
1,2,5,200,150,24.81,1020.19,49.65,69021,basil
6,2,6,200,150,23.73,1099.61,59.94,38186,basil
5,2,4,200,150,23.30,1102.15,58.39,66494,basil
2,2,6,200,150,24.15,1097.00,60.66,13013,basil
4,2,6,200,150,22.98,1093.97,59.17,13215,basil
3,2,6,200,150,23.64,1024.47,62.33,34344,basil
7,2,7,320,150,24.52,1054.39,54.64,16012,basil
6,2,7,320,150,23.76,1099.62,59.84,12643,basil
1,2,6,200,150,24.83,1020.18,49.63,69984,basil
8,2,5,200,150,24.06,1001.36,47.09,56425,basil
5,2,5,200,150,23.32,1102.16,58.50,66442,basil
2,2,7,320,150,24.17,1097.00,60.49,5755,basil
