sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,21.87,1020.03,49.12,519007,basil
2,0,1,100,150,21.12,1096.77,60.16,106379,basil
3,0,1,100,150,20.54,1024.43,62.64,247463,basil
6,0,1,100,150,20.48,1099.31,59.95,194566,basil
7,0,1,100,150,21.30,1054.26,54.02,220168,basil
5,0,1,100,150,20.17,1101.86,58.25,383880,basil
8,0,1,100,150,20.89,1001.25,46.41,273870,basil
2,0,2,100,150,21.18,1096.79,60.06,105851,basil
1,0,2,100,150,21.93,1020.03,49.15,524590,basil
3,0,2,100,150,20.60,1024.43,62.76,246391,basil
4,0,2,100,150,19.92,1093.81,59.34,82025,basil
6,0,2,100,150,20.55,1099.31,59.94,206452,basil
7,0,2,100,150,21.36,1054.26,54.00,234540,basil
5,0,2,100,150,20.23,1101.87,58.26,411658,basil
8,0,2,100,150,20.95,1001.25,46.38,297761,basil
2,0,3,100,150,21.23,1096.79,60.15,105133,basil
1,0,3,100,150,21.98,1020.04,49.16,528653,basil
4,0,3,100,150,19.97,1093.81,59.20,81399,basil
3,0,3,100,150,20.65,1024.43,62.76,246569,basil
6,0,3,100,150,20.61,1099.32,59.86,213289,basil
7,0,3,100,150,21.42,1054.26,53.92,246391,basil
5,0,3,100,150,20.27,1101.87,58.11,435837,basil
8,0,3,100,150,21.00,1001.25,46.21,301442,basil
2,0,4,200,150,21.28,1096.80,60.02,24715,basil
7,0,4,200,150,21.47,1054.26,53.80,41091,basil
4,0,4,200,150,20.02,1093.81,59.28,21369,basil
6,0,4,200,150,20.66,1099.32,59.77,36898,basil
1,0,4,200,150,22.02,1020.04,49.13,78120,basil
3,0,4,200,150,20.69,1024.42,62.75,43746,basil
5,0,4,200,150,20.31,1101.88,58.04,67493,basil
8,0,4,200,150,21.04,1001.26,46.18,50275,basil
2,0,5,200,150,21.32,1096.80,60.00,22808,basil
7,0,5,200,150,21.52,1054.26,53.75,41290,basil
4,0,5,200,150,20.07,1093.81,59.28,20234,basil
6,0,5,200,150,20.71,1099.33,59.71,36302,basil
1,0,5,200,150,22.06,1020.04,49.12,78407,basil
3,0,5,200,150,20.74,1024.42,62.65,42824,basil
5,0,5,200,150,20.36,1101.89,58.09,66701,basil
8,0,5,200,150,21.10,1001.27,46.09,50573,basil
2,0,6,200,150,21.37,1096.81,59.89,21873,basil
7,0,6,200,150,21.58,1054.26,53.70,41981,basil
4,0,6,200,150,20.12,1093.81,59.24,19674,basil
6,0,6,200,150,20.75,1099.33,59.66,35965,basil
3,0,6,200,150,20.78,1024.42,62.81,42356,basil
1,0,6,200,150,22.10,1020.05,49.06,77693,basil
5,0,6,200,150,20.40,1101.90,57.99,66338,basil
8,0,6,200,150,21.14,1001.26,45.96,50186,basil
7,1,0,320,150,21.73,1054.27,53.84,7143,basil
6,1,0,320,150,20.90,1099.34,59.87,5685,basil
2,1,0,320,150,21.50,1096.82,60.17,5685,basil
4,1,0,320,150,20.25,1093.83,59.40,5685,basil
3,1,0,320,150,20.91,1024.42,63.21,5899,basil
1,1,0,320,150,22.21,1020.06,49.52,9572,basil
5,1,0,320,150,20.55,1101.93,58.38,7970,basil
8,1,0,320,150,21.30,1001.27,46.36,6832,basil
7,1,1,100,150,21.82,1054.28,53.95,139055,basil
6,1,1,100,150,20.98,1099.35,60.02,101992,basil
2,1,1,100,150,21.57,1096.82,60.28,16688,basil
4,1,1,100,150,20.33,1093.83,59.60,16741,basil
3,1,1,100,150,20.99,1024.42,63.49,69641,basil
1,1,1,100,150,22.28,1020.07,49.72,184040,basil
7,1,2,100,150,21.87,1054.29,53.91,151390,basil
5,1,1,100,150,20.62,1101.94,58.64,165161,basil
8,1,1,100,150,21.38,1001.28,46.45,137487,basil
6,1,2,100,150,21.02,1099.36,60.25,109659,basil
2,1,2,100,150,21.61,1096.81,60.38,17467,basil
4,1,2,100,150,20.37,1093.84,59.82,17396,basil
3,1,2,100,150,21.03,1024.42,63.72,70914,basil
1,1,2,100,150,22.31,1020.07,50.00,194234,basil
7,1,3,100,150,21.90,1054.29,54.08,162798,basil
6,1,3,100,150,21.06,1099.37,60.29,117109,basil
5,1,2,100,150,20.67,1101.94,58.76,182077,basil
8,1,2,100,150,21.43,1001.29,46.58,155105,basil
2,1,3,100,150,21.63,1096.82,60.58,18708,basil
3,1,3,100,150,21.06,1024.43,64.20,73924,basil
1,1,3,100,150,22.34,1020.08,50.22,203376,basil
7,1,4,200,150,21.93,1054.30,54.21,29018,basil
6,1,4,200,150,21.08,1099.37,60.51,21032,basil
2,1,4,200,150,21.65,1096.82,60.68,6827,basil
5,1,3,100,150,20.70,1101.95,59.13,199222,basil
8,1,3,100,150,21.46,1001.28,46.76,170100,basil
4,1,4,200,150,20.43,1093.83,60.23,7309,basil
3,1,4,200,150,21.08,1024.44,64.28,17817,basil
1,1,4,200,150,22.36,1020.07,50.44,37647,basil
7,1,5,200,150,21.99,1054.30,54.38,30447,basil
6,1,5,200,150,21.13,1099.38,60.67,21895,basil
2,1,5,200,150,21.70,1096.82,61.06,6889,basil
4,1,5,200,150,20.48,1093.84,60.58,7225,basil
5,1,4,200,150,20.73,1101.95,59.38,35340,basil
8,1,4,200,150,21.49,1001.28,46.93,29541,basil
3,1,5,200,150,21.13,1024.44,64.69,18059,basil
1,1,5,200,150,22.40,1020.08,50.87,39385,basil
7,1,6,200,150,22.04,1054.30,54.60,31574,basil
6,1,6,200,150,21.19,1099.38,60.91,22711,basil
2,1,6,200,150,21.74,1096.84,61.27,7072,basil
4,1,6,200,150,20.52,1093.84,60.81,7334,basil
8,1,5,200,150,21.54,1001.28,47.13,31273,basil
3,1,6,200,150,21.18,1024.44,64.89,18610,basil
1,1,6,200,150,22.44,1020.09,51.06,41171,basil
