sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,23.29,1019.40,48.54,253340,cinnamon
2,0,1,100,150,22.52,1096.19,59.69,58959,cinnamon
3,0,1,100,150,22.00,1023.72,61.16,126576,cinnamon
4,0,1,100,150,21.30,1093.14,58.44,46562,cinnamon
6,0,1,100,150,21.95,1098.73,59.50,90652,cinnamon
8,0,1,100,150,22.31,1000.60,46.60,140544,cinnamon
2,0,2,100,150,22.58,1096.20,59.61,59328,cinnamon
1,0,2,100,150,23.34,1019.41,48.52,266597,cinnamon
3,0,2,100,150,22.05,1023.71,61.15,132368,cinnamon
4,0,2,100,150,21.36,1093.15,58.29,47743,cinnamon
6,0,2,100,150,22.01,1098.73,59.44,96951,cinnamon
8,0,2,100,150,22.36,1000.60,46.56,153431,cinnamon
2,0,3,100,150,22.63,1096.21,59.56,60549,cinnamon
3,0,3,100,150,22.10,1023.71,61.16,130247,cinnamon
4,0,3,100,150,21.42,1093.16,58.34,50127,cinnamon
6,0,3,100,150,22.07,1098.74,59.23,101326,cinnamon
7,0,3,100,150,22.80,1053.65,54.29,154823,cinnamon
5,0,3,100,150,21.71,1101.31,57.81,204106,cinnamon
8,0,3,100,150,22.41,1000.61,46.43,161872,cinnamon
4,0,4,200,150,21.46,1093.16,58.24,15126,cinnamon
6,0,4,200,150,22.12,1098.75,59.24,19692,cinnamon
7,0,4,200,150,22.85,1053.64,54.16,27628,cinnamon
1,0,4,200,150,23.42,1019.42,48.35,46767,cinnamon
3,0,4,200,150,22.15,1023.70,61.10,26745,cinnamon
5,0,4,200,150,21.76,1101.31,57.81,37155,cinnamon
8,0,4,200,150,22.46,1000.61,46.45,29257,cinnamon
2,0,5,200,150,22.72,1096.22,59.41,15377,cinnamon
6,0,5,200,150,22.16,1098.75,59.21,19674,cinnamon
7,0,5,200,150,22.91,1053.64,54.16,28231,cinnamon
4,0,5,200,150,21.51,1093.15,58.13,14295,cinnamon
1,0,5,200,150,23.47,1019.42,48.31,47320,cinnamon
3,0,5,200,150,22.19,1023.71,60.97,26397,cinnamon
5,0,5,200,150,21.80,1101.32,57.63,36271,cinnamon
8,0,5,200,150,22.51,1000.62,46.33,29378,cinnamon
2,0,6,200,150,22.77,1096.22,59.33,14801,cinnamon
7,0,6,200,150,22.95,1053.64,54.01,28194,cinnamon
6,0,6,200,150,22.21,1098.75,59.14,19638,cinnamon
4,0,6,200,150,21.55,1093.15,58.07,13886,cinnamon
3,0,6,200,150,22.24,1023.71,60.99,26235,cinnamon
1,0,6,200,150,23.50,1019.43,48.30,48066,cinnamon
5,0,6,200,150,21.84,1101.32,57.61,36962,cinnamon
8,0,6,200,150,22.55,1000.62,46.25,29767,cinnamon
7,1,0,320,150,23.11,1053.65,53.69,5685,cinnamon
6,1,0,320,150,22.34,1098.75,58.79,5685,cinnamon
2,1,0,320,150,22.89,1096.21,58.95,5685,cinnamon
4,1,0,320,150,21.69,1093.14,57.74,5685,cinnamon
3,1,0,320,150,22.36,1023.71,60.59,5685,cinnamon
1,1,0,320,150,23.61,1019.42,47.94,6616,cinnamon
5,1,0,320,150,21.98,1101.32,57.28,5685,cinnamon
