sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,20.91,1019.61,54.96,461781,cinnamon
2,0,1,100,150,20.14,1096.35,66.49,80025,cinnamon
3,0,1,100,150,19.54,1023.97,69.33,214900,cinnamon
4,0,1,100,150,18.83,1093.29,66.23,60506,cinnamon
6,0,1,100,150,19.45,1098.86,67.98,175163,cinnamon
7,0,1,100,150,20.21,1053.80,61.97,205334,cinnamon
5,0,1,100,150,19.09,1101.37,66.68,351769,cinnamon
8,0,1,100,150,19.83,1000.83,53.86,266181,cinnamon
2,0,2,100,150,20.20,1096.35,66.36,79134,cinnamon
1,0,2,100,150,20.97,1019.61,54.94,453800,cinnamon
3,0,2,100,150,19.60,1023.97,69.13,209621,cinnamon
4,0,2,100,150,18.89,1093.30,66.08,61069,cinnamon
6,0,2,100,150,19.51,1098.85,67.73,185239,cinnamon
7,0,2,100,150,20.28,1053.81,61.80,216536,cinnamon
5,0,2,100,150,19.15,1101.37,66.39,382375,cinnamon
8,0,2,100,150,19.89,1000.84,53.64,278337,cinnamon
2,0,3,100,150,20.25,1096.36,66.21,80402,cinnamon
1,0,3,100,150,21.02,1019.61,54.83,480977,cinnamon
4,0,3,100,150,18.95,1093.30,65.87,62272,cinnamon
3,0,3,100,150,19.66,1023.97,69.12,215171,cinnamon
6,0,3,100,150,19.57,1098.86,67.40,192264,cinnamon
7,0,3,100,150,20.34,1053.81,61.52,233897,cinnamon
5,0,3,100,150,19.21,1101.37,66.09,391812,cinnamon
8,0,3,100,150,19.95,1000.85,53.50,283421,cinnamon
2,0,4,200,150,20.30,1096.36,66.11,20566,cinnamon
4,0,4,200,150,19.00,1093.31,65.75,17983,cinnamon
6,0,4,200,150,19.63,1098.86,67.18,33880,cinnamon
1,0,4,200,150,21.06,1019.62,54.66,69584,cinnamon
3,0,4,200,150,19.70,1023.98,68.85,39641,cinnamon
5,0,4,200,150,19.26,1101.38,65.73,61911,cinnamon
8,0,4,200,150,20.01,1000.85,53.17,47033,cinnamon
2,0,5,200,150,20.35,1096.36,65.98,19042,cinnamon
7,0,5,200,150,20.46,1053.83,61.07,38084,cinnamon
6,0,5,200,150,19.69,1098.87,66.94,33143,cinnamon
1,0,5,200,150,21.11,1019.63,54.53,69869,cinnamon
5,0,5,200,150,19.31,1101.39,65.49,61731,cinnamon
8,0,5,200,150,20.06,1000.85,52.97,46562,cinnamon
2,0,6,200,150,20.40,1096.37,65.79,17937,cinnamon
7,0,6,200,150,20.52,1053.84,60.87,38016,cinnamon
6,0,6,200,150,19.74,1098.86,66.69,32990,cinnamon
4,0,6,200,150,19.10,1093.32,65.23,15988,cinnamon
3,0,6,200,150,19.80,1023.98,68.40,37847,cinnamon
1,0,6,200,150,21.16,1019.63,54.38,69133,cinnamon
5,0,6,200,150,19.37,1101.40,65.18,59911,cinnamon
8,0,6,200,150,20.12,1000.85,52.59,46461,cinnamon
7,1,0,320,150,20.71,1053.84,60.07,5685,cinnamon
6,1,0,320,150,19.90,1098.89,65.70,5685,cinnamon
2,1,0,320,150,20.55,1096.39,65.15,5685,cinnamon
4,1,0,320,150,19.26,1093.33,64.40,5685,cinnamon
3,1,0,320,150,19.95,1023.99,67.48,5685,cinnamon
1,1,0,320,150,21.29,1019.64,53.70,5882,cinnamon
5,1,0,320,150,19.53,1101.43,64.23,5685,cinnamon
8,1,0,320,150,20.30,1000.86,51.87,5685,cinnamon
7,1,1,100,150,20.81,1053.86,59.87,78624,cinnamon
6,1,1,100,150,19.99,1098.89,65.38,57919,cinnamon
2,1,1,100,150,20.64,1096.39,64.98,8663,cinnamon
4,1,1,100,150,19.35,1093.34,64.20,8423,cinnamon
3,1,1,100,150,20.04,1024.00,67.26,35754,cinnamon
7,1,2,100,150,20.86,1053.87,59.72,87942,cinnamon
5,1,1,100,150,19.62,1101.43,63.99,96241,cinnamon
8,1,1,100,150,20.39,1000.86,51.82,77132,cinnamon
