sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,24.15,1024.09,51.95,176066,oregano
2,0,1,100,150,23.40,1101.00,63.47,75161,oregano
4,0,1,100,150,22.22,1097.93,61.98,63101,oregano
6,0,1,100,150,22.90,1103.52,62.76,77132,oregano
7,0,1,100,150,23.58,1058.38,57.48,95327,oregano
8,0,1,100,150,23.20,1005.29,49.50,106578,oregano
2,0,2,100,150,23.45,1100.99,63.40,76032,oregano
3,0,2,100,150,22.96,1028.47,64.86,109871,oregano
4,0,2,100,150,22.28,1097.94,61.86,64679,oregano
6,0,2,100,150,22.96,1103.53,62.68,82982,oregano
5,0,2,100,150,22.59,1106.07,61.07,149927,oregano
8,0,2,100,150,23.26,1005.30,49.23,117512,oregano
2,0,3,100,150,23.50,1100.99,63.39,78552,oregano
1,0,3,100,150,24.24,1024.09,51.90,187271,oregano
3,0,3,100,150,23.01,1028.48,64.76,111377,oregano
4,0,3,100,150,22.33,1097.96,61.80,65827,oregano
6,0,3,100,150,23.01,1103.53,62.43,84796,oregano
7,0,3,100,150,23.70,1058.38,57.35,108890,oregano
8,0,3,100,150,23.31,1005.29,49.26,121876,oregano
4,0,4,200,150,22.38,1097.96,61.65,18307,oregano
6,0,4,200,150,23.06,1103.54,62.56,18074,oregano
7,0,4,200,150,23.75,1058.39,57.37,21241,oregano
1,0,4,200,150,24.28,1024.09,51.68,34792,oregano
3,0,4,200,150,23.06,1028.48,64.60,23621,oregano
5,0,4,200,150,22.69,1106.08,60.93,30843,oregano
8,0,4,200,150,23.36,1005.30,49.20,24488,oregano
2,0,5,200,150,23.59,1100.99,63.12,18370,oregano
4,0,5,200,150,22.43,1097.97,61.54,17453,oregano
6,0,5,200,150,23.11,1103.54,62.42,18244,oregano
7,0,5,200,150,23.80,1058.40,57.14,21695,oregano
1,0,5,200,150,24.32,1024.09,51.61,35665,oregano
3,0,5,200,150,23.10,1028.49,64.53,23542,oregano
5,0,5,200,150,22.73,1106.09,60.84,30978,oregano
8,0,5,200,150,23.40,1005.30,49.16,24976,oregano
2,0,6,200,150,23.63,1100.99,63.01,17952,oregano
7,0,6,200,150,23.85,1058.41,57.06,22077,oregano
4,0,6,200,150,22.47,1097.98,61.58,16981,oregano
6,0,6,200,150,23.15,1103.55,62.29,18275,oregano
3,0,6,200,150,23.14,1028.50,64.42,23912,oregano
1,0,6,200,150,24.36,1024.10,51.59,36302,oregano
5,0,6,200,150,22.77,1106.10,60.74,31227,oregano
8,0,6,200,150,23.45,1005.31,49.13,24932,oregano
7,1,0,320,150,24.00,1058.40,56.70,5685,oregano
6,1,0,320,150,23.28,1103.58,61.95,5685,oregano
2,1,0,320,150,23.75,1101.00,62.63,5685,oregano
4,1,0,320,150,22.60,1098.00,61.07,5685,oregano
3,1,0,320,150,23.26,1028.50,63.97,5685,oregano
1,1,0,320,150,24.46,1024.10,51.23,5685,oregano
5,1,0,320,150,22.90,1106.11,60.35,5685,oregano
8,1,0,320,150,23.59,1005.31,48.70,5685,oregano
7,1,1,100,150,24.08,1058.40,56.53,47425,oregano
6,1,1,100,150,23.36,1103.59,61.80,33066,oregano
2,1,1,100,150,23.82,1101.02,62.52,12105,oregano
3,1,1,100,150,23.34,1028.51,63.96,32315,oregano
7,1,2,100,150,24.12,1058.40,56.46,51613,oregano
6,1,2,100,150,23.40,1103.59,61.65,36333,oregano
4,1,2,100,150,22.71,1098.01,60.75,13568,oregano
3,1,2,100,150,23.37,1028.51,63.70,33561,oregano
1,1,2,100,150,24.56,1024.11,51.04,78335,oregano
7,1,3,100,150,24.15,1058.39,56.33,55507,oregano
5,1,2,100,150,23.01,1106.12,60.14,62046,oregano
6,1,3,100,150,23.43,1103.58,61.57,38776,oregano
2,1,3,100,150,23.88,1101.03,62.37,13069,oregano
8,1,2,100,150,23.70,1005.31,48.53,53997,oregano
4,1,3,100,150,22.74,1098.01,60.66,14153,oregano
3,1,3,100,150,23.40,1028.50,63.48,35340,oregano
1,1,3,100,150,24.58,1024.10,50.92,83144,oregano
6,1,4,200,150,23.45,1103.58,61.44,8457,oregano
2,1,4,200,150,23.90,1101.03,62.28,5685,oregano
5,1,3,100,150,23.04,1106.12,60.03,67280,oregano
8,1,3,100,150,23.73,1005.31,48.42,58878,oregano
4,1,4,200,150,22.75,1098.01,60.59,5968,oregano
3,1,4,200,150,23.41,1028.50,63.57,9379,oregano
1,1,4,200,150,24.59,1024.11,50.86,18059,oregano
7,1,5,200,150,24.22,1058.39,56.23,12561,oregano
6,1,5,200,150,23.49,1103.58,61.37,8850,oregano
2,1,5,200,150,23.94,1101.03,62.08,5685,oregano
4,1,5,200,150,22.80,1098.01,60.56,5935,oregano
5,1,4,200,150,23.06,1106.12,59.87,14050,oregano
8,1,4,200,150,23.76,1005.31,48.38,12057,oregano
1,1,5,200,150,24.63,1024.11,50.80,19162,oregano
7,1,6,200,150,24.27,1058.39,56.11,13085,oregano
6,1,6,200,150,23.54,1103.59,61.24,9217,oregano
4,1,6,200,150,22.84,1098.01,60.44,5955,oregano
5,1,5,200,150,23.10,1106.13,59.83,15062,oregano
8,1,5,200,150,23.80,1005.30,47.97,12864,oregano
3,1,6,200,150,23.50,1028.50,63.34,9947,oregano
1,1,6,200,150,24.67,1024.12,50.80,20119,oregano
7,1,7,320,150,24.32,1058.40,55.91,5685,oregano
6,1,7,320,150,23.58,1103.59,61.10,5685,oregano
2,1,7,320,150,24.02,1101.02,61.79,5685,oregano
4,1,7,320,150,22.88,1098.02,60.34,5685,oregano
5,1,6,200,150,23.14,1106.14,59.61,15659,oregano
8,1,6,200,150,23.85,1005.30,48.15,13594,oregano
3,1,7,320,150,23.54,1028.49,63.25,5685,oregano
1,1,7,320,150,24.70,1024.12,50.43,6359,oregano
7,1,8,320,150,24.37,1058.41,55.84,5935,oregano
6,1,8,320,150,23.64,1103.60,61.04,5685,oregano
2,1,8,320,150,24.07,1101.03,61.79,5685,oregano
4,1,8,320,150,22.93,1098.02,60.20,5685,oregano
5,1,7,320,150,23.19,1106.15,59.63,5685,oregano
8,1,7,320,150,23.89,1005.30,48.08,5685,oregano
3,1,8,320,150,23.59,1028.50,63.14,5685,oregano
1,1,8,320,150,24.75,1024.11,50.49,7917,oregano
7,1,9,320,150,24.43,1058.41,55.67,7091,oregano
6,1,9,320,150,23.69,1103.61,60.90,5685,oregano
2,1,9,320,150,24.12,1101.04,61.63,5685,oregano
4,1,9,320,150,22.98,1098.01,60.10,5685,oregano
3,1,9,320,150,23.64,1028.50,62.98,6863,oregano
5,1,8,320,150,23.24,1106.16,59.43,6168,oregano
8,1,8,320,150,23.95,1005.30,47.96,5685,oregano
1,1,9,320,150,24.79,1024.12,50.38,9420,oregano
7,2,0,320,150,24.48,1058.41,55.56,8628,oregano
6,2,0,320,150,23.74,1103.61,60.77,7058,oregano
2,2,0,320,150,24.16,1101.04,61.51,5685,oregano
4,2,0,320,150,23.03,1098.02,59.96,5685,oregano
3,2,0,320,150,23.69,1028.50,62.90,8457,oregano
8,1,9,320,150,24.00,1005.31,47.81,6762,oregano
5,1,9,320,150,23.29,1106.16,59.36,7334,oregano
1,2,0,320,150,24.83,1024.12,50.41,11260,oregano
6,2,1,100,150,23.78,1103.62,60.65,109378,oregano
2,2,1,100,150,24.20,1101.03,61.38,29480,oregano
4,2,1,100,150,23.07,1098.02,59.72,29893,oregano
3,2,1,100,150,23.73,1028.50,62.75,108406,oregano
5,2,0,320,150,23.34,1106.17,59.22,8999,oregano
8,2,0,320,150,24.05,1005.30,47.65,8097,oregano
1,2,1,100,150,24.86,1024.12,50.21,204964,oregano
7,2,2,100,150,24.53,1058.42,55.30,134879,oregano
2,2,2,100,150,24.20,1101.02,61.29,27084,oregano
4,2,2,100,150,23.07,1098.02,59.88,26964,oregano
3,2,2,100,150,23.72,1028.50,62.56,97117,oregano
8,2,1,100,150,24.10,1005.29,47.64,148234,oregano
5,2,1,100,150,23.39,1106.17,59.12,168587,oregano
7,2,3,100,150,24.52,1058.42,55.37,132574,oregano
1,2,2,100,150,24.86,1024.13,50.09,197722,oregano
6,2,3,100,150,23.77,1103.61,60.51,98975,oregano
2,2,3,100,150,24.18,1101.02,61.27,27292,oregano
4,2,3,100,150,23.06,1098.01,59.65,26235,oregano
3,2,3,100,150,23.71,1028.50,62.52,90364,oregano
7,2,4,200,150,24.52,1058.42,55.17,23832,oregano
5,2,2,100,150,23.39,1106.18,59.31,165642,oregano
8,2,2,100,150,24.10,1005.30,47.42,143137,oregano
