sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,23.82,1025.04,50.85,356919,oregano
2,0,1,100,150,23.07,1101.95,62.25,62363,oregano
3,0,1,100,150,22.62,1029.41,64.05,166126,oregano
6,0,1,100,150,22.76,1104.52,61.16,134348,oregano
7,0,1,100,150,23.48,1059.29,55.33,172159,oregano
5,0,1,100,150,22.42,1107.03,59.58,229648,oregano
8,0,1,100,150,23.10,1006.24,47.30,183447,oregano
1,0,2,100,150,23.88,1025.05,50.79,377303,oregano
3,0,2,100,150,22.67,1029.41,64.04,166450,oregano
4,0,2,100,150,22.00,1098.88,60.84,62046,oregano
6,0,2,100,150,22.82,1104.52,61.00,140197,oregano
7,0,2,100,150,23.54,1059.29,55.16,180345,oregano
5,0,2,100,150,22.47,1107.02,59.55,240319,oregano
8,0,2,100,150,23.16,1006.25,47.17,194899,oregano
2,0,3,100,150,23.18,1101.96,61.93,60592,oregano
1,0,3,100,150,23.92,1025.06,50.62,384745,oregano
4,0,3,100,150,22.05,1098.88,60.58,62091,oregano
6,0,3,100,150,22.88,1104.52,60.89,147721,oregano
7,0,3,100,150,23.60,1059.30,55.09,185844,oregano
8,0,3,100,150,23.21,1006.25,47.07,211178,oregano
2,0,4,200,150,23.22,1101.96,61.76,15671,oregano
7,0,4,200,150,23.64,1059.31,54.91,34707,oregano
1,0,4,200,150,23.96,1025.06,50.49,61509,oregano
3,0,4,200,150,22.76,1029.41,63.67,32169,oregano
4,0,4,200,150,22.09,1098.89,60.53,16954,oregano
6,0,4,200,150,22.92,1104.52,60.74,28269,oregano
5,0,4,200,150,22.56,1107.02,59.30,45278,oregano
8,0,4,200,150,23.25,1006.25,46.95,37220,oregano
2,0,5,200,150,23.27,1101.97,61.58,15545,oregano
6,0,5,200,150,22.96,1104.51,60.61,28287,oregano
7,0,5,200,150,23.69,1059.32,54.94,35078,oregano
1,0,5,200,150,23.99,1025.06,50.33,63054,oregano
3,0,5,200,150,22.81,1029.41,63.47,32217,oregano
4,0,5,200,150,22.14,1098.90,60.34,16715,oregano
5,0,5,200,150,22.60,1107.02,59.05,44429,oregano
8,0,5,200,150,23.29,1006.26,46.87,37318,oregano
2,0,6,200,150,23.30,1101.96,61.47,15500,oregano
7,0,6,200,150,23.74,1059.33,54.63,35784,oregano
4,0,6,200,150,22.18,1098.90,60.16,16636,oregano
6,0,6,200,150,23.00,1104.52,60.34,28822,oregano
3,0,6,200,150,22.84,1029.41,63.28,32512,oregano
1,0,6,200,150,24.03,1025.05,50.16,63054,oregano
5,0,6,200,150,22.64,1107.03,58.86,44429,oregano
8,0,6,200,150,23.33,1006.26,46.70,37881,oregano
7,1,0,320,150,23.88,1059.36,54.04,7818,oregano
6,1,0,320,150,23.12,1104.53,59.74,6329,oregano
2,1,0,320,150,23.41,1101.94,60.78,5685,oregano
4,1,0,320,150,22.29,1098.90,59.40,5685,oregano
3,1,0,320,150,22.95,1029.40,62.47,7304,oregano
1,1,0,320,150,24.12,1025.03,49.70,13895,oregano
5,1,0,320,150,22.76,1107.04,58.15,8203,oregano
8,1,0,320,150,23.46,1006.26,46.24,7385,oregano
7,1,1,100,150,23.96,1059.36,54.01,156098,oregano
6,1,1,100,150,23.20,1104.54,59.58,118821,oregano
2,1,1,100,150,23.48,1101.95,60.65,29664,oregano
4,1,1,100,150,22.37,1098.90,59.16,31091,oregano
3,1,1,100,150,23.02,1029.40,62.31,113526,oregano
1,1,1,100,150,24.18,1025.04,49.35,334531,oregano
5,1,1,100,150,22.83,1107.05,57.93,171985,oregano
7,1,2,100,150,24.00,1059.37,53.83,165482,oregano
6,1,2,100,150,23.24,1104.54,59.38,127047,oregano
2,1,2,100,150,23.51,1101.95,60.43,28999,oregano
4,1,2,100,150,22.40,1098.91,59.02,30210,oregano
3,1,2,100,150,23.06,1029.39,62.06,113753,oregano
1,1,2,100,150,24.21,1025.03,49.24,336842,oregano
7,1,3,100,150,24.03,1059.37,53.71,177163,oregano
5,1,2,100,150,22.87,1107.06,57.79,195122,oregano
6,1,3,100,150,23.27,1104.54,59.20,135845,oregano
2,1,3,100,150,23.53,1101.95,60.33,30491,oregano
8,1,2,100,150,23.57,1006.26,45.95,172507,oregano
4,1,3,100,150,22.42,1098.90,58.84,31342,oregano
3,1,3,100,150,23.08,1029.40,61.80,117674,oregano
1,1,3,100,150,24.22,1025.03,49.11,345712,oregano
6,1,4,200,150,23.29,1104.54,59.00,25377,oregano
2,1,4,200,150,23.55,1101.95,60.19,9910,oregano
5,1,3,100,150,22.89,1107.05,57.61,206327,oregano
8,1,3,100,150,23.60,1006.27,45.80,185440,oregano
4,1,4,200,150,22.44,1098.90,58.60,11061,oregano
3,1,4,200,150,23.09,1029.40,61.75,25347,oregano
1,1,4,200,150,24.24,1025.04,48.92,57879,oregano
7,1,5,200,150,24.10,1059.38,53.40,35021,oregano
6,1,5,200,150,23.33,1104.54,58.87,26778,oregano
2,1,5,200,150,23.58,1101.96,59.94,10185,oregano
4,1,5,200,150,22.49,1098.91,58.52,11096,oregano
8,1,4,200,150,23.62,1006.26,45.63,32990,oregano
3,1,5,200,150,23.13,1029.41,61.54,26316,oregano
1,1,5,200,150,24.27,1025.04,48.81,60981,oregano
7,1,6,200,150,24.15,1059.36,53.24,36582,oregano
6,1,6,200,150,23.38,1104.54,58.68,27899,oregano
2,1,6,200,150,23.62,1101.95,59.72,10516,oregano
4,1,6,200,150,22.53,1098.92,58.33,11577,oregano
5,1,5,200,150,22.95,1107.06,57.28,39567,oregano
8,1,5,200,150,23.66,1006.27,45.52,35252,oregano
3,1,6,200,150,23.18,1029.41,61.48,27345,oregano
1,1,6,200,150,24.31,1025.04,48.65,63476,oregano
7,1,7,320,150,24.19,1059.36,53.12,10060,oregano
6,1,7,320,150,23.42,1104.53,58.49,8147,oregano
2,1,7,320,150,23.66,1101.96,59.69,5685,oregano
4,1,7,320,150,22.57,1098.93,58.16,5685,oregano
5,1,6,200,150,23.00,1107.07,57.13,42105,oregano
8,1,6,200,150,23.71,1006.27,45.46,37155,oregano
3,1,7,320,150,23.22,1029.41,61.18,9114,oregano
1,1,7,320,150,24.34,1025.05,48.52,17117,oregano
7,1,8,320,150,24.25,1059.37,53.00,12636,oregano
6,1,8,320,150,23.47,1104.54,58.41,10303,oregano
2,1,8,320,150,23.71,1101.98,59.48,5685,oregano
4,1,8,320,150,22.62,1098.92,58.07,6607,oregano
5,1,7,320,150,23.04,1107.07,57.00,10293,oregano
3,1,8,320,150,23.27,1029.41,60.97,11404,oregano
8,1,7,320,150,23.75,1006.28,45.31,9487,oregano
1,1,8,320,150,24.38,1025.05,48.39,20847,oregano
7,1,9,320,150,24.30,1059.38,52.93,14925,oregano
6,1,9,320,150,23.52,1104.54,58.23,12547,oregano
2,1,9,320,150,23.76,1101.98,59.34,6559,oregano
4,1,9,320,150,22.67,1098.93,57.93,7489,oregano
3,1,9,320,150,23.32,1029.42,60.86,13913,oregano
5,1,8,320,150,23.09,1107.07,56.86,12958,oregano
8,1,8,320,150,23.81,1006.28,45.30,11540,oregano
1,1,9,320,150,24.42,1025.06,48.26,24418,oregano
7,2,0,320,150,24.35,1059.38,52.64,17539,oregano
6,2,0,320,150,23.57,1104.55,58.13,15052,oregano
2,2,0,320,150,23.80,1101.98,59.18,7521,oregano
4,2,0,320,150,22.72,1098.93,57.68,8842,oregano
3,2,0,320,150,23.36,1029.42,60.50,16754,oregano
5,1,9,320,150,23.14,1107.08,56.68,15366,oregano
8,1,9,320,150,23.86,1006.28,45.07,13959,oregano
1,2,0,320,150,24.46,1025.05,48.13,28138,oregano
7,2,1,100,150,24.40,1059.37,52.59,488900,oregano
6,2,1,100,150,23.61,1104.55,57.97,410915,oregano
2,2,1,100,150,23.84,1101.98,59.03,74636,oregano
4,2,1,100,150,22.76,1098.94,57.56,75228,oregano
3,2,1,100,150,23.40,1029.42,60.63,381520,oregano
8,2,0,320,150,23.91,1006.29,44.97,16182,oregano
5,2,0,320,150,23.19,1107.08,56.52,18059,oregano
1,2,1,100,150,24.50,1025.04,48.01,929220,oregano
7,2,2,100,150,24.40,1059.37,52.89,452897,oregano
6,2,2,100,150,23.61,1104.54,57.79,383019,oregano
2,2,2,100,150,23.83,1101.98,58.69,69641,oregano
4,2,2,100,150,22.76,1098.94,57.40,69527,oregano
3,2,2,100,150,23.39,1029.42,60.43,334859,oregano
5,2,1,100,150,23.23,1107.08,56.35,552170,oregano
8,2,1,100,150,23.95,1006.28,44.88,481316,oregano
1,2,2,100,150,24.49,1025.04,47.89,847331,oregano
7,2,3,100,150,24.39,1059.37,52.35,451698,oregano
6,2,3,100,150,23.60,1104.54,57.69,375849,oregano
2,2,3,100,150,23.82,1101.98,58.79,69471,oregano
4,2,3,100,150,22.74,1098.94,57.28,69189,oregano
3,2,3,100,150,23.38,1029.41,60.22,322215,oregano
7,2,4,200,150,24.38,1059.37,52.30,67869,oregano
5,2,2,100,150,23.23,1107.08,56.31,543813,oregano
8,2,2,100,150,23.96,1006.28,44.80,471346,oregano
1,2,3,100,150,24.47,1025.04,47.82,825307,oregano
6,2,4,200,150,23.58,1104.54,57.61,55327,oregano
4,2,4,200,150,22.73,1098.94,57.18,20467,oregano
3,2,4,200,150,23.37,1029.41,60.25,54900,oregano
7,2,5,200,150,24.39,1059.37,52.19,69414,oregano
1,2,4,200,150,24.46,1025.05,47.74,111595,oregano
8,2,3,100,150,23.95,1006.28,44.67,474954,oregano
5,2,3,100,150,23.22,1107.08,56.14,546863,oregano
6,2,5,200,150,23.60,1104.54,57.54,56388,oregano
2,2,5,200,150,23.81,1101.96,58.47,18890,oregano
4,2,5,200,150,22.74,1098.94,57.11,20063,oregano
3,2,5,200,150,23.38,1029.41,60.15,54514,oregano
7,2,6,200,150,24.42,1059.38,52.11,70973,oregano
1,2,5,200,150,24.48,1025.06,47.70,113828,oregano
6,2,6,200,150,23.61,1104.54,57.46,57066,oregano
8,2,4,200,150,23.95,1006.28,44.57,68910,oregano
5,2,4,200,150,23.21,1107.07,56.06,80025,oregano
2,2,6,200,150,23.83,1101.96,58.75,19093,oregano
4,2,6,200,150,22.76,1098.94,57.03,19969,oregano
3,2,6,200,150,23.39,1029.41,60.04,55652,oregano
7,2,7,320,150,24.45,1059.38,52.05,18338,oregano
6,2,7,320,150,23.63,1104.54,57.19,15717,oregano
1,2,6,200,150,24.49,1025.07,47.64,114901,oregano
5,2,5,200,150,23.23,1107.08,55.85,82183,oregano
2,2,7,320,150,23.85,1101.96,58.72,7929,oregano
4,2,7,320,150,22.77,1098.95,56.97,9153,oregano
3,2,7,320,150,23.41,1029.41,59.91,17269,oregano
