sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,23.71,1026.38,32.72,450803,oregano
2,0,1,100,150,23.19,1103.40,42.02,294168,oregano
4,0,1,100,150,22.26,1100.36,40.89,248725,oregano
6,0,1,100,150,22.75,1105.95,42.22,170269,oregano
7,0,1,100,150,23.16,1060.77,38.34,225402,oregano
5,0,1,100,150,22.50,1108.50,40.77,391812,oregano
8,0,1,100,150,22.58,1007.61,31.90,236162,oregano
2,0,2,100,150,23.23,1103.40,41.91,290909,oregano
1,0,2,100,150,23.74,1026.39,32.56,494567,oregano
3,0,2,100,150,22.80,1030.88,43.67,325596,oregano
4,0,2,100,150,22.30,1100.37,40.65,243578,oregano
6,0,2,100,150,22.80,1105.95,42.06,187066,oregano
7,0,2,100,150,23.22,1060.76,38.12,249270,oregano
8,0,2,100,150,22.62,1007.61,31.69,262295,oregano
2,0,3,100,150,23.27,1103.41,41.72,296211,oregano
1,0,3,100,150,23.77,1026.39,32.31,513927,oregano
4,0,3,100,150,22.34,1100.38,40.41,245505,oregano
3,0,3,100,150,22.83,1030.89,43.40,332576,oregano
6,0,3,100,150,22.83,1105.96,41.68,195010,oregano
5,0,3,100,150,22.56,1108.51,40.29,446674,oregano
8,0,3,100,150,22.65,1007.61,31.41,276309,oregano
2,0,4,200,150,23.29,1103.40,41.44,48147,oregano
7,0,4,200,150,23.28,1060.75,37.92,41775,oregano
4,0,4,200,150,22.37,1100.38,40.20,45961,oregano
6,0,4,200,150,22.86,1105.95,41.53,33666,oregano
3,0,4,200,150,22.86,1030.89,43.19,50723,oregano
5,0,4,200,150,22.58,1108.51,40.05,68522,oregano
8,0,4,200,150,22.68,1007.60,31.27,46461,oregano
6,0,5,200,150,22.88,1105.96,41.33,33613,oregano
7,0,5,200,150,23.32,1060.74,37.65,42610,oregano
4,0,5,200,150,22.40,1100.37,39.94,45617,oregano
1,0,5,200,150,23.79,1026.39,31.93,74898,oregano
3,0,5,200,150,22.88,1030.88,42.99,51769,oregano
5,0,5,200,150,22.60,1108.50,39.87,68358,oregano
8,0,5,200,150,22.70,1007.61,31.05,46664,oregano
2,0,6,200,150,23.33,1103.39,41.11,48366,oregano
6,0,6,200,150,22.90,1105.95,41.22,34152,oregano
7,0,6,200,150,23.34,1060.73,37.38,43701,oregano
4,0,6,200,150,22.41,1100.36,39.89,45911,oregano
3,0,6,200,150,22.88,1030.87,42.78,53456,oregano
1,0,6,200,150,23.80,1026.40,31.81,76032,oregano
5,0,6,200,150,22.62,1108.50,39.71,68358,oregano
8,0,6,200,150,22.72,1007.60,30.82,47637,oregano
7,1,0,320,150,23.39,1060.73,36.80,5685,oregano
6,1,0,320,150,22.89,1105.97,40.58,5685,oregano
2,1,0,320,150,23.33,1103.39,40.68,5685,oregano
4,1,0,320,150,22.40,1100.37,39.35,5685,oregano
3,1,0,320,150,22.86,1030.88,42.21,5685,oregano
1,1,0,320,150,23.79,1026.41,31.42,7952,oregano
5,1,0,320,150,22.61,1108.49,39.16,6266,oregano
8,1,0,320,150,22.72,1007.62,30.34,5685,oregano
6,1,1,100,150,22.93,1105.96,40.49,72419,oregano
2,1,1,100,150,23.38,1103.39,40.66,59535,oregano
4,1,1,100,150,22.45,1100.38,39.27,61509,oregano
3,1,1,100,150,22.90,1030.88,42.12,105523,oregano
1,1,1,100,150,23.83,1026.41,31.36,170952,oregano
5,1,1,100,150,22.64,1108.50,38.99,121097,oregano
7,1,2,100,150,23.44,1060.73,36.67,133612,oregano
6,1,2,100,150,22.94,1105.97,40.37,84377,oregano
2,1,2,100,150,23.38,1103.38,40.54,60335,oregano
4,1,2,100,150,22.45,1100.38,39.18,61376,oregano
1,1,2,100,150,23.83,1026.42,31.26,199338,oregano
7,1,3,100,150,23.44,1060.73,36.49,147211,oregano
5,1,2,100,150,22.64,1108.50,38.93,144960,oregano
6,1,3,100,150,22.94,1105.97,40.28,96513,oregano
8,1,2,100,150,22.76,1007.62,30.16,110871,oregano
2,1,3,100,150,23.38,1103.38,40.48,63952,oregano
3,1,3,100,150,22.89,1030.89,41.99,123195,oregano
1,1,3,100,150,23.82,1026.41,31.29,219460,oregano
7,1,4,200,150,23.44,1060.73,36.37,25713,oregano
6,1,4,200,150,22.92,1105.97,40.18,17255,oregano
2,1,4,200,150,23.38,1103.38,40.42,15455,oregano
5,1,3,100,150,22.64,1108.50,38.78,163422,oregano
8,1,3,100,150,22.76,1007.62,30.02,125644,oregano
4,1,4,200,150,22.44,1100.38,39.00,17339,oregano
3,1,4,200,150,22.88,1030.89,41.90,22307,oregano
1,1,4,200,150,23.81,1026.42,31.20,36179,oregano
7,1,5,200,150,23.46,1060.73,36.28,27664,oregano
6,1,5,200,150,22.93,1105.97,40.16,18449,oregano
2,1,5,200,150,23.40,1103.38,40.34,16508,oregano
4,1,5,200,150,22.46,1100.37,38.98,17597,oregano
5,1,4,200,150,22.63,1108.50,38.78,29078,oregano
8,1,4,200,150,22.75,1007.62,29.96,22496,oregano
3,1,5,200,150,22.89,1030.89,41.85,24587,oregano
1,1,5,200,150,23.82,1026.42,31.25,38847,oregano
7,1,6,200,150,23.48,1060.73,36.24,29197,oregano
6,1,6,200,150,22.95,1105.97,40.06,19459,oregano
2,1,6,200,150,23.41,1103.39,40.26,17396,oregano
4,1,6,200,150,22.47,1100.38,38.87,18386,oregano
5,1,5,200,150,22.65,1108.50,38.70,30910,oregano
8,1,5,200,150,22.76,1007.61,29.87,24321,oregano
3,1,6,200,150,22.90,1030.89,41.79,25885,oregano
1,1,6,200,150,23.82,1026.42,31.14,41451,oregano
7,1,7,320,150,23.50,1060.73,36.14,7537,oregano
6,1,7,320,150,22.96,1105.97,39.97,5685,oregano
2,1,7,320,150,23.41,1103.40,40.22,5685,oregano
4,1,7,320,150,22.48,1100.38,38.90,6674,oregano
5,1,6,200,150,22.67,1108.49,38.62,33015,oregano
8,1,6,200,150,22.77,1007.61,29.82,26011,oregano
3,1,7,320,150,22.90,1030.89,41.64,7542,oregano
1,1,7,320,150,23.81,1026.42,31.12,10185,oregano
7,1,8,320,150,23.54,1060.73,36.06,9819,oregano
6,1,8,320,150,22.98,1105.96,39.95,7672,oregano
2,1,8,320,150,23.43,1103.40,40.23,7191,oregano
4,1,8,320,150,22.49,1100.38,38.86,8384,oregano
5,1,7,320,150,22.68,1108.50,38.59,8012,oregano
8,1,7,320,150,22.77,1007.61,29.63,6737,oregano
3,1,8,320,150,22.91,1030.89,41.80,10041,oregano
1,1,8,320,150,23.82,1026.42,31.06,12982,oregano
7,1,9,320,150,23.57,1060.74,36.02,12437,oregano
6,1,9,320,150,23.00,1105.97,39.82,9412,oregano
2,1,9,320,150,23.44,1103.40,40.22,8614,oregano
4,1,9,320,150,22.51,1100.38,38.79,10156,oregano
3,1,9,320,150,22.93,1030.89,41.63,13037,oregano
5,1,8,320,150,22.71,1108.50,38.51,10303,oregano
8,1,8,320,150,22.79,1007.61,29.73,8656,oregano
1,1,9,320,150,23.82,1026.42,31.07,15787,oregano
7,2,0,320,150,23.59,1060.74,36.06,15344,oregano
6,2,0,320,150,23.01,1105.97,39.84,12153,oregano
2,2,0,320,150,23.44,1103.40,40.23,10631,oregano
4,2,0,320,150,22.52,1100.38,38.75,12772,oregano
3,2,0,320,150,22.93,1030.89,41.65,16598,oregano
5,1,9,320,150,22.73,1108.50,38.48,12982,oregano
8,1,9,320,150,22.80,1007.61,29.66,10642,oregano
1,2,0,320,150,23.82,1026.42,30.97,18941,oregano
7,2,1,100,150,23.61,1060.74,35.94,471021,oregano
6,2,1,100,150,23.02,1105.97,39.77,321003,oregano
2,2,1,100,150,23.43,1103.41,40.03,202532,oregano
4,2,1,100,150,22.52,1100.38,38.73,202052,oregano
