sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,22.97,1020.51,54.78,428183,rosemary
2,0,1,100,150,22.22,1097.27,66.09,83469,rosemary
4,0,1,100,150,21.00,1094.26,64.96,68031,rosemary
6,0,1,100,150,21.64,1099.81,66.03,154124,rosemary
7,0,1,100,150,22.34,1054.67,60.06,222319,rosemary
5,0,1,100,150,21.29,1102.37,64.16,397516,rosemary
8,0,1,100,150,21.96,1001.63,52.12,276309,rosemary
2,0,2,100,150,22.28,1097.26,66.06,83551,rosemary
1,0,2,100,150,23.02,1020.50,54.73,440052,rosemary
3,0,2,100,150,21.74,1024.81,68.23,193135,rosemary
4,0,2,100,150,21.06,1094.26,64.95,67653,rosemary
6,0,2,100,150,21.71,1099.81,65.94,166126,rosemary
7,0,2,100,150,22.41,1054.67,60.01,235673,rosemary
5,0,2,100,150,21.35,1102.37,64.11,423403,rosemary
2,0,3,100,150,22.33,1097.26,66.03,83962,rosemary
1,0,3,100,150,23.07,1020.50,54.70,453198,rosemary
3,0,3,100,150,21.79,1024.80,68.05,198181,rosemary
4,0,3,100,150,21.11,1094.25,64.91,70738,rosemary
6,0,3,100,150,21.76,1099.81,65.83,165964,rosemary
7,0,3,100,150,22.46,1054.67,59.92,243057,rosemary
5,0,3,100,150,21.40,1102.38,64.05,424456,rosemary
8,0,3,100,150,22.06,1001.65,52.03,296984,rosemary
2,0,4,200,150,22.37,1097.26,65.78,21073,rosemary
4,0,4,200,150,21.16,1094.24,64.78,19459,rosemary
6,0,4,200,150,21.81,1099.81,65.79,30688,rosemary
7,0,4,200,150,22.51,1054.67,59.90,41330,rosemary
1,0,4,200,150,23.11,1020.49,54.61,67815,rosemary
3,0,4,200,150,21.83,1024.80,68.11,36930,rosemary
5,0,4,200,150,21.44,1102.38,63.99,67280,rosemary
8,0,4,200,150,22.11,1001.65,51.97,50010,rosemary
2,0,5,200,150,22.41,1097.26,65.89,19802,rosemary
7,0,5,200,150,22.56,1054.67,59.86,41330,rosemary
4,0,5,200,150,21.21,1094.25,64.72,18545,rosemary
1,0,5,200,150,23.14,1020.49,54.54,68743,rosemary
3,0,5,200,150,21.88,1024.80,67.99,36676,rosemary
5,0,5,200,150,21.48,1102.38,63.87,66287,rosemary
8,0,5,200,150,22.15,1001.67,51.87,50275,rosemary
2,0,6,200,150,22.45,1097.26,65.82,18907,rosemary
7,0,6,200,150,22.61,1054.68,59.86,41981,rosemary
4,0,6,200,150,21.25,1094.26,64.64,17892,rosemary
6,0,6,200,150,21.90,1099.81,65.72,30978,rosemary
3,0,6,200,150,21.92,1024.80,67.88,36519,rosemary
1,0,6,200,150,23.18,1020.49,54.47,69021,rosemary
5,0,6,200,150,21.52,1102.37,63.75,66649,rosemary
8,0,6,200,150,22.19,1001.66,51.80,50663,rosemary
7,1,0,320,150,22.75,1054.67,59.42,6042,rosemary
2,1,0,320,150,22.57,1097.26,65.68,5685,rosemary
6,1,0,320,150,22.02,1099.82,65.11,5685,rosemary
4,1,0,320,150,21.38,1094.26,64.33,5685,rosemary
3,1,0,320,150,22.04,1024.80,67.57,5685,rosemary
1,1,0,320,150,23.28,1020.48,54.18,8122,rosemary
5,1,0,320,150,21.64,1102.37,63.51,6849,rosemary
8,1,0,320,150,22.31,1001.65,51.47,5740,rosemary
7,1,1,100,150,22.82,1054.68,59.29,107046,rosemary
6,1,1,100,150,22.10,1099.83,65.17,74246,rosemary
2,1,1,100,150,22.64,1097.26,65.42,13995,rosemary
4,1,1,100,150,21.45,1094.26,64.20,14343,rosemary
3,1,1,100,150,22.11,1024.80,67.43,57412,rosemary
1,1,1,100,150,23.35,1020.49,54.09,144592,rosemary
5,1,1,100,150,21.71,1102.38,63.36,131857,rosemary
7,1,2,100,150,22.86,1054.68,59.15,116629,rosemary
8,1,1,100,150,22.39,1001.65,51.35,111377,rosemary
6,1,2,100,150,22.14,1099.82,65.00,80859,rosemary
2,1,2,100,150,22.67,1097.27,65.30,15009,rosemary
4,1,2,100,150,21.49,1094.25,64.07,15062,rosemary
1,1,2,100,150,23.38,1020.49,53.95,153708,rosemary
7,1,3,100,150,22.89,1054.68,59.09,126389,rosemary
6,1,3,100,150,22.17,1099.83,64.90,88033,rosemary
5,1,2,100,150,21.75,1102.38,63.23,148621,rosemary
8,1,2,100,150,22.42,1001.66,51.29,123463,rosemary
2,1,3,100,150,22.70,1097.27,65.19,16000,rosemary
4,1,3,100,150,21.51,1094.24,63.96,16281,rosemary
3,1,3,100,150,22.17,1024.77,67.19,62409,rosemary
1,1,3,100,150,23.40,1020.49,53.89,163265,rosemary
7,1,4,200,150,22.91,1054.68,58.95,22882,rosemary
6,1,4,200,150,22.19,1099.82,64.76,16636,rosemary
2,1,4,200,150,22.72,1097.27,65.11,5706,rosemary
5,1,3,100,150,21.77,1102.37,63.12,161565,rosemary
8,1,3,100,150,22.45,1001.67,51.19,135845,rosemary
4,1,4,200,150,21.53,1094.25,63.89,6352,rosemary
3,1,4,200,150,22.19,1024.77,66.98,14967,rosemary
1,1,4,200,150,23.41,1020.50,53.77,31527,rosemary
7,1,5,200,150,22.96,1054.68,58.90,24615,rosemary
6,1,5,200,150,22.23,1099.83,64.69,17482,rosemary
2,1,5,200,150,22.76,1097.26,65.05,5978,rosemary
4,1,5,200,150,21.58,1094.25,63.74,6295,rosemary
5,1,4,200,150,21.80,1102.37,63.00,29520,rosemary
8,1,4,200,150,22.47,1001.68,51.12,24197,rosemary
3,1,5,200,150,22.23,1024.77,66.90,15344,rosemary
1,1,5,200,150,23.45,1020.50,53.70,33403,rosemary
7,1,6,200,150,23.01,1054.69,58.76,25698,rosemary
6,1,6,200,150,22.28,1099.83,64.56,18213,rosemary
2,1,6,200,150,22.80,1097.26,65.07,6056,rosemary
4,1,6,200,150,21.62,1094.24,63.65,6390,rosemary
5,1,5,200,150,21.84,1102.36,62.98,30978,rosemary
3,1,6,200,150,22.28,1024.78,66.77,15810,rosemary
1,1,6,200,150,23.49,1020.50,53.58,34992,rosemary
7,1,7,320,150,23.05,1054.69,58.76,8165,rosemary
6,1,7,320,150,22.32,1099.82,64.50,6367,rosemary
2,1,7,320,150,22.83,1097.26,64.76,5685,rosemary
4,1,7,320,150,21.66,1094.25,63.40,5685,rosemary
5,1,6,200,150,21.88,1102.36,62.81,32587,rosemary
8,1,6,200,150,22.56,1001.68,50.98,27486,rosemary
3,1,7,320,150,22.31,1024.78,66.66,6527,rosemary
1,1,7,320,150,23.52,1020.50,53.50,10516,rosemary
7,1,8,320,150,23.10,1054.69,58.58,10771,rosemary
6,1,8,320,150,22.37,1099.83,64.27,8677,rosemary
2,1,8,320,150,22.88,1097.26,64.67,5685,rosemary
4,1,8,320,150,21.71,1094.25,63.43,5685,rosemary
3,1,8,320,150,22.37,1024.78,66.53,8828,rosemary
5,1,7,320,150,21.92,1102.37,62.70,8961,rosemary
8,1,7,320,150,22.60,1001.68,50.78,7790,rosemary
1,1,8,320,150,23.56,1020.49,53.38,13414,rosemary
7,1,9,320,150,23.16,1054.70,58.51,13690,rosemary
6,1,9,320,150,22.43,1099.83,64.14,11050,rosemary
2,1,9,320,150,22.93,1097.27,64.49,5685,rosemary
4,1,9,320,150,21.76,1094.26,63.27,5685,rosemary
3,1,9,320,150,22.42,1024.78,66.41,11107,rosemary
5,1,8,320,150,21.98,1102.38,62.51,11692,rosemary
8,1,8,320,150,22.65,1001.67,50.58,10263,rosemary
1,1,9,320,150,23.61,1020.49,53.29,16343,rosemary
7,2,0,320,150,23.20,1054.70,58.34,17035,rosemary
6,2,0,320,150,22.47,1099.85,64.07,14401,rosemary
2,2,0,320,150,22.98,1097.28,64.46,5685,rosemary
4,2,0,320,150,21.81,1094.27,63.13,6273,rosemary
3,2,0,320,150,22.46,1024.77,66.26,14539,rosemary
5,1,9,320,150,22.03,1102.38,62.44,14978,rosemary
8,1,9,320,150,22.70,1001.68,50.51,12990,rosemary
1,2,0,320,150,23.65,1020.49,53.14,19548,rosemary
7,2,1,100,150,23.25,1054.71,58.21,411658,rosemary
6,2,1,100,150,22.52,1099.85,63.87,327470,rosemary
2,2,1,100,150,23.02,1097.28,64.31,41290,rosemary
4,2,1,100,150,21.86,1094.27,63.03,38358,rosemary
3,2,1,100,150,22.51,1024.77,66.13,233417,rosemary
8,2,0,320,150,22.75,1001.68,50.40,16084,rosemary
5,2,0,320,150,22.08,1102.38,62.33,18561,rosemary
1,2,1,100,150,23.68,1020.49,53.17,473636,rosemary
7,2,2,100,150,23.25,1054.71,58.07,382161,rosemary
6,2,2,100,150,22.52,1099.85,63.70,302243,rosemary
2,2,2,100,150,23.01,1097.28,64.19,39604,rosemary
4,2,2,100,150,21.85,1094.27,62.86,37091,rosemary
3,2,2,100,150,22.50,1024.78,65.98,212228,rosemary
8,2,1,100,150,22.79,1001.68,50.22,422617,rosemary
5,2,1,100,150,22.12,1102.38,62.19,521783,rosemary
7,2,3,100,150,23.24,1054.72,58.05,366894,rosemary
1,2,2,100,150,23.68,1020.49,52.95,440335,rosemary
6,2,3,100,150,22.50,1099.86,63.68,298281,rosemary
2,2,3,100,150,23.00,1097.29,64.20,40468,rosemary
4,2,3,100,150,21.84,1094.30,62.81,37814,rosemary
3,2,3,100,150,22.49,1024.84,65.89,205829,rosemary
7,2,4,200,150,23.23,1054.79,57.98,51241,rosemary
8,2,2,100,150,22.80,1001.76,50.19,409191,rosemary
1,2,3,100,150,23.67,1020.57,52.87,432524,rosemary
5,2,2,100,150,22.12,1102.47,62.09,501469,rosemary
6,2,4,200,150,22.49,1099.91,63.58,40353,rosemary
2,2,4,200,150,22.98,1097.30,64.09,11295,rosemary
4,2,4,200,150,21.83,1094.30,62.70,11392,rosemary
3,2,4,200,150,22.48,1024.84,65.84,35398,rosemary
7,2,5,200,150,23.24,1054.79,57.92,52054,rosemary
1,2,4,200,150,23.66,1020.55,52.82,67493,rosemary
8,2,3,100,150,22.79,1001.75,50.15,402912,rosemary
5,2,3,100,150,22.11,1102.45,62.06,495284,rosemary
6,2,5,200,150,22.51,1099.91,63.51,40277,rosemary
2,2,5,200,150,23.00,1097.31,64.04,11015,rosemary
4,2,5,200,150,21.84,1094.30,62.69,10970,rosemary
3,2,5,200,150,22.49,1024.83,65.79,34483,rosemary
7,2,6,200,150,23.27,1054.78,57.89,52309,rosemary
1,2,5,200,150,23.67,1020.53,52.77,69471,rosemary
6,2,6,200,150,22.53,1099.90,63.49,40277,rosemary
8,2,4,200,150,22.79,1001.74,50.05,56876,rosemary
5,2,4,200,150,22.10,1102.44,61.90,68468,rosemary
2,2,6,200,150,23.02,1097.30,63.91,10981,rosemary
4,2,6,200,150,21.86,1094.30,62.61,10825,rosemary
