sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,20.84,1026.49,46.58,214495,rosemary
2,0,1,100,150,20.21,1103.42,58.30,105458,rosemary
4,0,1,100,150,19.04,1100.39,56.55,97338,rosemary
6,0,1,100,150,18.98,1105.85,57.73,98066,rosemary
8,0,1,100,150,18.71,1007.70,45.96,141241,rosemary
2,0,2,100,150,20.25,1103.43,57.49,107994,rosemary
1,0,2,100,150,20.88,1026.49,45.86,232305,rosemary
4,0,2,100,150,19.09,1100.40,55.74,98178,rosemary
6,0,2,100,150,19.04,1105.84,57.08,108959,rosemary
7,0,2,100,150,19.30,1060.76,53.34,141125,rosemary
5,0,2,100,150,18.69,1108.35,56.13,197037,rosemary
8,0,2,100,150,18.75,1007.70,45.42,154124,rosemary
2,0,3,100,150,20.29,1103.43,56.77,108820,rosemary
1,0,3,100,150,20.91,1026.48,45.28,243926,rosemary
4,0,3,100,150,19.13,1100.40,55.03,101688,rosemary
6,0,3,100,150,19.08,1105.83,56.45,111015,rosemary
7,0,3,100,150,19.35,1060.76,52.67,147084,rosemary
5,0,3,100,150,18.72,1108.37,55.42,206327,rosemary
8,0,3,100,150,18.78,1007.71,44.67,164366,rosemary
2,0,4,200,150,20.31,1103.44,56.12,24115,rosemary
6,0,4,200,150,19.11,1105.83,55.89,22687,rosemary
7,0,4,200,150,19.38,1060.75,52.07,28175,rosemary
1,0,4,200,150,20.93,1026.48,44.70,42824,rosemary
3,0,4,200,150,19.79,1031.00,57.09,30296,rosemary
4,0,4,200,150,19.16,1100.40,54.38,24545,rosemary
5,0,4,200,150,18.75,1108.36,54.93,40855,rosemary
8,0,4,200,150,18.80,1007.71,44.17,31880,rosemary
2,0,5,200,150,20.34,1103.43,55.55,24307,rosemary
4,0,5,200,150,19.18,1100.40,53.79,24545,rosemary
6,0,5,200,150,19.14,1105.83,55.37,23621,rosemary
7,0,5,200,150,19.41,1060.76,51.69,28881,rosemary
1,0,5,200,150,20.95,1026.48,44.16,44017,rosemary
3,0,5,200,150,19.81,1030.99,56.64,31159,rosemary
5,0,5,200,150,18.78,1108.36,54.18,40315,rosemary
2,0,6,200,150,20.36,1103.43,54.86,24530,rosemary
7,0,6,200,150,19.43,1060.76,51.12,29602,rosemary
4,0,6,200,150,19.21,1100.40,53.23,24758,rosemary
6,0,6,200,150,19.17,1105.83,54.85,24033,rosemary
5,0,6,200,150,18.81,1108.37,53.67,40468,rosemary
8,0,6,200,150,18.84,1007.72,43.30,32711,rosemary
7,1,0,320,150,19.45,1060.76,49.40,5685,rosemary
6,1,0,320,150,19.20,1105.83,53.10,5685,rosemary
2,1,0,320,150,20.38,1103.44,52.81,5685,rosemary
4,1,0,320,150,19.24,1100.38,51.27,5685,rosemary
3,1,0,320,150,19.85,1031.00,54.17,5685,rosemary
1,1,0,320,150,20.96,1026.48,41.72,6961,rosemary
5,1,0,320,150,18.82,1108.38,51.77,5685,rosemary
8,1,0,320,150,18.84,1007.71,41.70,5685,rosemary
7,1,1,100,150,19.50,1060.77,49.02,84461,rosemary
6,1,1,100,150,19.25,1105.83,52.73,59618,rosemary
4,1,1,100,150,19.29,1100.40,50.86,36026,rosemary
3,1,1,100,150,19.90,1030.99,53.64,74246,rosemary
1,1,1,100,150,21.00,1026.47,41.43,132574,rosemary
7,1,2,100,150,19.50,1060.77,48.63,97561,rosemary
5,1,1,100,150,18.86,1108.38,51.32,96896,rosemary
6,1,2,100,150,19.26,1105.84,52.39,68910,rosemary
2,1,2,100,150,20.44,1103.43,52.08,33015,rosemary
4,1,2,100,150,19.31,1100.40,50.49,35905,rosemary
3,1,2,100,150,19.91,1030.99,53.19,79503,rosemary
1,1,2,100,150,21.00,1026.47,41.01,152064,rosemary
7,1,3,100,150,19.50,1060.77,48.40,109659,rosemary
6,1,3,100,150,19.26,1105.83,52.11,77552,rosemary
5,1,2,100,150,18.86,1108.38,50.99,112552,rosemary
2,1,3,100,150,20.44,1103.43,51.71,35281,rosemary
4,1,3,100,150,19.31,1100.40,50.21,37318,rosemary
3,1,3,100,150,19.91,1031.00,52.87,85305,rosemary
1,1,3,100,150,20.99,1026.47,40.93,166126,rosemary
7,1,4,200,150,19.49,1060.77,48.20,21053,rosemary
6,1,4,200,150,19.26,1105.82,51.85,15344,rosemary
2,1,4,200,150,20.43,1103.44,51.41,10303,rosemary
5,1,3,100,150,18.86,1108.38,50.69,128676,rosemary
8,1,3,100,150,18.87,1007.71,40.86,105720,rosemary
4,1,4,200,150,19.30,1100.40,49.80,12153,rosemary
3,1,4,200,150,19.90,1030.99,52.52,18260,rosemary
1,1,4,200,150,20.98,1026.47,40.66,30425,rosemary
7,1,5,200,150,19.50,1060.77,47.87,22663,rosemary
6,1,5,200,150,19.27,1105.82,51.56,16406,rosemary
2,1,5,200,150,20.44,1103.44,51.12,10993,rosemary
4,1,5,200,150,19.32,1100.40,49.53,12666,rosemary
5,1,4,200,150,18.85,1108.37,50.39,24687,rosemary
8,1,4,200,150,18.86,1007.71,40.60,20044,rosemary
3,1,5,200,150,19.92,1030.99,52.22,19674,rosemary
1,1,5,200,150,20.99,1026.47,40.34,32863,rosemary
7,1,6,200,150,19.51,1060.77,47.65,24376,rosemary
6,1,6,200,150,19.29,1105.83,51.30,17424,rosemary
2,1,6,200,150,20.45,1103.44,50.85,11577,rosemary
4,1,6,200,150,19.33,1100.40,49.26,13085,rosemary
5,1,5,200,150,18.85,1108.36,50.14,26562,rosemary
8,1,5,200,150,18.87,1007.72,40.33,21717,rosemary
3,1,6,200,150,19.93,1031.00,52.09,21241,rosemary
1,1,6,200,150,20.99,1026.48,40.11,34992,rosemary
7,1,7,320,150,19.51,1060.78,47.49,6678,rosemary
6,1,7,320,150,19.30,1105.82,51.04,5685,rosemary
2,1,7,320,150,20.46,1103.43,50.58,5685,rosemary
4,1,7,320,150,19.34,1100.40,49.07,5685,rosemary
5,1,6,200,150,18.85,1108.37,49.71,28476,rosemary
8,1,6,200,150,18.87,1007.71,40.43,23726,rosemary
3,1,7,320,150,19.94,1031.00,51.74,6503,rosemary
1,1,7,320,150,21.00,1026.48,39.75,9106,rosemary
7,1,8,320,150,19.52,1060.78,47.17,8741,rosemary
6,1,8,320,150,19.32,1105.81,50.74,7007,rosemary
2,1,8,320,150,20.48,1103.44,50.29,5685,rosemary
4,1,8,320,150,19.36,1100.40,48.72,6716,rosemary
3,1,8,320,150,19.96,1031.01,51.47,8741,rosemary
8,1,7,320,150,18.86,1007.71,39.94,6098,rosemary
5,1,7,320,150,18.85,1108.37,49.53,7077,rosemary
1,1,8,320,150,21.01,1026.47,39.58,11416,rosemary
7,1,9,320,150,19.53,1060.77,46.91,10804,rosemary
6,1,9,320,150,19.33,1105.82,50.55,8614,rosemary
2,1,9,320,150,20.50,1103.43,50.01,6583,rosemary
4,1,9,320,150,19.38,1100.41,48.53,7982,rosemary
3,1,9,320,150,19.98,1031.01,51.25,11073,rosemary
5,1,8,320,150,18.86,1108.36,49.22,9099,rosemary
8,1,8,320,150,18.87,1007.71,39.72,7841,rosemary
1,1,9,320,150,21.02,1026.48,39.34,14088,rosemary
7,2,0,320,150,19.54,1060.76,46.69,13568,rosemary
6,2,0,320,150,19.34,1105.83,50.24,10870,rosemary
2,2,0,320,150,20.51,1103.43,49.68,7929,rosemary
4,2,0,320,150,19.40,1100.41,48.24,9747,rosemary
3,2,0,320,150,20.00,1031.01,50.90,14499,rosemary
8,1,9,320,150,18.87,1007.72,39.49,9721,rosemary
5,1,9,320,150,18.88,1108.37,48.93,11248,rosemary
1,2,0,320,150,21.02,1026.48,39.04,16887,rosemary
7,2,1,100,150,19.54,1060.76,46.35,357667,rosemary
6,2,1,100,150,19.35,1105.83,49.92,283421,rosemary
2,2,1,100,150,20.53,1103.42,49.36,111962,rosemary
4,2,1,100,150,19.42,1100.40,48.18,119153,rosemary
3,2,1,100,150,20.01,1031.02,50.40,381307,rosemary
8,2,0,320,150,18.88,1007.71,39.25,12167,rosemary
5,2,0,320,150,18.89,1108.37,48.53,14295,rosemary
1,2,1,100,150,21.03,1026.49,38.78,505554,rosemary
7,2,2,100,150,19.50,1060.76,46.02,359551,rosemary
6,2,2,100,150,19.32,1105.84,49.82,288695,rosemary
2,2,2,100,150,20.49,1103.43,49.02,105198,rosemary
4,2,2,100,150,19.39,1100.40,47.69,108544,rosemary
3,2,2,100,150,19.98,1031.02,50.37,351046,rosemary
7,2,3,100,150,19.45,1060.76,45.90,377930,rosemary
8,2,1,100,150,18.88,1007.70,39.00,319800,rosemary
1,2,2,100,150,20.99,1026.48,38.46,514314,rosemary
5,2,1,100,150,18.90,1108.37,48.34,408946,rosemary
6,2,3,100,150,19.28,1105.83,49.44,295954,rosemary
2,2,3,100,150,20.46,1103.43,48.82,105916,rosemary
4,2,3,100,150,19.35,1100.39,47.46,106511,rosemary
7,2,4,200,150,19.41,1060.75,45.66,58878,rosemary
1,2,3,100,150,20.95,1026.47,38.34,528653,rosemary
8,2,2,100,150,18.84,1007.71,38.72,345013,rosemary
5,2,2,100,150,18.87,1108.36,48.02,436116,rosemary
6,2,4,200,150,19.23,1105.82,49.23,45961,rosemary
2,2,4,200,150,20.42,1103.43,48.60,24630,rosemary
4,2,4,200,150,19.31,1100.38,47.18,27310,rosemary
3,2,4,200,150,19.90,1031.00,49.86,56091,rosemary
7,2,5,200,150,19.39,1060.76,45.48,61553,rosemary
1,2,4,200,150,20.91,1026.47,38.21,78624,rosemary
6,2,5,200,150,19.21,1105.81,49.04,48284,rosemary
8,2,3,100,150,18.79,1007.71,38.51,364154,rosemary
5,2,3,100,150,18.83,1108.36,47.82,463034,rosemary
2,2,5,200,150,20.40,1103.43,48.41,25529,rosemary
4,2,5,200,150,19.30,1100.38,46.91,27592,rosemary
3,2,5,200,150,19.88,1031.00,49.65,58155,rosemary
7,2,6,200,150,19.37,1060.76,45.28,63666,rosemary
1,2,5,200,150,20.90,1026.47,38.06,83144,rosemary
6,2,6,200,150,19.20,1105.81,48.85,49661,rosemary
8,2,4,200,150,18.75,1007.71,38.31,57105,rosemary
5,2,4,200,150,18.78,1108.35,47.59,70330,rosemary
2,2,6,200,150,20.40,1103.42,48.25,26365,rosemary
4,2,6,200,150,19.28,1100.38,46.63,28138,rosemary
3,2,6,200,150,19.87,1030.99,49.47,59701,rosemary
7,2,7,320,150,19.36,1060.74,45.19,15191,rosemary
6,2,7,320,150,19.18,1105.81,48.68,12322,rosemary
1,2,6,200,150,20.89,1026.47,37.83,85476,rosemary
8,2,5,200,150,18.72,1007.70,38.19,60249,rosemary
5,2,5,200,150,18.75,1108.35,47.34,73924,rosemary
2,2,7,320,150,20.39,1103.42,48.00,8835,rosemary
4,2,7,320,150,19.27,1100.37,46.57,10621,rosemary
3,2,7,320,150,19.85,1030.99,49.29,15964,rosemary
7,2,8,320,150,19.36,1060.74,44.94,18089,rosemary
6,2,8,320,150,19.18,1105.82,48.46,15148,rosemary
1,2,7,320,150,20.88,1026.47,37.68,18890,rosemary
8,2,6,200,150,18.70,1007.70,38.00,62592,rosemary
2,2,8,320,150,20.39,1103.42,47.75,10558,rosemary
5,2,6,200,150,18.73,1108.35,47.20,77412,rosemary
4,2,8,320,150,19.28,1100.37,46.41,12911,rosemary
