sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,150,29.42,1026.90,34.73,1185872,basil_baseline
2,0,0,100,150,28.71,1103.87,44.73,1017893,basil_baseline
1,0,1,200,150,29.52,1026.91,34.73,134242,basil_baseline
2,0,1,200,150,28.81,1103.86,44.68,112552,basil_baseline
5,0,0,320,8,29.79,1109.18,42.49,24787,basil_baseline
6,0,0,320,8,30.17,1106.63,43.77,17641,basil_baseline
3,0,1,100,150,28.47,1031.09,45.45,602353,basil_baseline
4,0,1,100,150,27.83,1100.80,42.99,572547,basil_baseline
1,1,0,100,150,29.76,1026.93,34.63,586316,basil_baseline
2,1,0,100,150,29.07,1103.86,44.67,535285,basil_baseline
8,0,0,100,17,30.55,1007.97,33.04,259898,basil_baseline
3,0,2,100,150,28.53,1031.09,45.42,609342,basil_baseline
4,0,2,100,150,27.89,1100.79,42.97,566372,basil_baseline
2,1,1,200,150,29.19,1103.86,44.60,67493,basil_baseline
4,0,3,100,150,27.94,1100.80,42.80,583310,basil_baseline
3,0,3,100,150,28.58,1031.09,45.34,624962,basil_baseline
2,1,2,320,150,29.35,1103.88,44.57,14791,basil_baseline
1,1,2,320,150,30.02,1026.94,34.52,17582,basil_baseline
5,0,2,100,17,31.23,1109.33,41.58,710864,basil_baseline
6,0,2,100,17,31.65,1106.79,43.05,460225,basil_baseline
2,2,0,100,150,29.52,1103.87,44.44,428721,basil_baseline
1,2,0,100,150,30.17,1026.95,34.45,552170,basil_baseline
7,0,1,117,15,31.79,1061.13,39.43,179586,basil_baseline
4,0,4,200,150,27.99,1100.81,42.80,84461,basil_baseline
3,0,4,200,150,28.63,1031.09,45.27,84544,basil_baseline
2,2,1,200,150,29.62,1103.87,44.31,61465,basil_baseline
1,2,1,200,150,30.26,1026.96,34.31,82421,basil_baseline
4,0,5,200,150,28.04,1100.81,42.78,84211,basil_baseline
2,2,2,320,150,29.72,1103.88,44.11,18807,basil_baseline
3,0,5,200,150,28.68,1031.09,45.20,84628,basil_baseline
1,2,2,320,150,30.35,1026.96,34.23,23005,basil_baseline
7,0,2,133,13,32.24,1061.18,38.65,115212,basil_baseline
2,3,0,100,150,29.84,1103.89,44.01,614277,basil_baseline
1,3,0,100,150,30.46,1026.97,34.41,826807,basil_baseline
4,0,6,200,150,28.09,1100.81,42.65,84881,basil_baseline
3,0,6,200,150,28.73,1031.08,45.11,86957,basil_baseline
2,3,1,200,150,29.89,1103.90,44.02,80859,basil_baseline
1,3,1,200,150,30.49,1026.97,33.96,113149,basil_baseline
2,3,2,320,150,29.95,1103.90,43.81,22833,basil_baseline
1,3,2,320,150,30.55,1026.98,33.80,28667,basil_baseline
1,4,0,100,150,30.63,1026.99,33.77,1146055,basil_baseline
2,4,1,200,150,30.05,1103.91,43.52,105069,basil_baseline
1,4,1,200,150,30.64,1026.99,33.68,146202,basil_baseline
8,0,4,167,12,32.50,1008.03,30.47,55871,basil_baseline
2,4,2,320,150,30.10,1103.91,43.46,27327,basil_baseline
1,4,2,320,150,30.67,1026.98,33.58,33853,basil_baseline
2,5,0,100,150,30.17,1103.92,43.40,1125275,basil_baseline
1,5,0,100,150,30.73,1026.99,33.51,1509212,basil_baseline
6,0,3,100,51,32.27,1106.84,40.35,353225,basil_baseline
4,1,0,320,150,28.25,1100.84,42.42,18197,basil_baseline
2,5,1,200,150,30.17,1103.92,43.36,129358,basil_baseline
3,1,0,320,150,28.87,1031.08,44.84,15729,basil_baseline
7,0,5,183,12,33.15,1061.19,36.80,40468,basil_baseline
1,5,1,200,150,30.73,1027.00,33.40,177531,basil_baseline
2,5,2,320,150,30.20,1103.92,43.15,31388,basil_baseline
5,0,4,200,8,32.18,1109.39,39.03,73416,basil_baseline
1,5,2,320,150,30.76,1027.00,33.32,38918,basil_baseline
4,1,1,100,150,28.34,1100.84,42.30,429530,basil_baseline
3,1,1,100,150,28.96,1031.08,44.76,447552,basil_baseline
7,0,6,200,10,33.44,1061.21,36.35,31762,basil_baseline
2,6,0,100,150,30.26,1103.92,42.91,1399863,basil_baseline
1,6,0,100,150,30.81,1027.00,33.26,1859705,basil_baseline
5,0,5,200,8,32.67,1109.42,38.65,71628,basil_baseline
4,1,2,100,150,28.38,1100.84,42.22,398211,basil_baseline
2,6,1,200,150,30.25,1103.92,43.01,154263,basil_baseline
3,1,2,100,150,29.00,1031.09,44.67,427915,basil_baseline
1,6,1,200,150,30.80,1026.99,33.14,213289,basil_baseline
7,0,7,217,10,33.69,1061.21,35.95,26446,basil_baseline
2,6,2,320,150,30.27,1103.92,42.92,35635,basil_baseline
8,0,7,217,10,33.31,1008.03,29.16,26528,basil_baseline
1,6,2,320,150,30.82,1026.99,33.15,43926,basil_baseline
4,1,3,100,150,28.41,1100.84,42.12,409436,basil_baseline
3,1,3,100,150,29.03,1031.09,44.58,430886,basil_baseline
2,7,0,100,150,30.33,1103.93,42.84,1732290,basil_baseline
2,7,1,200,150,30.32,1103.93,42.74,178646,basil_baseline
4,1,4,200,150,28.44,1100.84,42.02,66649,basil_baseline
5,0,7,320,8,33.17,1109.44,37.96,37416,basil_baseline
6,0,7,320,8,33.53,1106.91,39.15,28046,basil_baseline
3,1,4,200,150,29.06,1031.09,44.55,64193,basil_baseline
8,0,8,233,10,33.53,1008.05,28.71,23105,basil_baseline
1,7,1,200,150,30.86,1026.98,32.96,246213,basil_baseline
2,7,2,320,150,30.33,1103.92,42.65,39385,basil_baseline
1,7,2,320,150,30.88,1026.99,32.93,48725,basil_baseline
4,1,5,200,150,28.49,1100.84,41.96,67600,basil_baseline
5,0,8,320,8,33.64,1109.49,37.67,68139,basil_baseline
6,0,8,320,8,33.98,1106.92,38.80,49980,basil_baseline
3,1,5,200,150,29.11,1031.10,44.42,66754,basil_baseline
8,0,9,250,8,33.53,1008.05,28.48,19729,basil_baseline
1,8,0,100,150,30.93,1026.99,32.81,2599810,basil_baseline
2,8,1,200,150,30.37,1103.92,42.57,206452,basil_baseline
4,1,6,200,150,28.54,1100.85,41.87,68854,basil_baseline
5,0,9,320,8,33.94,1109.52,37.32,95114,basil_baseline
1,8,1,200,150,30.91,1027.00,32.80,275417,basil_baseline
3,1,6,200,150,29.16,1031.09,44.34,69133,basil_baseline
6,0,9,320,8,34.27,1106.94,38.56,68303,basil_baseline
2,8,2,320,150,30.39,1103.92,42.46,42996,basil_baseline
1,8,2,320,150,30.93,1027.00,32.76,53090,basil_baseline
4,1,7,320,150,28.59,1100.85,41.78,20908,basil_baseline
2,9,0,100,150,30.43,1103.94,42.44,2365579,basil_baseline
5,1,0,320,8,34.14,1109.53,36.96,116549,basil_baseline
3,1,7,320,150,29.20,1031.09,44.28,19620,basil_baseline
6,1,0,320,8,34.45,1106.96,38.07,83633,basil_baseline
1,9,0,100,150,30.98,1027.00,32.69,2925714,basil_baseline
2,9,1,200,150,30.42,1103.94,42.27,231989,basil_baseline
4,1,8,320,150,28.65,1100.86,41.70,25838,basil_baseline
1,9,1,200,150,30.96,1027.00,32.65,299065,basil_baseline
3,1,8,320,150,29.26,1031.10,44.19,25362,basil_baseline
2,9,2,320,150,30.43,1103.94,42.25,46410,basil_baseline
1,9,2,320,150,30.97,1027.00,32.60,57412,basil_baseline
4,1,9,320,150,28.71,1100.87,41.56,30513,basil_baseline
2,10,0,100,150,30.48,1103.95,42.27,2686783,basil_baseline
3,1,9,320,150,29.32,1031.11,44.09,30821,basil_baseline
1,10,0,100,150,31.02,1027.00,32.58,3349826,basil_baseline
2,10,1,200,150,30.47,1103.96,42.11,255425,basil_baseline
4,2,0,320,150,28.76,1100.87,41.61,35996,basil_baseline
1,10,1,200,150,31.01,1027.01,32.55,327785,basil_baseline
3,2,0,320,150,29.38,1031.10,44.01,37747,basil_baseline
2,10,2,320,150,30.48,1103.96,42.13,50394,basil_baseline
1,10,2,320,150,31.02,1027.00,32.50,60207,basil_baseline
2,11,0,100,150,30.52,1103.96,42.09,2963821,basil_baseline
4,2,1,100,150,28.82,1100.87,41.48,1225247,basil_baseline
3,2,1,100,150,29.43,1031.11,43.76,1680066,basil_baseline
