sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
2,0,0,100,150,30.34,1104.07,44.95,1958403,basil
1,0,1,200,150,31.11,1027.13,34.98,215307,basil
2,0,1,200,150,30.44,1104.07,44.96,168255,basil
5,0,0,320,8,30.92,1109.44,43.01,31785,basil
6,0,0,320,8,31.31,1106.90,44.27,22077,basil
3,0,1,100,150,30.01,1031.27,45.74,1075630,basil
1,1,0,100,150,31.36,1027.14,34.93,1038013,basil
2,1,0,100,150,30.69,1104.10,44.92,876712,basil
3,0,2,100,150,30.07,1031.26,45.67,1024769,basil
2,1,1,200,150,30.82,1104.10,44.86,97673,basil
1,1,1,200,150,31.47,1027.14,34.89,122664,basil
3,0,3,100,150,30.12,1031.25,45.60,999268,basil
4,0,3,100,150,29.51,1101.07,43.08,949247,basil
2,1,2,320,150,30.97,1104.11,44.87,21986,basil
1,1,2,320,150,31.61,1027.16,34.80,25713,basil
2,2,0,100,150,31.14,1104.11,44.67,784074,basil
8,0,1,117,15,32.52,1008.18,32.70,252217,basil
4,0,4,200,150,29.56,1101.09,43.02,125183,basil
3,0,4,200,150,30.16,1031.26,45.45,122137,basil
2,2,1,200,150,31.23,1104.11,44.59,87491,basil
1,2,1,200,150,31.84,1027.18,34.43,121963,basil
4,0,5,200,150,29.61,1101.08,42.96,122050,basil
2,2,2,320,150,31.33,1104.11,44.44,26414,basil
1,2,2,320,150,31.93,1027.18,34.47,31880,basil
2,3,0,100,150,31.45,1104.13,44.32,1012608,basil
1,3,0,100,150,32.04,1027.19,34.36,1352708,basil
4,0,6,200,150,29.66,1101.07,42.86,120244,basil
3,0,6,200,150,30.26,1031.27,45.52,119236,basil
2,3,1,200,150,31.50,1104.12,44.20,106644,basil
1,3,1,200,150,32.07,1027.20,34.21,152472,basil
2,3,2,320,150,31.56,1104.14,44.09,30189,basil
1,3,2,320,150,32.13,1027.21,34.14,37482,basil
8,0,3,150,13,33.35,1008.17,31.28,114824,basil
2,4,0,100,150,31.65,1104.14,44.00,1247639,basil
1,4,0,100,150,32.20,1027.21,34.09,1747813,basil
2,4,1,200,150,31.67,1104.14,43.87,125552,basil
1,4,1,200,150,32.21,1027.21,33.96,183250,basil
7,0,4,167,12,34.03,1061.36,37.69,75494,basil
8,0,4,167,12,33.56,1008.17,30.68,75762,basil
2,4,2,320,150,31.70,1104.15,43.77,33561,basil
1,4,2,320,150,32.24,1027.20,33.86,42483,basil
2,5,0,100,150,31.77,1104.15,43.62,1561869,basil
1,5,0,100,150,32.30,1027.20,33.93,2122830,basil
6,0,3,100,51,33.42,1107.05,40.65,286034,basil
4,1,0,320,150,29.81,1101.08,42.60,25468,basil
2,5,1,200,150,31.77,1104.15,43.50,143619,basil
3,1,0,320,150,30.41,1031.27,45.12,21695,basil
7,0,5,183,12,34.22,1061.37,37.17,52599,basil
1,5,1,200,150,32.30,1027.19,33.77,214092,basil
8,0,5,183,12,33.91,1008.16,30.22,55399,basil
2,5,2,320,150,31.80,1104.16,43.47,36835,basil
1,5,2,320,150,32.32,1027.19,33.67,47637,basil
4,1,1,100,150,29.89,1101.07,42.55,687941,basil
3,1,1,100,150,30.49,1031.27,45.05,727531,basil
2,6,0,100,150,31.85,1104.16,43.43,1750053,basil
8,0,6,200,10,34.16,1008.18,29.78,41981,basil
1,6,0,100,150,32.38,1027.19,33.57,2450494,basil
4,1,2,100,150,29.93,1101.08,42.44,612074,basil
2,6,1,200,150,31.85,1104.16,43.28,159900,basil
3,1,2,100,150,30.53,1031.26,44.98,670376,basil
2,6,2,320,150,31.86,1104.15,43.24,39567,basil
1,6,2,320,150,32.39,1027.19,33.46,51519,basil
4,1,3,100,150,29.96,1101.08,42.40,563101,basil
6,0,6,200,8,34.51,1107.12,39.84,33880,basil
3,1,3,100,150,30.55,1031.26,44.92,640200,basil
2,7,0,100,150,31.92,1104.16,43.13,2010307,basil
1,7,0,100,150,32.43,1027.18,33.46,2760108,basil
7,0,8,233,10,34.84,1061.41,35.86,27084,basil
2,7,1,200,150,31.90,1104.17,43.10,174268,basil
4,1,4,200,150,29.99,1101.08,42.35,77552,basil
5,0,7,320,8,34.29,1109.67,38.51,38811,basil
6,0,7,320,8,34.70,1107.16,39.24,28667,basil
3,1,4,200,150,30.58,1031.26,44.82,77062,basil
1,7,1,200,150,32.42,1027.19,33.30,259109,basil
2,7,2,320,150,31.92,1104.16,43.04,42356,basil
1,7,2,320,150,32.44,1027.20,33.27,54936,basil
7,0,9,250,8,35.10,1061.43,35.63,24845,basil
4,1,5,200,150,30.04,1101.08,42.12,74636,basil
3,1,5,200,150,30.63,1031.26,44.71,77341,basil
6,0,8,320,8,35.16,1107.18,39.15,50157,basil
2,8,0,100,150,31.97,1104.17,42.99,2230330,basil
8,0,9,250,8,34.63,1008.20,28.75,24183,basil
2,8,1,200,150,31.95,1104.17,42.90,190123,basil
4,1,6,200,150,30.09,1101.07,42.18,73669,basil
5,0,9,320,8,35.09,1109.74,37.74,88489,basil
1,8,1,200,150,32.47,1027.20,33.22,277883,basil
3,1,6,200,150,30.68,1031.26,44.75,77482,basil
6,0,9,320,8,35.46,1107.21,38.75,64827,basil
2,8,2,320,150,31.97,1104.17,42.82,44383,basil
1,8,2,320,150,32.48,1027.20,33.19,57762,basil
4,1,7,320,150,30.13,1101.07,42.10,25574,basil
2,9,0,100,150,32.01,1104.16,42.84,2351320,basil
3,1,7,320,150,30.72,1031.26,44.65,24418,basil
5,1,0,320,8,35.30,1109.75,37.37,105263,basil
6,1,0,320,8,35.65,1107.21,38.45,75095,basil
1,9,0,100,150,32.53,1027.20,33.15,3307227,basil
2,9,1,200,150,31.99,1104.16,42.76,202412,basil
4,1,8,320,150,30.20,1101.07,42.02,30732,basil
3,1,8,320,150,30.78,1031.27,44.53,30469,basil
2,9,2,320,150,32.01,1104.17,42.72,46159,basil
1,9,2,320,150,32.52,1027.20,33.00,60207,basil
4,1,9,320,150,30.26,1101.06,41.93,35369,basil
7,1,1,117,15,34.39,1061.40,34.85,168587,basil
2,10,0,100,150,32.05,1104.16,42.70,2518291,basil
3,1,9,320,150,30.84,1031.26,44.39,36148,basil
1,10,0,100,150,32.57,1027.21,33.01,3585120,basil
6,1,2,100,17,34.56,1107.13,37.77,3287320,basil
4,2,0,320,150,30.31,1101.07,41.85,41131,basil
1,10,1,200,150,32.55,1027.21,32.91,308248,basil
3,2,0,320,150,30.90,1031.26,44.38,43040,basil
2,10,2,320,150,32.04,1104.16,42.66,48256,basil
1,10,2,320,150,32.57,1027.22,32.95,62363,basil
2,11,0,100,150,32.09,1104.15,42.61,2658014,basil
3,2,1,100,150,30.95,1031.27,44.27,2005877,basil
2,11,1,200,150,32.07,1104.16,42.54,220168,basil
4,2,2,100,150,30.36,1101.08,41.70,1171625,basil
1,11,1,200,150,32.59,1027.20,32.84,316245,basil
2,11,2,320,150,32.08,1104.15,42.52,50039,basil
3,2,2,100,150,30.95,1031.27,44.36,1691514,basil
1,11,2,320,150,32.61,1027.20,32.79,63952,basil
2,12,0,100,150,32.12,1104.15,42.48,2852368,basil
4,2,3,100,150,30.36,1101.09,41.66,1038803,basil
3,2,3,100,150,30.94,1031.26,44.50,1523526,basil
1,12,0,100,150,32.65,1027.20,32.88,3888915,basil
2,12,1,200,150,32.10,1104.15,42.46,229032,basil
1,12,1,200,150,32.63,1027.20,32.75,329049,basil
4,2,4,200,150,30.35,1101.09,41.65,113149,basil
2,12,2,320,150,32.11,1104.15,42.45,51333,basil
8,1,4,167,12,34.73,1008.19,27.63,63382,basil
3,2,4,200,150,30.93,1031.25,44.29,136062,basil
1,12,2,320,150,32.64,1027.20,32.74,65473,basil
2,13,0,100,150,32.16,1104.14,42.38,2973503,basil
4,2,5,200,150,30.37,1101.08,41.66,106246,basil
1,13,0,100,150,32.68,1027.20,32.69,4035468,basil
3,2,5,200,150,30.95,1031.25,44.10,128096,basil
7,1,5,183,12,35.29,1061.42,34.17,46818,basil
2,13,1,200,150,32.14,1104.15,42.36,235836,basil
1,13,1,200,150,32.67,1027.20,32.67,334204,basil
4,2,6,200,150,30.39,1101.08,41.54,100372,basil
2,13,2,320,150,32.15,1104.15,42.33,52632,basil
6,1,3,100,51,34.33,1107.10,37.53,1074784,basil
3,2,6,200,150,30.98,1031.25,43.89,123107,basil
1,13,2,320,150,32.68,1027.21,32.67,66806,basil
