sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,150,29.62,1024.98,35.64,1047570,cinnamon_baseline
2,0,0,100,150,28.91,1101.91,45.67,938159,cinnamon_baseline
1,0,1,200,150,29.72,1024.98,35.61,111815,cinnamon_baseline
2,0,1,200,150,29.01,1101.93,45.68,97505,cinnamon_baseline
5,0,0,320,8,29.20,1107.22,45.27,15523,cinnamon_baseline
6,0,0,320,8,29.62,1104.67,46.48,10695,cinnamon_baseline
3,0,1,100,150,28.51,1029.15,46.79,432250,cinnamon_baseline
4,0,1,100,150,27.87,1098.88,44.42,395443,cinnamon_baseline
1,1,0,100,150,29.96,1024.99,35.67,395214,cinnamon_baseline
2,1,0,100,150,29.27,1101.95,45.62,351046,cinnamon_baseline
3,0,2,100,150,28.57,1029.14,46.72,438638,cinnamon_baseline
4,0,2,100,150,27.93,1098.89,44.27,384529,cinnamon_baseline
2,1,1,200,150,29.39,1101.95,45.53,48641,cinnamon_baseline
1,1,1,200,150,30.07,1025.00,35.52,57258,cinnamon_baseline
3,0,3,100,150,28.62,1029.13,46.66,446966,cinnamon_baseline
2,1,2,320,150,29.54,1101.96,45.48,8377,cinnamon_baseline
1,1,2,320,150,30.21,1025.00,35.46,10117,cinnamon_baseline
6,0,2,100,17,31.11,1104.80,45.42,230891,cinnamon_baseline
2,2,0,100,150,29.71,1101.96,45.38,169424,cinnamon_baseline
1,2,0,100,150,30.36,1025.01,35.32,232780,cinnamon_baseline
4,0,4,200,150,28.03,1098.87,44.09,64338,cinnamon_baseline
3,0,4,200,150,28.66,1029.12,46.61,64728,cinnamon_baseline
2,2,1,200,150,29.80,1101.96,45.21,31527,cinnamon_baseline
1,2,1,200,150,30.44,1025.02,35.25,43258,cinnamon_baseline
4,0,5,200,150,28.08,1098.88,44.04,64289,cinnamon_baseline
2,2,2,320,150,29.90,1101.96,45.29,10423,cinnamon_baseline
3,0,5,200,150,28.71,1029.12,46.54,65928,cinnamon_baseline
1,2,2,320,150,30.53,1025.03,35.12,13077,cinnamon_baseline
2,3,0,100,150,30.02,1101.96,45.10,235999,cinnamon_baseline
1,3,0,100,150,30.64,1025.03,34.99,330323,cinnamon_baseline
4,0,6,200,150,28.13,1098.86,43.95,64386,cinnamon_baseline
3,0,6,200,150,28.75,1029.12,46.47,66754,cinnamon_baseline
2,3,1,200,150,30.06,1101.95,44.86,39604,cinnamon_baseline
1,3,1,200,150,30.67,1025.03,34.87,58037,cinnamon_baseline
2,3,2,320,150,30.13,1101.95,44.78,13005,cinnamon_baseline
1,3,2,320,150,30.72,1025.02,34.77,16231,cinnamon_baseline
7,0,3,150,13,31.98,1059.22,40.73,87581,cinnamon_baseline
8,0,3,150,13,31.63,1006.05,33.56,86516,cinnamon_baseline
2,4,0,100,150,30.21,1101.96,44.65,321003,cinnamon_baseline
1,4,0,100,150,30.80,1025.03,34.72,465243,cinnamon_baseline
2,4,1,200,150,30.23,1101.95,44.54,50814,cinnamon_baseline
1,4,1,200,150,30.80,1025.02,34.60,74246,cinnamon_baseline
7,0,4,167,12,32.28,1059.21,40.08,57567,cinnamon_baseline
2,4,2,320,150,30.27,1101.94,44.43,15511,cinnamon_baseline
1,4,2,320,150,30.84,1025.02,34.51,19423,cinnamon_baseline
2,5,0,100,150,30.33,1101.95,44.23,436953,cinnamon_baseline
1,5,0,100,150,30.90,1025.02,34.42,618171,cinnamon_baseline
6,0,3,100,51,31.73,1104.80,42.91,200156,cinnamon_baseline
4,1,0,320,150,28.27,1098.85,43.67,10738,cinnamon_baseline
2,5,1,200,150,30.33,1101.94,44.22,63054,cinnamon_baseline
3,1,0,320,150,28.89,1029.10,46.18,8656,cinnamon_baseline
1,5,1,200,150,30.89,1025.02,34.38,91331,cinnamon_baseline
2,5,2,320,150,30.36,1101.94,44.08,18028,cinnamon_baseline
6,0,4,200,8,32.03,1104.80,42.53,28533,cinnamon_baseline
1,5,2,320,150,30.91,1025.02,34.26,22519,cinnamon_baseline
4,1,1,100,150,28.35,1098.85,43.61,176979,cinnamon_baseline
3,1,1,100,150,28.97,1029.09,46.11,168421,cinnamon_baseline
7,0,6,200,10,32.74,1059.23,39.03,24917,cinnamon_baseline
2,6,0,100,150,30.41,1101.95,44.04,560328,cinnamon_baseline
4,1,2,100,150,28.39,1098.85,43.51,170610,cinnamon_baseline
2,6,1,200,150,30.41,1101.95,43.99,75964,cinnamon_baseline
3,1,2,100,150,29.01,1029.10,46.02,172681,cinnamon_baseline
1,6,1,200,150,30.96,1025.02,34.11,110440,cinnamon_baseline
7,0,7,217,10,32.98,1059.25,38.63,18824,cinnamon_baseline
2,6,2,320,150,30.42,1101.96,43.83,20625,cinnamon_baseline
1,6,2,320,150,30.97,1025.02,33.99,25729,cinnamon_baseline
4,1,3,100,150,28.42,1098.85,43.44,170269,cinnamon_baseline
3,1,3,100,150,29.04,1029.11,45.95,178646,cinnamon_baseline
2,7,0,100,150,30.47,1101.97,43.80,691425,cinnamon_baseline
1,7,0,100,150,31.02,1025.02,33.99,966722,cinnamon_baseline
7,0,8,233,10,33.06,1059.26,38.14,15202,cinnamon_baseline
2,7,1,200,150,30.46,1101.96,43.64,90268,cinnamon_baseline
4,1,4,200,150,28.44,1098.84,43.33,36739,cinnamon_baseline
5,0,7,320,8,32.58,1107.42,40.43,24238,cinnamon_baseline
6,0,7,320,8,32.98,1104.83,41.58,17967,cinnamon_baseline
8,0,8,233,10,32.85,1006.03,31.22,15094,cinnamon_baseline
3,1,4,200,150,29.06,1029.11,45.90,33482,cinnamon_baseline
1,7,1,200,150,31.01,1025.01,33.92,127713,cinnamon_baseline
2,7,2,320,150,30.48,1101.96,43.59,23030,cinnamon_baseline
1,7,2,320,150,31.02,1025.00,33.90,28629,cinnamon_baseline
7,0,9,250,8,33.30,1059.27,37.82,14014,cinnamon_baseline
4,1,5,200,150,28.49,1098.83,43.23,37416,cinnamon_baseline
5,0,8,320,8,33.04,1107.46,40.09,43170,cinnamon_baseline
6,0,8,320,8,33.43,1104.90,41.23,32537,cinnamon_baseline
3,1,5,200,150,29.11,1029.10,45.77,35457,cinnamon_baseline
2,8,0,100,150,30.52,1101.96,43.63,834896,cinnamon_baseline
1,8,0,100,150,31.06,1025.00,33.82,1128064,cinnamon_baseline
2,8,1,200,150,30.51,1101.96,43.51,103728,cinnamon_baseline
4,1,6,200,150,28.54,1098.84,43.19,38427,cinnamon_baseline
5,0,9,320,8,33.34,1107.47,39.71,62915,cinnamon_baseline
1,8,1,200,150,31.05,1025.01,33.74,144347,cinnamon_baseline
3,1,6,200,150,29.16,1029.09,45.72,36930,cinnamon_baseline
6,0,9,320,8,33.72,1104.92,40.83,45862,cinnamon_baseline
2,8,2,320,150,30.52,1101.95,43.30,25744,cinnamon_baseline
1,8,2,320,150,31.06,1025.00,33.72,31411,cinnamon_baseline
4,1,7,320,150,28.58,1098.84,43.15,12681,cinnamon_baseline
7,1,0,100,17,32.64,1059.24,37.41,115445,cinnamon_baseline
2,9,0,100,150,30.56,1101.95,43.41,984142,cinnamon_baseline
5,1,0,320,8,33.54,1107.48,39.34,79282,cinnamon_baseline
3,1,7,320,150,29.21,1029.08,45.64,10717,cinnamon_baseline
6,1,0,320,8,33.91,1104.92,40.46,58635,cinnamon_baseline
1,9,0,100,150,31.11,1025.01,33.63,1301144,cinnamon_baseline
5,1,1,100,3,33.43,1107.49,39.12,5394798,cinnamon_baseline
2,9,1,200,150,30.55,1101.96,43.33,117431,cinnamon_baseline
4,1,8,320,150,28.64,1098.83,43.02,15411,cinnamon_baseline
1,9,1,200,150,31.09,1025.00,33.65,161412,cinnamon_baseline
3,1,8,320,150,29.26,1029.08,45.54,14125,cinnamon_baseline
2,9,2,320,150,30.56,1101.94,43.21,27954,cinnamon_baseline
1,9,2,320,150,31.10,1025.00,33.58,33988,cinnamon_baseline
7,1,1,117,15,32.58,1059.23,36.89,90268,cinnamon_baseline
4,1,9,320,150,28.70,1098.82,42.95,18197,cinnamon_baseline
2,10,0,100,150,30.60,1101.95,43.27,1121577,cinnamon_baseline
3,1,9,320,150,29.32,1029.07,45.51,17410,cinnamon_baseline
1,10,0,100,150,31.15,1025.00,33.55,1535520,cinnamon_baseline
2,10,1,200,150,30.58,1101.96,43.22,131653,cinnamon_baseline
6,1,2,100,17,32.83,1104.82,39.71,3143515,cinnamon_baseline
4,2,0,320,150,28.75,1098.80,42.95,21542,cinnamon_baseline
1,10,1,200,150,31.13,1025.00,33.64,182077,cinnamon_baseline
3,2,0,320,150,29.37,1029.07,45.31,21433,cinnamon_baseline
2,10,2,320,150,30.59,1101.95,43.16,30125,cinnamon_baseline
7,1,2,133,13,32.77,1059.22,36.75,67653,cinnamon_baseline
1,10,2,320,150,31.14,1025.01,33.52,36488,cinnamon_baseline
2,11,0,100,150,30.63,1101.94,43.13,1286432,cinnamon_baseline
4,2,1,100,150,28.79,1098.81,42.75,501101,cinnamon_baseline
3,2,1,100,150,29.42,1029.07,45.29,636618,cinnamon_baseline
1,11,0,100,150,31.18,1025.02,33.41,1663688,cinnamon_baseline
2,11,1,200,150,30.61,1101.96,43.08,144960,cinnamon_baseline
4,2,2,100,150,28.80,1098.80,42.71,450209,cinnamon_baseline
1,11,1,200,150,31.17,1025.02,33.40,195010,cinnamon_baseline
2,11,2,320,150,30.62,1101.96,43.02,32340,cinnamon_baseline
3,2,2,100,150,29.42,1029.06,45.15,618731,cinnamon_baseline
1,11,2,320,150,31.18,1025.01,33.43,38882,cinnamon_baseline
2,12,0,100,150,30.67,1101.96,42.96,1429170,cinnamon_baseline
4,2,3,100,150,28.79,1098.80,42.57,429260,cinnamon_baseline
3,2,3,100,150,29.41,1029.07,45.01,567313,cinnamon_baseline
1,12,0,100,150,31.22,1025.00,33.37,1840899,cinnamon_baseline
2,12,1,200,150,30.65,1101.96,42.95,156959,cinnamon_baseline
7,1,4,167,12,33.20,1059.26,36.45,42738,cinnamon_baseline
1,12,1,200,150,31.20,1025.00,33.28,211308,cinnamon_baseline
4,2,4,200,150,28.78,1098.81,42.56,74053,cinnamon_baseline
2,12,2,320,150,30.66,1101.96,42.94,34316,cinnamon_baseline
8,1,4,167,12,32.90,1006.04,29.52,37614,cinnamon_baseline
3,2,4,200,150,29.40,1029.06,45.04,81633,cinnamon_baseline
1,12,2,320,150,31.21,1025.01,33.27,41052,cinnamon_baseline
4,2,5,200,150,28.79,1098.81,42.55,73860,cinnamon_baseline
1,13,0,100,150,31.25,1025.00,33.27,2016244,cinnamon_baseline
3,2,5,200,150,29.42,1029.07,44.94,82025,cinnamon_baseline
2,13,1,200,150,30.68,1101.96,42.90,170100,cinnamon_baseline
