sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,150,28.75,1025.36,37.20,1601251,cinnamon
2,0,0,100,150,28.04,1102.34,47.44,1626042,cinnamon
1,0,1,200,150,28.84,1025.37,37.17,157538,cinnamon
2,0,1,200,150,28.13,1102.34,47.44,152064,cinnamon
5,0,0,320,8,28.85,1107.60,45.65,22882,cinnamon
6,0,0,320,8,29.24,1105.07,46.75,16431,cinnamon
3,0,1,100,150,27.73,1029.54,48.21,715334,cinnamon
4,0,1,100,150,27.08,1099.24,45.86,727531,cinnamon
5,0,1,100,3,29.39,1107.66,45.49,751698,cinnamon
6,0,1,100,3,29.80,1105.12,46.58,492426,cinnamon
2,1,0,100,150,28.39,1102.33,47.41,645649,cinnamon
1,1,0,100,150,29.08,1025.39,37.11,669719,cinnamon
3,0,2,100,150,27.79,1029.54,48.16,711605,cinnamon
4,0,2,100,150,27.15,1099.26,45.68,704991,cinnamon
2,1,1,200,150,28.52,1102.33,47.29,76441,cinnamon
1,1,1,200,150,29.20,1025.40,37.01,85220,cinnamon
3,0,3,100,150,27.85,1029.55,47.96,701370,cinnamon
4,0,3,100,150,27.20,1099.26,45.57,702091,cinnamon
2,1,2,320,150,28.67,1102.34,47.17,13585,cinnamon
1,1,2,320,150,29.34,1025.41,36.94,15916,cinnamon
6,0,2,100,17,30.74,1105.18,45.65,429801,cinnamon
2,2,0,100,150,28.84,1102.36,47.00,345712,cinnamon
1,2,0,100,150,29.50,1025.42,36.85,474954,cinnamon
7,0,1,117,15,30.91,1059.64,41.89,213422,cinnamon
8,0,1,117,15,30.49,1006.48,34.79,200039,cinnamon
4,0,4,200,150,27.25,1099.26,45.47,104235,cinnamon
3,0,4,200,150,27.89,1029.55,47.83,96295,cinnamon
2,2,1,200,150,28.94,1102.36,46.91,54237,cinnamon
1,2,1,200,150,29.58,1025.43,36.71,73542,cinnamon
4,0,5,200,150,27.31,1099.26,45.39,103101,cinnamon
2,2,2,320,150,29.04,1102.36,46.79,16820,cinnamon
3,0,5,200,150,27.94,1029.55,47.79,96732,cinnamon
1,2,2,320,150,29.67,1025.43,36.50,20234,cinnamon
2,3,0,100,150,29.16,1102.37,46.80,484734,cinnamon
1,3,0,100,150,29.78,1025.43,36.41,673020,cinnamon
4,0,6,200,150,27.35,1099.26,45.28,101749,cinnamon
3,0,6,200,150,27.99,1029.54,47.73,96241,cinnamon
2,3,1,200,150,29.21,1102.36,46.49,68854,cinnamon
1,3,1,200,150,29.81,1025.44,36.48,96786,cinnamon
2,3,2,320,150,29.27,1102.36,46.36,20253,cinnamon
1,3,2,320,150,29.87,1025.43,36.21,25078,cinnamon
7,0,3,150,13,31.75,1059.64,40.45,86780,cinnamon
2,4,0,100,150,29.36,1102.37,46.27,649952,cinnamon
1,4,0,100,150,29.94,1025.42,36.08,919210,cinnamon
2,4,1,200,150,29.37,1102.36,46.09,86604,cinnamon
1,4,1,200,150,29.96,1025.43,35.96,121963,cinnamon
7,0,4,167,12,32.04,1059.63,39.70,60635,cinnamon
2,4,2,320,150,29.41,1102.37,45.95,24033,cinnamon
1,4,2,320,150,29.99,1025.42,35.92,29480,cinnamon
2,5,0,100,150,29.48,1102.37,45.83,838485,cinnamon
1,5,0,100,150,30.05,1025.42,35.69,1187935,cinnamon
4,1,0,320,150,27.51,1099.25,44.91,16927,cinnamon
2,5,1,200,150,29.48,1102.37,45.70,106711,cinnamon
3,1,0,320,150,28.13,1029.53,47.39,13585,cinnamon
