sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,150,30.04,1025.64,34.93,2261734,thyme_baseline
2,0,0,100,150,29.31,1102.56,45.01,1790210,thyme_baseline
1,0,1,200,150,30.13,1025.65,34.94,218757,thyme_baseline
2,0,1,200,150,29.41,1102.56,45.03,163578,thyme_baseline
5,0,0,320,8,30.12,1107.94,43.29,37155,thyme_baseline
6,0,0,320,8,30.53,1105.36,44.55,26332,thyme_baseline
3,0,1,100,150,29.04,1029.75,45.83,1081595,thyme_baseline
4,0,1,100,150,28.38,1099.52,43.40,901607,thyme_baseline
6,0,1,100,3,31.09,1105.43,44.39,1057305,thyme_baseline
1,1,0,100,150,30.37,1025.66,34.90,1085896,thyme_baseline
2,1,0,100,150,29.67,1102.58,44.96,852623,thyme_baseline
3,0,2,100,150,29.10,1029.76,45.73,1081595,thyme_baseline
4,0,2,100,150,28.44,1099.52,43.35,844710,thyme_baseline
2,1,1,200,150,29.79,1102.59,44.89,97729,thyme_baseline
1,1,1,200,150,30.49,1025.66,34.82,127617,thyme_baseline
4,0,3,100,150,28.49,1099.52,43.27,812537,thyme_baseline
2,1,2,320,150,29.95,1102.60,44.87,21433,thyme_baseline
1,1,2,320,150,30.63,1025.67,34.75,26122,thyme_baseline
2,2,0,100,150,30.12,1102.61,44.76,769925,thyme_baseline
4,0,4,200,150,28.54,1099.52,43.20,115837,thyme_baseline
3,0,4,200,150,29.20,1029.77,45.65,129752,thyme_baseline
2,2,1,200,150,30.21,1102.62,44.57,94955,thyme_baseline
1,2,1,200,150,30.87,1025.69,34.53,134348,thyme_baseline
4,0,5,200,150,28.59,1099.54,43.12,117512,thyme_baseline
2,2,2,320,150,30.32,1102.63,44.45,26981,thyme_baseline
3,0,5,200,150,29.25,1029.78,45.52,130048,thyme_baseline
2,3,0,100,150,30.44,1102.63,44.26,1077328,thyme_baseline
1,3,0,100,150,31.06,1025.70,34.23,1520980,thyme_baseline
4,0,6,200,150,28.64,1099.54,43.13,115602,thyme_baseline
3,0,6,200,150,29.29,1029.79,45.46,128967,thyme_baseline
2,3,1,200,150,30.48,1102.63,44.15,124272,thyme_baseline
1,3,1,200,150,31.10,1025.70,34.19,174268,thyme_baseline
2,3,2,320,150,30.54,1102.63,44.08,31976,thyme_baseline
1,3,2,320,150,31.15,1025.70,34.10,40125,thyme_baseline
2,4,0,100,150,30.63,1102.64,44.09,1430667,thyme_baseline
1,4,0,100,150,31.23,1025.70,34.02,1979700,thyme_baseline
2,4,1,200,150,30.65,1102.63,43.82,154823,thyme_baseline
1,4,1,200,150,31.24,1025.71,33.87,222609,thyme_baseline
2,4,2,320,150,30.69,1102.63,43.73,37318,thyme_baseline
1,4,2,320,150,31.27,1025.71,33.83,46562,thyme_baseline
2,5,0,100,150,30.75,1102.64,43.58,1824905,thyme_baseline
1,5,0,100,150,31.33,1025.72,33.71,2483930,thyme_baseline
5,0,3,100,51,32.16,1108.07,39.85,1084172,thyme_baseline
4,1,0,320,150,28.79,1099.53,42.76,24701,thyme_baseline
2,5,1,200,150,30.75,1102.63,43.51,186657,thyme_baseline
3,1,0,320,150,29.43,1029.78,45.19,22168,thyme_baseline
8,0,5,183,12,33.13,1006.72,30.55,52534,thyme_baseline
1,5,1,200,150,31.33,1025.72,33.67,263714,thyme_baseline
2,5,2,320,150,30.78,1102.63,43.62,42147,thyme_baseline
6,0,4,200,8,32.90,1105.56,40.75,68688,thyme_baseline
1,5,2,320,150,31.35,1025.72,33.55,53222,thyme_baseline
4,1,1,100,150,28.87,1099.54,42.71,668407,thyme_baseline
3,1,1,100,150,29.51,1029.77,45.05,755441,thyme_baseline
2,6,0,100,150,30.84,1102.64,43.29,2214054,thyme_baseline
8,0,6,200,10,33.36,1006.72,30.05,39789,thyme_baseline
1,6,0,100,150,31.40,1025.72,33.45,3018423,thyme_baseline
4,1,2,100,150,28.91,1099.54,42.60,613174,thyme_baseline
2,6,1,200,150,30.83,1102.64,43.32,223191,thyme_baseline
3,1,2,100,150,29.55,1029.76,45.03,717589,thyme_baseline
1,6,1,200,150,31.39,1025.72,33.40,303318,thyme_baseline
2,6,2,320,150,30.85,1102.64,43.11,46259,thyme_baseline
1,6,2,320,150,31.41,1025.73,33.33,58716,thyme_baseline
5,0,6,200,8,33.26,1108.17,39.02,108406,thyme_baseline
4,1,3,100,150,28.94,1099.54,42.51,596042,thyme_baseline
6,0,6,200,8,33.67,1105.59,40.09,66442,thyme_baseline
2,7,0,100,150,30.91,1102.64,43.09,2607257,thyme_baseline
1,7,0,100,150,31.46,1025.73,33.20,3466780,thyme_baseline
2,7,1,200,150,30.89,1102.63,43.00,252217,thyme_baseline
5,0,7,320,8,33.46,1108.19,38.69,54100,thyme_baseline
6,0,7,320,8,33.85,1105.62,39.79,38989,thyme_baseline
3,1,4,200,150,29.60,1029.76,44.81,95274,thyme_baseline
1,7,1,200,150,31.45,1025.73,33.20,338848,thyme_baseline
2,7,2,320,150,30.91,1102.63,42.93,51180,thyme_baseline
1,7,2,320,150,31.46,1025.71,33.13,63809,thyme_baseline
7,0,9,250,8,34.26,1059.96,35.91,22956,thyme_baseline
4,1,5,200,150,29.02,1099.56,42.39,94170,thyme_baseline
5,0,8,320,8,33.92,1108.19,38.38,92319,thyme_baseline
3,1,5,200,150,29.65,1029.76,44.69,98348,thyme_baseline
6,0,8,320,8,34.30,1105.66,39.49,67493,thyme_baseline
2,8,0,100,150,30.96,1102.65,42.92,3071040,thyme_baseline
8,0,9,250,8,33.79,1006.75,28.84,23230,thyme_baseline
1,8,0,100,150,31.51,1025.71,33.20,3925252,thyme_baseline
2,8,1,200,150,30.95,1102.65,42.80,282249,thyme_baseline
4,1,6,200,150,29.07,1099.56,42.28,95008,thyme_baseline
5,0,9,320,8,34.23,1108.22,37.98,122752,thyme_baseline
1,8,1,200,150,31.49,1025.71,33.06,377720,thyme_baseline
3,1,6,200,150,29.70,1029.76,44.78,100372,thyme_baseline
6,0,9,320,8,34.58,1105.67,39.16,86253,thyme_baseline
2,8,2,320,150,30.96,1102.65,42.78,55042,thyme_baseline
1,8,2,320,150,31.51,1025.71,32.94,67761,thyme_baseline
