sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,150,31.14,1025.84,34.74,3606428,thyme
2,0,0,100,150,30.50,1102.75,44.65,2529957,thyme
1,0,1,200,150,31.23,1025.83,34.80,315660,thyme
2,0,1,200,150,30.60,1102.76,44.66,225700,thyme
5,0,0,320,8,31.00,1108.10,43.40,55399,thyme
6,0,0,320,8,31.38,1105.56,44.22,37416,thyme
3,0,1,100,150,30.12,1029.91,45.68,1873742,thyme
4,0,1,100,150,29.54,1099.70,43.19,1670814,thyme
5,0,1,100,3,31.53,1108.15,43.26,2947823,thyme
1,1,0,100,150,31.47,1025.85,34.73,1803214,thyme
2,1,0,100,150,30.85,1102.78,44.59,1375882,thyme
8,0,0,100,17,31.60,1006.83,33.79,435282,thyme
3,0,2,100,150,30.18,1029.90,45.63,1732290,thyme
4,0,2,100,150,29.60,1099.70,43.17,1627011,thyme
1,1,1,200,150,31.58,1025.85,34.62,193025,thyme
4,0,3,100,150,29.65,1099.71,43.05,1505052,thyme
3,0,3,100,150,30.22,1029.90,45.56,1693612,thyme
2,1,2,320,150,31.12,1102.80,44.38,33092,thyme
1,1,2,320,150,31.71,1025.85,34.55,37847,thyme
6,0,2,100,17,32.82,1105.71,43.52,1395571,thyme
2,2,0,100,150,31.29,1102.82,44.44,1520134,thyme
1,2,0,100,150,31.86,1025.86,34.45,1898494,thyme
4,0,4,200,150,29.69,1099.72,42.93,179586,thyme
3,0,4,200,150,30.26,1029.91,45.42,185038,thyme
2,2,1,200,150,31.38,1102.82,44.25,159900,thyme
1,2,1,200,150,31.94,1025.86,34.30,204473,thyme
4,0,5,200,150,29.74,1099.72,42.92,176979,thyme
2,2,2,320,150,31.48,1102.83,44.10,39312,thyme
3,0,5,200,150,30.31,1029.91,45.40,180727,thyme
1,2,2,320,150,32.02,1025.86,34.18,46310,thyme
7,0,2,133,13,33.27,1060.05,39.48,180345,thyme
8,0,2,133,13,32.95,1006.88,32.40,199922,thyme
2,3,0,100,150,31.59,1102.83,44.00,1985458,thyme
1,3,0,100,150,32.13,1025.88,34.13,2452695,thyme
4,0,6,200,150,29.78,1099.73,42.73,175342,thyme
3,0,6,200,150,30.35,1029.91,45.35,177716,thyme
2,3,1,200,150,31.63,1102.84,43.85,199805,thyme
1,3,1,200,150,32.16,1025.88,34.01,254473,thyme
2,3,2,320,150,31.69,1102.85,43.71,45039,thyme
1,3,2,320,150,32.20,1025.89,33.92,54341,thyme
7,0,3,150,13,33.68,1060.08,38.76,127237,thyme
2,4,0,100,150,31.77,1102.85,43.63,2437370,thyme
1,4,0,100,150,32.28,1025.90,33.87,3086662,thyme
2,4,1,200,150,31.79,1102.84,43.63,233897,thyme
1,4,1,200,150,32.28,1025.89,33.80,299065,thyme
7,0,4,167,12,33.97,1060.11,38.16,93910,thyme
2,4,2,320,150,31.82,1102.84,43.41,50996,thyme
1,4,2,320,150,32.31,1025.89,33.64,61069,thyme
2,5,0,100,150,31.88,1102.86,43.31,2938307,thyme
1,5,0,100,150,32.37,1025.90,33.51,3640080,thyme
4,1,0,320,150,29.91,1099.77,42.50,35874,thyme
2,5,1,200,150,31.88,1102.86,43.26,267433,thyme
3,1,0,320,150,30.48,1029.93,45.09,31691,thyme
2,5,2,320,150,31.90,1102.87,43.15,55256,thyme
6,0,4,200,8,33.69,1105.78,40.73,86166,thyme
1,5,2,320,150,32.38,1025.90,33.38,66184,thyme
4,1,1,100,150,29.98,1099.77,42.49,1263808,thyme
1,6,0,100,150,32.43,1025.90,33.29,4139465,thyme
4,1,2,100,150,30.01,1099.77,42.44,1122499,thyme
2,6,1,200,150,31.95,1102.87,42.90,296211,thyme
3,1,2,100,150,30.58,1029.95,44.93,1185872,thyme
1,6,1,200,150,32.42,1025.91,33.34,381094,thyme
2,6,2,320,150,31.96,1102.88,42.98,59576,thyme
8,0,7,217,10,34.29,1006.95,29.86,42738,thyme
1,6,2,320,150,32.43,1025.92,33.24,70914,thyme
4,1,3,100,150,30.04,1099.78,42.35,1049180,thyme
6,0,6,200,8,34.45,1105.87,40.19,78988,thyme
3,1,3,100,150,30.61,1029.96,44.74,1120657,thyme
2,7,0,100,150,32.01,1102.90,42.84,3755214,thyme
1,7,0,100,150,32.47,1025.97,33.17,4512256,thyme
7,0,8,233,10,34.72,1060.26,36.33,35165,thyme
2,7,1,200,150,31.99,1102.94,42.68,326531,thyme
4,1,4,200,150,30.06,1099.84,42.26,138491,thyme
5,0,7,320,8,34.27,1108.54,38.75,68468,thyme
6,0,7,320,8,34.63,1105.99,39.87,48725,thyme
3,1,4,200,150,30.62,1030.01,44.79,130346,thyme
1,7,1,200,150,32.46,1025.99,33.08,410421,thyme
2,7,2,320,150,32.00,1102.94,42.69,62868,thyme
1,7,2,320,150,32.47,1025.98,32.97,74117,thyme
4,1,5,200,150,30.10,1099.82,42.15,135521,thyme
7,0,9,250,8,34.96,1060.18,36.07,31527,thyme
5,0,8,320,8,34.73,1108.48,38.49,111668,thyme
3,1,5,200,150,30.66,1030.01,44.74,129065,thyme
6,0,8,320,8,35.08,1105.94,39.58,77341,thyme
2,8,0,100,150,32.05,1102.93,42.59,4096000,thyme
1,8,0,100,150,32.51,1025.97,33.21,4940893,thyme
2,8,1,200,150,32.03,1102.91,42.57,342590,thyme
4,1,6,200,150,30.14,1099.82,42.14,133091,thyme
5,0,9,320,8,35.02,1108.47,38.17,140197,thyme
1,8,1,200,150,32.50,1025.96,32.93,431430,thyme
3,1,6,200,150,30.71,1030.00,44.66,128773,thyme
6,0,9,320,8,35.36,1105.93,39.15,96896,thyme
2,8,2,320,150,32.04,1102.90,42.50,65725,thyme
1,8,2,320,150,32.51,1025.95,32.96,77132,thyme
4,1,7,320,150,30.18,1099.81,42.00,37058,thyme
2,9,0,100,150,32.08,1102.90,42.48,4403118,thyme
3,1,7,320,150,30.75,1029.99,44.61,34595,thyme
5,1,0,320,8,35.21,1108.47,37.72,158710,thyme
6,1,0,320,8,35.55,1105.90,38.83,110084,thyme
1,9,0,100,150,32.55,1025.94,32.81,5199619,thyme
2,9,1,200,150,32.06,1102.90,42.43,362221,thyme
4,1,8,320,150,30.24,1099.80,41.99,43926,thyme
1,9,1,200,150,32.53,1025.93,32.88,451101,thyme
3,1,8,320,150,30.80,1029.97,44.49,43170,thyme
2,9,2,320,150,32.07,1102.87,42.38,67923,thyme
1,9,2,320,150,32.54,1025.93,32.82,79577,thyme
4,1,9,320,150,30.29,1099.80,41.92,50844,thyme
2,10,0,100,150,32.11,1102.88,42.34,4760023,thyme
3,1,9,320,150,30.86,1029.97,44.43,51272,thyme
1,10,0,100,150,32.58,1025.94,32.77,5443190,thyme
2,10,1,200,150,32.09,1102.89,42.38,386269,thyme
6,1,2,100,17,34.43,1105.88,38.13,7443889,thyme
4,2,0,320,150,30.34,1099.80,41.74,58635,thyme
1,10,1,200,150,32.56,1025.94,32.77,468114,thyme
3,2,0,320,150,30.91,1029.97,44.34,60335,thyme
2,10,2,320,150,32.10,1102.90,42.22,69926,thyme
1,10,2,320,150,32.56,1025.94,32.71,81555,thyme
2,11,0,100,150,32.14,1102.90,42.22,4874740,thyme
3,2,1,100,150,30.95,1029.98,44.22,3349826,thyme
1,11,0,100,150,32.60,1025.95,32.75,5704736,thyme
2,11,1,200,150,32.12,1102.90,42.20,402674,thyme
4,2,2,100,150,30.39,1099.82,41.65,2219453,thyme
1,11,1,200,150,32.58,1025.95,32.67,481656,thyme
2,11,2,320,150,32.13,1102.90,42.12,71508,thyme
3,2,2,100,150,30.95,1029.98,44.15,2782609,thyme
7,1,3,150,13,34.61,1060.14,35.07,126953,thyme
1,11,2,320,150,32.59,1025.95,32.66,83388,thyme
8,1,3,150,13,34.27,1006.98,28.33,123731,thyme
2,12,0,100,150,32.17,1102.91,42.15,5069307,thyme
4,2,3,100,150,30.37,1099.82,41.62,1992703,thyme
3,2,3,100,150,30.93,1029.99,44.11,2515971,thyme
1,12,0,100,150,32.63,1025.96,32.61,5876614,thyme
7,1,4,167,12,34.80,1060.16,34.90,97561,thyme
1,12,1,200,150,32.61,1025.97,32.53,494209,thyme
4,2,4,200,150,30.36,1099.82,41.61,224512,thyme
2,12,2,320,150,32.15,1102.92,42.11,73352,thyme
3,2,4,200,150,30.92,1029.98,44.12,235673,thyme
1,12,2,320,150,32.62,1025.97,32.55,85050,thyme
2,13,0,100,150,32.19,1102.92,42.02,5239527,thyme
4,2,5,200,150,30.37,1099.82,41.60,213156,thyme
1,13,0,100,150,32.66,1025.97,32.51,6117999,thyme
3,2,5,200,150,30.93,1029.99,44.04,223776,thyme
2,13,1,200,150,32.17,1102.92,42.11,423666,thyme
8,1,5,183,12,34.68,1006.95,27.96,69812,thyme
1,13,1,200,150,32.64,1025.95,32.35,503689,thyme
2,13,2,320,150,32.18,1102.91,42.15,74311,thyme
5,1,3,100,51,33.75,1108.39,36.72,6386280,thyme
3,2,6,200,150,30.95,1029.99,43.97,213689,thyme
1,13,2,320,150,32.65,1025.96,32.61,86079,thyme
7,1,6,200,10,35.20,1060.17,34.55,58314,thyme
2,14,0,100,150,32.22,1102.92,41.95,5368283,thyme
4,2,7,320,150,30.41,1099.82,41.50,52534,thyme
8,1,6,200,10,34.86,1006.96,27.83,56500,thyme
1,14,0,100,150,32.68,1025.96,32.49,6204886,thyme
2,14,1,200,150,32.19,1102.92,41.96,435837,thyme
3,2,7,320,150,30.97,1029.99,43.96,53389,thyme
6,1,4,200,8,34.55,1105.89,38.12,211701,thyme
7,1,7,217,10,35.37,1060.18,34.31,48920,thyme
1,14,1,200,150,32.66,1025.97,32.50,512000,thyme
2,14,2,320,150,32.20,1102.92,41.91,75695,thyme
4,2,8,320,150,30.45,1099.83,41.42,60808,thyme
3,2,8,320,150,31.01,1030.00,43.98,63288,thyme
1,14,2,320,150,32.67,1025.98,32.43,87045,thyme
4,2,9,320,150,30.49,1099.84,41.41,66806,thyme
7,1,8,233,10,35.56,1060.21,34.22,39826,thyme
1,15,0,100,150,32.71,1025.98,32.38,6382548,thyme
2,15,1,200,150,32.21,1102.93,41.87,442907,thyme
3,2,9,320,150,31.05,1029.99,43.92,70796,thyme
6,1,6,200,8,35.13,1105.94,37.81,167594,thyme
1,15,1,200,150,32.68,1025.97,32.40,517433,thyme
2,15,2,320,150,32.22,1102.93,41.88,76168,thyme
4,3,0,320,150,30.52,1099.85,41.35,72604,thyme
7,1,9,250,8,35.70,1060.22,34.07,35398,thyme
3,3,0,320,150,31.08,1029.99,43.89,76441,thyme
5,1,7,320,8,35.13,1108.50,36.57,124635,thyme
1,15,2,320,150,32.69,1025.98,32.37,88673,thyme
2,16,0,100,150,32.26,1102.94,41.85,5628307,thyme
6,1,7,320,8,35.48,1105.95,37.58,85562,thyme
8,1,9,250,8,35.35,1006.97,27.36,33351,thyme
4,3,1,100,150,30.56,1099.86,41.30,3768169,thyme
1,16,0,100,150,32.73,1025.98,32.38,6488713,thyme
2,16,1,200,150,32.24,1102.95,41.93,442907,thyme
3,3,1,100,150,31.12,1029.99,43.84,4814576,thyme
5,1,8,320,8,35.46,1108.55,36.44,157248,thyme
6,1,8,320,8,35.80,1105.97,37.52,108406,thyme
2,16,2,320,150,32.24,1102.95,41.82,77132,thyme
1,16,1,200,150,32.71,1025.98,32.35,526208,thyme
4,3,2,100,150,30.55,1099.86,41.26,3163545,thyme
7,2,0,100,17,34.89,1060.19,33.79,434727,thyme
2,17,0,100,150,32.28,1102.96,41.73,6060292,thyme
1,16,2,320,150,32.72,1025.99,32.33,89510,thyme
5,1,9,320,8,35.68,1108.56,36.10,174625,thyme
6,1,9,320,8,36.00,1106.01,37.36,118987,thyme
4,3,3,100,150,30.52,1099.85,41.23,2754539,thyme
2,17,1,200,150,32.26,1102.95,41.78,455617,thyme
1,17,0,100,150,32.75,1025.98,32.37,6808228,thyme
3,3,3,100,150,31.08,1030.01,43.73,3596927,thyme
5,2,0,320,8,35.81,1108.58,35.92,185440,thyme
2,17,2,320,150,32.26,1102.95,41.75,77764,thyme
1,17,1,200,150,32.73,1025.99,32.28,532363,thyme
6,2,0,320,8,36.13,1106.00,36.97,128000,thyme
4,3,4,200,150,30.50,1099.85,41.11,278791,thyme
5,2,1,100,3,35.68,1108.56,35.82,21038844,thyme
2,18,0,100,150,32.30,1102.95,41.87,5882945,thyme
1,17,2,320,150,32.74,1025.98,32.29,89699,thyme
3,3,4,200,150,31.06,1030.01,43.74,295697,thyme
2,18,1,200,150,32.28,1102.94,41.73,456837,thyme
4,3,5,200,150,30.51,1099.84,41.23,262094,thyme
3,3,5,200,150,31.07,1030.01,43.65,275639,thyme
2,18,2,320,150,32.28,1102.95,41.72,78479,thyme
1,18,1,200,150,32.75,1025.98,32.26,534029,thyme
4,3,6,200,150,30.52,1099.84,41.22,246925,thyme
5,2,2,100,17,34.59,1108.48,35.46,15083084,thyme
2,19,0,100,150,32.32,1102.95,41.70,6104322,thyme
1,18,2,320,150,32.76,1025.97,32.25,90268,thyme
3,3,6,200,150,31.09,1030.01,43.72,256964,thyme
2,19,1,200,150,32.29,1102.94,41.66,461157,thyme
1,19,0,100,150,32.79,1025.97,32.25,6787076,thyme
4,3,7,320,150,30.54,1099.84,41.19,60808,thyme
3,3,7,320,150,31.10,1030.01,43.71,61776,thyme
2,19,2,320,150,32.30,1102.95,41.67,79061,thyme
1,19,1,200,150,32.77,1025.98,32.21,539515,thyme
4,3,8,320,150,30.57,1099.84,41.16,68139,thyme
2,20,0,100,150,32.34,1102.95,41.62,6043527,thyme
1,19,2,320,150,32.77,1025.97,32.20,90652,thyme
3,3,8,320,150,31.14,1030.00,43.67,71749,thyme
2,20,1,200,150,32.31,1102.94,41.67,462720,thyme
1,20,0,100,150,32.81,1025.97,32.21,6761866,thyme
