sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,150,29.36,1026.35,36.89,949907,turmeric_baseline
2,0,0,100,150,28.69,1103.35,46.55,802508,turmeric_baseline
1,0,1,200,150,29.45,1026.37,36.75,112035,turmeric_baseline
2,0,1,200,150,28.79,1103.35,46.45,90941,turmeric_baseline
5,0,0,320,8,30.29,1108.70,42.83,21262,turmeric_baseline
6,0,0,320,8,30.61,1106.15,44.12,14915,turmeric_baseline
3,0,1,100,150,28.48,1030.55,47.27,460225,turmeric_baseline
4,0,1,100,150,27.90,1100.27,44.25,423929,turmeric_baseline
6,0,1,100,3,31.17,1106.21,44.12,411658,turmeric_baseline
1,1,0,100,150,29.70,1026.39,36.52,487155,turmeric_baseline
2,1,0,100,150,29.04,1103.35,46.33,412404,turmeric_baseline
3,0,2,100,150,28.54,1030.54,47.12,458679,turmeric_baseline
4,0,2,100,150,27.97,1100.27,44.29,424456,turmeric_baseline
2,1,1,200,150,29.17,1103.35,46.27,55834,turmeric_baseline
1,1,1,200,150,29.82,1026.39,36.47,69869,turmeric_baseline
3,0,3,100,150,28.59,1030.54,47.03,462720,turmeric_baseline
4,0,3,100,150,28.02,1100.28,44.10,424720,turmeric_baseline
2,1,2,320,150,29.32,1103.36,46.10,12251,turmeric_baseline
1,1,2,320,150,29.96,1026.41,36.33,15399,turmeric_baseline
5,0,2,100,17,31.70,1108.84,41.72,545988,turmeric_baseline
2,2,0,100,150,29.50,1103.37,45.96,303858,turmeric_baseline
1,2,0,100,150,30.12,1026.43,36.22,442907,turmeric_baseline
4,0,4,200,150,28.06,1100.28,43.99,69021,turmeric_baseline
3,0,4,200,150,28.64,1030.54,46.83,69302,turmeric_baseline
2,2,1,200,150,29.59,1103.37,45.81,47478,turmeric_baseline
1,2,1,200,150,30.20,1026.43,36.06,69189,turmeric_baseline
4,0,5,200,150,28.12,1100.28,43.85,69471,turmeric_baseline
2,2,2,320,150,29.69,1103.37,45.60,15834,turmeric_baseline
3,0,5,200,150,28.69,1030.54,46.71,70446,turmeric_baseline
1,2,2,320,150,30.29,1026.44,35.89,20101,turmeric_baseline
8,0,2,133,13,32.44,1007.50,31.68,105589,turmeric_baseline
1,3,0,100,150,30.40,1026.44,35.69,655570,turmeric_baseline
4,0,6,200,150,28.16,1100.28,43.74,69471,turmeric_baseline
3,0,6,200,150,28.74,1030.55,46.57,72235,turmeric_baseline
2,3,1,200,150,29.86,1103.38,45.35,63241,turmeric_baseline
2,3,2,320,150,29.93,1103.38,45.18,19370,turmeric_baseline
1,3,2,320,150,30.50,1026.46,35.43,25257,turmeric_baseline
8,0,3,150,13,32.78,1007.47,31.04,73542,turmeric_baseline
2,4,0,100,150,30.01,1103.39,45.01,625535,turmeric_baseline
1,4,0,100,150,30.58,1026.46,35.22,921692,turmeric_baseline
2,4,1,200,150,30.03,1103.40,44.97,81789,turmeric_baseline
1,4,1,200,150,30.59,1026.47,35.20,122225,turmeric_baseline
7,0,4,167,12,33.46,1060.68,37.27,53489,turmeric_baseline
2,4,2,320,150,30.07,1103.39,44.75,23080,turmeric_baseline
1,4,2,320,150,30.63,1026.46,35.03,29893,turmeric_baseline
2,5,0,100,150,30.14,1103.40,44.74,832351,turmeric_baseline
1,5,0,100,150,30.69,1026.47,34.92,1215430,turmeric_baseline
4,1,0,320,150,28.31,1100.30,43.38,15455,turmeric_baseline
2,5,1,200,150,30.14,1103.40,44.54,103101,turmeric_baseline
3,1,0,320,150,28.89,1030.56,46.14,13126,turmeric_baseline
8,0,5,183,12,33.19,1007.49,30.03,35784,turmeric_baseline
1,5,1,200,150,30.69,1026.46,34.85,150059,turmeric_baseline
2,5,2,320,150,30.17,1103.40,44.42,27119,turmeric_baseline
6,0,4,200,8,32.94,1106.34,40.38,34849,turmeric_baseline
1,5,2,320,150,30.72,1026.45,34.69,34399,turmeric_baseline
4,1,1,100,150,28.39,1100.31,43.32,309646,turmeric_baseline
3,1,1,100,150,28.97,1030.56,46.00,316832,turmeric_baseline
2,6,0,100,150,30.23,1103.41,44.36,1068894,turmeric_baseline
