sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,150,30.69,1026.67,35.11,1919850,turmeric
2,0,0,100,150,30.01,1103.62,45.07,1711659,turmeric
1,0,1,200,150,30.79,1026.67,35.19,193353,turmeric
2,0,1,200,150,30.11,1103.63,45.06,159303,turmeric
5,0,0,320,8,30.41,1108.95,44.12,32242,turmeric
6,0,0,320,8,30.81,1106.39,44.91,22378,turmeric
3,0,1,100,150,29.64,1030.81,46.02,947271,turmeric
4,0,1,100,150,29.02,1100.59,43.60,983433,turmeric
2,1,0,100,150,30.36,1103.64,45.02,832859,turmeric
1,1,0,100,150,31.02,1026.68,35.06,929220,turmeric
3,0,2,100,150,29.70,1030.80,46.03,953889,turmeric
4,0,2,100,150,29.08,1100.59,43.54,949247,turmeric
2,1,1,200,150,30.48,1103.64,44.97,94797,turmeric
1,1,1,200,150,31.14,1026.68,34.99,112925,turmeric
4,0,3,100,150,29.14,1100.60,43.53,922938,turmeric
3,0,3,100,150,29.75,1030.80,45.96,935587,turmeric
2,1,2,320,150,30.64,1103.65,44.91,19857,turmeric
1,1,2,320,150,31.28,1026.70,34.91,23055,turmeric
5,0,2,100,17,31.83,1109.09,43.10,1063068,turmeric
2,2,0,100,150,30.81,1103.66,44.70,679721,turmeric
4,0,4,200,150,29.18,1100.60,43.31,125275,turmeric
3,0,4,200,150,29.79,1030.80,45.90,118987,turmeric
2,2,1,200,150,30.90,1103.67,44.63,85562,turmeric
1,2,1,200,150,31.51,1026.72,34.68,114286,turmeric
4,0,5,200,150,29.23,1100.61,43.35,124909,turmeric
2,2,2,320,150,31.00,1103.67,44.50,24630,turmeric
3,0,5,200,150,29.84,1030.80,45.83,116948,turmeric
1,2,2,320,150,31.60,1026.73,34.58,29237,turmeric
2,3,0,100,150,31.12,1103.67,44.40,919210,turmeric
1,3,0,100,150,31.70,1026.75,34.50,1194169,turmeric
4,0,6,200,150,29.28,1100.62,43.25,125367,turmeric
3,0,6,200,150,29.89,1030.81,45.74,117109,turmeric
2,3,1,200,150,31.16,1103.67,44.27,109659,turmeric
1,3,1,200,150,31.73,1026.75,34.37,146705,turmeric
2,3,2,320,150,31.22,1103.67,44.20,29338,turmeric
1,3,2,320,150,31.79,1026.75,34.21,35107,turmeric
2,4,0,100,150,31.30,1103.67,44.04,1205770,turmeric
1,4,0,100,150,31.86,1026.76,34.16,1600313,turmeric
2,4,1,200,150,31.32,1103.68,43.99,135092,turmeric
1,4,1,200,150,31.87,1026.75,34.01,181689,turmeric
8,0,4,167,12,33.02,1007.75,31.56,74181,turmeric
2,4,2,320,150,31.35,1103.68,43.79,33377,turmeric
1,4,2,320,150,31.90,1026.76,33.95,40816,turmeric
2,5,0,100,150,31.42,1103.68,43.71,1526081,turmeric
1,5,0,100,150,31.96,1026.76,33.85,2002934,turmeric
5,0,3,100,51,32.47,1109.14,40.54,828814,turmeric
4,1,0,320,150,29.42,1100.62,42.97,24390,turmeric
3,1,0,320,150,30.02,1030.83,45.51,19988,turmeric
2,5,1,200,150,31.42,1103.68,43.58,161718,turmeric
1,5,1,200,150,31.96,1026.76,33.78,221597,turmeric
2,5,2,320,150,31.44,1103.69,43.51,37714,turmeric
5,0,4,200,8,32.79,1109.16,40.25,91331,turmeric
1,5,2,320,150,31.98,1026.77,33.74,46209,turmeric
4,1,1,100,150,29.50,1100.62,42.91,649952,turmeric
3,1,1,100,150,30.10,1030.83,45.39,636618,turmeric
7,0,6,200,10,33.93,1060.94,37.44,40506,turmeric
1,6,0,100,150,32.03,1026.77,33.66,2417946,turmeric
6,0,5,200,8,33.70,1106.64,41.11,53624,turmeric
4,1,2,100,150,29.54,1100.61,42.74,602885,turmeric
2,6,1,200,150,31.49,1103.70,43.34,186453,turmeric
3,1,2,100,150,30.14,1030.84,45.31,603952,turmeric
2,6,2,320,150,31.51,1103.70,43.21,41491,turmeric
1,6,2,320,150,32.04,1026.76,33.48,51426,turmeric
4,1,3,100,150,29.57,1100.62,42.76,570156,turmeric
6,0,6,200,8,33.98,1106.66,40.75,52991,turmeric
3,1,3,100,150,30.17,1030.85,45.30,592936,turmeric
2,7,0,100,150,31.56,1103.71,43.14,2166623,turmeric
1,7,0,100,150,32.08,1026.76,33.46,2779776,turmeric
7,0,8,233,10,34.26,1060.97,36.59,27205,turmeric
2,7,1,200,150,31.55,1103.70,43.12,215443,turmeric
4,1,4,200,150,29.59,1100.62,42.66,87852,turmeric
5,0,7,320,8,33.78,1109.23,39.40,45086,turmeric
6,0,7,320,8,34.17,1106.66,40.38,33508,turmeric
3,1,4,200,150,30.19,1030.84,45.18,81477,turmeric
2,7,2,320,150,31.56,1103.70,43.07,45182,turmeric
1,7,2,320,150,32.08,1026.78,33.42,55981,turmeric
4,1,5,200,150,29.64,1100.63,42.64,88766,turmeric
5,0,8,320,8,34.25,1109.28,38.98,80859,turmeric
6,0,8,320,8,34.62,1106.71,40.08,59204,turmeric
2,8,0,100,150,31.61,1103.71,43.00,2479419,turmeric
3,1,5,200,150,30.24,1030.83,45.05,82581,turmeric
1,8,0,100,150,32.13,1026.77,33.31,3234748,turmeric
2,8,1,200,150,31.59,1103.72,42.91,238140,turmeric
4,1,6,200,150,29.69,1100.63,42.50,88124,turmeric
5,0,9,320,8,34.55,1109.30,38.60,108544,turmeric
3,1,6,200,150,30.29,1030.83,45.05,84377,turmeric
6,0,9,320,8,34.92,1106.73,39.72,76854,turmeric
2,8,2,320,150,31.60,1103.72,42.88,49146,turmeric
1,8,2,320,150,32.12,1026.77,33.27,59743,turmeric
4,1,7,320,150,29.73,1100.62,42.45,26348,turmeric
2,9,0,100,150,31.65,1103.72,42.82,2765699,turmeric
3,1,7,320,150,30.33,1030.83,45.03,24087,turmeric
5,1,0,320,8,34.75,1109.28,38.24,129555,turmeric
6,1,0,320,8,35.11,1106.75,39.22,90077,turmeric
1,9,0,100,150,32.16,1026.77,33.28,3554784,turmeric
6,1,1,100,3,35.00,1106.76,39.16,7884505,turmeric
2,9,1,200,150,31.63,1103.71,42.88,260295,turmeric
4,1,8,320,150,29.79,1100.62,42.50,31738,turmeric
1,9,1,200,150,32.15,1026.76,33.06,333551,turmeric
3,1,8,320,150,30.39,1030.83,44.77,30231,turmeric
2,9,2,320,150,31.64,1103.71,42.75,52022,turmeric
1,9,2,320,150,32.16,1026.76,33.08,63288,turmeric
4,1,9,320,150,29.85,1100.62,42.30,36613,turmeric
2,10,0,100,150,31.69,1103.71,42.68,3125525,turmeric
3,1,9,320,150,30.45,1030.82,44.76,36333,turmeric
