sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,150,28.60,1030.87,38.30,402674,eucalyptus_baseline
2,0,0,100,150,27.88,1107.83,48.57,171295,eucalyptus_baseline
5,0,0,100,150,27.45,1113.18,45.44,462407,eucalyptus_baseline
6,0,0,100,150,27.85,1110.60,46.65,234862,eucalyptus_baseline
1,0,1,200,150,28.70,1030.87,38.40,55798,eucalyptus_baseline
2,0,1,200,150,27.98,1107.84,48.54,27539,eucalyptus_baseline
6,0,1,200,150,27.95,1110.61,46.57,33299,eucalyptus_baseline
5,0,1,200,150,27.54,1113.19,45.46,61642,eucalyptus_baseline
3,0,1,100,150,27.65,1035.13,49.25,164208,eucalyptus_baseline
4,0,1,100,150,27.01,1104.88,46.57,80326,eucalyptus_baseline
7,0,1,100,150,28.26,1065.02,42.77,138154,eucalyptus_baseline
8,0,1,100,150,27.92,1011.91,35.67,156815,eucalyptus_baseline
2,1,0,100,150,28.23,1107.86,48.45,86957,eucalyptus_baseline
6,1,0,100,150,28.21,1110.64,46.62,91429,eucalyptus_baseline
3,0,2,100,150,27.71,1035.14,49.17,174983,eucalyptus_baseline
4,0,2,100,150,27.07,1104.89,46.55,83063,eucalyptus_baseline
5,1,0,100,150,27.78,1113.20,45.46,174983,eucalyptus_baseline
7,0,2,100,150,28.32,1065.03,42.75,147211,eucalyptus_baseline
8,0,2,100,150,27.97,1011.92,35.58,171639,eucalyptus_baseline
2,1,1,200,150,28.36,1107.86,48.41,16994,eucalyptus_baseline
1,1,1,200,150,29.05,1030.88,38.13,33773,eucalyptus_baseline
6,1,1,200,150,28.34,1110.65,46.51,17937,eucalyptus_baseline
5,1,1,200,150,27.90,1113.20,45.46,33015,eucalyptus_baseline
3,0,3,100,150,27.76,1035.14,49.06,178833,eucalyptus_baseline
4,0,3,100,150,27.12,1104.88,46.47,85476,eucalyptus_baseline
7,0,3,100,150,28.37,1065.03,42.71,157248,eucalyptus_baseline
2,1,2,320,150,28.51,1107.88,48.33,5685,eucalyptus_baseline
1,1,2,320,150,29.19,1030.89,38.07,8969,eucalyptus_baseline
6,1,2,320,150,28.49,1110.66,46.49,5685,eucalyptus_baseline
8,0,3,100,150,28.01,1011.93,35.58,176430,eucalyptus_baseline
5,1,2,320,150,28.04,1113.21,45.68,7964,eucalyptus_baseline
