sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,150,29.62,1030.98,37.99,1120657,eucalyptus
2,0,0,100,150,28.91,1107.98,48.26,554863,eucalyptus
5,0,0,100,150,27.49,1113.26,47.58,1335507,eucalyptus
6,0,0,100,150,27.91,1110.71,48.61,633663,eucalyptus
1,0,1,200,150,29.71,1030.98,38.00,127904,eucalyptus
2,0,1,200,150,29.01,1107.99,48.27,67761,eucalyptus
6,0,1,200,150,28.01,1110.72,48.63,73542,eucalyptus
3,0,1,100,150,28.56,1035.23,49.29,593968,eucalyptus
4,0,1,100,150,27.93,1104.99,46.77,313629,eucalyptus
7,0,1,100,150,28.01,1065.10,45.60,504807,eucalyptus
8,0,1,100,150,27.66,1012.00,38.21,462407,eucalyptus
1,1,0,100,150,29.95,1030.99,37.97,643216,eucalyptus
6,1,0,100,150,28.27,1110.76,48.60,303858,eucalyptus
3,0,2,100,150,28.61,1035.23,49.17,595003,eucalyptus
5,1,0,100,150,27.83,1113.28,47.53,643216,eucalyptus
7,0,2,100,150,28.07,1065.10,45.64,549062,eucalyptus
8,0,2,100,150,27.72,1012.00,37.83,485769,eucalyptus
2,1,1,200,150,29.39,1107.99,48.11,45961,eucalyptus
1,1,1,200,150,30.06,1030.99,37.77,87491,eucalyptus
6,1,1,200,150,28.40,1110.77,48.46,44897,eucalyptus
5,1,1,200,150,27.95,1113.30,47.43,89043,eucalyptus
4,0,3,100,150,28.04,1105.00,46.77,314496,eucalyptus
3,0,3,100,150,28.66,1035.23,49.13,593968,eucalyptus
7,0,3,100,150,28.13,1065.11,45.43,552617,eucalyptus
2,1,2,320,150,29.55,1108.00,48.15,13913,eucalyptus
1,1,2,320,150,30.20,1030.99,37.80,22567,eucalyptus
6,1,2,320,150,28.56,1110.79,48.42,13778,eucalyptus
8,0,3,100,150,27.77,1012.01,37.94,483361,eucalyptus
5,1,2,320,150,28.09,1113.31,47.42,21136,eucalyptus
2,2,0,100,150,29.72,1108.02,47.98,409682,eucalyptus
1,2,0,100,150,30.36,1031.00,37.76,785427,eucalyptus
6,2,0,100,150,28.74,1110.81,48.40,383664,eucalyptus
4,0,4,200,150,28.08,1105.00,46.56,52438,eucalyptus
7,0,4,200,150,28.18,1065.10,45.47,75494,eucalyptus
3,0,4,200,150,28.71,1035.23,49.07,79726,eucalyptus
5,2,0,100,150,28.26,1113.32,47.26,673020,eucalyptus
2,2,1,200,150,29.81,1108.02,47.81,51088,eucalyptus
8,0,4,200,150,27.82,1012.01,37.93,74375,eucalyptus
1,2,1,200,150,30.43,1031.00,37.69,105069,eucalyptus
6,2,1,200,150,28.84,1110.82,48.21,54724,eucalyptus
5,2,1,200,150,28.35,1113.33,47.03,92519,eucalyptus
7,0,5,200,150,28.23,1065.09,44.71,76236,eucalyptus
4,0,5,200,150,28.13,1105.00,46.50,53489,eucalyptus
2,2,2,320,150,29.91,1108.02,47.73,17597,eucalyptus
3,0,5,200,150,28.75,1035.22,49.02,80025,eucalyptus
1,2,2,320,150,30.52,1031.00,37.48,28231,eucalyptus
6,2,2,320,150,28.95,1110.83,48.06,18135,eucalyptus
5,2,2,320,150,28.45,1113.33,47.10,26430,eucalyptus
8,0,5,200,150,27.86,1012.01,37.88,75762,eucalyptus
2,3,0,100,150,30.02,1108.02,47.59,569205,eucalyptus
6,3,0,100,150,29.07,1110.82,47.95,575443,eucalyptus
1,3,0,100,150,30.63,1031.01,37.34,1073938,eucalyptus
7,0,6,200,150,28.28,1065.10,45.26,77271,eucalyptus
4,0,6,200,150,28.18,1105.01,46.55,53861,eucalyptus
3,0,6,200,150,28.80,1035.22,49.16,80936,eucalyptus
5,3,0,100,150,28.57,1113.33,46.89,906997,eucalyptus
2,3,1,200,150,30.07,1108.02,47.36,61776,eucalyptus
6,3,1,200,150,29.12,1110.83,47.78,70214,eucalyptus
1,3,1,200,150,30.66,1031.02,37.22,129260,eucalyptus
8,0,6,200,150,27.91,1012.01,37.84,75897,eucalyptus
5,3,1,200,150,28.61,1113.33,46.76,113601,eucalyptus
2,3,2,320,150,30.13,1108.02,47.34,20044,eucalyptus
6,3,2,320,150,29.18,1110.83,47.70,21305,eucalyptus
1,3,2,320,150,30.71,1031.02,37.14,32217,eucalyptus
5,3,2,320,150,28.67,1113.34,46.65,29998,eucalyptus
2,4,0,100,150,30.21,1108.02,47.23,696362,eucalyptus
6,4,0,100,150,29.27,1110.83,47.59,719101,eucalyptus
1,4,0,100,150,30.79,1031.03,37.09,1311140,eucalyptus
5,4,0,100,150,28.76,1113.34,46.54,1107925,eucalyptus
2,4,1,200,150,30.23,1108.02,47.12,69755,eucalyptus
6,4,1,200,150,29.29,1110.84,47.39,79875,eucalyptus
1,4,1,200,150,30.79,1031.03,36.95,147849,eucalyptus
2,4,2,320,150,30.26,1108.03,47.07,22191,eucalyptus
6,4,2,320,150,29.32,1110.84,47.33,24169,eucalyptus
1,4,2,320,150,30.83,1031.03,36.86,35754,eucalyptus
5,4,2,320,150,28.81,1113.35,46.35,32913,eucalyptus
2,5,0,100,150,30.33,1108.03,46.86,820349,eucalyptus
6,5,0,100,150,29.39,1110.84,47.20,857981,eucalyptus
1,5,0,100,150,30.88,1031.03,36.78,1530357,eucalyptus
7,1,0,320,150,28.44,1065.11,45.04,16356,eucalyptus
4,1,0,320,150,28.32,1105.03,46.19,14431,eucalyptus
5,5,0,100,150,28.88,1113.37,46.22,1290079,eucalyptus
2,5,1,200,150,30.33,1108.02,46.78,75897,eucalyptus
3,1,0,320,150,28.93,1035.21,48.69,17922,eucalyptus
6,5,1,200,150,29.39,1110.83,47.14,89323,eucalyptus
1,5,1,200,150,30.88,1031.03,36.68,162025,eucalyptus
5,5,1,200,150,28.88,1113.37,46.14,141008,eucalyptus
2,5,2,320,150,30.35,1108.03,46.72,24087,eucalyptus
6,5,2,320,150,29.42,1110.83,46.96,26091,eucalyptus
8,1,0,320,150,28.06,1012.01,37.57,15717,eucalyptus
1,5,2,320,150,30.90,1031.03,36.69,38323,eucalyptus
4,1,1,100,150,28.39,1105.03,46.12,301176,eucalyptus
3,1,1,100,150,29.01,1035.22,48.61,592936,eucalyptus
2,6,0,100,150,30.41,1108.05,46.45,889275,eucalyptus
5,5,2,320,150,28.91,1113.38,46.02,35252,eucalyptus
6,6,0,100,150,29.48,1110.84,46.91,968093,eucalyptus
1,6,0,100,150,30.95,1031.04,36.53,1698880,eucalyptus
7,1,2,100,150,28.56,1065.12,44.86,472325,eucalyptus
8,1,1,100,150,28.14,1012.00,37.50,435004,eucalyptus
4,1,2,100,150,28.43,1105.03,46.10,273431,eucalyptus
2,6,1,200,150,30.40,1108.04,46.45,79950,eucalyptus
6,6,1,200,150,29.47,1110.83,46.72,97729,eucalyptus
3,1,2,100,150,29.05,1035.22,48.53,571588,eucalyptus
1,6,1,200,150,30.94,1031.04,36.37,173913,eucalyptus
6,6,2,320,150,29.49,1110.83,46.73,27345,eucalyptus
2,6,2,320,150,30.42,1108.03,46.47,25316,eucalyptus
5,6,1,200,150,28.96,1113.38,45.82,150191,eucalyptus
7,1,3,100,150,28.59,1065.12,44.90,468114,eucalyptus
8,1,2,100,150,28.18,1012.00,37.39,444059,eucalyptus
1,6,2,320,150,30.96,1031.04,36.34,40239,eucalyptus
3,1,3,100,150,29.07,1035.23,48.50,530707,eucalyptus
2,7,0,100,150,30.47,1108.04,46.40,955893,eucalyptus
6,7,0,100,150,29.54,1110.84,46.67,1042770,eucalyptus
5,6,2,320,150,28.98,1113.38,45.78,36962,eucalyptus
1,7,0,100,150,31.01,1031.05,36.32,1838420,eucalyptus
7,1,4,200,150,28.62,1065.12,44.80,59576,eucalyptus
6,7,1,200,150,29.53,1110.84,46.57,101086,eucalyptus
2,7,1,200,150,30.45,1108.04,46.37,84128,eucalyptus
8,1,3,100,150,28.21,1012.00,37.27,452897,eucalyptus
4,1,4,200,150,28.48,1105.04,45.88,41899,eucalyptus
5,7,0,100,150,29.03,1113.38,45.68,1526934,eucalyptus
3,1,4,200,150,29.09,1035.23,48.38,64777,eucalyptus
1,7,1,200,150,30.99,1031.05,36.37,191187,eucalyptus
6,7,2,320,150,29.55,1110.84,46.52,28476,eucalyptus
2,7,2,320,150,30.47,1108.04,46.26,26381,eucalyptus
7,1,5,200,150,28.67,1065.12,44.64,58878,eucalyptus
5,7,1,200,150,29.02,1113.38,45.59,157976,eucalyptus
1,7,2,320,150,31.00,1031.04,36.05,42022,eucalyptus
4,1,5,200,150,28.53,1105.05,45.83,40545,eucalyptus
8,1,4,200,150,28.24,1011.99,37.23,62454,eucalyptus
3,1,5,200,150,29.14,1035.23,48.32,63809,eucalyptus
6,8,0,100,150,29.59,1110.85,46.44,1099893,eucalyptus
2,8,0,100,150,30.52,1108.04,46.20,1015621,eucalyptus
5,7,2,320,150,29.04,1113.39,45.51,38566,eucalyptus
1,8,0,100,150,31.05,1031.05,36.37,1969704,eucalyptus
7,1,6,200,150,28.72,1065.13,44.59,58195,eucalyptus
6,8,1,200,150,29.58,1110.84,46.36,105851,eucalyptus
2,8,1,200,150,30.50,1108.03,46.18,87134,eucalyptus
4,1,6,200,150,28.57,1105.04,45.81,39312,eucalyptus
8,1,5,200,150,28.29,1011.99,37.16,62638,eucalyptus
1,8,1,200,150,31.03,1031.05,36.09,193793,eucalyptus
3,1,6,200,150,29.19,1035.23,48.18,62272,eucalyptus
6,8,2,320,150,29.59,1110.84,46.31,29358,eucalyptus
2,8,2,320,150,30.51,1108.04,46.07,27153,eucalyptus
7,1,7,320,150,28.77,1065.12,44.52,18370,eucalyptus
5,8,1,200,150,29.07,1113.39,45.28,165964,eucalyptus
1,8,2,320,150,31.04,1031.05,36.06,43170,eucalyptus
4,1,7,320,150,28.61,1105.04,45.67,15625,eucalyptus
6,9,0,100,150,29.64,1110.86,46.25,1143176,eucalyptus
2,9,0,100,150,30.55,1108.05,46.07,1062241,eucalyptus
8,1,6,200,150,28.34,1011.99,37.09,62000,eucalyptus
3,1,7,320,150,29.23,1035.23,48.15,20292,eucalyptus
5,8,2,320,150,29.09,1113.39,45.45,40239,eucalyptus
1,9,0,100,150,31.09,1031.05,35.94,2025216,eucalyptus
7,1,8,320,150,28.84,1065.12,44.36,22168,eucalyptus
6,9,1,200,150,29.62,1110.85,46.18,106578,eucalyptus
2,9,1,200,150,30.54,1108.05,46.08,89699,eucalyptus
4,1,8,320,150,28.67,1105.04,45.68,18974,eucalyptus
1,9,1,200,150,31.07,1031.04,36.09,196696,eucalyptus
5,9,0,100,150,29.13,1113.40,45.25,1722456,eucalyptus
8,1,7,320,150,28.39,1012.00,36.98,17832,eucalyptus
3,1,8,320,150,29.28,1035.23,48.14,25257,eucalyptus
6,9,2,320,150,29.63,1110.85,46.10,29956,eucalyptus
2,9,2,320,150,30.55,1108.05,45.83,27772,eucalyptus
7,1,9,320,150,28.90,1065.12,44.47,25667,eucalyptus
1,9,2,320,150,31.08,1031.04,35.92,43836,eucalyptus
5,9,1,200,150,29.12,1113.40,45.18,173031,eucalyptus
6,10,0,100,150,29.68,1110.86,46.08,1184842,eucalyptus
4,1,9,320,150,28.72,1105.04,45.50,21673,eucalyptus
2,10,0,100,150,30.59,1108.05,45.88,1097241,eucalyptus
3,1,9,320,150,29.34,1035.24,47.98,29137,eucalyptus
8,1,8,320,150,28.46,1012.00,36.94,21053,eucalyptus
1,10,0,100,150,31.12,1031.04,35.93,2085540,eucalyptus
5,9,2,320,150,29.13,1113.40,45.23,41250,eucalyptus
6,10,1,200,150,29.66,1110.86,46.11,109378,eucalyptus
7,2,0,320,150,28.96,1065.13,44.27,28900,eucalyptus
4,2,0,320,150,28.77,1105.04,45.36,25137,eucalyptus
1,10,1,200,150,31.10,1031.04,35.78,201456,eucalyptus
6,10,2,320,150,29.67,1110.86,45.91,30534,eucalyptus
3,2,0,320,150,29.39,1035.24,47.87,33377,eucalyptus
2,10,2,320,150,30.58,1108.05,45.79,28419,eucalyptus
8,1,9,320,150,28.52,1012.01,36.94,23912,eucalyptus
7,2,1,100,150,29.02,1065.14,43.74,1018652,eucalyptus
1,10,2,320,150,31.11,1031.04,35.93,44802,eucalyptus
5,10,1,200,150,29.16,1113.41,45.05,176430,eucalyptus
6,11,0,100,150,29.72,1110.86,45.99,1230769,eucalyptus
2,11,0,100,150,30.62,1108.05,45.77,1128064,eucalyptus
4,2,1,100,150,28.82,1105.04,45.33,624962,eucalyptus
3,2,1,100,150,29.43,1035.23,47.82,1395571,eucalyptus
1,11,0,100,150,31.16,1031.04,35.84,2146188,eucalyptus
8,2,0,320,150,28.57,1012.01,36.83,26879,eucalyptus
5,10,2,320,150,29.17,1113.41,44.96,42189,eucalyptus
6,11,1,200,150,29.70,1110.86,45.87,112330,eucalyptus
2,11,1,200,150,30.60,1108.05,45.75,92519,eucalyptus
7,2,2,100,150,29.02,1065.15,43.94,898640,eucalyptus
4,2,2,100,150,28.82,1105.05,45.24,512384,eucalyptus
1,11,1,200,150,31.14,1031.04,35.81,203862,eucalyptus
6,11,2,320,150,29.71,1110.86,45.97,31023,eucalyptus
5,11,0,100,150,29.22,1113.42,45.01,1854653,eucalyptus
2,11,2,320,150,30.61,1108.05,45.74,28764,eucalyptus
3,2,2,100,150,29.43,1035.23,47.92,1156735,eucalyptus
8,2,1,100,150,28.63,1012.02,36.53,889854,eucalyptus
7,2,3,100,150,29.02,1065.14,43.88,833876,eucalyptus
1,11,2,320,150,31.15,1031.04,35.79,45568,eucalyptus
6,12,0,100,150,29.75,1110.86,45.67,1253366,eucalyptus
5,11,1,200,150,29.20,1113.42,44.85,181303,eucalyptus
2,12,0,100,150,30.65,1108.05,45.60,1167617,eucalyptus
4,2,3,100,150,28.81,1105.05,45.19,451400,eucalyptus
3,2,3,100,150,29.42,1035.23,47.65,1017893,eucalyptus
1,12,0,100,150,31.19,1031.04,35.79,2208682,eucalyptus
6,12,1,200,150,29.74,1110.86,45.78,110943,eucalyptus
5,11,2,320,150,29.21,1113.42,44.86,42781,eucalyptus
7,2,4,200,150,29.01,1065.13,43.83,86604,eucalyptus
8,2,2,100,150,28.63,1012.02,36.58,834386,eucalyptus
6,12,2,320,150,29.75,1110.87,45.76,31411,eucalyptus
4,2,4,200,150,28.79,1105.05,45.17,59995,eucalyptus
2,12,2,320,150,30.64,1108.05,45.58,28940,eucalyptus
5,12,0,100,150,29.26,1113.42,44.88,1886688,eucalyptus
3,2,4,200,150,29.40,1035.23,47.91,100432,eucalyptus
7,2,5,200,150,29.04,1065.13,43.79,80554,eucalyptus
8,2,3,100,150,28.63,1012.02,36.51,790886,eucalyptus
1,12,2,320,150,31.18,1031.06,35.71,46110,eucalyptus
6,13,0,100,150,29.79,1110.88,45.76,1273236,eucalyptus
2,13,0,100,150,30.68,1108.06,45.56,1160669,eucalyptus
5,12,1,200,150,29.24,1113.42,44.84,183842,eucalyptus
4,2,5,200,150,28.81,1105.04,45.16,53895,eucalyptus
6,13,1,200,150,29.77,1110.87,45.69,112404,eucalyptus
1,13,0,100,150,31.22,1031.05,35.55,2237640,eucalyptus
3,2,5,200,150,29.42,1035.23,47.68,90173,eucalyptus
2,13,1,200,150,30.66,1108.05,45.44,92020,eucalyptus
5,12,2,320,150,29.25,1113.42,44.75,43478,eucalyptus
7,2,6,200,150,29.07,1065.13,43.70,76509,eucalyptus
8,2,4,200,150,28.64,1012.02,36.51,94222,eucalyptus
6,13,2,320,150,29.78,1110.87,45.66,32024,eucalyptus
1,13,1,200,150,31.20,1031.05,35.56,207834,eucalyptus
4,2,6,200,150,28.83,1105.04,45.15,49893,eucalyptus
2,13,2,320,150,30.67,1108.05,45.47,29098,eucalyptus
5,13,0,100,150,29.29,1113.42,44.72,1913125,eucalyptus
3,2,6,200,150,29.44,1035.23,47.51,84045,eucalyptus
7,2,7,320,150,29.10,1065.13,43.66,26106,eucalyptus
6,14,0,100,150,29.82,1110.87,45.64,1290079,eucalyptus
1,13,2,320,150,31.21,1031.04,35.74,46613,eucalyptus
2,14,0,100,150,30.71,1108.06,45.49,1158699,eucalyptus
8,2,5,200,150,28.66,1012.02,36.45,88306,eucalyptus
5,13,1,200,150,29.28,1113.42,44.69,183644,eucalyptus
4,2,7,320,150,28.85,1105.05,45.02,21542,eucalyptus
6,14,1,200,150,29.81,1110.87,45.62,114362,eucalyptus
1,14,0,100,150,31.25,1031.04,35.50,2259862,eucalyptus
2,14,1,200,150,30.69,1108.07,45.40,94430,eucalyptus
3,2,7,320,150,29.46,1035.22,47.63,29541,eucalyptus
7,2,8,320,150,29.14,1065.14,43.58,29747,eucalyptus
5,13,2,320,150,29.29,1113.41,44.64,43791,eucalyptus
6,14,2,320,150,29.82,1110.87,45.53,32000,eucalyptus
8,2,6,200,150,28.69,1012.01,36.41,84628,eucalyptus
1,14,1,200,150,31.23,1031.04,35.62,210917,eucalyptus
2,14,2,320,150,30.70,1108.07,45.43,29197,eucalyptus
4,2,8,320,150,28.89,1105.05,45.02,25513,eucalyptus
5,14,0,100,150,29.33,1113.41,44.84,1944458,eucalyptus
3,2,8,320,150,29.50,1035.23,47.57,34595,eucalyptus
7,2,9,320,150,29.19,1065.14,43.51,32463,eucalyptus
1,14,2,320,150,31.24,1031.04,35.65,47743,eucalyptus
2,15,0,100,150,30.74,1108.07,45.41,1172631,eucalyptus
5,14,1,200,150,29.32,1113.41,44.60,185239,eucalyptus
8,2,7,320,150,28.72,1012.01,36.42,24730,eucalyptus
4,2,9,320,150,28.93,1105.06,45.06,27844,eucalyptus
6,15,1,200,150,29.84,1110.87,45.54,114901,eucalyptus
1,15,0,100,150,31.28,1031.04,35.61,2284440,eucalyptus
2,15,1,200,150,30.72,1108.07,45.23,91625,eucalyptus
3,2,9,320,150,29.54,1035.23,47.45,37814,eucalyptus
7,3,0,320,150,29.24,1065.15,43.45,34261,eucalyptus
5,14,2,320,150,29.33,1113.43,44.56,43971,eucalyptus
6,15,2,320,150,29.85,1110.87,45.51,32217,eucalyptus
1,15,1,200,150,31.26,1031.03,35.55,211178,eucalyptus
2,15,2,320,150,30.73,1108.07,45.35,29297,eucalyptus
8,2,8,320,150,28.77,1012.01,36.31,27899,eucalyptus
4,3,0,320,150,28.97,1105.06,44.92,29623,eucalyptus
5,15,0,100,150,29.37,1113.44,44.52,1991249,eucalyptus
6,16,0,100,150,29.89,1110.88,45.40,1308626,eucalyptus
3,3,0,320,150,29.58,1035.23,47.46,40315,eucalyptus
1,15,2,320,150,31.26,1031.03,35.50,47770,eucalyptus
2,16,0,100,150,30.77,1108.06,45.26,1166619,eucalyptus
5,15,1,200,150,29.35,1113.44,44.41,184638,eucalyptus
6,16,1,200,150,29.87,1110.88,45.50,113753,eucalyptus
8,2,9,320,150,28.81,1012.01,36.24,30189,eucalyptus
4,3,1,100,150,29.00,1105.07,44.84,798285,eucalyptus
1,16,0,100,150,31.30,1031.03,35.52,2299832,eucalyptus
2,16,1,200,150,30.74,1108.06,45.25,91527,eucalyptus
7,3,2,100,150,29.28,1065.15,43.30,1128064,eucalyptus
3,3,1,100,150,29.61,1035.24,47.32,1847125,eucalyptus
5,15,2,320,150,29.36,1113.43,44.45,44153,eucalyptus
6,16,2,320,150,29.88,1110.88,45.43,32169,eucalyptus
2,16,2,320,150,30.75,1108.06,45.28,29197,eucalyptus
1,16,1,200,150,31.28,1031.03,35.47,210526,eucalyptus
4,3,2,100,150,28.99,1105.07,44.84,643216,eucalyptus
8,3,0,320,150,28.86,1012.02,36.26,31833,eucalyptus
5,16,0,100,150,29.40,1113.43,44.45,1955598,eucalyptus
6,17,0,100,150,29.92,1110.88,45.54,1302385,eucalyptus
7,3,3,100,150,29.27,1065.15,43.25,1005153,eucalyptus
2,17,0,100,150,30.79,1108.07,45.29,1169617,eucalyptus
1,16,2,320,150,31.29,1031.03,35.48,48284,eucalyptus
3,3,2,100,150,29.60,1035.23,47.36,1469154,eucalyptus
6,17,1,200,150,29.90,1110.88,45.38,113224,eucalyptus
5,16,1,200,150,29.39,1113.43,44.40,184638,eucalyptus
4,3,3,100,150,28.97,1105.06,44.72,542517,eucalyptus
2,17,1,200,150,30.77,1108.07,45.24,90652,eucalyptus
1,17,0,100,150,31.33,1031.03,35.47,2315433,eucalyptus
8,3,1,100,150,28.90,1012.02,36.12,1139360,eucalyptus
7,3,4,200,150,29.26,1065.16,43.38,98178,eucalyptus
3,3,3,100,150,29.58,1035.23,47.34,1263808,eucalyptus
6,17,2,320,150,29.91,1110.88,45.38,32364,eucalyptus
5,16,2,320,150,29.40,1113.43,44.33,44337,eucalyptus
2,17,2,320,150,30.78,1108.07,45.23,29358,eucalyptus
1,17,1,200,150,31.31,1031.03,35.44,210397,eucalyptus
4,3,4,200,150,28.95,1105.06,44.56,65725,eucalyptus
6,18,0,100,150,29.95,1110.89,45.36,1322570,eucalyptus
5,17,0,100,150,29.44,1113.44,44.30,1972550,eucalyptus
8,3,2,100,150,28.90,1012.02,36.08,1043567,eucalyptus
2,18,0,100,150,30.82,1108.08,45.26,1171625,eucalyptus
7,3,5,200,150,29.28,1065.16,43.19,88033,eucalyptus
1,17,2,320,150,31.31,1031.03,35.44,48614,eucalyptus
3,3,4,200,150,29.55,1035.23,47.35,112701,eucalyptus
6,18,1,200,150,29.94,1110.89,45.33,114286,eucalyptus
5,17,1,200,150,29.42,1113.43,44.39,185239,eucalyptus
2,18,1,200,150,30.79,1108.08,45.19,90268,eucalyptus
4,3,5,200,150,28.95,1105.06,44.82,57412,eucalyptus
1,18,0,100,150,31.35,1031.04,35.50,2335234,eucalyptus
8,3,3,100,150,28.89,1012.02,36.04,962632,eucalyptus
7,3,6,200,150,29.30,1065.17,43.18,81090,eucalyptus
6,18,2,320,150,29.94,1110.89,45.28,32487,eucalyptus
3,3,5,200,150,29.56,1035.23,47.34,99206,eucalyptus
5,17,2,320,150,29.43,1113.43,44.31,44708,eucalyptus
2,18,2,320,150,30.80,1108.07,45.20,29217,eucalyptus
