sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,150,28.80,1030.79,38.40,351769,grapefruit_baseline
2,0,0,100,150,28.11,1107.84,48.51,165161,grapefruit_baseline
5,0,0,100,150,27.69,1113.10,45.41,362221,grapefruit_baseline
1,0,1,200,150,28.89,1030.79,38.41,51241,grapefruit_baseline
2,0,1,200,150,28.21,1107.85,48.49,26678,grapefruit_baseline
6,0,1,200,150,28.11,1110.59,46.86,28457,grapefruit_baseline
5,0,1,200,150,27.78,1113.11,45.49,51801,grapefruit_baseline
3,0,1,100,150,27.88,1035.12,49.27,139853,grapefruit_baseline
4,0,1,100,150,27.30,1104.88,46.67,69302,grapefruit_baseline
7,0,1,100,150,28.29,1065.06,43.08,115289,grapefruit_baseline
8,0,1,100,150,27.92,1011.93,36.05,122312,grapefruit_baseline
1,1,0,100,150,29.13,1030.82,38.33,164842,grapefruit_baseline
2,1,0,100,150,28.47,1107.87,48.37,79429,grapefruit_baseline
6,1,0,100,150,28.37,1110.61,46.83,74963,grapefruit_baseline
3,0,2,100,150,27.94,1035.13,49.30,143861,grapefruit_baseline
4,0,2,100,150,27.36,1104.87,46.49,72419,grapefruit_baseline
5,1,0,100,150,28.02,1113.13,45.51,143619,grapefruit_baseline
7,0,2,100,150,28.36,1065.07,43.06,125275,grapefruit_baseline
8,0,2,100,150,27.97,1011.93,36.04,135414,grapefruit_baseline
2,1,1,200,150,28.60,1107.88,48.40,15557,grapefruit_baseline
1,1,1,200,150,29.25,1030.84,38.28,30578,grapefruit_baseline
6,1,1,200,150,28.50,1110.62,46.75,14978,grapefruit_baseline
5,1,1,200,150,28.14,1113.14,45.37,27664,grapefruit_baseline
3,0,3,100,150,27.99,1035.12,49.15,145827,grapefruit_baseline
7,0,3,100,150,28.41,1065.07,43.03,130846,grapefruit_baseline
2,1,2,320,150,28.75,1107.90,48.31,5685,grapefruit_baseline
1,1,2,320,150,29.40,1030.85,38.17,8410,grapefruit_baseline
6,1,2,320,150,28.66,1110.64,46.70,5685,grapefruit_baseline
5,1,2,320,150,28.28,1113.15,45.28,6934,grapefruit_baseline
2,2,0,100,150,28.93,1107.91,48.23,75628,grapefruit_baseline
6,2,0,100,150,28.83,1110.65,46.63,77341,grapefruit_baseline
4,0,4,200,150,27.46,1104.86,46.28,18135,grapefruit_baseline
7,0,4,200,150,28.45,1065.08,42.97,26091,grapefruit_baseline
3,0,4,200,150,28.04,1035.13,49.13,28783,grapefruit_baseline
5,2,0,100,150,28.44,1113.17,45.22,124181,grapefruit_baseline
2,2,1,200,150,29.02,1107.91,48.12,16158,grapefruit_baseline
8,0,4,200,150,28.05,1011.94,35.97,28764,grapefruit_baseline
1,2,1,200,150,29.64,1030.86,37.89,34372,grapefruit_baseline
6,2,1,200,150,28.93,1110.67,46.51,17325,grapefruit_baseline
5,2,1,200,150,28.53,1113.18,45.03,27664,grapefruit_baseline
7,0,5,200,150,28.50,1065.09,42.96,27170,grapefruit_baseline
4,0,5,200,150,27.51,1104.86,46.25,18907,grapefruit_baseline
2,2,2,320,150,29.13,1107.90,47.97,6456,grapefruit_baseline
3,0,5,200,150,28.09,1035.12,49.08,29197,grapefruit_baseline
1,2,2,320,150,29.73,1030.86,37.87,11319,grapefruit_baseline
6,2,2,320,150,29.04,1110.67,46.41,6814,grapefruit_baseline
5,2,2,320,150,28.63,1113.18,44.78,9354,grapefruit_baseline
8,0,5,200,150,28.10,1011.93,35.89,29177,grapefruit_baseline
2,3,0,100,150,29.25,1107.91,47.97,122400,grapefruit_baseline
6,3,0,100,150,29.16,1110.68,46.30,134242,grapefruit_baseline
1,3,0,100,150,29.84,1030.87,37.79,267223,grapefruit_baseline
7,0,6,200,150,28.55,1065.09,42.90,27646,grapefruit_baseline
4,0,6,200,150,27.56,1104.86,46.35,19110,grapefruit_baseline
3,0,6,200,150,28.14,1035.12,49.04,30103,grapefruit_baseline
2,3,1,200,150,29.29,1107.92,47.65,22760,grapefruit_baseline
6,3,1,200,150,29.21,1110.68,46.19,25900,grapefruit_baseline
8,0,6,200,150,28.14,1011.92,35.82,29914,grapefruit_baseline
2,3,2,320,150,29.36,1107.92,47.61,8410,grapefruit_baseline
6,3,2,320,150,29.27,1110.68,46.04,8879,grapefruit_baseline
1,3,2,320,150,29.93,1030.87,37.54,14460,grapefruit_baseline
5,3,2,320,150,28.85,1113.21,44.63,12126,grapefruit_baseline
2,4,0,100,150,29.44,1107.92,47.45,183842,grapefruit_baseline
1,4,0,100,150,30.01,1030.87,37.43,386926,grapefruit_baseline
5,4,0,100,150,28.93,1113.22,44.58,289921,grapefruit_baseline
2,4,1,200,150,29.46,1107.92,47.34,30534,grapefruit_baseline
