sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,150,29.23,1030.85,39.55,882378,grapefruit
2,0,0,100,150,28.51,1107.93,50.02,556219,grapefruit
5,0,0,100,150,27.82,1113.18,47.77,965355,grapefruit
6,0,0,100,150,28.21,1110.68,48.81,475615,grapefruit
1,0,1,200,150,29.33,1030.86,39.58,104490,grapefruit
2,0,1,200,150,28.61,1107.93,50.05,65323,grapefruit
6,0,1,200,150,28.31,1110.69,48.80,56313,grapefruit
5,0,1,200,150,27.92,1113.19,47.77,113904,grapefruit
3,0,1,100,150,28.29,1035.16,50.66,387365,grapefruit
4,0,1,100,150,27.64,1104.89,48.23,253717,grapefruit
7,0,1,100,150,28.46,1065.11,45.56,323437,grapefruit
1,1,0,100,150,29.57,1030.88,39.41,483019,grapefruit
2,1,0,100,150,28.86,1107.92,50.00,262699,grapefruit
6,1,0,100,150,28.57,1110.70,48.80,195234,grapefruit
4,0,2,100,150,27.70,1104.90,48.06,244100,grapefruit
5,1,0,100,150,28.16,1113.22,47.76,427379,grapefruit
7,0,2,100,150,28.53,1065.12,45.55,335848,grapefruit
8,0,2,100,150,28.17,1011.98,38.05,340199,grapefruit
2,1,1,200,150,28.99,1107.92,49.94,36708,grapefruit
1,1,1,200,150,29.69,1030.90,39.36,67923,grapefruit
6,1,1,200,150,28.71,1110.71,48.72,30040,grapefruit
5,1,1,200,150,28.28,1113.22,47.70,63101,grapefruit
4,0,3,100,150,27.76,1104.89,48.08,241509,grapefruit
3,0,3,100,150,28.40,1035.15,50.58,394301,grapefruit
7,0,3,100,150,28.58,1065.13,45.42,352132,grapefruit
2,1,2,320,150,29.14,1107.91,49.89,10684,grapefruit
1,1,2,320,150,29.83,1030.91,39.38,17967,grapefruit
6,1,2,320,150,28.87,1110.72,48.64,9273,grapefruit
8,0,3,100,150,28.22,1011.98,37.95,351769,grapefruit
5,1,2,320,150,28.42,1113.23,47.62,15256,grapefruit
2,2,0,100,150,29.32,1107.93,49.77,228418,grapefruit
1,2,0,100,150,29.98,1030.91,39.28,535705,grapefruit
6,2,0,100,150,29.04,1110.73,48.58,194566,grapefruit
4,0,4,200,150,27.81,1104.90,47.92,43523,grapefruit
7,0,4,200,150,28.63,1065.13,45.51,53523,grapefruit
3,0,4,200,150,28.44,1035.16,50.45,57840,grapefruit
5,2,0,100,150,28.59,1113.26,47.52,404583,grapefruit
2,2,1,200,150,29.41,1107.93,49.62,33377,grapefruit
8,0,4,200,150,28.26,1011.98,37.91,56500,grapefruit
1,2,1,200,150,30.06,1030.92,39.19,73164,grapefruit
6,2,1,200,150,29.14,1110.73,48.46,30754,grapefruit
5,2,1,200,150,28.68,1113.27,47.44,60165,grapefruit
7,0,5,200,150,28.68,1065.14,45.38,54900,grapefruit
4,0,5,200,150,27.86,1104.89,47.95,43701,grapefruit
2,2,2,320,150,29.51,1107.94,49.51,13620,grapefruit
3,0,5,200,150,28.49,1035.15,50.26,57645,grapefruit
1,2,2,320,150,30.15,1030.92,39.12,22008,grapefruit
6,2,2,320,150,29.25,1110.74,48.34,12422,grapefruit
5,2,2,320,150,28.78,1113.27,47.30,18890,grapefruit
8,0,5,200,150,28.31,1011.99,37.82,56952,grapefruit
2,3,0,100,150,29.63,1107.94,49.26,301176,grapefruit
6,3,0,100,150,29.37,1110.76,48.28,275417,grapefruit
1,3,0,100,150,30.26,1030.92,39.05,695652,grapefruit
7,0,6,200,150,28.73,1065.15,45.31,54971,grapefruit
4,0,6,200,150,27.91,1104.89,47.87,44017,grapefruit
3,0,6,200,150,28.54,1035.16,50.34,58235,grapefruit
5,3,0,100,150,28.90,1113.29,47.14,537815,grapefruit
2,3,1,200,150,29.68,1107.95,49.26,39312,grapefruit
1,3,1,200,150,30.30,1030.92,38.85,86780,grapefruit
8,0,6,200,150,28.36,1011.99,37.83,57489,grapefruit
5,3,1,200,150,28.95,1113.30,47.01,72113,grapefruit
2,3,2,320,150,29.74,1107.95,49.16,15846,grapefruit
6,3,2,320,150,29.49,1110.76,48.06,14699,grapefruit
1,3,2,320,150,30.35,1030.91,38.80,25651,grapefruit
5,3,2,320,150,29.01,1113.30,46.90,21761,grapefruit
2,4,0,100,150,29.83,1107.95,49.05,377303,grapefruit
6,4,0,100,150,29.57,1110.77,47.86,343970,grapefruit
1,4,0,100,150,30.43,1030.92,38.66,844188,grapefruit
5,4,0,100,150,29.09,1113.30,46.79,657464,grapefruit
2,4,1,200,150,29.85,1107.95,48.92,44199,grapefruit
6,4,1,200,150,29.59,1110.78,47.69,43302,grapefruit
1,4,1,200,150,30.44,1030.91,38.58,101266,grapefruit
5,4,1,200,150,29.11,1113.31,46.57,81789,grapefruit
2,4,2,320,150,29.88,1107.95,48.82,17582,grapefruit
6,4,2,320,150,29.63,1110.78,47.55,16381,grapefruit
1,4,2,320,150,30.47,1030.91,38.45,28194,grapefruit
5,4,2,320,150,29.15,1113.30,46.62,24390,grapefruit
2,5,0,100,150,29.95,1107.95,48.73,433347,grapefruit
6,5,0,100,150,29.70,1110.79,47.53,410174,grapefruit
1,5,0,100,150,30.53,1030.93,38.40,968780,grapefruit
7,1,0,320,150,28.89,1065.14,45.07,11478,grapefruit
4,1,0,320,150,28.06,1104.91,47.67,11441,grapefruit
5,5,0,100,150,29.22,1113.31,46.49,753773,grapefruit
2,5,1,200,150,29.96,1107.96,48.61,48093,grapefruit
3,1,0,320,150,28.68,1035.15,50.18,12803,grapefruit
6,5,1,200,150,29.71,1110.79,47.40,48120,grapefruit
1,5,1,200,150,30.53,1030.93,38.27,108613,grapefruit
5,5,1,200,150,29.22,1113.31,46.38,89043,grapefruit
2,5,2,320,150,29.98,1107.96,48.56,18857,grapefruit
6,5,2,320,150,29.73,1110.80,47.36,17684,grapefruit
8,1,0,320,150,28.51,1012.01,37.53,11061,grapefruit
7,1,1,100,150,28.98,1065.15,44.99,252403,grapefruit
1,5,2,320,150,30.56,1030.93,38.22,30103,grapefruit
4,1,1,100,150,28.14,1104.92,47.70,166938,grapefruit
3,1,1,100,150,28.76,1035.15,50.16,284603,grapefruit
2,6,0,100,150,30.04,1107.98,48.46,483019,grapefruit
6,6,0,100,150,29.79,1110.81,47.18,455010,grapefruit
5,5,2,320,150,29.25,1113.31,46.30,26171,grapefruit
1,6,0,100,150,30.61,1030.93,38.15,1070570,grapefruit
7,1,2,100,150,29.02,1065.17,44.93,243404,grapefruit
8,1,1,100,150,28.59,1012.01,37.53,247283,grapefruit
4,1,2,100,150,28.18,1104.92,47.53,141710,grapefruit
2,6,1,200,150,30.03,1107.97,48.36,51241,grapefruit
6,6,1,200,150,29.79,1110.82,47.19,51180,grapefruit
5,6,0,100,150,29.31,1113.32,46.24,829318,grapefruit
3,1,2,100,150,28.80,1035.15,50.09,256385,grapefruit
1,6,1,200,150,30.60,1030.93,38.10,117109,grapefruit
2,6,2,320,150,30.05,1107.97,48.30,19802,grapefruit
6,6,2,320,150,29.81,1110.83,47.09,18824,grapefruit
5,6,1,200,150,29.30,1113.32,46.13,96024,grapefruit
7,1,3,100,150,29.05,1065.17,44.85,239644,grapefruit
8,1,2,100,150,28.63,1012.01,37.50,250367,grapefruit
1,6,2,320,150,30.62,1030.94,38.05,31738,grapefruit
4,1,3,100,150,28.21,1104.93,47.47,129065,grapefruit
3,1,3,100,150,28.83,1035.15,50.10,240658,grapefruit
6,7,0,100,150,29.86,1110.82,47.05,492071,grapefruit
2,7,0,100,150,30.11,1107.97,48.16,516650,grapefruit
5,6,2,320,150,29.32,1113.32,46.14,27397,grapefruit
1,7,0,100,150,30.67,1030.95,38.03,1144134,grapefruit
7,1,4,200,150,29.08,1065.18,44.79,35310,grapefruit
6,7,1,200,150,29.85,1110.82,46.96,53256,grapefruit
2,7,1,200,150,30.09,1107.97,48.14,53422,grapefruit
8,1,3,100,150,28.66,1012.01,37.45,253905,grapefruit
4,1,4,200,150,28.23,1104.93,47.41,26430,grapefruit
5,7,0,100,150,29.37,1113.33,46.00,889854,grapefruit
3,1,4,200,150,28.85,1035.14,49.96,35874,grapefruit
1,7,1,200,150,30.66,1030.95,37.93,124817,grapefruit
6,7,2,320,150,29.86,1110.83,46.91,19548,grapefruit
2,7,2,320,150,30.11,1107.98,48.09,20766,grapefruit
7,1,5,200,150,29.14,1065.18,44.75,35398,grapefruit
5,7,1,200,150,29.36,1113.33,45.94,100196,grapefruit
1,7,2,320,150,30.67,1030.94,38.14,32990,grapefruit
4,1,5,200,150,28.28,1104.93,47.36,26106,grapefruit
8,1,4,200,150,28.69,1012.02,37.22,38084,grapefruit
3,1,5,200,150,28.90,1035.15,49.89,35724,grapefruit
6,8,0,100,150,29.91,1110.83,46.86,517433,grapefruit
2,8,0,100,150,30.16,1107.98,48.07,542086,grapefruit
5,7,2,320,150,29.38,1113.34,45.89,28610,grapefruit
1,8,0,100,150,30.72,1030.94,37.84,1213270,grapefruit
7,1,6,200,150,29.19,1065.18,44.69,35428,grapefruit
6,8,1,200,150,29.90,1110.83,46.81,55507,grapefruit
4,1,6,200,150,28.34,1104.94,47.31,25760,grapefruit
8,1,5,200,150,28.75,1012.01,37.54,37847,grapefruit
5,8,0,100,150,29.43,1113.35,45.84,955893,grapefruit
1,8,1,200,150,30.70,1030.95,37.77,128289,grapefruit
3,1,6,200,150,28.95,1035.15,49.85,35281,grapefruit
6,8,2,320,150,29.91,1110.83,46.74,20292,grapefruit
2,8,2,320,150,30.16,1107.97,47.95,21433,grapefruit
7,1,7,320,150,29.24,1065.19,44.59,12849,grapefruit
5,8,1,200,150,29.42,1113.35,45.87,103288,grapefruit
1,8,2,320,150,30.72,1030.96,37.66,34043,grapefruit
4,1,7,320,150,28.38,1104.94,47.22,11679,grapefruit
6,9,0,100,150,29.96,1110.83,46.71,545551,grapefruit
8,1,6,200,150,28.80,1012.02,37.28,37881,grapefruit
3,1,7,320,150,29.00,1035.16,49.78,14134,grapefruit
5,8,2,320,150,29.43,1113.35,45.73,29500,grapefruit
1,9,0,100,150,30.76,1030.97,37.73,1279201,grapefruit
7,1,8,320,150,29.31,1065.19,44.53,15952,grapefruit
6,9,1,200,150,29.94,1110.83,46.67,56128,grapefruit
2,9,1,200,150,30.19,1107.98,47.69,55725,grapefruit
4,1,8,320,150,28.44,1104.95,47.10,14730,grapefruit
5,9,0,100,150,29.48,1113.36,45.70,984142,grapefruit
1,9,1,200,150,30.75,1030.97,37.70,129949,grapefruit
3,1,8,320,150,29.06,1035.16,49.72,17803,grapefruit
8,1,7,320,150,28.85,1012.01,37.16,12195,grapefruit
6,9,2,320,150,29.95,1110.83,46.61,20705,grapefruit
2,9,2,320,150,30.21,1107.98,47.83,21828,grapefruit
7,1,9,320,150,29.37,1065.20,44.45,18401,grapefruit
1,9,2,320,150,30.76,1030.96,37.66,34877,grapefruit
5,9,1,200,150,29.47,1113.36,45.69,105589,grapefruit
6,10,0,100,150,30.00,1110.84,46.59,558495,grapefruit
4,1,9,320,150,28.50,1104.95,47.09,17131,grapefruit
2,10,0,100,150,30.25,1107.99,47.78,586316,grapefruit
3,1,9,320,150,29.12,1035.16,49.60,20867,grapefruit
8,1,8,320,150,28.91,1012.03,37.16,14699,grapefruit
1,10,0,100,150,30.80,1030.97,37.65,1296203,grapefruit
5,9,2,320,150,29.48,1113.37,45.61,30231,grapefruit
6,10,1,200,150,29.98,1110.84,46.48,57143,grapefruit
7,2,0,320,150,29.43,1065.21,44.36,20929,grapefruit
2,10,1,200,150,30.23,1107.98,47.64,56838,grapefruit
4,2,0,320,150,28.55,1104.96,47.05,19931,grapefruit
1,10,1,200,150,30.79,1030.97,37.56,131959,grapefruit
5,10,0,100,150,29.53,1113.37,45.59,1014112,grapefruit
6,10,2,320,150,29.99,1110.84,46.67,21032,grapefruit
3,2,0,320,150,29.17,1035.17,49.63,25108,grapefruit
2,10,2,320,150,30.25,1107.99,47.71,22284,grapefruit
8,1,9,320,150,28.97,1012.04,37.09,16728,grapefruit
7,2,1,100,150,29.49,1065.20,44.33,506680,grapefruit
1,10,2,320,150,30.80,1030.97,37.68,35398,grapefruit
5,10,1,200,150,29.51,1113.36,45.54,107450,grapefruit
6,11,0,100,150,30.03,1110.84,46.49,573991,grapefruit
2,11,0,100,150,30.29,1107.99,47.81,588337,grapefruit
3,2,1,100,150,29.22,1035.18,49.51,623820,grapefruit
1,11,0,100,150,30.84,1030.97,37.59,1329007,grapefruit
8,2,0,320,150,29.03,1012.04,37.00,18840,grapefruit
5,10,2,320,150,29.53,1113.36,45.53,30600,grapefruit
6,11,1,200,150,30.02,1110.85,46.47,57451,grapefruit
2,11,1,200,150,30.27,1108.00,47.58,57028,grapefruit
7,2,2,100,150,29.49,1065.20,44.20,419500,grapefruit
4,2,2,100,150,28.60,1104.96,46.79,215036,grapefruit
1,11,1,200,150,30.83,1030.97,37.60,134560,grapefruit
6,11,2,320,150,30.03,1110.85,46.34,21348,grapefruit
5,11,0,100,150,29.57,1113.36,45.43,1027854,grapefruit
2,11,2,320,150,30.28,1108.00,47.60,22567,grapefruit
8,2,1,100,150,29.08,1012.04,36.92,461157,grapefruit
7,2,3,100,150,29.49,1065.20,44.15,378348,grapefruit
1,11,2,320,150,30.84,1030.97,37.54,35814,grapefruit
6,12,0,100,150,30.07,1110.86,46.43,580334,grapefruit
5,11,1,200,150,29.56,1113.37,45.42,108199,grapefruit
2,12,0,100,150,30.33,1108.00,47.61,598131,grapefruit
4,2,3,100,150,28.60,1104.96,46.84,175163,grapefruit
3,2,3,100,150,29.21,1035.18,49.35,401018,grapefruit
1,12,0,100,150,30.88,1030.97,37.51,1363515,grapefruit
5,11,2,320,150,29.57,1113.37,45.43,30866,grapefruit
2,12,1,200,150,30.31,1108.00,47.55,57066,grapefruit
7,2,4,200,150,29.49,1065.20,44.13,47850,grapefruit
1,12,1,200,150,30.87,1030.97,37.57,135414,grapefruit
4,2,4,200,150,28.59,1104.96,46.92,32587,grapefruit
6,12,2,320,150,30.06,1110.86,46.39,21607,grapefruit
2,12,2,320,150,30.32,1107.99,47.49,22687,grapefruit
5,12,0,100,150,29.61,1113.38,45.38,1041974,grapefruit
3,2,4,200,150,29.20,1035.20,49.50,50633,grapefruit
7,2,5,200,150,29.51,1065.20,44.12,44199,grapefruit
8,2,3,100,150,29.10,1012.05,36.67,392262,grapefruit
6,13,0,100,150,30.11,1110.86,46.30,578858,grapefruit
1,12,2,320,150,30.88,1030.97,37.46,36087,grapefruit
2,13,0,100,150,30.37,1108.00,47.54,601822,grapefruit
4,2,5,200,150,28.60,1104.97,46.82,30382,grapefruit
6,13,1,200,150,30.09,1110.86,46.42,58155,grapefruit
1,13,0,100,150,30.92,1030.97,37.44,1377270,grapefruit
3,2,5,200,150,29.22,1035.19,49.39,46110,grapefruit
2,13,1,200,150,30.35,1108.00,47.45,56952,grapefruit
5,12,2,320,150,29.61,1113.37,45.29,31296,grapefruit
7,2,6,200,150,29.54,1065.20,44.10,42230,grapefruit
8,2,4,200,150,29.10,1012.05,36.91,50483,grapefruit
6,13,2,320,150,30.10,1110.86,46.35,21761,grapefruit
4,2,6,200,150,28.62,1104.97,46.81,28783,grapefruit
2,13,2,320,150,30.36,1107.99,47.47,22980,grapefruit
5,13,0,100,150,29.65,1113.39,45.35,1054855,grapefruit
3,2,6,200,150,29.24,1035.19,49.31,43656,grapefruit
7,2,7,320,150,29.58,1065.21,44.07,17803,grapefruit
6,14,0,100,150,30.14,1110.87,46.23,590372,grapefruit
1,13,2,320,150,30.91,1030.97,37.49,36551,grapefruit
2,14,0,100,150,30.40,1108.00,47.46,600763,grapefruit
8,2,5,200,150,29.12,1012.05,36.78,48284,grapefruit
5,13,1,200,150,29.64,1113.39,45.30,109308,grapefruit
4,2,7,320,150,28.65,1104.98,46.72,16084,grapefruit
6,14,1,200,150,30.13,1110.87,46.24,58394,grapefruit
1,14,0,100,150,30.95,1030.98,37.43,1381450,grapefruit
2,14,1,200,150,30.38,1108.01,47.49,56462,grapefruit
3,2,7,320,150,29.26,1035.19,49.35,20725,grapefruit
7,2,8,320,150,29.63,1065.21,43.98,21032,grapefruit
5,13,2,320,150,29.65,1113.38,45.29,31738,grapefruit
8,2,6,200,150,29.15,1012.06,36.75,45665,grapefruit
6,14,2,320,150,30.14,1110.87,46.23,22008,grapefruit
1,14,1,200,150,30.94,1030.98,37.43,135414,grapefruit
2,14,2,320,150,30.39,1108.01,47.42,22882,grapefruit
4,2,8,320,150,28.69,1104.98,46.74,19512,grapefruit
5,14,0,100,150,29.70,1113.39,45.25,1056487,grapefruit
3,2,8,320,150,29.30,1035.19,49.21,25347,grapefruit
6,15,0,100,150,30.18,1110.87,46.22,589353,grapefruit
7,2,9,320,150,29.68,1065.21,44.03,23555,grapefruit
1,14,2,320,150,30.95,1030.97,37.38,36803,grapefruit
2,15,0,100,150,30.43,1108.01,47.41,597085,grapefruit
8,2,7,320,150,29.19,1012.06,36.66,16406,grapefruit
4,2,9,320,150,28.73,1104.97,46.73,21873,grapefruit
6,15,1,200,150,30.16,1110.86,46.19,58554,grapefruit
1,15,0,100,150,30.99,1030.99,37.40,1389888,grapefruit
2,15,1,200,150,30.41,1108.01,47.45,56276,grapefruit
3,2,9,320,150,29.35,1035.18,49.28,28381,grapefruit
7,3,0,320,150,29.73,1065.23,43.90,25347,grapefruit
5,14,2,320,150,29.69,1113.40,45.18,31738,grapefruit
6,15,2,320,150,30.17,1110.86,46.17,21986,grapefruit
1,15,1,200,150,30.97,1030.98,37.37,135629,grapefruit
2,15,2,320,150,30.42,1108.00,47.43,22956,grapefruit
8,2,8,320,150,29.23,1012.07,36.68,18890,grapefruit
4,3,0,320,150,28.77,1104.97,46.67,24238,grapefruit
5,15,0,100,150,29.73,1113.39,45.18,1067223,grapefruit
6,16,0,100,150,30.21,1110.87,46.19,593451,grapefruit
7,3,1,100,150,29.77,1065.23,43.92,625535,grapefruit
3,3,0,320,150,29.39,1035.18,49.34,30339,grapefruit
1,15,2,320,150,30.98,1030.98,37.36,36803,grapefruit
2,16,0,100,150,30.47,1108.00,47.37,615385,grapefruit
6,16,1,200,150,30.19,1110.87,46.15,59163,grapefruit
8,2,9,320,150,29.28,1012.08,36.62,20746,grapefruit
4,3,1,100,150,28.81,1104.98,46.61,355062,grapefruit
2,16,1,200,150,30.44,1108.01,47.30,55834,grapefruit
