sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,150,28.62,1030.05,38.70,734577,lavender_baseline
2,0,0,100,150,27.89,1107.12,49.04,551724,lavender_baseline
1,0,1,200,150,28.71,1030.07,38.73,90652,lavender_baseline
5,0,0,320,8,29.52,1112.40,45.44,19656,lavender_baseline
6,0,0,320,8,29.85,1109.89,46.94,13474,lavender_baseline
3,0,1,100,150,27.67,1034.39,49.51,342590,lavender_baseline
2,1,0,100,150,28.25,1107.14,48.95,300381,lavender_baseline
3,0,2,100,150,27.73,1034.37,49.52,361072,lavender_baseline
4,0,2,100,150,27.09,1104.10,46.94,309085,lavender_baseline
2,1,1,200,150,28.37,1107.15,48.82,43567,lavender_baseline
1,1,1,200,150,29.07,1030.11,38.57,59287,lavender_baseline
4,0,3,100,150,27.15,1104.10,46.72,302779,lavender_baseline
2,1,2,320,150,28.52,1107.16,48.64,10185,lavender_baseline
1,1,2,320,150,29.22,1030.12,38.47,13841,lavender_baseline
6,0,2,100,17,31.33,1110.01,45.76,253340,lavender_baseline
2,2,0,100,150,28.70,1107.16,48.66,234701,lavender_baseline
8,0,1,117,15,31.41,1011.20,34.55,122488,lavender_baseline
4,0,4,200,150,27.19,1104.10,46.79,54480,lavender_baseline
3,0,4,200,150,27.83,1034.36,49.32,55944,lavender_baseline
2,2,1,200,150,28.79,1107.15,48.54,37253,lavender_baseline
1,2,1,200,150,29.45,1030.13,38.19,59953,lavender_baseline
4,0,5,200,150,27.25,1104.10,46.69,55006,lavender_baseline
2,2,2,320,150,28.90,1107.17,48.41,13248,lavender_baseline
3,0,5,200,150,27.89,1034.36,49.25,57489,lavender_baseline
1,2,2,320,150,29.55,1030.14,38.10,17877,lavender_baseline
7,0,2,133,13,32.16,1064.42,40.87,81167,lavender_baseline
2,3,0,100,150,29.02,1107.18,48.26,337842,lavender_baseline
1,3,0,100,150,29.65,1030.14,38.01,550834,lavender_baseline
4,0,6,200,150,27.30,1104.09,46.58,55435,lavender_baseline
3,0,6,200,150,27.93,1034.36,49.18,57762,lavender_baseline
2,3,1,200,150,29.06,1107.17,48.18,49033,lavender_baseline
1,3,1,200,150,29.69,1030.14,37.71,79208,lavender_baseline
2,3,2,320,150,29.13,1107.18,47.94,16170,lavender_baseline
1,3,2,320,150,29.74,1030.14,37.67,21828,lavender_baseline
2,4,0,100,150,29.21,1107.18,47.90,473964,lavender_baseline
1,4,0,100,150,29.82,1030.13,37.61,760914,lavender_baseline
2,4,1,200,150,29.23,1107.18,47.70,62317,lavender_baseline
1,4,1,200,150,29.83,1030.12,37.50,100907,lavender_baseline
7,0,4,167,12,32.85,1064.43,39.52,40583,lavender_baseline
8,0,4,167,12,32.37,1011.21,32.62,40855,lavender_baseline
2,4,2,320,150,29.27,1107.18,47.57,19110,lavender_baseline
1,4,2,320,150,29.87,1030.12,37.39,25869,lavender_baseline
2,5,0,100,150,29.34,1107.17,47.48,617612,lavender_baseline
1,5,0,100,150,29.93,1030.13,37.41,970156,lavender_baseline
6,0,3,100,51,31.92,1110.05,43.14,176248,lavender_baseline
