sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,150,30.05,1030.28,39.53,1317465,lavender
2,0,0,100,150,29.36,1107.33,49.83,1099007,lavender
5,0,0,100,150,27.86,1112.54,49.31,1297434,lavender
6,0,0,100,150,28.25,1110.03,50.63,582812,lavender
1,0,1,200,150,30.14,1030.30,39.58,141008,lavender
2,0,1,200,150,29.46,1107.33,49.86,110727,lavender
6,0,1,200,150,28.36,1110.03,50.63,61025,lavender
5,0,1,200,150,27.95,1112.54,49.32,139396,lavender
3,0,1,100,150,28.96,1034.53,51.09,542086,lavender
4,0,1,100,150,28.32,1104.29,48.34,435282,lavender
7,0,1,100,150,28.36,1064.47,47.57,387146,lavender
8,0,1,100,150,28.01,1011.33,40.36,396592,lavender
2,1,0,100,150,29.71,1107.33,49.89,462407,lavender
1,1,0,100,150,30.38,1030.30,39.48,653687,lavender
6,1,0,100,150,28.62,1110.06,50.60,207455,lavender
3,0,2,100,150,29.02,1034.53,51.01,529884,lavender
5,1,0,100,150,28.20,1112.57,49.34,497450,lavender
7,0,2,100,150,28.42,1064.47,47.51,385180,lavender
8,0,2,100,150,28.06,1011.33,40.23,415922,lavender
2,1,1,200,150,29.84,1107.34,49.82,54549,lavender
1,1,1,200,150,30.49,1030.30,39.33,83633,lavender
6,1,1,200,150,28.75,1110.06,50.52,29956,lavender
5,1,1,200,150,28.32,1112.59,49.17,66082,lavender
3,0,3,100,150,29.07,1034.54,50.93,541226,lavender
4,0,3,100,150,28.44,1104.31,48.21,414156,lavender
7,0,3,100,150,28.48,1064.47,47.39,388467,lavender
2,1,2,320,150,29.99,1107.36,49.72,14509,lavender
1,1,2,320,150,30.63,1030.31,39.33,20138,lavender
6,1,2,320,150,28.91,1110.08,50.44,8872,lavender
8,0,3,100,150,28.11,1011.34,40.19,430071,lavender
5,1,2,320,150,28.46,1112.60,49.06,14822,lavender
2,2,0,100,150,30.16,1107.38,49.66,358042,lavender
1,2,0,100,150,30.79,1030.32,39.20,656200,lavender
6,2,0,100,150,29.09,1110.09,50.33,194123,lavender
4,0,4,200,150,28.48,1104.32,48.19,64338,lavender
7,0,4,200,150,28.53,1064.48,47.37,57412,lavender
3,0,4,200,150,29.11,1034.54,50.89,72235,lavender
