sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,1,100,150,23.22,1021.74,52.55,182466,rosemary
2,0,1,100,150,22.51,1098.60,63.55,56650,rosemary
3,0,1,100,150,22.00,1026.10,65.51,98518,rosemary
4,0,1,100,150,21.37,1095.56,62.06,49402,rosemary
6,0,1,100,150,22.13,1101.14,63.70,76716,rosemary
5,0,1,100,150,21.83,1103.70,61.45,143498,rosemary
8,0,1,100,150,22.46,1002.91,51.15,118987,rosemary
2,0,2,100,150,22.57,1098.60,63.58,57451,rosemary
1,0,2,100,150,23.28,1021.75,52.48,195122,rosemary
3,0,2,100,150,22.06,1026.11,65.48,102544,rosemary
4,0,2,100,150,21.43,1095.56,61.97,49005,rosemary
5,0,2,100,150,21.89,1103.71,61.27,154543,rosemary
2,0,3,100,150,22.62,1098.61,63.40,58474,rosemary
4,0,3,100,150,21.49,1095.56,61.87,50603,rosemary
6,0,3,100,150,22.24,1101.15,63.26,85906,rosemary
7,0,3,100,150,23.00,1056.02,58.08,110727,rosemary
5,0,3,100,150,21.94,1103.71,61.01,159452,rosemary
