sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
2,0,0,100,200,32.34,1106.63,38.46,6208413,baselineTransition
3,0,0,100,200,31.96,1033.84,39.35,14727191,baselineTransition
5,0,0,100,200,31.38,1112.03,36.88,9478739,baselineTransition
6,0,0,100,200,31.70,1109.48,37.92,4050433,baselineTransition
7,0,0,100,200,31.87,1063.85,34.43,8763841,baselineTransition
8,0,0,100,200,31.49,1010.69,27.77,3086662,baselineTransition
1,0,1,150,180,33.08,1029.73,28.86,742567,baselineTransition
2,0,1,150,180,32.41,1106.65,38.47,1316195,baselineTransition
3,0,1,150,180,32.03,1033.84,39.38,2762901,baselineTransition
4,0,1,150,180,31.44,1103.73,36.98,1518443,baselineTransition
6,0,1,150,180,31.78,1109.50,37.94,929852,baselineTransition
7,0,1,150,180,31.94,1063.85,34.51,1850881,baselineTransition
5,0,1,150,180,31.44,1112.03,36.81,1964037,baselineTransition
8,0,1,150,180,31.55,1010.70,27.77,808208,baselineTransition
2,0,2,200,160,32.49,1106.65,38.42,383449,baselineTransition
1,0,2,200,160,33.15,1029.74,28.90,232622,baselineTransition
3,0,2,200,160,32.11,1033.84,39.34,674350,baselineTransition
4,0,2,200,160,31.52,1103.74,37.10,451101,baselineTransition
6,0,2,200,160,31.86,1109.51,37.86,251845,baselineTransition
7,0,2,200,160,32.03,1063.86,34.55,429801,baselineTransition
5,0,2,200,160,31.51,1112.04,36.83,532363,baselineTransition
8,0,2,200,160,31.62,1010.70,27.72,227202,baselineTransition
7,0,3,250,150,32.09,1063.86,34.44,131552,baselineTransition
7,1,0,100,200,32.25,1063.86,34.17,254094,baselineTransition
6,1,0,100,200,32.09,1109.53,37.53,205581,baselineTransition
2,1,0,100,200,32.73,1106.67,37.99,473964,baselineTransition
4,1,0,100,200,31.77,1103.71,36.64,549504,baselineTransition
3,1,0,100,200,32.35,1033.86,38.88,487503,baselineTransition
1,1,0,100,200,33.35,1029.75,28.57,289675,baselineTransition
5,1,0,100,200,31.72,1112.08,36.44,388246,baselineTransition
8,1,0,100,200,31.81,1010.67,27.52,191724,baselineTransition
7,1,1,150,180,32.29,1063.86,34.14,104875,baselineTransition
6,1,1,150,180,32.12,1109.53,37.46,85476,baselineTransition
2,1,1,150,180,32.77,1106.67,37.94,166288,baselineTransition
4,1,1,150,180,31.81,1103.71,36.66,205087,baselineTransition
3,1,1,150,180,32.39,1033.86,38.86,167924,baselineTransition
1,1,1,150,180,33.38,1029.75,28.59,121442,baselineTransition
5,1,1,150,180,31.75,1112.08,36.38,151524,baselineTransition
7,1,2,200,160,32.34,1063.86,34.07,51582,baselineTransition
8,1,1,150,180,31.85,1010.67,27.48,86341,baselineTransition
6,1,2,200,160,32.17,1109.54,37.41,41775,baselineTransition
4,1,2,200,160,31.86,1103.72,36.54,90941,baselineTransition
3,1,2,200,160,32.44,1033.86,38.83,77201,baselineTransition
1,1,2,200,160,33.42,1029.75,28.49,59287,baselineTransition
5,1,2,200,160,31.80,1112.08,36.33,74053,baselineTransition
7,1,3,250,150,32.39,1063.87,33.94,29217,baselineTransition
6,1,3,250,150,32.22,1109.56,37.36,24488,baselineTransition
8,1,2,200,160,31.89,1010.67,27.46,42525,baselineTransition
2,1,3,250,150,32.87,1106.67,37.92,39863,baselineTransition
4,1,3,250,150,31.91,1103.72,36.46,48976,baselineTransition
3,1,3,250,150,32.48,1033.86,38.64,40013,baselineTransition
1,1,3,250,150,33.47,1029.77,28.46,33988,baselineTransition
7,1,4,300,150,32.44,1063.87,34.01,18907,baselineTransition
5,1,3,250,150,31.85,1112.09,36.28,38220,baselineTransition
6,1,4,300,150,32.27,1109.56,37.18,15764,baselineTransition
2,1,4,300,150,32.92,1106.67,37.74,25064,baselineTransition
8,1,3,250,150,31.93,1010.67,27.39,24460,baselineTransition
4,1,4,300,150,31.95,1103.73,36.38,28438,baselineTransition
3,1,4,300,150,32.53,1033.87,38.72,25064,baselineTransition
1,1,4,300,150,33.51,1029.78,28.43,20847,baselineTransition
7,1,5,325,140,32.49,1063.88,33.90,16559,baselineTransition
6,1,5,325,140,32.32,1109.57,37.24,14499,baselineTransition
2,1,5,325,140,32.97,1106.67,37.58,19931,baselineTransition
5,1,4,300,150,31.89,1112.09,36.06,23818,baselineTransition
4,1,5,325,140,32.00,1103.74,36.30,22496,baselineTransition
8,1,4,300,150,31.97,1010.67,27.33,16182,baselineTransition
3,1,5,325,140,32.58,1033.87,38.60,20766,baselineTransition
1,1,5,325,140,33.55,1029.79,28.35,18213,baselineTransition
7,1,6,350,140,32.53,1063.89,33.83,17597,baselineTransition
6,1,6,350,140,32.37,1109.57,37.17,15834,baselineTransition
2,1,6,350,140,33.01,1106.69,37.62,19802,baselineTransition
4,1,6,350,140,32.04,1103.75,36.26,21585,baselineTransition
5,1,5,325,140,31.94,1112.10,36.13,19674,baselineTransition
8,1,5,325,140,32.02,1010.68,27.30,14200,baselineTransition
3,1,6,350,140,32.62,1033.88,38.57,21717,baselineTransition
1,1,6,350,140,33.59,1029.79,28.16,18824,baselineTransition
7,1,7,380,140,32.57,1063.89,33.80,23885,baselineTransition
6,1,7,380,140,32.41,1109.58,37.13,21806,baselineTransition
2,1,7,380,140,33.05,1106.69,37.51,26091,baselineTransition
4,1,7,380,140,32.08,1103.75,36.21,27450,baselineTransition
