sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
4,116,7,380,140,32.10,1103.59,35.96,98178,baselineStable
5,109,8,415,140,33.01,1112.01,34.58,105916,baselineStable
7,119,4,300,150,33.99,1063.83,31.68,102791,baselineStable
1,113,6,350,140,33.39,1029.62,28.20,81633,baselineStable
2,116,7,380,140,32.64,1106.51,37.80,94222,baselineStable
3,115,2,200,160,32.81,1033.69,38.14,1540719,baselineStable
6,118,4,300,150,33.56,1109.48,35.48,92319,baselineStable
8,110,0,100,200,33.81,1010.59,25.01,16956274,baselineStable
4,116,8,415,140,32.10,1103.58,35.96,108131,baselineStable
7,119,5,325,140,34.00,1063.82,31.71,70330,baselineStable
5,109,9,450,140,33.02,1112.00,34.60,120840,baselineStable
2,116,8,415,140,32.65,1106.50,37.77,107518,baselineStable
1,113,7,380,140,33.39,1029.62,28.21,92020,baselineStable
3,115,3,250,150,32.80,1033.69,38.15,418985,baselineStable
6,118,5,325,140,33.57,1109.48,35.47,66806,baselineStable
8,110,1,150,180,33.80,1010.58,25.07,3208146,baselineStable
4,116,9,450,140,32.11,1103.59,35.96,123284,baselineStable
7,119,6,350,140,34.01,1063.82,31.70,63571,baselineStable
5,110,0,100,200,33.03,1112.01,34.60,22148022,baselineStable
2,116,9,450,140,32.65,1106.51,37.81,121963,baselineStable
1,113,8,415,140,33.39,1029.62,28.27,107315,baselineStable
3,115,4,300,150,32.79,1033.68,38.16,157976,baselineStable
6,118,6,350,140,33.58,1109.48,35.49,61598,baselineStable
8,110,2,200,160,33.79,1010.58,25.03,689330,baselineStable
7,119,7,380,140,34.02,1063.81,31.66,72727,baselineStable
4,117,0,100,200,32.12,1103.58,35.97,31200190,baselineStable
5,110,1,150,180,33.01,1112.01,34.57,3925252,baselineStable
1,113,9,450,140,33.39,1029.61,28.26,122664,baselineStable
2,117,0,100,200,32.66,1106.50,37.86,31244816,baselineStable
6,118,7,380,140,33.59,1109.48,35.47,72174,baselineStable
3,115,5,325,140,32.79,1033.68,38.17,107994,baselineStable
7,119,8,415,140,34.04,1063.81,31.87,87223,baselineStable
8,110,3,250,150,33.78,1010.58,25.03,205087,baselineStable
4,117,1,150,180,32.09,1103.58,35.96,5605200,baselineStable
2,117,1,150,180,32.64,1106.49,37.67,5321208,baselineStable
5,110,2,200,160,33.00,1112.00,34.60,959925,baselineStable
6,118,8,415,140,33.60,1109.49,35.47,86516,baselineStable
3,115,6,350,140,32.79,1033.68,38.19,96786,baselineStable
7,119,9,450,140,34.06,1063.80,31.81,101931,baselineStable
8,110,4,300,150,33.78,1010.57,25.03,88306,baselineStable
4,117,2,200,160,32.07,1103.58,36.05,1364878,baselineStable
2,117,2,200,160,32.62,1106.49,37.72,1175660,baselineStable
6,118,9,450,140,33.61,1109.49,35.47,100313,baselineStable
5,110,3,250,150,33.00,1112.01,34.58,288207,baselineStable
1,114,1,150,180,33.37,1029.60,28.24,3919617,baselineStable
3,115,7,380,140,32.80,1033.68,38.22,113149,baselineStable
7,120,0,100,200,34.07,1063.81,31.68,21347232,baselineStable
4,117,3,250,150,32.06,1103.57,35.98,438075,baselineStable
8,110,5,325,140,33.79,1010.57,25.06,61332,baselineStable
2,117,3,250,150,32.60,1106.48,37.72,355062,baselineStable
6,119,0,100,200,33.63,1109.48,35.45,21202200,baselineStable
3,115,8,415,140,32.80,1033.68,38.17,130946,baselineStable
5,110,4,300,150,32.99,1112.00,34.58,125000,baselineStable
1,114,2,200,160,33.36,1029.60,28.23,911235,baselineStable
7,120,1,150,180,34.05,1063.81,31.68,3804923,baselineStable
4,117,4,300,150,32.05,1103.57,35.99,167924,baselineStable
8,110,6,350,140,33.80,1010.57,25.02,56239,baselineStable
2,117,4,300,150,32.60,1106.48,37.76,152472,baselineStable
3,115,9,450,140,32.81,1033.68,38.18,148363,baselineStable
6,119,1,150,180,33.61,1109.48,35.35,3606428,baselineStable
1,114,3,250,150,33.35,1029.59,28.28,309085,baselineStable
5,110,5,325,140,33.00,1112.00,34.63,85993,baselineStable
7,120,2,200,160,34.04,1063.81,31.65,832351,baselineStable
4,117,5,325,140,32.05,1103.57,35.99,112552,baselineStable
8,110,7,380,140,33.81,1010.56,25.06,66442,baselineStable
2,117,5,325,140,32.60,1106.48,37.76,102791,baselineStable
6,119,2,200,160,33.60,1109.47,35.30,757957,baselineStable
3,116,0,100,200,32.82,1033.68,38.20,50123136,baselineStable
1,114,4,300,150,33.34,1029.60,28.27,130746,baselineStable
5,110,6,350,140,33.01,1112.00,34.60,79801,baselineStable
7,120,3,250,150,34.03,1063.80,31.69,254284,baselineStable
4,117,6,350,140,32.06,1103.58,36.01,91723,baselineStable
8,110,8,415,140,33.82,1010.56,25.02,80936,baselineStable
2,117,6,350,140,32.60,1106.49,37.81,87402,baselineStable
6,119,3,250,150,33.59,1109.47,35.49,227353,baselineStable
1,114,5,325,140,33.35,1029.60,28.31,91822,baselineStable
3,116,1,150,180,32.80,1033.67,38.14,7275311,baselineStable
5,110,7,380,140,33.02,1112.00,34.51,90364,baselineStable
7,120,4,300,150,34.02,1063.80,31.67,103351,baselineStable
4,117,7,380,140,32.06,1103.58,36.02,97841,baselineStable
8,110,9,450,140,33.83,1010.58,25.05,94170,baselineStable
2,117,7,380,140,32.61,1106.49,37.90,92619,baselineStable
6,119,4,300,150,33.59,1109.48,35.50,94745,baselineStable
1,114,6,350,140,33.35,1029.60,28.30,81555,baselineStable
3,116,2,200,160,32.78,1033.67,38.21,1523526,baselineStable
5,110,8,415,140,33.02,1111.99,34.57,105982,baselineStable
7,120,5,325,140,34.02,1063.81,31.67,70330,baselineStable
4,117,8,415,140,32.07,1103.57,35.99,108062,baselineStable
2,117,8,415,140,32.61,1106.49,37.78,106979,baselineStable
8,111,0,100,200,33.84,1010.58,24.97,16916882,baselineStable
6,119,5,325,140,33.59,1109.48,35.50,67546,baselineStable
1,114,7,380,140,33.36,1029.61,28.29,91331,baselineStable
3,116,3,250,150,32.77,1033.68,38.20,416684,baselineStable
5,110,9,450,140,33.04,1111.99,34.60,121012,baselineStable
7,120,6,350,140,34.03,1063.81,31.62,63571,baselineStable
4,117,9,450,140,32.08,1103.58,36.01,123463,baselineStable
2,117,9,450,140,32.62,1106.49,37.81,122137,baselineStable
6,119,6,350,140,33.60,1109.47,35.42,61866,baselineStable
8,111,1,150,180,33.82,1010.59,24.99,3257904,baselineStable
1,114,8,415,140,33.37,1029.61,28.37,106711,baselineStable
3,116,4,300,150,32.76,1033.68,38.26,158858,baselineStable
7,120,7,380,140,34.04,1063.80,31.63,72542,baselineStable
5,111,0,100,200,33.05,1111.99,34.57,22193024,baselineStable
4,118,0,100,200,32.09,1103.57,36.03,30207882,baselineStable
6,119,7,380,140,33.60,1109.48,35.45,72235,baselineStable
2,118,0,100,200,32.64,1106.48,37.79,31045002,baselineStable
8,111,2,200,160,33.81,1010.57,24.99,682439,baselineStable
1,114,9,450,140,33.39,1029.60,28.30,122137,baselineStable
3,116,5,325,140,32.77,1033.67,38.23,107653,baselineStable
7,120,8,415,140,34.05,1063.80,31.63,87134,baselineStable
5,111,1,150,180,33.02,1111.98,34.50,3968031,baselineStable
4,118,1,150,180,32.07,1103.56,36.08,5628307,baselineStable
6,119,8,415,140,33.61,1109.48,35.45,87491,baselineStable
2,118,1,150,180,32.61,1106.48,37.78,5274952,baselineStable
8,111,3,250,150,33.80,1010.57,25.00,204595,baselineStable
3,116,6,350,140,32.77,1033.67,38.18,96567,baselineStable
7,120,9,450,140,34.07,1063.79,31.74,101931,baselineStable
1,115,0,100,200,33.40,1029.60,28.33,21579190,baselineStable
4,118,2,200,160,32.05,1103.56,36.02,1359442,baselineStable
6,119,9,450,140,33.63,1109.46,35.46,100728,baselineStable
2,118,2,200,160,32.60,1106.47,37.72,1168616,baselineStable
8,111,4,300,150,33.80,1010.56,25.02,87581,baselineStable
3,116,7,380,140,32.78,1033.66,38.26,112035,baselineStable
1,115,1,150,180,33.38,1029.59,28.30,3942252,baselineStable
4,118,3,250,150,32.04,1103.55,36.07,434727,baselineStable
6,120,0,100,200,33.64,1109.45,35.45,21243436,baselineStable
2,118,3,250,150,32.59,1106.47,37.88,353591,baselineStable
3,116,8,415,140,32.79,1033.65,38.34,130048,baselineStable
8,111,5,325,140,33.81,1010.56,25.00,61025,baselineStable
7,121,1,150,180,34.06,1063.78,31.66,3789084,baselineStable
1,115,2,200,160,33.37,1029.58,28.34,895692,baselineStable
4,118,4,300,150,32.03,1103.55,36.10,168255,baselineStable
5,111,4,300,150,33.00,1111.97,34.60,124726,baselineStable
6,120,1,150,180,33.62,1109.45,35.34,3596927,baselineStable
2,118,4,300,150,32.59,1106.45,37.82,150323,baselineStable
3,116,9,450,140,32.80,1033.65,38.25,146831,baselineStable
7,121,2,200,160,34.04,1063.78,31.62,828814,baselineStable
8,111,6,350,140,33.81,1010.55,25.00,55944,baselineStable
1,115,3,250,150,33.36,1029.58,28.34,305763,baselineStable
4,118,5,325,140,32.03,1103.55,36.06,113149,baselineStable
5,111,5,325,140,33.01,1111.96,34.69,86166,baselineStable
6,120,2,200,160,33.61,1109.44,35.46,759644,baselineStable
2,118,5,325,140,32.59,1106.46,37.91,101446,baselineStable
7,121,3,250,150,34.04,1063.78,31.65,253528,baselineStable
8,111,7,380,140,33.82,1010.54,24.99,66133,baselineStable
1,115,4,300,150,33.36,1029.58,28.32,129358,baselineStable
4,118,6,350,140,32.04,1103.54,36.08,93962,baselineStable
5,111,6,350,140,33.02,1111.96,34.55,79875,baselineStable
6,120,3,250,150,33.61,1109.43,35.45,227809,baselineStable
2,118,6,350,140,32.59,1106.45,37.82,86079,baselineStable
7,121,4,300,150,34.04,1063.77,31.66,103413,baselineStable
8,111,8,415,140,33.83,1010.54,24.93,80859,baselineStable
1,115,5,325,140,33.37,1029.57,28.32,91625,baselineStable
4,118,7,380,140,32.04,1103.54,36.03,98405,baselineStable
5,111,7,380,140,33.03,1111.95,34.59,89982,baselineStable
6,120,4,300,150,33.60,1109.44,35.37,94850,baselineStable
2,118,7,380,140,32.59,1106.45,37.82,92619,baselineStable
7,121,5,325,140,34.04,1063.77,31.59,70214,baselineStable
3,117,2,200,160,32.77,1033.65,38.27,1500916,baselineStable
8,111,9,450,140,33.85,1010.53,24.98,94066,baselineStable
1,115,6,350,140,33.37,1029.57,28.33,80630,baselineStable
4,118,8,415,140,32.05,1103.54,36.05,108544,baselineStable
6,120,5,325,140,33.61,1109.44,35.54,67600,baselineStable
2,118,8,415,140,32.60,1106.45,37.84,107653,baselineStable
5,111,8,415,140,33.05,1111.96,34.63,106511,baselineStable
7,121,6,350,140,34.05,1063.76,31.65,63288,baselineStable
3,117,3,250,150,32.76,1033.65,38.23,415163,baselineStable
1,115,7,380,140,33.37,1029.57,28.30,91038,baselineStable
4,118,9,450,140,32.06,1103.54,36.10,122576,baselineStable
8,112,0,100,200,33.86,1010.53,24.99,16903792,baselineStable
6,120,6,350,140,33.62,1109.44,35.45,61420,baselineStable
2,118,9,450,140,32.61,1106.46,37.85,121183,baselineStable
5,111,9,450,140,33.06,1111.96,34.51,120755,baselineStable
7,121,7,380,140,34.06,1063.76,31.49,72113,baselineStable
3,117,4,300,150,32.75,1033.66,38.28,156671,baselineStable
1,115,8,415,140,33.37,1029.56,28.29,106711,baselineStable
