sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,200,29.41,1028.10,38.48,51180008,baselineTransition
2,0,0,100,200,28.61,1105.07,47.99,54398008,baselineTransition
4,0,0,100,200,27.72,1102.12,46.64,45877492,baselineTransition
5,0,0,100,200,28.75,1110.36,45.20,97270504,baselineTransition
7,0,0,100,200,29.63,1062.29,41.24,91180520,baselineTransition
8,0,0,100,200,29.29,1009.16,34.18,102400000,baselineTransition
1,0,1,150,180,29.47,1028.11,38.80,6128296,baselineTransition
2,0,1,150,180,28.68,1105.07,48.39,6268988,baselineTransition
4,0,1,150,180,27.80,1102.11,47.03,5758875,baselineTransition
6,0,1,150,180,29.18,1107.86,46.44,5746756,baselineTransition
7,0,1,150,180,29.71,1062.30,41.27,8632244,baselineTransition
5,0,1,150,180,28.82,1110.36,45.37,9981115,baselineTransition
8,0,1,150,180,29.36,1009.16,34.13,10166925,baselineTransition
2,0,2,200,160,28.76,1105.07,48.45,539942,baselineTransition
1,0,2,200,160,29.55,1028.11,38.97,537392,baselineTransition
3,0,2,200,160,28.58,1032.37,51.79,573027,baselineTransition
4,0,2,200,160,27.88,1102.10,47.19,504434,baselineTransition
6,0,2,200,160,29.27,1107.85,46.39,346414,baselineTransition
7,0,2,200,160,29.80,1062.30,41.02,482336,baselineTransition
5,0,2,200,160,28.91,1110.37,45.29,830326,baselineTransition
8,0,2,200,160,29.43,1009.16,33.95,533611,baselineTransition
7,0,3,250,150,29.87,1062.31,40.79,49430,baselineTransition
7,1,0,100,200,30.12,1062.33,39.09,9338,baselineTransition
6,1,0,100,200,29.57,1107.86,44.13,8762,baselineTransition
2,1,0,100,200,29.11,1105.09,47.08,11956,baselineTransition
4,1,0,100,200,28.24,1102.08,45.34,10313,baselineTransition
3,1,0,100,200,28.89,1032.33,48.84,10903,baselineTransition
1,1,0,100,200,29.83,1028.14,37.01,16244,baselineTransition
5,1,0,100,200,29.21,1110.38,42.50,14314,baselineTransition
7,1,1,150,180,30.17,1062.33,38.85,6858,baselineTransition
6,1,1,150,180,29.63,1107.87,43.69,6337,baselineTransition
2,1,1,150,180,29.16,1105.10,46.66,7859,baselineTransition
4,1,1,150,180,28.30,1102.08,45.03,7355,baselineTransition
3,1,1,150,180,28.95,1032.33,48.56,7579,baselineTransition
1,1,1,150,180,29.88,1028.14,36.71,10936,baselineTransition
5,1,1,150,180,29.26,1110.38,42.16,9783,baselineTransition
7,1,2,200,160,30.23,1062.34,38.72,5685,baselineTransition
6,1,2,200,160,29.69,1107.86,43.41,5685,baselineTransition
2,1,2,200,160,29.23,1105.09,46.36,5685,baselineTransition
3,1,2,200,160,29.01,1032.33,48.14,5685,baselineTransition
1,1,2,200,160,29.93,1028.13,36.38,7606,baselineTransition
7,1,3,250,150,30.30,1062.35,38.45,5685,baselineTransition
5,1,2,200,160,29.32,1110.39,41.97,6780,baselineTransition
6,1,3,250,150,29.75,1107.86,43.10,5685,baselineTransition
8,1,2,200,160,29.82,1009.16,31.68,5685,baselineTransition
2,1,3,250,150,29.30,1105.09,46.04,5685,baselineTransition
4,1,3,250,150,28.43,1102.07,44.42,5685,baselineTransition
3,1,3,250,150,29.08,1032.33,47.74,5685,baselineTransition
1,1,3,250,150,29.99,1028.14,36.09,5685,baselineTransition
7,1,4,300,150,30.36,1062.36,38.38,5685,baselineTransition
6,1,4,300,150,29.82,1107.86,42.83,5685,baselineTransition
5,1,3,250,150,29.38,1110.39,41.82,5685,baselineTransition
2,1,4,300,150,29.36,1105.10,45.79,5685,baselineTransition
8,1,3,250,150,29.88,1009.17,31.50,5685,baselineTransition
4,1,4,300,150,28.50,1102.07,44.05,5685,baselineTransition
3,1,4,300,150,29.14,1032.33,47.38,5685,baselineTransition
1,1,4,300,150,30.05,1028.14,35.83,5685,baselineTransition
7,1,5,325,140,30.42,1062.36,38.11,5685,baselineTransition
6,1,5,325,140,29.88,1107.88,42.75,5685,baselineTransition
2,1,5,325,140,29.43,1105.10,45.61,5685,baselineTransition
4,1,5,325,140,28.56,1102.07,43.84,5685,baselineTransition
5,1,4,300,150,29.44,1110.40,41.50,5685,baselineTransition
8,1,4,300,150,29.93,1009.17,31.32,5685,baselineTransition
3,1,5,325,140,29.21,1032.34,47.06,5685,baselineTransition
1,1,5,325,140,30.11,1028.15,35.68,5685,baselineTransition
7,1,6,350,140,30.48,1062.37,37.89,5685,baselineTransition
6,1,6,350,140,29.93,1107.88,42.48,5685,baselineTransition
2,1,6,350,140,29.49,1105.10,45.28,5685,baselineTransition
4,1,6,350,140,28.62,1102.08,43.60,5685,baselineTransition
5,1,5,325,140,29.50,1110.41,41.31,5685,baselineTransition
8,1,5,325,140,29.99,1009.17,31.19,5685,baselineTransition
3,1,6,350,140,29.27,1032.34,46.69,5685,baselineTransition
1,1,6,350,140,30.16,1028.15,35.30,5685,baselineTransition
7,1,7,380,140,30.53,1062.37,37.83,5685,baselineTransition
6,1,7,380,140,29.98,1107.87,42.28,5685,baselineTransition
2,1,7,380,140,29.54,1105.11,45.05,5685,baselineTransition
4,1,7,380,140,28.68,1102.07,43.39,5685,baselineTransition
5,1,6,350,140,29.56,1110.42,41.12,5685,baselineTransition
8,1,6,350,140,30.04,1009.17,31.05,5685,baselineTransition
3,1,7,380,140,29.32,1032.34,46.42,5685,baselineTransition
1,1,7,380,140,30.21,1028.16,35.13,5685,baselineTransition
7,1,8,415,140,30.59,1062.37,37.68,5685,baselineTransition
6,1,8,415,140,30.03,1107.88,42.15,5685,baselineTransition
2,1,8,415,140,29.59,1105.11,44.82,5685,baselineTransition
4,1,8,415,140,28.73,1102.08,43.18,5685,baselineTransition
5,1,7,380,140,29.61,1110.42,40.90,5685,baselineTransition
8,1,7,380,140,30.09,1009.18,30.90,5685,baselineTransition
3,1,8,415,140,29.36,1032.33,46.14,5685,baselineTransition
1,1,8,415,140,30.25,1028.16,34.88,5685,baselineTransition
7,1,9,450,140,30.64,1062.37,37.51,5685,baselineTransition
6,1,9,450,140,30.07,1107.88,41.96,5685,baselineTransition
2,1,9,450,140,29.64,1105.10,44.64,5951,baselineTransition
4,1,9,450,140,28.78,1102.08,42.89,6340,baselineTransition
5,1,8,415,140,29.66,1110.42,40.74,5685,baselineTransition
3,1,9,450,140,29.41,1032.33,45.90,7716,baselineTransition
8,1,8,415,140,30.14,1009.18,30.79,5685,baselineTransition
1,1,9,450,140,30.29,1028.17,34.67,6390,baselineTransition
7,2,0,100,200,30.68,1062.38,37.44,85050,baselineTransition
6,2,0,100,200,30.11,1107.89,41.80,83225,baselineTransition
2,2,0,100,200,29.69,1105.10,44.42,97953,baselineTransition
