sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,200,32.13,1029.30,27.03,5170085,baselineTransition
2,0,0,100,200,31.31,1106.21,36.65,2931997,baselineTransition
4,0,0,100,200,30.31,1103.29,35.14,2746229,baselineTransition
5,0,0,100,200,30.43,1111.57,34.63,6662871,baselineTransition
6,0,0,100,200,30.86,1109.10,35.82,1778550,baselineTransition
7,0,0,100,200,30.88,1063.46,32.16,3608811,baselineTransition
8,0,0,100,200,30.63,1010.28,25.62,2409412,baselineTransition
1,0,1,150,180,32.20,1029.31,26.97,1274424,baselineTransition
2,0,1,150,180,31.39,1106.20,36.47,773852,baselineTransition
3,0,1,150,180,31.10,1033.46,37.35,810608,baselineTransition
4,0,1,150,180,30.39,1103.29,35.08,782725,baselineTransition
6,0,1,150,180,30.94,1109.09,35.62,470048,baselineTransition
7,0,1,150,180,30.95,1063.45,32.23,861772,baselineTransition
5,0,1,150,180,30.50,1111.58,34.55,1420250,baselineTransition
8,0,1,150,180,30.70,1010.27,25.62,672357,baselineTransition
2,0,2,200,160,31.48,1106.20,36.44,237974,baselineTransition
1,0,2,200,160,32.28,1029.32,26.93,380669,baselineTransition
3,0,2,200,160,31.18,1033.47,37.24,257351,baselineTransition
4,0,2,200,160,30.48,1103.30,35.08,253152,baselineTransition
6,0,2,200,160,31.03,1109.10,35.51,132780,baselineTransition
7,0,2,200,160,31.04,1063.46,32.24,226148,baselineTransition
5,0,2,200,160,30.57,1111.59,34.51,402912,baselineTransition
8,0,2,200,160,30.77,1010.28,25.57,172333,baselineTransition
1,0,3,250,150,32.34,1029.33,26.92,131857,baselineTransition
7,1,0,100,200,31.32,1063.47,31.82,132471,baselineTransition
6,1,0,100,200,31.31,1109.10,35.26,106578,baselineTransition
2,1,0,100,200,31.80,1106.23,35.90,254094,baselineTransition
4,1,0,100,200,30.79,1103.30,34.63,243751,baselineTransition
3,1,0,100,200,31.49,1033.45,36.91,204718,baselineTransition
1,1,0,100,200,32.56,1029.32,26.56,243057,baselineTransition
5,1,0,100,200,30.82,1111.61,34.08,210138,baselineTransition
8,1,0,100,200,31.02,1010.30,25.29,105523,baselineTransition
7,1,1,150,180,31.36,1063.47,31.88,60764,baselineTransition
6,1,1,150,180,31.35,1109.10,35.20,50814,baselineTransition
2,1,1,150,180,31.85,1106.24,35.89,101749,baselineTransition
4,1,1,150,180,30.84,1103.30,34.59,103163,baselineTransition
3,1,1,150,180,31.54,1033.46,36.83,82421,baselineTransition
1,1,1,150,180,32.61,1029.33,26.47,105589,baselineTransition
5,1,1,150,180,30.86,1111.62,34.27,91921,baselineTransition
8,1,1,150,180,31.06,1010.30,25.25,53895,baselineTransition
7,1,2,200,160,31.41,1063.48,31.84,32990,baselineTransition
6,1,2,200,160,31.41,1109.13,35.30,27574,baselineTransition
4,1,2,200,160,30.90,1103.31,34.53,51738,baselineTransition
3,1,2,200,160,31.60,1033.46,36.82,42652,baselineTransition
1,1,2,200,160,32.66,1029.33,26.40,53489,baselineTransition
7,1,3,250,150,31.47,1063.49,31.70,19441,baselineTransition
5,1,2,200,160,30.91,1111.63,34.00,49402,baselineTransition
6,1,3,250,150,31.47,1109.14,35.06,16356,baselineTransition
8,1,2,200,160,31.11,1010.31,25.25,29058,baselineTransition
2,1,3,250,150,31.97,1106.27,35.70,27990,baselineTransition
4,1,3,250,150,30.97,1103.31,34.44,29500,baselineTransition
3,1,3,250,150,31.66,1033.47,36.69,24630,baselineTransition
1,1,3,250,150,32.72,1029.34,26.32,30361,baselineTransition
7,1,4,300,150,31.53,1063.50,31.65,12030,baselineTransition
5,1,3,250,150,30.97,1111.64,34.10,26661,baselineTransition
6,1,4,300,150,31.53,1109.14,35.06,9873,baselineTransition
2,1,4,300,150,32.03,1106.27,35.80,17117,baselineTransition
8,1,3,250,150,31.16,1010.31,25.15,16820,baselineTransition
4,1,4,300,150,31.03,1103.31,34.37,18074,baselineTransition
3,1,4,300,150,31.72,1033.47,36.70,15105,baselineTransition
1,1,4,300,150,32.77,1029.35,26.19,16994,baselineTransition
7,1,5,325,140,31.59,1063.49,31.64,9512,baselineTransition
6,1,5,325,140,31.59,1109.15,34.96,8390,baselineTransition
2,1,5,325,140,32.10,1106.27,35.74,13061,baselineTransition
5,1,4,300,150,31.02,1111.65,33.93,15180,baselineTransition
4,1,5,325,140,31.09,1103.31,34.33,14343,baselineTransition
8,1,4,300,150,31.22,1010.31,25.11,10175,baselineTransition
3,1,5,325,140,31.78,1033.47,36.52,12488,baselineTransition
1,1,5,325,140,32.83,1029.35,26.20,13306,baselineTransition
7,1,6,350,140,31.64,1063.49,31.72,9783,baselineTransition
6,1,6,350,140,31.64,1109.15,34.84,8777,baselineTransition
2,1,6,350,140,32.15,1106.26,35.58,12308,baselineTransition
4,1,6,350,140,31.15,1103.31,34.24,13264,baselineTransition
5,1,5,325,140,31.08,1111.65,33.86,11295,baselineTransition
8,1,5,325,140,31.28,1010.30,25.01,8203,baselineTransition
3,1,6,350,140,31.84,1033.46,36.37,12803,baselineTransition
1,1,6,350,140,32.87,1029.36,26.14,12539,baselineTransition
7,1,7,380,140,31.70,1063.49,31.53,13664,baselineTransition
6,1,7,380,140,31.69,1109.14,34.80,12322,baselineTransition
2,1,7,380,140,32.20,1106.26,35.52,15881,baselineTransition
4,1,7,380,140,31.20,1103.32,34.17,16847,baselineTransition
5,1,6,350,140,31.13,1111.64,33.82,11038,baselineTransition
8,1,6,350,140,31.34,1010.31,24.98,8477,baselineTransition
3,1,7,380,140,31.88,1033.45,36.44,18465,baselineTransition
1,1,7,380,140,32.91,1029.36,26.06,16194,baselineTransition
7,1,8,415,140,31.75,1063.50,31.39,21986,baselineTransition
6,1,8,415,140,31.74,1109.16,34.84,20369,baselineTransition
2,1,8,415,140,32.24,1106.26,35.54,24801,baselineTransition
4,1,8,415,140,31.25,1103.32,34.10,25698,baselineTransition
5,1,7,380,140,31.17,1111.65,33.79,14619,baselineTransition
8,1,7,380,140,31.39,1010.31,25.02,11540,baselineTransition
3,1,8,415,140,31.93,1033.46,36.16,30578,baselineTransition
1,1,8,415,140,32.94,1029.36,26.01,24990,baselineTransition
7,1,9,450,140,31.80,1063.50,31.41,33195,baselineTransition
6,1,9,450,140,31.78,1109.17,34.78,30799,baselineTransition
2,1,9,450,140,32.27,1106.27,35.51,36803,baselineTransition
4,1,9,450,140,31.28,1103.32,34.10,37881,baselineTransition
3,1,9,450,140,31.96,1033.46,36.27,45519,baselineTransition
5,1,8,415,140,31.22,1111.65,33.73,23765,baselineTransition
8,1,8,415,140,31.45,1010.31,24.87,19127,baselineTransition
1,1,9,450,140,32.96,1029.36,25.96,36835,baselineTransition
7,2,0,100,200,31.85,1063.50,31.50,2461539,baselineTransition
6,2,0,100,200,31.81,1109.17,34.76,2339235,baselineTransition
2,2,0,100,200,32.29,1106.27,35.29,3277456,baselineTransition
4,2,0,100,200,31.32,1103.33,33.96,3223293,baselineTransition
5,1,9,450,140,31.26,1111.66,33.71,36148,baselineTransition
8,1,9,450,140,31.50,1010.30,24.78,28940,baselineTransition
1,2,0,100,200,32.97,1029.36,25.91,2343250,baselineTransition
