sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
3,126,8,415,140,32.83,1033.24,35.10,142420,baselineTransition
4,128,5,325,140,32.40,1103.15,32.56,128870,baselineTransition
6,130,3,250,150,33.23,1109.01,32.94,306037,baselineTransition
8,121,1,150,180,33.31,1010.12,22.95,4413793,baselineTransition
2,128,5,325,140,33.14,1106.06,34.00,118163,baselineTransition
7,131,5,325,140,33.88,1063.35,29.05,87223,baselineTransition
1,125,1,150,180,33.59,1029.19,25.15,4990558,baselineTransition
5,121,0,100,200,33.06,1111.56,31.63,29534024,baselineTransition
3,126,9,450,140,32.84,1033.25,35.11,161412,baselineTransition
4,128,6,350,140,32.41,1103.16,32.55,103791,baselineTransition
6,130,4,300,150,33.23,1109.01,33.01,120584,baselineTransition
2,128,6,350,140,33.14,1106.06,34.03,100196,baselineTransition
8,121,2,200,160,33.30,1010.12,22.90,938159,baselineTransition
7,131,6,350,140,33.89,1063.35,29.00,75294,baselineTransition
1,125,2,200,160,33.57,1029.20,25.14,1155756,baselineTransition
5,121,1,150,180,33.05,1111.56,31.66,5140885,baselineTransition
3,127,0,100,200,32.85,1033.25,35.12,63258688,baselineTransition
6,130,5,325,140,33.24,1109.01,32.99,82821,baselineTransition
4,128,7,380,140,32.41,1103.15,32.55,106246,baselineTransition
2,128,7,380,140,33.15,1106.06,34.05,101931,baselineTransition
7,131,7,380,140,33.91,1063.35,29.04,82501,baselineTransition
8,121,3,250,150,33.29,1010.11,22.99,273212,baselineTransition
1,125,3,250,150,33.57,1029.20,25.16,388467,baselineTransition
5,121,2,200,160,33.04,1111.57,31.67,1245363,baselineTransition
6,130,6,350,140,33.24,1109.01,33.00,73164,baselineTransition
4,128,8,415,140,32.42,1103.16,32.65,116152,baselineTransition
7,131,8,415,140,33.92,1063.36,29.07,100609,baselineTransition
2,128,8,415,140,33.16,1106.06,34.05,115523,baselineTransition
8,121,4,300,150,33.29,1010.10,22.97,113375,baselineTransition
1,125,4,300,150,33.56,1029.20,25.21,156384,baselineTransition
5,121,3,250,150,33.04,1111.57,31.68,364543,baselineTransition
6,130,7,380,140,33.25,1109.01,33.09,82741,baselineTransition
4,128,9,450,140,32.43,1103.15,32.72,131349,baselineTransition
3,127,2,200,160,32.80,1033.24,35.20,2004404,baselineTransition
7,131,9,450,140,33.94,1063.36,29.09,117350,baselineTransition
2,128,9,450,140,33.17,1106.06,34.06,132471,baselineTransition
8,121,5,325,140,33.30,1010.11,22.98,76441,baselineTransition
1,125,5,325,140,33.57,1029.20,25.29,109308,baselineTransition
6,130,8,415,140,33.26,1109.00,33.08,100491,baselineTransition
5,121,4,300,150,33.04,1111.57,31.70,151524,baselineTransition
3,127,3,250,150,32.79,1033.23,35.19,527427,baselineTransition
