sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,200,31.53,1030.26,30.44,5587995,baselineTransition
2,0,0,100,200,30.79,1107.18,40.15,9246050,baselineTransition
3,0,0,100,200,30.42,1034.43,40.90,13244947,baselineTransition
5,0,0,100,200,29.69,1112.48,38.35,10789595,baselineTransition
6,0,0,100,200,30.07,1109.94,39.50,10984915,baselineTransition
7,0,0,100,200,30.02,1064.40,36.51,18108870,baselineTransition
8,0,0,100,200,29.69,1011.25,29.65,19639196,baselineTransition
1,0,1,150,180,31.60,1030.26,30.37,1096360,baselineTransition
2,0,1,150,180,30.87,1107.17,40.10,1599375,baselineTransition
4,0,1,150,180,29.86,1104.18,38.59,1876317,baselineTransition
6,0,1,150,180,30.15,1109.96,39.51,1672861,baselineTransition
5,0,1,150,180,29.75,1112.48,38.37,1890607,baselineTransition
7,0,1,150,180,30.09,1064.39,36.48,2572864,baselineTransition
8,0,1,150,180,29.75,1011.25,29.66,2970268,baselineTransition
2,0,2,200,160,30.95,1107.16,40.03,277657,baselineTransition
1,0,2,200,160,31.67,1030.25,30.29,203255,baselineTransition
3,0,2,200,160,30.58,1034.42,40.85,321608,baselineTransition
4,0,2,200,160,29.94,1104.20,38.52,325596,baselineTransition
6,0,2,200,160,30.23,1109.96,39.51,233417,baselineTransition
7,0,2,200,160,30.18,1064.39,36.43,322825,baselineTransition
5,0,2,200,160,29.82,1112.49,38.31,394986,baselineTransition
8,0,2,200,160,29.82,1011.23,29.63,318606,baselineTransition
7,1,0,100,200,30.45,1064.36,36.08,17937,baselineTransition
2,1,0,100,200,31.24,1107.16,39.56,29726,baselineTransition
4,1,0,100,200,30.23,1104.22,38.10,29582,baselineTransition
3,1,0,100,200,30.85,1034.37,40.38,24183,baselineTransition
1,1,0,100,200,31.91,1030.26,29.92,31434,baselineTransition
5,1,0,100,200,30.06,1112.48,37.94,28979,baselineTransition
8,1,0,100,200,30.05,1011.22,29.30,14832,baselineTransition
7,1,1,150,180,30.50,1064.36,35.99,11527,baselineTransition
6,1,1,150,180,30.53,1109.97,38.98,10283,baselineTransition
2,1,1,150,180,31.28,1107.15,39.47,17200,baselineTransition
4,1,1,150,180,30.28,1104.22,38.09,17539,baselineTransition
3,1,1,150,180,30.89,1034.38,40.30,14529,baselineTransition
1,1,1,150,180,31.95,1030.25,29.85,19441,baselineTransition
5,1,1,150,180,30.10,1112.46,37.89,17983,baselineTransition
8,1,1,150,180,30.09,1011.21,29.25,10175,baselineTransition
7,1,2,200,160,30.56,1064.35,35.93,7790,baselineTransition
6,1,2,200,160,30.59,1109.96,38.95,6845,baselineTransition
2,1,2,200,160,31.33,1107.15,39.33,10836,baselineTransition
4,1,2,200,160,30.33,1104.23,37.87,11453,baselineTransition
3,1,2,200,160,30.95,1034.37,40.18,9487,baselineTransition
1,1,2,200,160,32.00,1030.25,29.76,12451,baselineTransition
7,1,3,250,150,30.61,1064.34,35.85,5685,baselineTransition
5,1,2,200,160,30.15,1112.45,37.82,11565,baselineTransition
6,1,3,250,150,30.64,1109.96,38.86,5685,baselineTransition
8,1,2,200,160,30.14,1011.20,29.11,6728,baselineTransition
2,1,3,250,150,31.39,1107.15,39.26,7048,baselineTransition
4,1,3,250,150,30.39,1104.22,37.73,7596,baselineTransition
3,1,3,250,150,31.01,1034.37,40.15,6126,baselineTransition
1,1,3,250,150,32.04,1030.25,29.62,7705,baselineTransition
7,1,4,300,150,30.66,1064.35,35.79,5685,baselineTransition
5,1,3,250,150,30.20,1112.45,37.80,6867,baselineTransition
6,1,4,300,150,30.69,1109.96,38.77,5685,baselineTransition
