sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,200,31.09,1024.98,31.95,1648622,baselineTransition
2,0,0,100,200,30.30,1101.73,41.81,2259862,baselineTransition
3,0,0,100,200,30.21,1029.05,42.24,1168616,baselineTransition
4,0,0,100,200,29.54,1098.84,39.88,1064726,baselineTransition
5,0,0,100,200,30.46,1107.19,38.23,977799,baselineTransition
6,0,0,100,200,30.84,1104.65,39.40,1027854,baselineTransition
8,0,0,100,200,30.94,1005.99,28.76,1418774,baselineTransition
1,0,1,150,180,31.16,1024.98,31.89,474954,baselineTransition
2,0,1,150,180,30.38,1101.75,41.75,578858,baselineTransition
3,0,1,150,180,30.29,1029.06,42.18,331606,baselineTransition
6,0,1,150,180,30.92,1104.66,39.31,294931,baselineTransition
7,0,1,150,180,31.31,1059.12,35.37,426311,baselineTransition
5,0,1,150,180,30.52,1107.20,38.13,285316,baselineTransition
8,0,1,150,180,31.01,1005.99,28.57,417193,baselineTransition
2,0,2,200,160,30.46,1101.76,41.65,181111,baselineTransition
1,0,2,200,160,31.23,1024.97,31.75,161108,baselineTransition
3,0,2,200,160,30.37,1029.05,42.03,120669,baselineTransition
4,0,2,200,160,29.70,1098.84,39.71,123821,baselineTransition
6,0,2,200,160,31.01,1104.67,39.22,95701,baselineTransition
7,0,2,200,160,31.40,1059.12,35.37,134242,baselineTransition
5,0,2,200,160,30.59,1107.20,38.06,105198,baselineTransition
8,0,2,200,160,31.08,1005.98,28.61,126108,baselineTransition
1,0,3,250,150,31.30,1024.97,31.67,64777,baselineTransition
7,0,3,250,150,31.47,1059.11,35.24,48558,baselineTransition
7,1,0,100,200,31.66,1059.13,34.59,52762,baselineTransition
6,1,0,100,200,31.28,1104.70,38.46,44337,baselineTransition
2,1,0,100,200,30.76,1101.77,41.16,95970,baselineTransition
4,1,0,100,200,30.01,1098.84,39.13,97062,baselineTransition
3,1,0,100,200,30.65,1029.09,41.32,73860,baselineTransition
1,1,0,100,200,31.51,1024.99,31.18,94482,baselineTransition
5,1,0,100,200,30.84,1107.21,37.37,74766,baselineTransition
8,1,0,100,200,31.29,1005.96,27.84,40163,baselineTransition
