sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,200,28.64,1025.04,27.14,3145326,baselineTransition
2,0,0,100,200,27.84,1101.77,36.46,3495626,baselineTransition
3,0,0,100,200,27.81,1029.19,36.98,1552103,baselineTransition
4,0,0,100,200,27.14,1098.90,34.71,2345262,baselineTransition
5,0,0,100,200,27.62,1107.14,33.69,2022217,baselineTransition
6,0,0,100,200,28.02,1104.56,34.81,843666,baselineTransition
7,0,0,100,200,27.99,1059.18,31.65,1149916,baselineTransition
8,0,0,100,200,27.68,1006.03,25.24,1193126,baselineTransition
1,0,1,150,180,28.71,1025.05,27.14,792723,baselineTransition
2,0,1,150,180,27.91,1101.77,36.50,853156,baselineTransition
3,0,1,150,180,27.88,1029.20,37.04,424984,baselineTransition
4,0,1,150,180,27.21,1098.90,34.67,643823,baselineTransition
6,0,1,150,180,28.09,1104.57,34.82,245505,baselineTransition
7,0,1,150,180,28.06,1059.18,31.68,326531,baselineTransition
5,0,1,150,180,27.68,1107.14,33.68,534029,baselineTransition
8,0,1,150,180,27.75,1006.05,25.24,346063,baselineTransition
2,0,2,200,160,27.99,1101.78,36.43,252777,baselineTransition
1,0,2,200,160,28.78,1025.05,27.09,253717,baselineTransition
3,0,2,200,160,27.96,1029.21,36.89,141828,baselineTransition
4,0,2,200,160,27.29,1098.89,34.62,210526,baselineTransition
6,0,2,200,160,28.17,1104.58,34.80,79726,baselineTransition
7,0,2,200,160,28.15,1059.19,31.70,108890,baselineTransition
5,0,2,200,160,27.74,1107.15,33.67,173383,baselineTransition
8,0,2,200,160,27.82,1006.05,25.22,111888,baselineTransition
7,1,0,100,200,28.41,1059.21,31.44,61642,baselineTransition
6,1,0,100,200,28.40,1104.60,34.54,51395,baselineTransition
2,1,0,100,200,28.18,1101.79,36.01,138043,baselineTransition
4,1,0,100,200,27.52,1098.90,34.31,133926,baselineTransition
3,1,0,100,200,28.18,1029.19,36.54,100847,baselineTransition
5,1,0,100,200,27.94,1107.16,33.42,111523,baselineTransition
8,1,0,100,200,28.06,1006.04,24.93,52991,baselineTransition
7,1,1,150,180,28.46,1059.21,31.42,32096,baselineTransition
6,1,1,150,180,28.44,1104.61,34.55,27292,baselineTransition
2,1,1,150,180,28.21,1101.78,35.99,61156,baselineTransition
4,1,1,150,180,27.56,1098.90,34.27,61025,baselineTransition
3,1,1,150,180,28.22,1029.20,36.39,45665,baselineTransition
1,1,1,150,180,28.97,1025.05,26.59,70562,baselineTransition
5,1,1,150,180,27.97,1107.15,33.41,54445,baselineTransition
7,1,2,200,160,28.52,1059.22,31.31,19110,baselineTransition
8,1,1,150,180,28.10,1006.05,24.92,29623,baselineTransition
6,1,2,200,160,28.50,1104.62,34.41,16182,baselineTransition
2,1,2,200,160,28.24,1101.78,35.89,32636,baselineTransition
4,1,2,200,160,27.61,1098.90,34.21,33666,baselineTransition
3,1,2,200,160,28.27,1029.21,36.45,26316,baselineTransition
1,1,2,200,160,29.00,1025.04,26.64,37847,baselineTransition
7,1,3,250,150,28.58,1059.21,31.28,12160,baselineTransition
5,1,2,200,160,28.02,1107.16,33.29,31342,baselineTransition
6,1,3,250,150,28.55,1104.62,34.36,10069,baselineTransition
8,1,2,200,160,28.16,1006.06,24.86,17773,baselineTransition
4,1,3,250,150,27.66,1098.91,34.14,20506,baselineTransition
3,1,3,250,150,28.32,1029.21,36.39,16097,baselineTransition
1,1,3,250,150,29.03,1025.04,26.59,22857,baselineTransition
7,1,4,300,150,28.63,1059.21,31.23,7661,baselineTransition
6,1,4,300,150,28.60,1104.64,34.29,6456,baselineTransition
5,1,3,250,150,28.07,1107.16,33.31,18059,baselineTransition
2,1,4,300,150,28.31,1101.79,35.81,11590,baselineTransition
8,1,3,250,150,28.21,1006.06,24.79,10738,baselineTransition
4,1,4,300,150,27.70,1098.91,34.05,13117,baselineTransition
3,1,4,300,150,28.37,1029.21,36.31,10293,baselineTransition
1,1,4,300,150,29.06,1025.05,26.50,13126,baselineTransition
7,1,5,325,140,28.69,1059.21,31.16,6108,baselineTransition
6,1,5,325,140,28.66,1104.64,34.23,5685,baselineTransition
2,1,5,325,140,28.34,1101.78,35.81,8614,baselineTransition
4,1,5,325,140,27.75,1098.92,34.08,10146,baselineTransition
8,1,4,300,150,28.27,1006.06,24.76,6599,baselineTransition
3,1,5,325,140,28.42,1029.22,36.24,8351,baselineTransition
1,1,5,325,140,29.09,1025.04,26.43,9901,baselineTransition
7,1,6,350,140,28.73,1059.21,31.03,6042,baselineTransition
6,1,6,350,140,28.70,1104.65,34.10,5685,baselineTransition
2,1,6,350,140,28.38,1101.78,35.72,7744,baselineTransition
4,1,6,350,140,27.79,1098.92,34.04,9209,baselineTransition
5,1,5,325,140,28.16,1107.16,33.26,7946,baselineTransition
8,1,5,325,140,28.32,1006.07,24.70,5685,baselineTransition
3,1,6,350,140,28.46,1029.22,36.19,8184,baselineTransition
1,1,6,350,140,29.12,1025.06,26.35,8663,baselineTransition
7,1,7,380,140,28.78,1059.20,31.15,7830,baselineTransition
6,1,7,380,140,28.75,1104.66,34.20,6947,baselineTransition
2,1,7,380,140,28.41,1101.78,35.56,9529,baselineTransition
4,1,7,380,140,27.83,1098.92,33.99,11392,baselineTransition
5,1,6,350,140,28.20,1107.17,33.07,7334,baselineTransition
8,1,6,350,140,28.37,1006.07,24.56,5685,baselineTransition
3,1,7,380,140,28.50,1029.22,36.12,11248,baselineTransition
1,1,7,380,140,29.15,1025.06,26.37,10454,baselineTransition
7,1,8,415,140,28.82,1059.21,30.98,13037,baselineTransition
6,1,8,415,140,28.78,1104.66,34.08,11380,baselineTransition
2,1,8,415,140,28.44,1101.78,35.62,15591,baselineTransition
4,1,8,415,140,27.86,1098.92,33.80,18074,baselineTransition
5,1,7,380,140,28.23,1107.17,33.08,9217,baselineTransition
3,1,8,415,140,28.53,1029.22,36.10,19602,baselineTransition
8,1,7,380,140,28.41,1006.06,24.55,6168,baselineTransition
1,1,8,415,140,29.18,1025.06,26.35,16457,baselineTransition
7,1,9,450,140,28.86,1059.21,30.95,20506,baselineTransition
6,1,9,450,140,28.82,1104.66,34.03,18643,baselineTransition
2,1,9,450,140,28.46,1101.77,35.56,24816,baselineTransition
4,1,9,450,140,27.90,1098.94,33.78,28138,baselineTransition
3,1,9,450,140,28.56,1029.22,36.04,30425,baselineTransition
5,1,8,415,140,28.27,1107.17,33.02,15388,baselineTransition
8,1,8,415,140,28.46,1006.07,24.53,9984,baselineTransition
1,1,9,450,140,29.21,1025.07,26.30,25301,baselineTransition
7,2,0,100,200,28.89,1059.22,30.95,1043567,baselineTransition
6,2,0,100,200,28.85,1104.67,34.05,957905,baselineTransition
2,2,0,100,200,28.49,1101.77,35.45,1587289,baselineTransition
4,2,0,100,200,27.93,1098.93,33.73,1857175,baselineTransition
5,1,9,450,140,28.30,1107.18,32.96,24418,baselineTransition
3,2,0,100,200,28.59,1029.22,35.97,2563204,baselineTransition
8,1,9,450,140,28.50,1006.08,24.50,16457,baselineTransition
1,2,0,100,200,29.23,1025.07,26.27,1175660,baselineTransition
7,2,1,150,180,28.89,1059.22,30.84,321003,baselineTransition
6,2,1,150,180,28.84,1104.67,33.92,291904,baselineTransition
2,2,1,150,180,28.49,1101.78,35.44,442619,baselineTransition
4,2,1,150,180,27.92,1098.94,33.71,521783,baselineTransition
