sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,200,32.24,1025.43,31.73,3742348,baselineTransition
2,0,0,100,200,33.02,1102.27,39.51,9972002,baselineTransition
3,0,0,100,200,32.55,1029.47,40.05,20428928,baselineTransition
5,0,0,100,200,32.87,1107.76,36.68,5443190,baselineTransition
6,0,0,100,200,33.32,1105.22,37.80,2919458,baselineTransition
8,0,0,100,200,32.92,1006.39,27.83,2226692,baselineTransition
1,0,1,150,180,32.31,1025.42,31.78,966038,baselineTransition
2,0,1,150,180,32.83,1102.27,39.48,2250550,baselineTransition
3,0,1,150,180,32.45,1029.48,40.07,3991230,baselineTransition
4,0,1,150,180,31.85,1099.33,37.50,2632391,baselineTransition
6,0,1,150,180,33.14,1105.21,37.70,757116,baselineTransition
7,0,1,150,180,32.66,1059.56,34.16,2470446,baselineTransition
5,0,1,150,180,32.68,1107.76,36.59,1339438,baselineTransition
8,0,1,150,180,32.79,1006.39,27.80,694237,baselineTransition
2,0,2,200,160,32.65,1102.25,39.49,697073,baselineTransition
1,0,2,200,160,32.38,1025.42,31.78,305489,baselineTransition
3,0,2,200,160,32.35,1029.47,40.19,1114255,baselineTransition
4,0,2,200,160,31.75,1099.32,37.50,805348,baselineTransition
6,0,2,200,160,32.97,1105.20,37.76,269971,baselineTransition
7,0,2,200,160,32.63,1059.56,34.28,729085,baselineTransition
5,0,2,200,160,32.50,1107.74,36.58,505554,baselineTransition
8,0,2,200,160,32.66,1006.40,27.84,253528,baselineTransition
1,0,3,250,150,32.43,1025.43,31.75,122929,baselineTransition
7,1,0,100,200,32.40,1059.57,34.54,842105,baselineTransition
6,1,0,100,200,32.25,1105.14,37.92,541226,baselineTransition
2,1,0,100,200,31.96,1102.24,39.58,1613551,baselineTransition
4,1,0,100,200,31.28,1099.32,37.68,1923908,baselineTransition
3,1,0,100,200,31.87,1029.48,40.43,1750053,baselineTransition
1,1,0,100,200,32.49,1025.41,31.13,272776,baselineTransition
5,1,0,100,200,31.78,1107.71,36.80,1063068,baselineTransition
8,1,0,100,200,32.11,1006.37,27.84,465878,baselineTransition
7,1,1,150,180,32.41,1059.56,34.67,283892,baselineTransition
6,1,1,150,180,32.25,1105.14,37.93,187271,baselineTransition
2,1,1,150,180,31.96,1102.24,39.44,465560,baselineTransition
4,1,1,150,180,31.28,1099.30,37.70,558952,baselineTransition
3,1,1,150,180,31.88,1029.48,40.32,473636,baselineTransition
1,1,1,150,180,32.52,1025.42,31.06,114133,baselineTransition
5,1,1,150,180,31.77,1107.71,36.79,347119,baselineTransition
7,1,2,200,160,32.44,1059.57,34.51,119070,baselineTransition
8,1,1,150,180,32.11,1006.37,27.92,177347,baselineTransition
6,1,2,200,160,32.26,1105.14,37.90,80859,baselineTransition
2,1,2,200,160,31.97,1102.25,39.62,170100,baselineTransition
4,1,2,200,160,31.30,1099.29,37.78,208342,baselineTransition
3,1,2,200,160,31.90,1029.47,40.31,177347,baselineTransition
7,1,3,250,150,32.48,1059.56,34.50,60938,baselineTransition
5,1,2,200,160,31.79,1107.71,36.79,144715,baselineTransition
6,1,3,250,150,32.29,1105.14,37.90,42867,baselineTransition
8,1,2,200,160,32.12,1006.37,27.92,78192,baselineTransition
2,1,3,250,150,32.00,1102.24,39.58,82661,baselineTransition
4,1,3,250,150,31.33,1099.29,37.65,101206,baselineTransition
3,1,3,250,150,31.93,1029.48,40.40,83469,baselineTransition
1,1,3,250,150,32.60,1025.42,30.91,32340,baselineTransition
7,1,4,300,150,32.52,1059.56,34.49,37220,baselineTransition
5,1,3,250,150,31.81,1107.70,36.82,72419,baselineTransition
6,1,4,300,150,32.32,1105.15,37.90,28082,baselineTransition
2,1,4,300,150,32.02,1102.24,39.58,51769,baselineTransition
8,1,3,250,150,32.15,1006.37,27.96,40934,baselineTransition
4,1,4,300,150,31.35,1099.29,37.65,59493,baselineTransition
3,1,4,300,150,31.96,1029.47,40.28,51488,baselineTransition
1,1,4,300,150,32.64,1025.42,30.84,18561,baselineTransition
7,1,5,325,140,32.57,1059.57,34.47,31250,baselineTransition
6,1,5,325,140,32.36,1105.17,37.87,25636,baselineTransition
2,1,5,325,140,32.05,1102.24,39.41,42147,baselineTransition
5,1,4,300,150,31.84,1107.70,36.76,44475,baselineTransition
4,1,5,325,140,31.38,1099.28,37.58,48393,baselineTransition
8,1,4,300,150,32.18,1006.37,28.06,27844,baselineTransition
3,1,5,325,140,31.99,1029.47,40.27,42272,baselineTransition
1,1,5,325,140,32.67,1025.43,30.83,14460,baselineTransition
7,1,6,350,140,32.61,1059.57,34.44,30933,baselineTransition
6,1,6,350,140,32.39,1105.16,37.91,26219,baselineTransition
2,1,6,350,140,32.07,1102.25,39.30,39715,baselineTransition
4,1,6,350,140,31.41,1099.28,37.52,44062,baselineTransition
5,1,5,325,140,31.87,1107.70,36.76,37318,baselineTransition
8,1,5,325,140,32.21,1006.38,28.01,24307,baselineTransition
3,1,6,350,140,32.02,1029.47,40.30,41899,baselineTransition
1,1,6,350,140,32.70,1025.44,30.75,12857,baselineTransition
7,1,7,380,140,32.64,1059.56,34.43,36364,baselineTransition
6,1,7,380,140,32.42,1105.17,37.89,31574,baselineTransition
2,1,7,380,140,32.09,1102.24,39.46,45039,baselineTransition
4,1,7,380,140,31.43,1099.28,37.54,50784,baselineTransition
5,1,6,350,140,31.90,1107.70,36.64,36708,baselineTransition
8,1,6,350,140,32.25,1006.38,28.02,24559,baselineTransition
3,1,7,380,140,32.04,1029.47,40.27,51769,baselineTransition
1,1,7,380,140,32.72,1025.43,30.70,15444,baselineTransition
7,1,8,415,140,32.67,1059.57,34.40,48229,baselineTransition
6,1,8,415,140,32.44,1105.18,37.75,41612,baselineTransition
2,1,8,415,140,32.11,1102.24,39.44,56952,baselineTransition
4,1,8,415,140,31.45,1099.27,37.52,61598,baselineTransition
5,1,7,380,140,31.92,1107.70,36.69,42610,baselineTransition
3,1,8,415,140,32.06,1029.46,40.20,66133,baselineTransition
8,1,7,380,140,32.28,1006.39,28.08,29623,baselineTransition
1,1,8,415,140,32.75,1025.44,30.75,22567,baselineTransition
7,1,9,450,140,32.70,1059.57,34.36,60038,baselineTransition
6,1,9,450,140,32.47,1105.18,37.88,52599,baselineTransition
2,1,9,450,140,32.12,1102.25,39.52,69189,baselineTransition
4,1,9,450,140,31.47,1099.28,37.66,75228,baselineTransition
5,1,8,415,140,31.95,1107.70,36.81,57105,baselineTransition
3,1,9,450,140,32.08,1029.46,40.25,78697,baselineTransition
8,1,8,415,140,32.30,1006.39,27.94,39641,baselineTransition
1,1,9,450,140,32.77,1025.44,30.66,32737,baselineTransition
7,2,0,100,200,32.73,1059.58,34.33,8198149,baselineTransition
6,2,0,100,200,32.49,1105.18,37.88,6881143,baselineTransition
2,2,0,100,200,32.14,1102.25,39.45,11303208,baselineTransition
4,2,0,100,200,31.49,1099.27,37.43,12713094,baselineTransition
5,1,9,450,140,31.97,1107.70,36.67,70973,baselineTransition
8,1,9,450,140,32.33,1006.39,27.88,50483,baselineTransition
3,2,0,100,200,32.10,1029.46,40.25,16237859,baselineTransition
1,2,0,100,200,32.79,1025.43,30.61,1907778,baselineTransition
7,2,1,150,180,32.72,1059.58,34.26,1726813,baselineTransition
6,2,1,150,180,32.48,1105.18,37.86,1396999,baselineTransition
2,2,1,150,180,32.13,1102.25,39.35,2173521,baselineTransition
3,2,1,150,180,32.09,1029.46,40.22,2743470,baselineTransition
5,2,0,100,200,31.99,1107.71,36.62,9301164,baselineTransition
8,2,0,100,200,32.35,1006.40,27.90,5895646,baselineTransition
