sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,200,32.42,1026.21,32.26,1604073,baselineTransition
2,0,0,100,200,33.23,1103.02,39.71,26980650,baselineTransition
4,0,0,100,200,32.57,1100.18,37.69,33807584,baselineTransition
5,0,0,100,200,32.12,1108.52,37.00,3370500,baselineTransition
6,0,0,100,200,33.01,1106.04,38.41,3438405,baselineTransition
7,0,0,100,200,32.82,1060.39,34.85,2441729,baselineTransition
8,0,0,100,200,31.53,1007.21,30.37,921692,baselineTransition
1,0,1,150,180,32.49,1026.22,32.09,472325,baselineTransition
2,0,1,150,180,33.07,1103.04,39.54,4333245,baselineTransition
6,0,1,150,180,32.88,1106.04,38.27,889275,baselineTransition
7,0,1,150,180,32.76,1060.39,34.77,609887,baselineTransition
5,0,1,150,180,32.09,1108.52,36.93,942042,baselineTransition
8,0,1,150,180,31.60,1007.22,30.21,298542,baselineTransition
2,0,2,200,160,32.90,1103.06,39.35,1119738,baselineTransition
1,0,2,200,160,32.56,1026.23,31.85,162025,baselineTransition
3,0,2,200,160,32.84,1030.31,40.32,1093725,baselineTransition
4,0,2,200,160,32.25,1100.19,37.39,1665718,baselineTransition
6,0,2,200,160,32.76,1106.03,38.15,313054,baselineTransition
7,0,2,200,160,32.71,1060.38,34.54,231989,baselineTransition
5,0,2,200,160,32.05,1108.52,36.80,380882,baselineTransition
8,0,2,200,160,31.68,1007.22,30.04,101628,baselineTransition
1,0,3,250,150,32.63,1026.24,31.57,63761,baselineTransition
7,0,3,250,150,32.65,1060.39,34.66,102915,baselineTransition
7,1,0,100,200,32.32,1060.37,34.64,423403,baselineTransition
6,1,0,100,200,32.17,1105.97,38.19,526614,baselineTransition
2,1,0,100,200,32.20,1103.06,39.11,1743350,baselineTransition
4,1,0,100,200,31.54,1100.16,37.29,2673629,baselineTransition
3,1,0,100,200,32.08,1030.32,40.13,1640697,baselineTransition
1,1,0,100,200,32.72,1026.25,30.73,77906,baselineTransition
5,1,0,100,200,31.72,1108.49,36.96,817402,baselineTransition
8,1,0,100,200,31.81,1007.20,29.12,24658,baselineTransition
7,1,1,150,180,32.30,1060.37,34.73,157538,baselineTransition
6,1,1,150,180,32.14,1105.96,38.11,187271,baselineTransition
2,1,1,150,180,32.17,1103.05,39.24,508946,baselineTransition
4,1,1,150,180,31.51,1100.16,37.38,776493,baselineTransition
3,1,1,150,180,32.05,1030.31,40.19,473964,baselineTransition
1,1,1,150,180,32.72,1026.25,30.65,40353,baselineTransition
5,1,1,150,180,31.71,1108.49,36.97,285794,baselineTransition
8,1,1,150,180,31.83,1007.20,29.08,15659,baselineTransition
7,1,2,200,160,32.32,1060.36,34.72,72727,baselineTransition
6,1,2,200,160,32.15,1105.96,38.31,81477,baselineTransition
3,1,2,200,160,32.05,1030.31,40.37,179586,baselineTransition
1,1,2,200,160,32.73,1026.25,30.96,24047,baselineTransition
7,1,3,250,150,32.34,1060.37,34.70,39789,baselineTransition
5,1,2,200,160,31.71,1108.50,37.02,126202,baselineTransition
8,1,2,200,160,31.85,1007.21,29.02,10022,baselineTransition
6,1,3,250,150,32.17,1105.96,38.29,43434,baselineTransition
2,1,3,250,150,32.17,1103.06,39.94,87491,baselineTransition
4,1,3,250,150,31.50,1100.15,37.91,125922,baselineTransition
3,1,3,250,150,32.05,1030.32,40.48,83633,baselineTransition
1,1,3,250,150,32.74,1026.26,31.16,14905,baselineTransition
7,1,4,300,150,32.36,1060.37,34.88,27345,baselineTransition
5,1,3,250,150,31.73,1108.51,37.22,63429,baselineTransition
6,1,4,300,150,32.18,1105.97,38.39,29018,baselineTransition
2,1,4,300,150,32.18,1103.07,40.24,54065,baselineTransition
8,1,3,250,150,31.88,1007.21,29.05,6237,baselineTransition
4,1,4,300,150,31.51,1100.15,38.11,69755,baselineTransition
3,1,4,300,150,32.06,1030.32,40.73,50874,baselineTransition
1,1,4,300,150,32.75,1026.26,31.38,8351,baselineTransition
7,1,5,325,140,32.38,1060.37,35.09,25123,baselineTransition
6,1,5,325,140,32.21,1105.98,38.55,26512,baselineTransition
2,1,5,325,140,32.19,1103.07,40.39,43971,baselineTransition
5,1,4,300,150,31.75,1108.52,37.36,39975,baselineTransition
4,1,5,325,140,31.52,1100.16,38.45,55327,baselineTransition
