sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,200,30.68,1027.59,35.08,1456615,baselineTransition
2,0,0,100,200,29.93,1104.51,45.00,1453513,baselineTransition
3,0,0,100,200,29.92,1031.75,45.41,2020720,baselineTransition
4,0,0,100,200,29.28,1101.54,42.75,1122499,baselineTransition
6,0,0,100,200,31.24,1107.36,41.01,1399863,baselineTransition
7,0,0,100,200,31.86,1061.79,36.63,1885386,baselineTransition
8,0,0,100,200,31.59,1008.62,29.87,1505882,baselineTransition
1,0,1,150,180,30.75,1027.59,34.95,420016,baselineTransition
2,0,1,150,180,30.00,1104.50,44.89,406269,baselineTransition
3,0,1,150,180,29.99,1031.75,45.28,515869,baselineTransition
4,0,1,150,180,29.36,1101.55,42.63,335848,baselineTransition
6,0,1,150,180,31.32,1107.37,40.96,399376,baselineTransition
5,0,1,150,180,30.95,1109.91,39.52,386488,baselineTransition
7,0,1,150,180,31.94,1061.79,36.56,489250,baselineTransition
8,0,1,150,180,31.66,1008.63,29.80,437513,baselineTransition
2,0,2,200,160,30.08,1104.49,44.77,126202,baselineTransition
1,0,2,200,160,30.82,1027.60,34.87,134454,baselineTransition
3,0,2,200,160,30.08,1031.75,45.09,164842,baselineTransition
4,0,2,200,160,29.44,1101.55,42.51,120840,baselineTransition
6,0,2,200,160,31.40,1107.36,40.76,115056,baselineTransition
7,0,2,200,160,32.03,1061.80,36.40,142539,baselineTransition
5,0,2,200,160,31.03,1109.91,39.36,133091,baselineTransition
8,0,2,200,160,31.74,1008.63,29.68,125829,baselineTransition
1,0,3,250,150,30.88,1027.61,34.70,51675,baselineTransition
7,0,3,250,150,32.10,1061.81,36.13,45519,baselineTransition
7,1,0,100,200,32.30,1061.81,35.58,32487,baselineTransition
2,1,0,100,200,30.39,1104.49,43.71,53793,baselineTransition
6,1,0,100,200,31.69,1107.39,39.82,29480,baselineTransition
4,1,0,100,200,29.78,1101.57,41.35,58675,baselineTransition
3,1,0,100,200,30.39,1031.78,44.02,48338,baselineTransition
1,1,0,100,200,31.10,1027.64,33.86,53691,baselineTransition
5,1,0,100,200,31.30,1109.91,38.41,46159,baselineTransition
8,1,0,100,200,31.98,1008.60,28.88,26512,baselineTransition
7,1,1,150,180,32.34,1061.81,35.46,19179,baselineTransition
6,1,1,150,180,31.74,1107.38,39.68,17482,baselineTransition
2,1,1,150,180,30.44,1104.48,43.64,28046,baselineTransition
4,1,1,150,180,29.83,1101.58,41.04,31342,baselineTransition
3,1,1,150,180,30.44,1031.78,43.87,25760,baselineTransition
1,1,1,150,180,31.15,1027.64,33.87,30253,baselineTransition
5,1,1,150,180,31.35,1109.90,38.31,26896,baselineTransition
7,1,2,200,160,32.40,1061.81,35.33,12322,baselineTransition
8,1,1,150,180,32.02,1008.60,28.68,16807,baselineTransition
6,1,2,200,160,31.81,1107.39,39.53,10925,baselineTransition
2,1,2,200,160,30.51,1104.48,43.38,17048,baselineTransition
4,1,2,200,160,29.89,1101.57,41.06,18807,baselineTransition
3,1,2,200,160,30.51,1031.77,43.73,16158,baselineTransition
1,1,2,200,160,31.21,1027.65,33.61,18594,baselineTransition
5,1,2,200,160,31.40,1109.91,38.18,16927,baselineTransition
7,1,3,250,150,32.45,1061.81,35.22,7830,baselineTransition
6,1,3,250,150,31.87,1107.39,39.41,6929,baselineTransition
8,1,2,200,160,32.07,1008.61,28.62,10859,baselineTransition
2,1,3,250,150,30.57,1104.50,43.23,10695,baselineTransition
4,1,3,250,150,29.96,1101.57,40.94,12480,baselineTransition
3,1,3,250,150,30.57,1031.79,43.51,10127,baselineTransition
1,1,3,250,150,31.27,1027.65,33.46,11603,baselineTransition
7,1,4,300,150,32.50,1061.81,35.11,5685,baselineTransition
5,1,3,250,150,31.46,1109.91,38.06,9910,baselineTransition
6,1,4,300,150,31.93,1107.40,39.26,5685,baselineTransition
8,1,3,250,150,32.11,1008.60,28.49,6539,baselineTransition
2,1,4,300,150,30.63,1104.50,43.04,6603,baselineTransition
4,1,4,300,150,30.02,1101.56,40.78,7818,baselineTransition
3,1,4,300,150,30.63,1031.78,43.37,6218,baselineTransition
1,1,4,300,150,31.33,1027.65,33.24,6555,baselineTransition
7,1,5,325,140,32.55,1061.83,34.99,5685,baselineTransition
6,1,5,325,140,31.99,1107.40,39.13,5685,baselineTransition
2,1,5,325,140,30.69,1104.50,42.79,5685,baselineTransition
5,1,4,300,150,31.52,1109.92,37.88,5685,baselineTransition
4,1,5,325,140,30.08,1101.56,40.67,6150,baselineTransition
8,1,4,300,150,32.16,1008.61,28.39,5685,baselineTransition
3,1,5,325,140,30.70,1031.78,43.26,5685,baselineTransition
1,1,5,325,140,31.38,1027.64,33.16,5685,baselineTransition
7,1,6,350,140,32.60,1061.83,34.78,5685,baselineTransition
6,1,6,350,140,32.04,1107.41,38.99,5685,baselineTransition
2,1,6,350,140,30.75,1104.50,42.61,5685,baselineTransition
4,1,6,350,140,30.14,1101.57,40.36,5685,baselineTransition
5,1,5,325,140,31.58,1109.94,37.76,5685,baselineTransition
8,1,5,325,140,32.22,1008.62,28.24,5685,baselineTransition
