sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
2,0,0,100,200,30.81,1101.38,38.53,1269684,baselineTransition
3,0,0,100,200,30.70,1028.74,39.12,1227450,baselineTransition
4,0,0,100,200,29.98,1098.51,36.92,656200,baselineTransition
5,0,0,100,200,30.34,1106.87,36.28,1201525,baselineTransition
6,0,0,100,200,30.81,1104.29,37.29,830326,baselineTransition
7,0,0,100,200,30.83,1058.80,34.14,1228554,baselineTransition
8,0,0,100,200,30.62,1005.63,27.35,1286432,baselineTransition
1,0,1,150,180,31.74,1024.68,28.80,476279,baselineTransition
2,0,1,150,180,30.89,1101.39,38.50,359172,baselineTransition
3,0,1,150,180,30.77,1028.75,39.07,339523,baselineTransition
4,0,1,150,180,30.05,1098.51,36.91,214630,baselineTransition
5,0,1,150,180,30.41,1106.87,36.29,357292,baselineTransition
7,0,1,150,180,30.91,1058.80,34.19,324667,baselineTransition
8,0,1,150,180,30.69,1005.64,27.27,401490,baselineTransition
2,0,2,200,160,30.97,1101.41,38.44,119320,baselineTransition
1,0,2,200,160,31.81,1024.68,28.73,159900,baselineTransition
3,0,2,200,160,30.86,1028.76,38.97,118409,baselineTransition
4,0,2,200,160,30.14,1098.53,36.81,81477,baselineTransition
6,0,2,200,160,30.98,1104.31,37.18,80630,baselineTransition
7,0,2,200,160,31.00,1058.81,34.13,105458,baselineTransition
5,0,2,200,160,30.49,1106.87,36.17,132061,baselineTransition
8,0,2,200,160,30.77,1005.64,27.21,120840,baselineTransition
1,0,3,250,150,31.87,1024.67,28.71,61069,baselineTransition
7,0,3,250,150,31.07,1058.81,34.02,37026,baselineTransition
7,1,0,100,200,31.33,1058.78,33.80,31342,baselineTransition
6,1,0,100,200,31.29,1104.34,36.64,29602,baselineTransition
2,1,0,100,200,31.21,1101.44,38.21,54306,baselineTransition
4,1,0,100,200,30.43,1098.51,36.40,56612,baselineTransition
1,1,0,100,200,32.02,1024.65,28.36,65878,baselineTransition
5,1,0,100,200,30.77,1106.86,35.93,57567,baselineTransition
8,1,0,100,200,31.09,1005.62,26.86,26981,baselineTransition
6,1,1,150,180,31.34,1104.34,36.71,17339,baselineTransition
2,1,1,150,180,31.25,1101.43,38.07,28194,baselineTransition
4,1,1,150,180,30.48,1098.51,36.35,29809,baselineTransition
3,1,1,150,180,31.18,1028.75,38.53,25698,baselineTransition
1,1,1,150,180,32.05,1024.65,28.46,35369,baselineTransition
5,1,1,150,180,30.82,1106.87,35.77,31434,baselineTransition
8,1,1,150,180,31.14,1005.62,26.82,17144,baselineTransition
7,1,2,200,160,31.45,1058.78,33.64,11976,baselineTransition
6,1,2,200,160,31.40,1104.34,36.72,10892,baselineTransition
2,1,2,200,160,31.30,1101.44,37.90,17062,baselineTransition
3,1,2,200,160,31.24,1028.74,38.47,15905,baselineTransition
1,1,2,200,160,32.10,1024.66,28.33,21199,baselineTransition
7,1,3,250,150,31.51,1058.79,33.53,7667,baselineTransition
5,1,2,200,160,30.88,1106.86,35.72,19318,baselineTransition
6,1,3,250,150,31.46,1104.32,36.65,7002,baselineTransition
2,1,3,250,150,31.35,1101.43,37.90,10579,baselineTransition
4,1,3,250,150,30.59,1098.51,36.31,11679,baselineTransition
3,1,3,250,150,31.30,1028.74,38.29,9966,baselineTransition
1,1,3,250,150,32.14,1024.66,28.30,13406,baselineTransition
7,1,4,300,150,31.57,1058.79,33.49,5685,baselineTransition
5,1,3,250,150,30.93,1106.87,35.65,11272,baselineTransition
6,1,4,300,150,31.52,1104.33,36.59,5685,baselineTransition
8,1,3,250,150,31.26,1005.62,26.74,6690,baselineTransition
2,1,4,300,150,31.40,1101.44,37.85,6559,baselineTransition
4,1,4,300,150,30.64,1098.51,36.19,7870,baselineTransition
3,1,4,300,150,31.35,1028.74,38.34,6448,baselineTransition
1,1,4,300,150,32.19,1024.67,28.21,7537,baselineTransition
7,1,5,325,140,31.63,1058.80,33.42,5685,baselineTransition
6,1,5,325,140,31.58,1104.33,36.45,5685,baselineTransition
2,1,5,325,140,31.45,1101.44,37.81,5685,baselineTransition
5,1,4,300,150,30.99,1106.86,35.59,6624,baselineTransition
4,1,5,325,140,30.70,1098.50,36.09,6409,baselineTransition
8,1,4,300,150,31.31,1005.62,26.73,5685,baselineTransition
3,1,5,325,140,31.41,1028.72,38.29,5685,baselineTransition
1,1,5,325,140,32.24,1024.67,28.21,5703,baselineTransition
7,1,6,350,140,31.69,1058.81,33.38,5685,baselineTransition
6,1,6,350,140,31.64,1104.34,36.41,5685,baselineTransition
2,1,6,350,140,31.50,1101.44,37.70,5685,baselineTransition
4,1,6,350,140,30.74,1098.49,36.06,5765,baselineTransition
5,1,5,325,140,31.04,1106.87,35.55,5685,baselineTransition
8,1,5,325,140,31.37,1005.61,26.59,5685,baselineTransition
3,1,6,350,140,31.45,1028.72,38.23,5685,baselineTransition
1,1,6,350,140,32.28,1024.66,28.05,5685,baselineTransition
7,1,7,380,140,31.74,1058.81,33.27,5685,baselineTransition
6,1,7,380,140,31.69,1104.35,36.32,5685,baselineTransition
2,1,7,380,140,31.54,1101.45,37.70,5685,baselineTransition
4,1,7,380,140,30.79,1098.49,35.99,6836,baselineTransition
5,1,6,350,140,31.09,1106.88,35.35,5685,baselineTransition
8,1,6,350,140,31.42,1005.61,26.53,5685,baselineTransition
3,1,7,380,140,31.50,1028.72,38.39,6259,baselineTransition
1,1,7,380,140,32.31,1024.67,28.07,5685,baselineTransition
7,1,8,415,140,31.78,1058.81,33.21,6780,baselineTransition
6,1,8,415,140,31.73,1104.36,36.29,6363,baselineTransition
2,1,8,415,140,31.59,1101.45,37.58,7859,baselineTransition
4,1,8,415,140,30.84,1098.48,35.89,10303,baselineTransition
5,1,7,380,140,31.14,1106.89,35.40,5685,baselineTransition
3,1,8,415,140,31.54,1028.72,38.13,10333,baselineTransition
8,1,7,380,140,31.47,1005.61,26.66,5685,baselineTransition
1,1,8,415,140,32.35,1024.68,27.89,8305,baselineTransition
7,1,9,450,140,31.82,1058.80,33.15,10495,baselineTransition
6,1,9,450,140,31.77,1104.36,36.32,10041,baselineTransition
2,1,9,450,140,31.62,1101.46,37.55,12688,baselineTransition
4,1,9,450,140,30.88,1098.49,35.92,16728,baselineTransition
5,1,8,415,140,31.18,1106.89,35.34,8042,baselineTransition
3,1,9,450,140,31.58,1028.72,38.06,17241,baselineTransition
8,1,8,415,140,31.51,1005.62,26.46,5685,baselineTransition
1,1,9,450,140,32.38,1024.69,27.96,12935,baselineTransition
7,2,0,100,200,31.86,1058.80,33.13,282016,baselineTransition
6,2,0,100,200,31.80,1104.36,36.17,288695,baselineTransition
2,2,0,100,200,31.65,1101.45,37.49,418985,baselineTransition
5,1,9,450,140,31.22,1106.89,35.29,12966,baselineTransition
3,2,0,100,200,31.61,1028.71,38.07,831338,baselineTransition
8,1,9,450,140,31.56,1005.62,26.38,8351,baselineTransition
1,2,0,100,200,32.40,1024.69,27.84,326843,baselineTransition
7,2,1,150,180,31.88,1058.80,33.05,106778,baselineTransition
6,2,1,150,180,31.81,1104.37,36.08,105458,baselineTransition
2,2,1,150,180,31.65,1101.44,37.43,138942,baselineTransition
4,2,1,150,180,30.92,1098.50,35.85,200981,baselineTransition
3,2,1,150,180,31.61,1028.70,37.94,231832,baselineTransition
5,2,0,100,200,31.26,1106.88,35.19,430886,baselineTransition
8,2,0,100,200,31.61,1005.63,26.33,189384,baselineTransition
1,2,1,150,180,32.40,1024.69,27.84,125644,baselineTransition
7,2,2,200,160,31.89,1058.81,32.97,49893,baselineTransition
6,2,2,200,160,31.82,1104.36,35.98,47717,baselineTransition
2,2,2,200,160,31.65,1101.44,37.44,61687,baselineTransition
4,2,2,200,160,30.93,1098.49,35.72,85135,baselineTransition
5,2,1,150,180,31.27,1106.88,35.15,149271,baselineTransition
8,2,1,150,180,31.63,1005.63,26.38,79429,baselineTransition
1,2,2,200,160,32.40,1024.68,27.96,59827,baselineTransition
7,2,3,250,150,31.92,1058.81,32.95,27450,baselineTransition
6,2,3,250,150,31.84,1104.36,36.02,25995,baselineTransition
2,2,3,250,150,31.66,1101.46,37.33,33221,baselineTransition
4,2,3,250,150,30.94,1098.49,35.69,44153,baselineTransition
3,2,3,250,150,31.63,1028.71,37.84,45326,baselineTransition
5,2,2,200,160,31.28,1106.90,35.08,68966,baselineTransition
8,2,2,200,160,31.65,1005.63,26.17,37982,baselineTransition
1,2,3,250,150,32.41,1024.68,27.81,34097,baselineTransition
7,2,4,300,150,31.94,1058.81,32.92,17803,baselineTransition
6,2,4,300,150,31.86,1104.36,35.95,16572,baselineTransition
2,2,4,300,150,31.68,1101.46,37.27,21895,baselineTransition
4,2,4,300,150,30.95,1098.49,35.74,27664,baselineTransition
3,2,4,300,150,31.65,1028.72,37.74,28138,baselineTransition
7,2,5,325,140,31.97,1058.81,32.84,15671,baselineTransition
5,2,3,250,150,31.29,1106.90,35.01,35252,baselineTransition
1,2,4,300,150,32.42,1024.68,27.70,21895,baselineTransition
8,2,3,250,150,31.67,1005.63,26.04,21369,baselineTransition
6,2,5,325,140,31.88,1104.36,35.92,14999,baselineTransition
2,2,5,325,140,31.70,1101.47,37.27,19266,baselineTransition
4,2,5,325,140,30.98,1098.49,35.65,23726,baselineTransition
3,2,5,325,140,31.67,1028.72,37.90,24773,baselineTransition
7,2,6,350,140,32.00,1058.82,32.81,16024,baselineTransition
5,2,4,300,150,31.31,1106.91,35.26,22008,baselineTransition
1,2,5,325,140,32.44,1024.68,27.84,19584,baselineTransition
8,2,4,300,150,31.69,1005.62,26.15,14489,baselineTransition
6,2,6,350,140,31.90,1104.37,35.81,15455,baselineTransition
2,2,6,350,140,31.72,1101.48,37.18,19584,baselineTransition
4,2,6,350,140,31.00,1098.50,35.57,23699,baselineTransition
3,2,6,350,140,31.69,1028.73,37.81,25559,baselineTransition
7,2,7,380,140,32.02,1058.81,32.74,17670,baselineTransition
1,2,6,350,140,32.46,1024.67,27.79,19370,baselineTransition
5,2,5,325,140,31.33,1106.90,34.94,19231,baselineTransition
6,2,7,380,140,31.92,1104.37,35.84,17311,baselineTransition
8,2,5,325,140,31.72,1005.63,26.05,12681,baselineTransition
2,2,7,380,140,31.75,1101.48,36.99,21563,baselineTransition
4,2,7,380,140,31.02,1098.51,35.51,26661,baselineTransition
3,2,7,380,140,31.71,1028.73,37.66,29582,baselineTransition
7,2,8,415,140,32.05,1058.82,32.69,21369,baselineTransition
1,2,7,380,140,32.48,1024.67,27.68,21053,baselineTransition
