sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,200,30.78,1027.41,28.29,1973976,baselineTransition
2,0,0,100,200,30.04,1104.20,37.64,3313246,baselineTransition
3,0,0,100,200,29.95,1031.58,38.27,2632391,baselineTransition
4,0,0,100,200,29.34,1101.36,35.89,2022217,baselineTransition
7,0,0,100,200,31.39,1061.59,31.62,1711659,baselineTransition
8,0,0,100,200,31.02,1008.40,25.12,2472683,baselineTransition
1,0,1,150,180,30.85,1027.41,28.26,541656,baselineTransition
2,0,1,150,180,30.11,1104.22,37.61,752112,baselineTransition
3,0,1,150,180,30.02,1031.58,38.25,630154,baselineTransition
4,0,1,150,180,29.42,1101.36,35.85,546863,baselineTransition
6,0,1,150,180,30.87,1107.16,35.42,404344,baselineTransition
5,0,1,150,180,30.57,1109.69,34.21,460846,baselineTransition
7,0,1,150,180,31.46,1061.60,31.57,435004,baselineTransition
8,0,1,150,180,31.08,1008.40,25.13,667101,baselineTransition
2,0,2,200,160,30.20,1104.23,37.56,209621,baselineTransition
1,0,2,200,160,30.93,1027.42,28.17,162025,baselineTransition
3,0,2,200,160,30.11,1031.58,38.27,197493,baselineTransition
4,0,2,200,160,29.51,1101.38,35.87,170610,baselineTransition
6,0,2,200,160,30.96,1107.17,35.37,117029,baselineTransition
7,0,2,200,160,31.55,1061.60,31.47,128870,baselineTransition
5,0,2,200,160,30.64,1109.68,34.11,151659,baselineTransition
8,0,2,200,160,31.16,1008.40,25.04,171985,baselineTransition
1,0,3,250,150,31.00,1027.44,28.21,59452,baselineTransition
7,1,0,100,200,31.84,1061.64,31.24,39938,baselineTransition
6,1,0,100,200,31.26,1107.19,34.89,40050,baselineTransition
2,1,0,100,200,30.55,1104.29,37.03,75427,baselineTransition
4,1,0,100,200,29.84,1101.41,35.34,76854,baselineTransition
3,1,0,100,200,30.43,1031.60,37.68,66133,baselineTransition
1,1,0,100,200,31.24,1027.46,27.70,72357,baselineTransition
5,1,0,100,200,30.91,1109.69,33.63,63666,baselineTransition
8,1,0,100,200,31.42,1008.42,24.62,36395,baselineTransition
7,1,1,150,180,31.88,1061.64,31.03,22591,baselineTransition
6,1,1,150,180,31.31,1107.20,34.83,22122,baselineTransition
2,1,1,150,180,30.60,1104.29,37.00,36803,baselineTransition
4,1,1,150,180,29.89,1101.39,35.25,38847,baselineTransition
3,1,1,150,180,30.47,1031.60,37.60,33066,baselineTransition
1,1,1,150,180,31.29,1027.46,27.65,38152,baselineTransition
5,1,1,150,180,30.96,1109.71,33.64,34206,baselineTransition
7,1,2,200,160,31.93,1061.64,30.92,14276,baselineTransition
6,1,2,200,160,31.37,1107.21,34.78,13743,baselineTransition
4,1,2,200,160,29.95,1101.40,35.07,22496,baselineTransition
3,1,2,200,160,30.54,1031.60,37.52,19857,baselineTransition
1,1,2,200,160,31.34,1027.46,27.58,22615,baselineTransition
7,1,3,250,150,31.99,1061.64,30.92,8909,baselineTransition
5,1,2,200,160,31.01,1109.72,33.61,20827,baselineTransition
6,1,3,250,150,31.43,1107.20,34.71,8463,baselineTransition
8,1,2,200,160,31.53,1008.43,24.51,13787,baselineTransition
2,1,3,250,150,30.72,1104.31,36.85,13256,baselineTransition
4,1,3,250,150,30.01,1101.40,35.11,14519,baselineTransition
3,1,3,250,150,30.60,1031.60,37.45,12336,baselineTransition
1,1,3,250,150,31.40,1027.46,27.50,14324,baselineTransition
7,1,4,300,150,32.04,1061.64,30.84,5685,baselineTransition
5,1,3,250,150,31.07,1109.73,33.49,12272,baselineTransition
6,1,4,300,150,31.49,1107.21,34.65,5685,baselineTransition
2,1,4,300,150,30.77,1104.30,36.75,7813,baselineTransition
8,1,3,250,150,31.59,1008.44,24.46,8091,baselineTransition
4,1,4,300,150,30.07,1101.40,35.05,8939,baselineTransition
3,1,4,300,150,30.66,1031.60,37.38,7406,baselineTransition
1,1,4,300,150,31.44,1027.45,27.44,7923,baselineTransition
7,1,5,325,140,32.10,1061.66,30.84,5685,baselineTransition
6,1,5,325,140,31.56,1107.21,34.64,5685,baselineTransition
2,1,5,325,140,30.82,1104.31,36.70,5694,baselineTransition
5,1,4,300,150,31.12,1109.73,33.39,6952,baselineTransition
4,1,5,325,140,30.13,1101.39,34.97,7030,baselineTransition
8,1,4,300,150,31.64,1008.43,24.38,5685,baselineTransition
3,1,5,325,140,30.72,1031.60,37.30,5737,baselineTransition
1,1,5,325,140,31.49,1027.47,27.35,6140,baselineTransition
7,1,6,350,140,32.15,1061.67,30.73,5685,baselineTransition
6,1,6,350,140,31.61,1107.22,34.50,5685,baselineTransition
2,1,6,350,140,30.87,1104.31,36.63,5685,baselineTransition
4,1,6,350,140,30.18,1101.39,34.91,6344,baselineTransition
5,1,5,325,140,31.17,1109.73,33.43,5685,baselineTransition
8,1,5,325,140,31.70,1008.44,24.34,5685,baselineTransition
3,1,6,350,140,30.77,1031.60,37.13,5685,baselineTransition
1,1,6,350,140,31.54,1027.48,27.51,5685,baselineTransition
7,1,7,380,140,32.20,1061.68,30.65,5737,baselineTransition
6,1,7,380,140,31.66,1107.22,34.51,5685,baselineTransition
2,1,7,380,140,30.91,1104.32,36.48,6551,baselineTransition
4,1,7,380,140,30.23,1101.39,34.81,7958,baselineTransition
5,1,6,350,140,31.22,1109.73,33.09,5685,baselineTransition
8,1,6,350,140,31.75,1008.45,24.22,5685,baselineTransition
3,1,7,380,140,30.82,1031.59,37.14,7813,baselineTransition
1,1,7,380,140,31.58,1027.48,27.22,6961,baselineTransition
7,1,8,415,140,32.24,1061.69,30.61,9428,baselineTransition
6,1,8,415,140,31.71,1107.23,34.38,8806,baselineTransition
2,1,8,415,140,30.95,1104.32,36.46,10727,baselineTransition
4,1,8,415,140,30.27,1101.39,34.76,12833,baselineTransition
5,1,7,380,140,31.26,1109.74,33.28,6310,baselineTransition
8,1,7,380,140,31.80,1008.45,24.18,5685,baselineTransition
3,1,8,415,140,30.86,1031.59,37.06,13594,baselineTransition
1,1,8,415,140,31.61,1027.48,27.15,10892,baselineTransition
7,1,9,450,140,32.28,1061.69,30.56,15278,baselineTransition
6,1,9,450,140,31.75,1107.23,34.32,14134,baselineTransition
2,1,9,450,140,30.99,1104.33,36.41,17998,baselineTransition
4,1,9,450,140,30.31,1101.40,34.71,20389,baselineTransition
5,1,8,415,140,31.30,1109.74,33.36,10589,baselineTransition
3,1,9,450,140,30.90,1031.59,37.01,22191,baselineTransition
8,1,8,415,140,31.84,1008.46,24.18,7683,baselineTransition
1,1,9,450,140,31.65,1027.48,27.11,17467,baselineTransition
7,2,0,100,200,32.32,1061.69,30.53,562637,baselineTransition
6,2,0,100,200,31.78,1107.23,34.27,534029,baselineTransition
2,2,0,100,200,31.02,1104.33,36.35,772539,baselineTransition
4,2,0,100,200,30.35,1101.40,34.63,913674,baselineTransition
5,1,9,450,140,31.34,1109.75,33.11,17510,baselineTransition
8,1,9,450,140,31.88,1008.46,24.15,12606,baselineTransition
3,2,0,100,200,30.94,1031.59,36.92,1267327,baselineTransition
1,2,0,100,200,31.68,1027.48,27.03,567785,baselineTransition
7,2,1,150,180,32.33,1061.69,30.46,186657,baselineTransition
6,2,1,150,180,31.78,1107.23,34.21,173031,baselineTransition
2,2,1,150,180,31.02,1104.32,36.28,239813,baselineTransition
5,2,0,100,200,31.37,1109.75,33.06,730646,baselineTransition
