sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,200,31.36,1023.51,38.46,3908397,baselineTransition
2,0,0,100,200,32.15,1100.32,45.59,11906977,baselineTransition
3,0,0,100,200,31.78,1027.58,47.23,14599243,baselineTransition
4,0,0,100,200,30.63,1097.35,43.38,12877972,baselineTransition
5,0,0,100,200,31.33,1105.69,40.66,6067025,baselineTransition
6,0,0,100,200,32.20,1103.17,42.74,6964506,baselineTransition
7,0,0,100,200,31.92,1057.58,37.77,21079446,baselineTransition
8,0,0,100,200,31.62,1004.52,31.09,11765889,baselineTransition
1,0,1,150,180,31.43,1023.52,37.48,948587,baselineTransition
2,0,1,150,180,31.96,1100.33,44.65,2665799,baselineTransition
3,0,1,150,180,31.63,1027.58,46.14,2916340,baselineTransition
4,0,1,150,180,30.59,1097.36,42.46,2928852,baselineTransition
6,0,1,150,180,32.02,1103.18,41.89,1694663,baselineTransition
7,0,1,150,180,31.84,1057.60,37.26,4083749,baselineTransition
5,0,1,150,180,31.25,1105.69,39.98,1433672,baselineTransition
2,0,2,200,160,31.79,1100.34,43.94,853156,baselineTransition
1,0,2,200,160,31.50,1023.53,36.60,256385,baselineTransition
3,0,2,200,160,31.49,1027.58,45.29,934946,baselineTransition
4,0,2,200,160,30.55,1097.35,41.78,981313,baselineTransition
6,0,2,200,160,31.84,1103.18,41.26,569680,baselineTransition
7,0,2,200,160,31.74,1057.61,36.69,1129931,baselineTransition
5,0,2,200,160,31.15,1105.70,39.38,544681,baselineTransition
8,0,2,200,160,31.36,1004.51,30.03,902203,baselineTransition
1,0,3,250,150,31.57,1023.53,35.83,78407,baselineTransition
7,1,0,100,200,31.25,1057.64,34.78,1597504,baselineTransition
6,1,0,100,200,31.11,1103.16,38.54,1184842,baselineTransition
2,1,0,100,200,31.20,1100.33,40.63,2671014,baselineTransition
4,1,0,100,200,30.31,1097.34,38.74,3053868,baselineTransition
3,1,0,100,200,30.93,1027.58,41.62,2676250,baselineTransition
1,1,0,100,200,31.74,1023.56,32.24,43926,baselineTransition
5,1,0,100,200,30.71,1105.72,36.85,1338125,baselineTransition
7,1,1,150,180,31.25,1057.63,34.52,506680,baselineTransition
6,1,1,150,180,31.11,1103.16,38.33,391587,baselineTransition
2,1,1,150,180,31.21,1100.33,40.51,762614,baselineTransition
3,1,1,150,180,30.94,1027.58,41.33,736161,baselineTransition
1,1,1,150,180,31.77,1023.56,31.88,25900,baselineTransition
5,1,1,150,180,30.72,1105.72,36.88,438920,baselineTransition
8,1,1,150,180,30.81,1004.50,27.91,404344,baselineTransition
7,1,2,200,160,31.28,1057.64,34.45,195569,baselineTransition
6,1,2,200,160,31.14,1103.17,38.09,150323,baselineTransition
4,1,2,200,160,30.37,1097.34,38.19,314786,baselineTransition
3,1,2,200,160,30.98,1027.58,41.08,272776,baselineTransition
1,1,2,200,160,31.82,1023.57,31.58,16219,baselineTransition
7,1,3,250,150,31.31,1057.65,34.22,90845,baselineTransition
5,1,2,200,160,30.74,1105.72,36.58,177347,baselineTransition
6,1,3,250,150,31.17,1103.18,37.94,73039,baselineTransition
8,1,2,200,160,30.83,1004.49,27.79,153019,baselineTransition
2,1,3,250,150,31.28,1100.35,39.89,123731,baselineTransition
4,1,3,250,150,30.41,1097.34,37.99,143377,baselineTransition
3,1,3,250,150,31.01,1027.59,40.92,120755,baselineTransition
1,1,3,250,150,31.87,1023.57,31.25,10293,baselineTransition
7,1,4,300,150,31.34,1057.65,34.13,53156,baselineTransition
5,1,3,250,150,30.76,1105.72,36.45,84461,baselineTransition
6,1,4,300,150,31.19,1103.19,37.79,42356,baselineTransition
2,1,4,300,150,31.31,1100.34,39.64,72113,baselineTransition
4,1,4,300,150,30.45,1097.34,37.78,77977,baselineTransition
3,1,4,300,150,31.05,1027.59,40.58,68468,baselineTransition
1,1,4,300,150,31.92,1023.58,30.97,5685,baselineTransition
7,1,5,325,140,31.37,1057.65,34.02,41899,baselineTransition
6,1,5,325,140,31.22,1103.20,37.62,35996,baselineTransition
2,1,5,325,140,31.35,1100.34,39.50,57066,baselineTransition
5,1,4,300,150,30.79,1105.73,36.27,51551,baselineTransition
4,1,5,325,140,30.49,1097.35,37.44,62136,baselineTransition
8,1,4,300,150,30.87,1004.49,27.56,43971,baselineTransition
3,1,5,325,140,31.09,1027.60,40.32,55580,baselineTransition
1,1,5,325,140,31.96,1023.58,30.71,5685,baselineTransition
7,1,6,350,140,31.39,1057.65,33.88,39604,baselineTransition
6,1,6,350,140,31.25,1103.21,37.49,34372,baselineTransition
2,1,6,350,140,31.38,1100.33,39.26,51801,baselineTransition
