sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label
1,0,0,100,200,30.40,1027.79,33.15,2361488,baselineTransition
2,0,0,100,200,29.70,1104.63,43.17,1834715,baselineTransition
3,0,0,100,200,29.56,1031.97,43.35,3444912,baselineTransition
4,0,0,100,200,28.95,1101.71,40.91,1367613,baselineTransition
5,0,0,100,200,29.94,1110.06,39.42,2785447,baselineTransition
7,0,0,100,200,30.64,1061.98,37.02,1796097,baselineTransition
8,0,0,100,200,30.26,1008.78,30.14,2037304,baselineTransition
1,0,1,150,180,30.46,1027.80,33.11,605559,baselineTransition
2,0,1,150,180,29.77,1104.64,43.13,471346,baselineTransition
3,0,1,150,180,29.63,1031.98,43.33,801095,baselineTransition
4,0,1,150,180,29.03,1101.72,40.85,396362,baselineTransition
6,0,1,150,180,30.33,1107.48,40.46,458987,baselineTransition
5,0,1,150,180,30.00,1110.07,39.39,739350,baselineTransition
7,0,1,150,180,30.72,1061.98,37.02,460846,baselineTransition
8,0,1,150,180,30.33,1008.78,30.10,553514,baselineTransition
2,0,2,200,160,29.85,1104.65,42.98,133507,baselineTransition
1,0,2,200,160,30.53,1027.79,32.98,170439,baselineTransition
3,0,2,200,160,29.71,1031.98,43.25,224217,baselineTransition
4,0,2,200,160,29.11,1101.73,40.79,127427,baselineTransition
6,0,2,200,160,30.41,1107.49,40.34,119570,baselineTransition
7,0,2,200,160,30.80,1061.99,36.88,121012,baselineTransition
5,0,2,200,160,30.07,1110.08,39.32,223045,baselineTransition
8,0,2,200,160,30.40,1008.78,30.02,143137,baselineTransition
7,1,0,100,200,31.08,1062.01,36.23,21136,baselineTransition
6,1,0,100,200,30.68,1107.54,39.89,20272,baselineTransition
2,1,0,100,200,30.14,1104.68,42.34,33377,baselineTransition
4,1,0,100,200,29.42,1101.76,40.22,36739,baselineTransition
3,1,0,100,200,29.98,1032.00,42.77,33247,baselineTransition
1,1,0,100,200,30.76,1027.79,32.63,37155,baselineTransition
5,1,0,100,200,30.33,1110.10,38.71,37780,baselineTransition
8,1,0,100,200,30.65,1008.77,29.48,18790,baselineTransition
6,1,1,150,180,30.73,1107.55,39.81,13005,baselineTransition
2,1,1,150,180,30.18,1104.68,42.28,18757,baselineTransition
3,1,1,150,180,30.02,1032.00,42.70,19042,baselineTransition
1,1,1,150,180,30.80,1027.80,32.55,22284,baselineTransition
5,1,1,150,180,30.37,1110.10,38.64,22711,baselineTransition
7,1,2,200,160,31.18,1062.01,36.13,9006,baselineTransition
8,1,1,150,180,30.69,1008.78,29.41,12666,baselineTransition
6,1,2,200,160,30.79,1107.55,39.67,8437,baselineTransition
2,1,2,200,160,30.24,1104.69,42.22,12098,baselineTransition
4,1,2,200,160,29.52,1101.78,40.12,13778,baselineTransition
3,1,2,200,160,30.08,1032.02,42.59,12517,baselineTransition
1,1,2,200,160,30.85,1027.80,32.43,14421,baselineTransition
7,1,3,250,150,31.23,1062.00,36.03,5925,baselineTransition
5,1,2,200,160,30.42,1110.11,38.48,14730,baselineTransition
6,1,3,250,150,30.85,1107.56,39.62,5685,baselineTransition
8,1,2,200,160,30.74,1008.78,29.33,8241,baselineTransition
2,1,3,250,150,30.30,1104.69,42.05,7841,baselineTransition
4,1,3,250,150,29.58,1101.79,39.98,9153,baselineTransition
3,1,3,250,150,30.14,1032.01,42.47,7982,baselineTransition
1,1,3,250,150,30.90,1027.80,32.18,9138,baselineTransition
7,1,4,300,150,31.29,1062.01,35.90,5685,baselineTransition
5,1,3,250,150,30.48,1110.11,38.44,8621,baselineTransition
6,1,4,300,150,30.90,1107.56,39.52,5685,baselineTransition
2,1,4,300,150,30.36,1104.69,41.92,5685,baselineTransition
8,1,3,250,150,30.79,1008.79,29.25,5685,baselineTransition
4,1,4,300,150,29.64,1101.79,39.88,5892,baselineTransition
3,1,4,300,150,30.20,1032.02,42.51,5685,baselineTransition
1,1,4,300,150,30.95,1027.81,32.22,5685,baselineTransition
7,1,5,325,140,31.34,1062.02,35.85,5685,baselineTransition
6,1,5,325,140,30.96,1107.57,39.50,5685,baselineTransition
2,1,5,325,140,30.42,1104.70,41.84,5685,baselineTransition
5,1,4,300,150,30.53,1110.12,38.33,5685,baselineTransition
4,1,5,325,140,29.70,1101.80,39.75,5685,baselineTransition
8,1,4,300,150,30.84,1008.80,29.21,5685,baselineTransition
3,1,5,325,140,30.26,1032.02,42.27,5685,baselineTransition
1,1,5,325,140,31.00,1027.82,32.13,5685,baselineTransition
7,1,6,350,140,31.39,1062.03,35.76,5685,baselineTransition
6,1,6,350,140,31.01,1107.57,39.39,5685,baselineTransition
2,1,6,350,140,30.47,1104.71,41.63,5685,baselineTransition
