id_timestamp,id_index,sensor_index,sensor_id,timestamp_since_poweron,real_time_clock,temperature,pressure,relative_humidity,resistance_gassensor,heater_profile_step_index,scanning_enabled,scanning_cycle_index,label_tag,error_code
2026_02_18_21_53,0,0,1724206365,5077,1771451591,25.358946,992.884521,36.991982,18957.345703,0,1,1,0,0
2026_02_18_21_53,1,1,1724192798,5082,1771451591,25.595852,993.06366,36.934406,13037.27832,0,1,1,0,0
2026_02_18_21_53,2,2,1724204062,5086,1771451591,25.571629,993.083801,36.627159,14078.310547,0,1,1,0,0
2026_02_18_21_53,3,3,1724221471,5091,1771451591,25.518955,992.986755,36.720985,16305.732422,0,1,1,0,0
2026_02_18_21_53,4,4,1724209694,5095,1771451591,25.41717,992.989685,37.898911,20311.011719,0,1,1,0,0
2026_02_18_21_53,5,5,1724219422,5100,1771451591,25.396435,992.788025,38.384659,13885.875,0,1,1,0,0
2026_02_18_21_53,6,6,1724206621,5104,1771451591,25.213043,993.457642,38.267433,15647.921875,0,1,1,0,0
2026_02_18_21_53,7,7,1724199965,5108,1771451591,25.128614,993.264771,39.208504,16846.539062,0,1,1,0,0
2026_02_18_21_53,8,0,1724206365,5357,1771451592,25.266682,992.947449,36.800743,465878.0625,1,1,1,0,0
2026_02_18_21_53,9,1,1724192798,5362,1771451592,25.513889,993.10437,36.770573,312195.125,1,1,1,0,0
2026_02_18_21_53,10,2,1724204062,5366,1771451592,25.524273,993.169373,36.43898,321003.125,1,1,1,0,0
2026_02_18_21_53,11,3,1724221471,5370,1771451592,25.491497,993.026367,36.528214,399142.46875,1,1,1,0,0
2026_02_18_21_53,12,4,1724209694,5375,1771451592,25.372242,993.021545,37.766514,542085.75,1,1,1,0,0
2026_02_18_21_53,13,5,1724219422,5379,1771451592,25.381527,992.826782,38.31332,300381.34375,1,1,1,0,0
2026_02_18_21_53,14,6,1724206621,5384,1771451592,25.230757,993.510376,38.222424,385179.625,1,1,1,0,0
2026_02_18_21_53,15,7,1724199965,5388,1771451592,25.108461,993.312378,39.313774,424455.96875,1,1,1,0,0
2026_02_18_21_53,16,0,1724206365,6757,1771451593,25.553448,992.949219,35.718658,420016.40625,2,1,1,0,0
2026_02_18_21_53,17,1,1724192798,6762,1771451593,25.883963,993.173889,35.716927,286033.53125,2,1,1,0,0
2026_02_18_21_53,18,2,1724204062,6766,1771451593,25.895651,993.16394,35.248474,291654.8125,2,1,1,0,0
2026_02_18_21_53,19,3,1724221471,6770,1771451593,25.943293,993.052734,35.362999,346062.84375,2,1,1,0,0
