,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,id,humidity_diff,gas_resistance_diff,label_enc
17207,3,1,0,320,150,29.34,1034.55,0.11314119366829725,-0.7599126099518485,lavender,5_3_1,-1.0000056761590967,-1.0000000058854077,3
18187,3,11,0,320,150,30.65,1034.57,0.07475701533697222,-0.3658411871971558,lavender,5_3_11,-1.0000056761590967,-1.0000000058854077,3
18283,3,12,0,320,150,30.7,1034.56,0.0740952191588459,-0.3775365771401442,lavender,5_3_12,-1.0000056761590967,-1.0000000058854077,3
18379,3,13,0,320,150,30.75,1034.59,0.07431581788488811,-0.3815351361341659,lavender,5_3_13,-1.0000056761590967,-1.0000000058854077,3
18477,3,14,0,320,150,30.79,1034.6,0.07541881151509854,-0.3964862697639862,lavender,5_3_14,-1.0000056761590967,-1.0000000058854077,3
18768,3,17,0,320,150,30.92,1034.6,0.07519821278905649,-0.41783825870044206,lavender,5_3_17,-1.0000056761590967,-1.0000000058854077,3
18964,3,19,0,320,150,31.0,1034.59,0.0740952191588459,-0.43632961847516694,lavender,5_3_19,-1.0000056761590967,-1.0000000058854077,3
19164,3,21,0,320,150,31.06,1034.61,0.07630120641926691,-0.44878362830634916,lavender,5_3_21,-1.0000056761590967,-1.0000000058854077,3
19264,3,22,0,320,150,31.09,1034.61,0.07519821278905649,-0.4554531614900534,lavender,5_3_22,-1.0000056761590967,-1.0000000058854077,3
19659,3,26,0,320,150,31.21,1034.63,0.07652180514530897,-0.4753669335551417,lavender,5_3_26,-1.0000056761590967,-1.0000000058854077,3
19757,3,27,0,320,150,31.24,1034.64,0.07806599622760366,-0.4798238253982805,lavender,5_3_27,-1.0000056761590967,-1.0000000058854077,3
19855,3,28,0,320,150,31.26,1034.64,0.07961018730989834,-0.4845968088615001,lavender,5_3_28,-1.0000056761590967,-1.0000000058854077,3
20050,3,30,0,320,150,31.31,1034.65,0.0793895885838563,-0.48810542584439665,lavender,5_3_30,-1.0000056761590967,-1.0000000058854077,3
