,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,id,temperature_diff,pressure_diff,humidity_diff,gas_resistance_diff,pca_0,pca_1
17207,3,1,0,320,150,-0.03168316727118262,6.76668470463391e-05,0.13774443177307272,-0.8049822022421022,lavender,5_3_1,0.0,0.0,0.0,0.0,-2.7009896582752795,-1.8411397968729384
18087,3,10,0,320,150,0.009900989772244585,7.7333539481499e-05,0.09760996787252561,-0.4760156386704369,lavender,5_3_10,0.0,0.0,0.0,0.0,-1.373662803738688,-0.40229272047588416
18187,3,11,0,320,150,0.011551154734285252,8.700023191665889e-05,0.09851186593770643,-0.4848865028822621,lavender,5_3_11,0.0,0.0,0.0,0.0,-1.4059314740001279,-0.32068619511583085
18283,3,12,0,320,150,0.013201319696326035,7.7333539481499e-05,0.09783544238882078,-0.4943864153522341,lavender,5_3_12,0.0,0.0,0.0,0.0,-1.4057839718991176,-0.2973202086652853
18379,3,13,0,320,150,0.01485148465836682,0.0001063336167869787,0.0980609169051161,-0.4976343583994002,lavender,5_3_13,0.0,0.0,0.0,0.0,-1.4300013866972892,-0.15485847643308642
18477,3,14,0,320,150,0.0161716166279994,0.00011600030922213859,0.09918828948659208,-0.5097788410974995,lavender,5_3_14,0.0,0.0,0.0,0.0,-1.4729905860099677,-0.08439450732017847
18670,3,16,0,320,150,0.019141913559672763,0.0001256670016572985,0.09828639142141127,-0.5242597887544298,lavender,5_3_16,0.0,0.0,0.0,0.0,-1.4892214080605508,0.041204701195047586
18768,3,17,0,320,150,0.02046204552930546,0.00011600030922213859,0.09896281497029691,-0.5271226002149754,lavender,5_3_17,0.0,0.0,0.0,0.0,-1.494237690897024,0.053093775723193244
18866,3,18,0,320,150,0.02178217749893804,0.00011600030922213859,0.09851186593770643,-0.5359421135485846,lavender,5_3_18,0.0,0.0,0.0,0.0,-1.502923260171295,0.0955009468334477
18964,3,19,0,320,150,0.02310230946857062,0.0001063336167869787,0.09783544238882078,-0.5421427320931744,lavender,5_3_19,0.0,0.0,0.0,0.0,-1.4968251618325974,0.10846211495219396
17301,3,2,0,320,150,-0.016171616627999517,8.700023191665889e-05,0.11970647046945596,-0.6140853124738812,lavender,5_3_2,0.0,0.0,0.0,0.0,-2.0335152412270987,-1.24745186284694
19164,3,21,0,320,150,0.02508250742301949,0.0001256670016572985,0.10009018755177289,-0.5522588551017391,lavender,5_3_21,0.0,0.0,0.0,0.0,-1.5551585808789044,0.22917437119685224
19264,3,22,0,320,150,0.026072606400243982,0.0001256670016572985,0.09896281497029691,-0.557676372753534,lavender,5_3_22,0.0,0.0,0.0,0.0,-1.5486539182087384,0.2618516957641322
19357,3,23,0,320,150,0.027392738369876563,0.00014500038652783808,0.10054113658436338,-0.5626188947818302,lavender,5_3_23,0.0,0.0,0.0,0.0,-1.5890219508787207,0.36230948949535696
19457,3,24,0,320,150,0.028382837347101057,0.0001353336940924584,0.1009920856169537,-0.5674587150536944,lavender,5_3_24,0.0,0.0,0.0,0.0,-1.5960461994709656,0.3636022968743573
19559,3,25,0,320,150,0.029042903331917346,0.00014500038652783808,0.10121756013324903,-0.5698336931711874,lavender,5_3_25,0.0,0.0,0.0,0.0,-1.6085082823963035,0.4143945091500366
17399,3,3,0,320,150,-0.009900989772244585,7.7333539481499e-05,0.10888369368728602,-0.5102153235623361,lavender,5_3_3,0.0,0.0,0.0,0.0,-1.6496234568538897,-1.0559023375186967
17496,3,4,0,320,150,-0.005610560870938641,7.7333539481499e-05,0.10482515239397229,-0.4709447394466005,lavender,5_3_4,0.0,0.0,0.0,0.0,-1.502044180682048,-0.9101952919591054
17596,3,5,0,320,150,-0.0023102309468570736,8.700023191665889e-05,0.10257040723102018,-0.45461516017389186,lavender,5_3_5,0.0,0.0,0.0,0.0,-1.4352728669791728,-0.7701826193033908
17694,3,6,0,320,150,0.00066006598481629,9.66669243518188e-05,0.09963923851918256,-0.4529847697905318,lavender,5_3_6,0.0,0.0,0.0,0.0,-1.3909363040711566,-0.6413192442113947
17988,3,9,0,320,150,0.007920791817795597,7.7333539481499e-05,0.09851186593770643,-0.4668366691893153,lavender,5_3_9,0.0,0.0,0.0,0.0,-1.3720620934791354,-0.4664433979462821
9703,3,1,0,320,150,-0.03743088673369693,3.457538625775832e-05,0.09885322206164797,-0.7412087993773413,grapefruit,3_3_1,0.0,0.0,0.0,0.0,-2.043595773269739,-2.085770936603754
10590,3,10,0,320,150,0.011570189150812392,0.00023745154973942468,0.06731977032320001,-0.3336879530642975,grapefruit,3_3_10,0.0,0.0,0.0,0.0,-0.7739134615126105,0.1874897645175219
10792,3,12,0,320,150,0.01694017006966273,0.000276094628498057,0.06491096498206857,-0.34432016204007554,grapefruit,3_3_12,0.0,0.0,0.0,0.0,-0.7744177653095833,0.4819593906332916
10888,3,13,0,320,150,0.01962516052908784,0.0003147377072564696,0.06359707115963319,-0.34482549516630073,grapefruit,3_3_13,0.0,0.0,0.0,0.0,-0.7758641480948397,0.6893901511398699
10989,3,14,0,320,150,0.02197452718108487,0.0003340592466356759,0.06184521272971944,-0.34779685394850485,grapefruit,3_3_14,0.0,0.0,0.0,0.0,-0.7648599688298587,0.8265044129954362
11184,3,16,0,320,150,0.026337636677650732,0.0004113454041525012,0.06272114194467632,-0.35703434349590135,grapefruit,3_3_16,0.0,0.0,0.0,0.0,-0.8343743423354587,1.2047337757949204
11279,3,17,0,320,150,0.028351379522219684,0.0004693100222901202,0.06206419503345862,-0.3631994076358487,grapefruit,3_3_17,0.0,0.0,0.0,0.0,-0.87085149185711,1.4490953782490874
11378,3,18,0,320,150,0.030365122366788518,0.0004982923313591493,0.0629401242484155,-0.36461434038927926,grapefruit,3_3_18,0.0,0.0,0.0,0.0,-0.898927313039186,1.6027520201526118
11480,3,19,0,320,150,0.032378865211357466,0.0005272746404279588,0.06075030121102324,-0.36554415334153356,grapefruit,3_3_19,0.0,0.0,0.0,0.0,-0.8850855294634004,1.7594693750108716
