,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,id,humidity_diff,gas_resistance_diff,pca_0,pca_1
10792,3,12,0,320,150,30.3,1035.4,0.06884340964249636,-0.3745625620535325,grapefruit,3_3_12,0.0,0.0,-1.8305650948440675,0.12190954692749854
10888,3,13,0,320,150,30.38,1035.44,0.06752466394519414,-0.37504458733092877,grapefruit,3_3_13,0.0,0.0,-1.8035552073019376,0.12005565307357517
10989,3,14,0,320,150,30.45,1035.46,0.06576633634879131,-0.37787889596201873,grapefruit,3_3_14,0.0,0.0,-1.7734481914245122,0.11796062351542194
11184,3,16,0,320,150,30.58,1035.54,0.06664550014699273,-0.3866903180328222,grapefruit,3_3_16,0.0,0.0,-1.8160667011094827,0.12076685740366068
11279,3,17,0,320,150,30.64,1035.6,0.06598612729834162,-0.39257102641705655,grapefruit,3_3_17,0.0,0.0,-1.8177601796019056,0.12080960951426717
11378,3,18,0,320,150,30.7,1035.63,0.06686529109654304,-0.39392069719376605,grapefruit,3_3_18,0.0,0.0,-1.8402700075228768,0.12233285698356956
11480,3,19,0,320,150,30.76,1035.66,0.06466738160103941,-0.39480762370417516,grapefruit,3_3_19,0.0,0.0,-1.7954786900973052,0.11925739980536501
11672,3,21,0,320,150,30.88,1035.74,0.06356842685328767,-0.4027128382534737,grapefruit,3_3_21,0.0,0.0,-1.7931917131485207,0.11900265763519921
11769,3,22,0,320,150,30.93,1035.75,0.06422779970193877,-0.40487231149620895,grapefruit,3_3_22,0.0,0.0,-1.8131657289599423,0.12034234825507453
11967,3,24,0,320,150,31.03,1035.87,0.06290905400463656,-0.40957687820359634,grapefruit,3_3_24,0.0,0.0,-1.7975351729586801,0.11921448547543298
12749,3,32,0,320,150,31.4,1036.17,0.05873302596317977,-0.4203935254283683,grapefruit,3_3_32,0.0,0.0,-1.7370401238124484,0.11494120047510872
12947,3,34,0,320,150,31.48,1036.28,0.0596121897613812,-0.42241803159343255,grapefruit,3_3_34,0.0,0.0,-1.7613685663632388,0.11658048030788082
13239,3,37,0,320,150,31.59,1036.42,0.05807365311452867,-0.4236327352924711,grapefruit,3_3_37,0.0,0.0,-1.7316150250395796,0.114529768762991
13434,3,39,0,320,150,31.66,1036.52,0.05719448931632725,-0.4252523402245225,grapefruit,3_3_39,0.0,0.0,-1.7171071014898127,0.11351706369295528
13917,3,44,0,320,150,31.83,1036.76,0.05433720697217251,-0.42565724145753536,grapefruit,3_3_44,0.0,0.0,-1.65686232461837,0.10939033919835722
3574,3,10,0,320,150,30.15,1035.32,0.026944792382015095,-0.016953500938451733,eucalyptus,1_3_10,0.0,0.0,0.032574005896405404,-0.001112721836573757
3669,3,11,0,320,150,30.21,1035.34,0.025188205218577432,-0.017963687790927343,eucalyptus,1_3_11,0.0,0.0,0.0675594884983613,-0.0035188379627052345
3768,3,12,0,320,150,30.26,1035.35,0.023212044659710274,-0.027930864735353375,eucalyptus,1_3_12,0.0,0.0,0.08312024818911491,-0.004707349900737271
4059,3,15,0,320,150,30.41,1035.39,0.02123588410084296,-0.05758546100469298,eucalyptus,1_3_15,0.0,0.0,0.045625359901836186,-0.0025107729203326825
4162,3,16,0,320,150,30.45,1035.43,0.020357590519124204,-0.06768732952944909,eucalyptus,1_3_16,0.0,0.0,0.03725574144156932,-0.002063744880055373
4260,3,17,0,320,150,30.5,1035.45,0.0192597235419758,-0.08286258091330494,eucalyptus,1_3_17,0.0,0.0,0.019927337470559747,-0.0010668667940842917
4359,3,18,0,320,150,30.54,1035.46,0.018820576751116345,-0.08634211340516537,eucalyptus,1_3_18,0.0,0.0,0.01997730059899413,-0.0011135423113352383
4455,3,19,0,320,150,30.58,1035.47,0.018381429960257045,-0.0898216458970258,eucalyptus,1_3_19,0.0,0.0,0.02002726372742517,-0.0011602178285859564
2787,3,2,0,320,150,29.39,1035.24,0.05109786587928124,-0.25073318719802984,eucalyptus,1_3_2,0.0,0.0,-1.1159218761514593,0.07455614087821533
4654,3,21,0,320,150,30.66,1035.53,0.015526975819670977,-0.11258452297280958,eucalyptus,1_3_21,0.0,0.0,0.0199587952003733,-0.0014385196622446483
4951,3,24,0,320,150,30.76,1035.64,0.014868255633381872,-0.13031891438293697,eucalyptus,1_3_24,0.0,0.0,-0.013693197105557112,0.0006433337346596037
5052,3,25,0,320,150,30.8,1035.67,0.012672521679084907,-0.13503311969448983,eucalyptus,1_3_25,0.0,0.0,0.020737281145034682,-0.001770859403381239
5149,3,26,0,320,150,30.83,1035.71,0.012672521679084907,-0.1397024278125993,eucalyptus,1_3_26,0.0,0.0,0.00815395756529533,-0.0009680104922810506
5349,3,28,0,320,150,30.9,1035.76,0.012672521679084907,-0.15263281952428714,eucalyptus,1_3_28,0.0,0.0,-0.026692169270906056,0.0012552634153810156
2886,3,3,0,320,150,29.58,1035.23,0.042095356666663884,-0.09498482314301226,eucalyptus,1_3_3,0.0,0.0,-0.50294277783179,0.034554974696525166
5544,3,30,0,320,150,30.96,1035.85,0.011794228097366154,-0.15784089396371695,eucalyptus,1_3_30,0.0,0.0,-0.021873496671638404,0.0008608440392167823
5734,3,32,0,320,150,31.02,1035.93,0.0104767877247881,-0.16953661285571237,eucalyptus,1_3_32,0.0,0.0,-0.025111425173194948,0.0009369691173759953
5929,3,34,0,320,150,31.08,1035.99,0.00959849414306919,-0.17737117311157877,eucalyptus,1_3_34,0.0,0.0,-0.027370872087527313,0.0009941522537053864
6029,3,35,0,320,150,31.11,1036.05,0.00937892074763954,-0.184375135288743,eucalyptus,1_3_35,0.0,0.0,-0.041532377924508326,0.0018759494453348081
6129,3,36,0,320,150,31.13,1036.1,0.008281053770491136,-0.18783221918388177,eucalyptus,1_3_36,0.0,0.0,-0.027281479450210453,0.0008579855524871468
6423,3,39,0,320,150,31.21,1036.25,0.006744040002483276,-0.19535249908564464,eucalyptus,1_3_39,0.0,0.0,-0.01455353329494558,-0.00010629774372394346
6518,3,40,0,320,150,31.23,1036.3,0.006744040002483276,-0.19669941488894546,eucalyptus,1_3_40,0.0,0.0,-0.01818333817371659,0.00012529328832419054
6710,3,42,0,320,150,31.28,1036.41,0.005865746420764522,-0.20469111532186363,eucalyptus,1_3_42,0.0,0.0,-0.020866262323908865,0.00020949537839275726
6809,3,43,0,320,150,31.31,1036.45,0.006744040002483276,-0.21059509625966555,eucalyptus,1_3_43,0.0,0.0,-0.05563082517303717,0.002514540768954085
6905,3,44,0,320,150,31.33,1036.5,0.005426599629905067,-0.21059509625966555,eucalyptus,1_3_44,0.0,0.0,-0.027349947977262295,0.0005796837188284537
3079,3,5,0,320,150,29.8,1035.26,0.03462986122205424,-0.011880118079351997,eucalyptus,1_3_5,0.0,0.0,-0.11872551270223479,0.009301618068443847
3179,3,6,0,320,150,29.89,1035.27,0.031555833686038516,-0.0005435767349034731,eucalyptus,1_3_6,0.0,0.0,-0.022185941515773376,0.0028377270984124197
3276,3,7,0,320,150,29.96,1035.28,0.02957967312717136,0.0036318622553290526,eucalyptus,1_3_7,0.0,0.0,0.03148776940207548,-0.0007824906761250002
3375,3,8,0,320,150,30.03,1035.32,0.02957967312717136,0.00787464703572662,eucalyptus,1_3_8,0.0,0.0,0.04292165477020406,-0.0015120024270766153
3475,3,9,0,320,150,30.09,1035.31,0.02672521898658529,-0.0015986607808224447,eucalyptus,1_3_9,0.0,0.0,0.07866726104702582,-0.004075335776943544
10801,3,12,1,100,150,30.33,1035.42,0.07119290113953598,-0.7034350362249492,grapefruit,3_3_12,-3.0323461003706726,-0.7094230569242155,0.3177334255703418,-0.021106149353060495
10897,3,13,1,100,150,30.4,1035.44,0.06877336896898534,-0.7067604938239845,grapefruit,3_3_13,-1.580691052320967,-0.7128002869667858,0.406882852543319,-0.027062054580576693
10997,3,14,1,100,150,30.47,1035.48,0.06789353908878497,-0.7096542797885986,grapefruit,3_3_14,-2.7420150907605665,-0.7156951558785358,0.4741282109919131,-0.031419468823240586
11193,3,16,1,100,150,30.61,1035.55,0.06679375173853473,-0.7080334424456163,grapefruit,3_3_16,-0.12903600427105522,-0.7138843707891825,0.6016696117099367,-0.03989186698642225
11289,3,17,1,100,150,30.67,1035.6,0.0700931137892856,-0.7114340633164598,grapefruit,3_3_17,-5.354994177250283,-0.7172398349000856,0.5823469212383168,-0.03854738764201002
11390,3,18,1,100,150,30.73,1035.63,0.0656939643882845,-0.7119636540756219,grapefruit,3_3_18,1.6129500533885501,-0.7177544938649929,0.7873654165529813,-0.05232027871813135
11490,3,19,1,100,150,30.79,1035.65,0.06591392185833451,-0.7131921253483396,grapefruit,3_3_19,-1.580691052320967,-0.7189891838919908,0.8476848227005068,-0.05628045560306302
11681,3,21,1,100,150,30.9,1035.74,0.0645941770380341,-0.7131921253483396,grapefruit,3_3_21,-1.2903600427108608,-0.7188452478922555,0.9645459536873261,-0.06400443992758871
11779,3,22,1,100,150,30.95,1035.74,0.06481413450808413,-0.7131921253483396,grapefruit,3_3_22,-0.7096980234908549,-0.7188059287898888,1.1161464118616122,-0.07414583826442009
11977,3,24,1,100,150,31.06,1035.86,0.06371434715783389,-0.715445989145633,grapefruit,3_3_24,-1.000029033100961,-0.721015170854119,1.1620558141417228,-0.0770749780418628
12760,3,32,1,100,150,31.42,1036.18,0.05997507016698284,-0.712667016802634,grapefruit,3_3_32,-1.5806910523207607,-0.7179886531621233,-0.037153269860139754,0.0022510525797078663
