,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,id,gas_resistance_diff,label_enc
46,1,1,0,320,150,24.72,1022.76,45.3,10695,air,0_1_1,0.0,0
54,1,1,1,100,150,24.79,1022.76,45.18,247283,air,0_1_1,236588.0,0
62,1,1,2,100,150,24.82,1022.75,45.07,262295,air,0_1_1,15012.0,0
70,1,1,3,100,150,24.84,1022.75,45.04,277883,air,0_1_1,15588.0,0
78,1,1,4,200,150,24.86,1022.76,44.86,45230,air,0_1_1,-232653.0,0
86,1,1,5,200,150,24.89,1022.76,44.98,48753,air,0_1_1,3523.0,0
93,1,1,6,200,150,24.93,1022.76,44.61,51426,air,0_1_1,2673.0,0
101,1,1,7,320,150,24.97,1022.75,44.6,13734,air,0_1_1,-37692.0,0
109,1,1,8,320,150,25.02,1022.75,44.36,17117,air,0_1_1,3383.0,0
117,1,1,9,320,150,25.06,1022.74,44.36,20447,air,0_1_1,3330.0,0
7790,1,101,0,320,150,31.01,1023.11,32.7,97673,air,0_1_101,0.0,0
7798,1,101,1,100,150,31.03,1023.11,32.76,7045367,air,0_1_101,6947694.0,0
7806,1,101,2,100,150,31.01,1023.12,32.75,6155927,air,0_1_101,-889440.0,0
7814,1,101,3,100,150,30.98,1023.13,32.75,5628307,air,0_1_101,-527620.0,0
7822,1,101,4,200,150,30.95,1023.14,32.76,433347,air,0_1_101,-5194960.0,0
7830,1,101,5,200,150,30.95,1023.14,32.63,405063,air,0_1_101,-28284.0,0
7838,1,101,6,200,150,30.96,1023.14,32.82,381307,air,0_1_101,-23756.0,0
7846,1,101,7,320,150,30.96,1023.14,32.79,75829,air,0_1_101,-305478.0,0
7855,1,101,8,320,150,30.98,1023.14,32.79,85476,air,0_1_101,9647.0,0
7862,1,101,9,320,150,31.01,1023.15,32.81,91822,air,0_1_101,6346.0,0
7870,1,102,0,320,150,31.03,1023.15,32.6,97338,air,0_1_102,0.0,0
7878,1,102,1,100,150,31.05,1023.15,32.71,7246351,air,0_1_102,7149013.0,0
7886,1,102,2,100,150,31.02,1023.14,32.7,6201363,air,0_1_102,-1044988.0,0
7894,1,102,3,100,150,30.99,1023.14,32.49,5599453,air,0_1_102,-601910.0,0
7902,1,102,4,200,150,30.97,1023.15,32.68,430343,air,0_1_102,-5169110.0,0
7908,1,102,5,200,150,30.97,1023.15,32.75,403865,air,0_1_102,-26478.0,0
7916,1,102,6,200,150,30.97,1023.15,32.75,381947,air,0_1_102,-21918.0,0
7923,1,102,7,320,150,30.98,1023.14,32.75,75829,air,0_1_102,-306118.0,0
7931,1,102,8,320,150,31.0,1023.14,32.78,85390,air,0_1_102,9561.0,0
7937,1,102,9,320,150,31.03,1023.13,32.74,91822,air,0_1_102,6432.0,0
8026,1,104,0,320,150,31.06,1023.13,32.59,97841,air,0_1_104,0.0,0
8032,1,104,1,100,150,31.08,1023.13,32.77,7072739,air,0_1_104,6974898.0,0
8040,1,104,2,100,150,31.06,1023.12,32.65,6194329,air,0_1_104,-878410.0,0
8048,1,104,3,100,150,31.02,1023.14,32.66,5587995,air,0_1_104,-606334.0,0
8056,1,104,4,200,150,31.0,1023.13,32.63,427915,air,0_1_104,-5160080.0,0
8064,1,104,5,200,150,31.0,1023.13,32.66,402674,air,0_1_104,-25241.0,0
8072,1,104,6,200,150,31.0,1023.13,32.8,380457,air,0_1_104,-22217.0,0
8080,1,104,7,320,150,31.01,1023.13,32.74,76100,air,0_1_104,-304357.0,0
8088,1,104,8,320,150,31.03,1023.13,32.64,85562,air,0_1_104,9462.0,0
8096,1,104,9,320,150,31.06,1023.13,32.68,91136,air,0_1_104,5574.0,0
8104,1,105,0,320,150,31.08,1023.12,32.84,97117,air,0_1_105,0.0,0
8112,1,105,1,100,150,31.09,1023.13,32.66,7022718,air,0_1_105,6925601.0,0
8119,1,105,2,100,150,31.07,1023.12,32.65,6211943,air,0_1_105,-810775.0,0
8127,1,105,3,100,150,31.04,1023.13,32.65,5610959,air,0_1_105,-600984.0,0
8134,1,105,4,200,150,31.01,1023.13,32.67,435559,air,0_1_105,-5175400.0,0
8142,1,105,5,200,150,31.01,1023.13,32.69,402200,air,0_1_105,-33359.0,0
8150,1,105,6,200,150,31.01,1023.12,32.68,380882,air,0_1_105,-21318.0,0
8158,1,105,7,320,150,31.02,1023.13,32.68,76304,air,0_1_105,-304578.0,0
8164,1,105,8,320,150,31.04,1023.13,32.71,85050,air,0_1_105,8746.0,0
8171,1,105,9,320,150,31.07,1023.13,32.61,91723,air,0_1_105,6673.0,0
8257,1,107,0,320,150,31.11,1023.13,32.57,98009,air,0_1_107,0.0,0
8264,1,107,1,100,150,31.12,1023.14,32.66,7022718,air,0_1_107,6924709.0,0
8272,1,107,2,100,150,31.1,1023.13,32.57,6301539,air,0_1_107,-721179.0,0
8280,1,107,3,100,150,31.07,1023.14,32.59,5722669,air,0_1_107,-578870.0,0
8288,1,107,4,200,150,31.04,1023.14,32.56,429530,air,0_1_107,-5293139.0,0
8296,1,107,5,200,150,31.04,1023.13,32.59,402912,air,0_1_107,-26618.0,0
8304,1,107,6,200,150,31.05,1023.14,32.48,382161,air,0_1_107,-20751.0,0
8312,1,107,7,320,150,31.05,1023.14,32.63,75829,air,0_1_107,-306332.0,0
8320,1,107,8,320,150,31.08,1023.14,32.61,84881,air,0_1_107,9052.0,0
8327,1,107,9,320,150,31.1,1023.15,32.64,91822,air,0_1_107,6941.0,0
8568,1,111,0,320,150,31.17,1023.16,32.61,97450,air,0_1_111,0.0,0
8575,1,111,1,100,150,31.18,1023.15,32.4,7031760,air,0_1_111,6934310.0,0
8583,1,111,2,100,150,31.16,1023.14,32.48,6142081,air,0_1_111,-889679.0,0
8592,1,111,3,100,150,31.13,1023.14,32.49,5657459,air,0_1_111,-484622.0,0
8599,1,111,4,200,150,31.1,1023.15,32.52,431703,air,0_1_111,-5225756.0,0
8607,1,111,5,200,150,31.1,1023.15,32.55,400548,air,0_1_111,-31155.0,0
8614,1,111,6,200,150,31.11,1023.15,32.55,379400,air,0_1_111,-21148.0,0
8622,1,111,7,320,150,31.11,1023.15,32.53,75897,air,0_1_111,-303503.0,0
8630,1,111,8,320,150,31.14,1023.15,32.55,85562,air,0_1_111,9665.0,0
8638,1,111,9,320,150,31.16,1023.16,32.52,91331,air,0_1_111,5769.0,0
8646,1,112,0,320,150,31.18,1023.16,32.49,97338,air,0_1_112,0.0,0
8654,1,112,1,100,150,31.2,1023.16,32.44,7109568,air,0_1_112,7012230.0,0
8663,1,112,2,100,150,31.17,1023.16,32.48,6251049,air,0_1_112,-858519.0,0
8671,1,112,3,100,150,31.14,1023.17,32.48,5634113,air,0_1_112,-616936.0,0
8679,1,112,4,200,150,31.11,1023.15,32.55,433073,air,0_1_112,-5201040.0,0
8687,1,112,5,200,150,31.11,1023.15,32.52,408946,air,0_1_112,-24127.0,0
8695,1,112,6,200,150,31.12,1023.15,32.51,377930,air,0_1_112,-31016.0,0
8703,1,112,7,320,150,31.13,1023.15,32.52,75427,air,0_1_112,-302503.0,0
8711,1,112,8,320,150,31.15,1023.15,32.52,84965,air,0_1_112,9538.0,0
8719,1,112,9,320,150,31.17,1023.16,32.42,91822,air,0_1_112,6857.0,0
