,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,id,gas_resistance_diff,label_enc
7714,1,100,0,320,150,31.0,1023.13,32.95,97338,air,0_1_100,0.0,0
7722,1,100,1,100,150,31.01,1023.13,32.76,7013699,air,0_1_100,6916361.0,0
7729,1,100,2,100,150,30.99,1023.13,32.77,6187311,air,0_1_100,-826388.0,0
7737,1,100,3,100,150,30.96,1023.13,32.7,5752809,air,0_1_100,-434502.0,0
7744,1,100,4,200,150,30.93,1023.14,32.8,430886,air,0_1_100,-5321923.0,0
7751,1,100,5,200,150,30.93,1023.14,32.81,400313,air,0_1_100,-30573.0,0
7759,1,100,6,200,150,30.94,1023.13,32.87,379400,air,0_1_100,-20913.0,0
7766,1,100,7,320,150,30.95,1023.12,32.84,75897,air,0_1_100,-303503.0,0
7774,1,100,8,320,150,30.97,1023.11,32.8,84796,air,0_1_100,8899.0,0
7782,1,100,9,320,150,30.99,1023.11,32.8,91822,air,0_1_100,7026.0,0
7790,1,101,0,320,150,31.01,1023.11,32.7,97673,air,0_1_101,0.0,0
7798,1,101,1,100,150,31.03,1023.11,32.76,7045367,air,0_1_101,6947694.0,0
7806,1,101,2,100,150,31.01,1023.12,32.75,6155927,air,0_1_101,-889440.0,0
7814,1,101,3,100,150,30.98,1023.13,32.75,5628307,air,0_1_101,-527620.0,0
7822,1,101,4,200,150,30.95,1023.14,32.76,433347,air,0_1_101,-5194960.0,0
7830,1,101,5,200,150,30.95,1023.14,32.63,405063,air,0_1_101,-28284.0,0
7838,1,101,6,200,150,30.96,1023.14,32.82,381307,air,0_1_101,-23756.0,0
7846,1,101,7,320,150,30.96,1023.14,32.79,75829,air,0_1_101,-305478.0,0
7855,1,101,8,320,150,30.98,1023.14,32.79,85476,air,0_1_101,9647.0,0
7862,1,101,9,320,150,31.01,1023.15,32.81,91822,air,0_1_101,6346.0,0
7870,1,102,0,320,150,31.03,1023.15,32.6,97338,air,0_1_102,0.0,0
7878,1,102,1,100,150,31.05,1023.15,32.71,7246351,air,0_1_102,7149013.0,0
7886,1,102,2,100,150,31.02,1023.14,32.7,6201363,air,0_1_102,-1044988.0,0
7894,1,102,3,100,150,30.99,1023.14,32.49,5599453,air,0_1_102,-601910.0,0
7902,1,102,4,200,150,30.97,1023.15,32.68,430343,air,0_1_102,-5169110.0,0
7908,1,102,5,200,150,30.97,1023.15,32.75,403865,air,0_1_102,-26478.0,0
7916,1,102,6,200,150,30.97,1023.15,32.75,381947,air,0_1_102,-21918.0,0
7923,1,102,7,320,150,30.98,1023.14,32.75,75829,air,0_1_102,-306118.0,0
7931,1,102,8,320,150,31.0,1023.14,32.78,85390,air,0_1_102,9561.0,0
7937,1,102,9,320,150,31.03,1023.13,32.74,91822,air,0_1_102,6432.0,0
8026,1,104,0,320,150,31.06,1023.13,32.59,97841,air,0_1_104,0.0,0
8032,1,104,1,100,150,31.08,1023.13,32.77,7072739,air,0_1_104,6974898.0,0
8040,1,104,2,100,150,31.06,1023.12,32.65,6194329,air,0_1_104,-878410.0,0
8048,1,104,3,100,150,31.02,1023.14,32.66,5587995,air,0_1_104,-606334.0,0
8056,1,104,4,200,150,31.0,1023.13,32.63,427915,air,0_1_104,-5160080.0,0
8064,1,104,5,200,150,31.0,1023.13,32.66,402674,air,0_1_104,-25241.0,0
8072,1,104,6,200,150,31.0,1023.13,32.8,380457,air,0_1_104,-22217.0,0
8080,1,104,7,320,150,31.01,1023.13,32.74,76100,air,0_1_104,-304357.0,0
8088,1,104,8,320,150,31.03,1023.13,32.64,85562,air,0_1_104,9462.0,0
8096,1,104,9,320,150,31.06,1023.13,32.68,91136,air,0_1_104,5574.0,0
8104,1,105,0,320,150,31.08,1023.12,32.84,97117,air,0_1_105,0.0,0
8112,1,105,1,100,150,31.09,1023.13,32.66,7022718,air,0_1_105,6925601.0,0
8119,1,105,2,100,150,31.07,1023.12,32.65,6211943,air,0_1_105,-810775.0,0
8127,1,105,3,100,150,31.04,1023.13,32.65,5610959,air,0_1_105,-600984.0,0
8134,1,105,4,200,150,31.01,1023.13,32.67,435559,air,0_1_105,-5175400.0,0
8142,1,105,5,200,150,31.01,1023.13,32.69,402200,air,0_1_105,-33359.0,0
8150,1,105,6,200,150,31.01,1023.12,32.68,380882,air,0_1_105,-21318.0,0
8158,1,105,7,320,150,31.02,1023.13,32.68,76304,air,0_1_105,-304578.0,0
