,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,label_enc
0,7,1,0,320,150,23.11,1053.65,53.69,5685,cinnamon,2
1,6,1,0,320,150,22.34,1098.75,58.79,5685,cinnamon,2
2,2,1,0,320,150,22.89,1096.21,58.95,5685,cinnamon,2
3,4,1,0,320,150,21.69,1093.14,57.74,5685,cinnamon,2
4,3,1,0,320,150,22.36,1023.71,60.59,5685,cinnamon,2
5,1,1,0,320,150,23.61,1019.42,47.94,6616,cinnamon,2
6,5,1,0,320,150,21.98,1101.32,57.28,5685,cinnamon,2
7,8,1,0,320,150,22.7,1000.63,46.08,5685,cinnamon,2
8,7,1,1,100,150,23.19,1053.66,53.63,87671,cinnamon,2
9,2,1,1,100,150,22.96,1096.21,58.9,10413,cinnamon,2
10,4,1,1,100,150,21.76,1093.15,57.63,10814,cinnamon,2
11,3,1,1,100,150,22.44,1023.71,60.52,40738,cinnamon,2
12,1,1,1,100,150,23.68,1019.42,47.89,114133,cinnamon,2
13,5,1,1,100,150,22.05,1101.33,57.12,97394,cinnamon,2
14,7,1,2,100,150,23.24,1053.67,53.39,98178,cinnamon,2
15,8,1,1,100,150,22.78,1000.63,45.9,81167,cinnamon,2
16,6,1,2,100,150,22.46,1098.76,58.59,64435,cinnamon,2
17,2,1,2,100,150,23.0,1096.22,58.8,11666,cinnamon,2
18,4,1,2,100,150,21.8,1093.16,57.53,12279,cinnamon,2
19,3,1,2,100,150,22.47,1023.72,60.51,42781,cinnamon,2
20,1,1,2,100,150,23.71,1019.42,47.77,126108,cinnamon,2
21,7,1,3,100,150,23.27,1053.66,53.4,107586,cinnamon,2
22,5,1,2,100,150,22.09,1101.33,57.08,110369,cinnamon,2
23,6,1,3,100,150,22.5,1098.76,58.49,71329,cinnamon,2
24,8,1,2,100,150,22.82,1000.62,45.8,94066,cinnamon,2
25,4,1,3,100,150,21.83,1093.16,57.54,13672,cinnamon,2
26,3,1,3,100,150,22.5,1023.72,60.2,45665,cinnamon,2
27,1,1,3,100,150,23.73,1019.41,47.86,136388,cinnamon,2
28,7,1,4,200,150,23.3,1053.65,53.37,19512,cinnamon,2
29,6,1,4,200,150,22.52,1098.76,58.38,13322,cinnamon,2
30,5,1,3,100,150,22.12,1101.33,56.9,121183,cinnamon,2
31,8,1,3,100,150,22.85,1000.61,45.76,103854,cinnamon,2
32,4,1,4,200,150,21.85,1093.16,57.33,5685,cinnamon,2
33,3,1,4,200,150,22.52,1023.72,60.2,11628,cinnamon,2
34,1,1,4,200,150,23.75,1019.41,47.5,26463,cinnamon,2
35,7,1,5,200,150,23.34,1053.65,53.34,20506,cinnamon,2
36,6,1,5,200,150,22.57,1098.77,58.3,13931,cinnamon,2
37,2,1,5,200,150,23.08,1096.22,58.51,5685,cinnamon,2
38,4,1,5,200,150,21.9,1093.16,57.3,5685,cinnamon,2
39,5,1,4,200,150,22.14,1101.33,56.88,22168,cinnamon,2
40,8,1,4,200,150,22.87,1000.61,45.62,18807,cinnamon,2
41,3,1,5,200,150,22.57,1023.72,60.12,12209,cinnamon,2
42,1,1,5,200,150,23.79,1019.41,47.52,28082,cinnamon,2
43,7,1,6,200,150,23.39,1053.65,53.12,21412,cinnamon,2
44,6,1,6,200,150,22.62,1098.77,58.2,14639,cinnamon,2
45,2,1,6,200,150,23.13,1096.22,58.42,5685,cinnamon,2
46,4,1,6,200,150,21.94,1093.15,57.14,5915,cinnamon,2
47,5,1,5,200,150,22.19,1101.34,56.79,23739,cinnamon,2
48,8,1,5,200,150,22.92,1000.62,45.56,19820,cinnamon,2
49,3,1,6,200,150,22.61,1023.72,60.02,12636,cinnamon,2
50,1,1,6,200,150,23.83,1019.41,47.44,29582,cinnamon,2
51,7,1,7,320,150,23.44,1053.64,53.01,6356,cinnamon,2
52,6,1,7,320,150,22.66,1098.77,58.08,5685,cinnamon,2
53,2,1,7,320,150,23.17,1096.23,58.31,5685,cinnamon,2
54,4,1,7,320,150,21.98,1093.16,57.05,5685,cinnamon,2
55,5,1,6,200,150,22.23,1101.34,56.7,24917,cinnamon,2
56,8,1,6,200,150,22.97,1000.61,45.45,20949,cinnamon,2
57,3,1,7,320,150,22.65,1023.72,59.91,5685,cinnamon,2
58,1,1,7,320,150,23.86,1019.41,47.36,8430,cinnamon,2
59,7,1,8,320,150,23.5,1053.63,52.92,8344,cinnamon,2
60,6,1,8,320,150,22.72,1098.77,57.99,6669,cinnamon,2
61,2,1,8,320,150,23.22,1096.23,58.2,5685,cinnamon,2
62,4,1,8,320,150,22.04,1093.16,56.84,5685,cinnamon,2
63,5,1,7,320,150,22.27,1101.35,56.56,6661,cinnamon,2
64,8,1,7,320,150,23.01,1000.6,45.39,5958,cinnamon,2
65,3,1,8,320,150,22.71,1023.71,59.83,6567,cinnamon,2
66,1,1,8,320,150,23.91,1019.41,47.28,10568,cinnamon,2
67,7,1,9,320,150,23.55,1053.63,52.92,10273,cinnamon,2
68,6,1,9,320,150,22.77,1098.77,57.88,8260,cinnamon,2
69,2,1,9,320,150,23.27,1096.23,58.11,5685,cinnamon,2
70,4,1,9,320,150,22.09,1093.16,56.83,5685,cinnamon,2
71,3,1,9,320,150,22.76,1023.71,59.69,8140,cinnamon,2
72,5,1,8,320,150,22.33,1101.34,56.48,8719,cinnamon,2
73,8,1,8,320,150,23.07,1000.61,45.24,7694,cinnamon,2
74,1,1,9,320,150,23.95,1019.41,47.17,12990,cinnamon,2
75,7,2,0,320,150,23.6,1053.63,52.74,12780,cinnamon,2
76,6,2,0,320,150,22.82,1098.77,57.67,10403,cinnamon,2
77,2,2,0,320,150,23.32,1096.23,57.91,5685,cinnamon,2
78,4,2,0,320,150,22.14,1093.17,56.72,5685,cinnamon,2
79,3,2,0,320,150,22.81,1023.72,59.55,10303,cinnamon,2
80,5,1,9,320,150,22.38,1101.34,56.32,10793,cinnamon,2
81,8,1,9,320,150,23.12,1000.6,45.14,9420,cinnamon,2
82,1,2,0,320,150,23.99,1019.41,47.02,15648,cinnamon,2
83,7,2,1,100,150,23.65,1053.64,52.59,321608,cinnamon,2
84,6,2,1,100,150,22.87,1098.77,57.63,246925,cinnamon,2
85,2,2,1,100,150,23.36,1096.23,57.89,29480,cinnamon,2
86,3,2,1,100,150,22.85,1023.71,59.33,153708,cinnamon,2
87,8,2,0,320,150,23.17,1000.6,45.04,11503,cinnamon,2
88,5,2,0,320,150,22.43,1101.35,56.25,13611,cinnamon,2
89,1,2,1,100,150,24.03,1019.41,46.99,355803,cinnamon,2
90,7,2,2,100,150,23.66,1053.64,52.47,309366,cinnamon,2
91,6,2,2,100,150,22.87,1098.78,57.53,240658,cinnamon,2
92,2,2,2,100,150,23.36,1096.22,57.77,29726,cinnamon,2
93,4,2,2,100,150,22.19,1093.17,56.42,29480,cinnamon,2
94,3,2,2,100,150,22.85,1023.71,59.36,144592,cinnamon,2
95,8,2,1,100,150,23.22,1000.6,45.0,298804,cinnamon,2
96,5,2,1,100,150,22.48,1101.35,56.12,357667,cinnamon,2
97,1,2,2,100,150,24.03,1019.41,46.89,344665,cinnamon,2
98,7,2,3,100,150,23.65,1053.63,52.33,315368,cinnamon,2
99,6,2,3,100,150,22.86,1098.78,57.48,240998,cinnamon,2
100,2,2,3,100,150,23.35,1096.22,57.74,31457,cinnamon,2
101,4,2,3,100,150,22.18,1093.16,56.42,31365,cinnamon,2
102,3,2,3,100,150,22.84,1023.71,59.25,143739,cinnamon,2
103,8,2,2,100,150,23.23,1000.6,44.78,299590,cinnamon,2
104,1,2,3,100,150,24.02,1019.41,46.84,347826,cinnamon,2
105,5,2,2,100,150,22.48,1101.35,56.05,358795,cinnamon,2
106,6,2,4,200,150,22.85,1098.77,57.31,36645,cinnamon,2
107,2,2,4,200,150,23.33,1096.21,57.61,10333,cinnamon,2
108,4,2,4,200,150,22.17,1093.17,56.36,10881,cinnamon,2
109,3,2,4,200,150,22.83,1023.71,59.23,30019,cinnamon,2
110,7,2,5,200,150,23.66,1053.63,52.21,49661,cinnamon,2
111,1,2,4,200,150,24.02,1019.42,46.78,59122,cinnamon,2
112,8,2,3,100,150,23.23,1000.59,44.57,306312,cinnamon,2
113,6,2,5,200,150,22.87,1098.77,57.33,36457,cinnamon,2
114,2,2,5,200,150,23.35,1096.21,57.66,10343,cinnamon,2
115,4,2,5,200,150,22.18,1093.17,56.36,10793,cinnamon,2
116,3,2,5,200,150,22.84,1023.71,59.18,29705,cinnamon,2
117,7,2,6,200,150,23.68,1053.64,52.14,50039,cinnamon,2
118,1,2,5,200,150,24.03,1019.4,46.76,60678,cinnamon,2
119,6,2,6,200,150,22.89,1098.78,57.26,36551,cinnamon,2
120,5,2,4,200,150,22.47,1101.34,55.78,56801,cinnamon,2
121,8,2,4,200,150,23.23,1000.6,44.7,47346,cinnamon,2
122,2,2,6,200,150,23.37,1096.22,57.54,10547,cinnamon,2
123,4,2,6,200,150,22.2,1093.17,56.23,10814,cinnamon,2
124,3,2,6,200,150,22.86,1023.71,59.11,29398,cinnamon,2
125,7,2,7,320,150,23.71,1053.64,52.15,13499,cinnamon,2
126,1,2,6,200,150,24.05,1019.4,46.7,62000,cinnamon,2
127,6,2,7,320,150,22.92,1098.79,57.14,10836,cinnamon,2
128,8,2,5,200,150,23.25,1000.59,44.69,48120,cinnamon,2
129,2,2,7,320,150,23.39,1096.22,57.51,5685,cinnamon,2
130,4,2,7,320,150,22.22,1093.18,56.24,5685,cinnamon,2
131,3,2,7,320,150,22.89,1023.71,59.18,10642,cinnamon,2
132,7,2,8,320,150,23.76,1053.65,52.01,16084,cinnamon,2
133,6,2,8,320,150,22.95,1098.78,57.12,13877,cinnamon,2
134,1,2,7,320,150,24.07,1019.4,46.61,16469,cinnamon,2
135,8,2,6,200,150,23.27,1000.59,44.59,49202,cinnamon,2
136,2,2,8,320,150,23.43,1096.22,57.21,5685,cinnamon,2
137,4,2,8,320,150,22.26,1093.18,56.1,6002,cinnamon,2
138,3,2,8,320,150,22.92,1023.71,59.0,13534,cinnamon,2
139,7,2,9,320,150,23.8,1053.66,52.01,18529,cinnamon,2
140,6,2,9,320,150,23.0,1098.79,57.04,16072,cinnamon,2
141,1,2,8,320,150,24.11,1019.41,46.6,19370,cinnamon,2
142,8,2,7,320,150,23.3,1000.58,44.64,12315,cinnamon,2
143,2,2,9,320,150,23.46,1096.23,57.52,6531,cinnamon,2
144,5,2,7,320,150,22.53,1101.35,55.73,14144,cinnamon,2
145,4,2,9,320,150,22.29,1093.18,56.09,6925,cinnamon,2
146,7,3,0,320,150,23.84,1053.66,51.91,20705,cinnamon,2
147,3,2,9,320,150,22.96,1023.72,58.91,16060,cinnamon,2
148,6,3,0,320,150,23.04,1098.8,57.08,18386,cinnamon,2
149,1,2,9,320,150,24.14,1019.4,46.54,21784,cinnamon,2
150,2,3,0,320,150,23.5,1096.22,57.28,7499,cinnamon,2
151,8,2,8,320,150,23.34,1000.59,44.41,14709,cinnamon,2
152,5,2,8,320,150,22.57,1101.36,55.5,17035,cinnamon,2
153,4,3,0,320,150,22.33,1093.19,55.98,8006,cinnamon,2
154,7,3,1,100,150,23.88,1053.66,51.81,671696,cinnamon,2
155,3,3,0,320,150,23.0,1023.72,58.86,18135,cinnamon,2
156,6,3,1,100,150,23.07,1098.8,56.96,551279,cinnamon,2
157,1,3,0,320,150,24.17,1019.41,46.34,24615,cinnamon,2
158,2,3,1,100,150,23.53,1096.22,57.18,69077,cinnamon,2
159,4,3,1,100,150,22.36,1093.19,55.79,63761,cinnamon,2
160,8,2,9,320,150,23.39,1000.58,44.38,17008,cinnamon,2
161,5,2,9,320,150,22.62,1101.36,55.55,19784,cinnamon,2
162,7,3,2,100,150,23.88,1053.66,51.74,615940,cinnamon,2
163,3,3,1,100,150,23.03,1023.72,58.77,356546,cinnamon,2
164,6,3,2,100,150,23.06,1098.8,56.83,498539,cinnamon,2
165,1,3,1,100,150,24.2,1019.41,46.41,712348,cinnamon,2
166,2,3,2,100,150,23.52,1096.23,57.25,65878,cinnamon,2
167,4,3,2,100,150,22.35,1093.19,55.89,62000,cinnamon,2
168,8,3,0,320,150,23.43,1000.59,44.3,18840,cinnamon,2
169,5,3,0,320,150,22.66,1101.37,55.5,22122,cinnamon,2
170,7,3,3,100,150,23.86,1053.67,51.67,580828,cinnamon,2
171,3,3,2,100,150,23.02,1023.73,58.68,313054,cinnamon,2
172,6,3,3,100,150,23.05,1098.81,56.75,477278,cinnamon,2
173,1,3,2,100,150,24.19,1019.41,46.3,645649,cinnamon,2
174,2,3,3,100,150,23.5,1096.24,57.12,66806,cinnamon,2
175,8,3,1,100,150,23.47,1000.6,44.32,609342,cinnamon,2
176,5,3,1,100,150,22.69,1101.38,55.41,756697,cinnamon,2
177,7,3,4,200,150,23.85,1053.66,51.68,77482,cinnamon,2
178,3,3,3,100,150,23.0,1023.73,58.62,299854,cinnamon,2
179,6,3,4,200,150,23.03,1098.8,56.71,61731,cinnamon,2
180,1,3,3,100,150,24.18,1019.42,46.31,627836,cinnamon,2
181,2,3,4,200,150,23.48,1096.24,57.09,18481,cinnamon,2
182,4,3,4,200,150,22.32,1093.19,55.75,18449,cinnamon,2
183,8,3,2,100,150,23.47,1000.61,44.17,573509,cinnamon,2
